organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,1,197.0,65535,154.0,2808.0,0,2,3,18,14,16
ER,2,207.0,65535,150.0,2873.0,0,2,4,17,15,17
ER,3,210.0,65535,742.0,5400.0,0,0,1,24,15,16
ER,4,74.0,65535,322.0,1584.0,0,1,0,22,9,9
ER,5,183.0,65535,374.0,3276.0,0,0,4,21,13,16
ER,6,140.0,65535,130.0,1815.0,0,1,3,15,12,14
ER,7,252.0,65535,169.0,5712.0,0,2,0,24,16,17
ER,8,209.0,65535,740.0,5400.0,0,0,0,24,15,15
ER,9,197.0,65535,608.0,5148.0,0,1,1,22,14,19
ER,10,92.0,65535,294.0,1800.0,0,1,0,18,11,10
ER,11,143.0,65535,96.0,2244.0,0,1,3,17,13,14
ER,12,122.0,65535,144.0,3003.0,0,2,1,21,15,12
ER,13,188.0,65535,482.0,4620.0,0,1,3,22,15,18
ER,14,225.0,65535,776.0,5850.0,0,1,2,26,16,17
ER,15,193.0,65535,177.0,4862.0,0,1,0,22,14,17
ER,16,186.0,65535,609.0,4641.0,0,1,2,21,14,19
ER,17,195.0,65535,83.0,2717.0,0,1,4,19,14,15
ER,18,90.0,65535,55.0,693.0,0,0,4,11,9,11
ER,19,215.0,65535,532.0,4998.0,0,1,2,21,15,19
ER,20,150.0,65535,86.0,2080.0,0,2,2,16,12,15
ER,21,147.0,65535,444.0,3135.0,0,1,1,19,12,16
ER,22,106.0,65535,242.0,2772.0,0,0,1,21,11,13
ER,23,173.0,65535,486.0,3822.0,0,1,2,21,14,16
ER,24,207.0,65535,818.0,6240.0,0,1,1,26,16,17
ER,25,192.0,65535,156.0,3528.0,0,1,2,21,15,14
ER,26,201.0,65535,72.0,1584.0,0,1,6,22,10,14
ER,27,152.0,65535,503.0,3542.0,0,1,1,23,12,15
ER,28,180.0,65535,698.0,4830.0,0,1,0,23,15,15
ER,29,197.0,65535,606.0,5304.0,0,1,2,24,14,19
ER,30,199.0,65535,722.0,6480.0,0,1,1,27,16,17
ER,31,257.0,65535,255.0,6400.0,0,1,2,25,17,18
ER,32,92.0,65535,434.0,3410.0,0,1,1,31,12,11
ER,33,202.0,65535,126.0,2880.0,0,2,5,20,14,17
ER,34,133.0,65535,431.0,3003.0,0,2,1,21,13,14
ER,35,189.0,65535,125.0,2926.0,0,4,2,19,15,16
ER,36,148.0,65535,546.0,3528.0,0,0,0,21,12,14
ER,37,157.0,65535,582.0,3780.0,0,0,1,21,12,16
ER,38,252.0,65535,920.0,7800.0,0,0,1,26,15,21
ER,39,77.0,65535,197.0,1600.0,0,0,0,16,10,10
ER,40,104.0,65535,77.0,1008.0,0,1,3,14,9,12
ER,41,116.0,65535,488.0,2772.0,0,1,0,21,12,12
ER,42,217.0,65535,149.0,3120.0,0,2,3,16,15,18
ER,43,229.0,65535,634.0,6240.0,0,1,2,26,16,18
ER,44,192.0,65535,762.0,5760.0,0,1,0,24,17,15
ER,45,193.0,65535,756.0,5600.0,0,1,1,25,15,17
ER,46,124.0,65535,499.0,3146.0,0,0,0,22,13,11
ER,47,178.0,65535,617.0,4704.0,0,1,1,24,15,15
ER,48,74.0,65535,99.0,864.0,0,0,1,12,8,10
ER,49,124.0,65535,437.0,3036.0,0,1,1,23,12,13
ER,50,126.0,65535,396.0,2772.0,0,1,2,21,13,13
ER,51,74.0,65535,258.0,1584.0,0,1,1,22,9,10
ER,52,186.0,65535,167.0,3388.0,0,3,2,22,14,16
ER,53,131.0,65535,73.0,1836.0,0,2,3,17,14,12
ER,54,175.0,65535,703.0,4704.0,0,0,2,24,14,16
ER,55,196.0,65535,188.0,5152.0,0,1,1,23,15,17
ER,56,134.0,65535,530.0,3500.0,0,1,1,25,11,15
ER,57,180.0,65535,144.0,2520.0,0,2,6,21,14,16
ER,58,217.0,65535,819.0,6885.0,0,1,1,27,16,18
ER,59,213.0,65535,778.0,6240.0,0,2,0,26,18,15
ER,60,204.0,65535,663.0,5040.0,0,2,1,24,17,15
ER,61,166.0,65535,557.0,4368.0,0,1,2,24,15,15
ER,62,139.0,65535,671.0,3432.0,0,1,1,24,12,14
ER,63,132.0,65535,395.0,2860.0,0,2,0,20,13,13
ER,64,118.0,65535,438.0,2662.0,0,1,1,22,12,12
ER,65,144.0,65535,567.0,3718.0,0,1,0,22,14,13
ER,66,152.0,65535,616.0,4056.0,0,1,1,24,14,14
ER,67,151.0,65535,529.0,3003.0,0,2,2,21,13,15
ER,68,137.0,65535,190.0,2223.0,0,3,1,19,12,14
ER,69,183.0,65535,181.0,3360.0,0,3,1,20,15,15
ER,70,183.0,65535,719.0,4680.0,0,1,1,24,14,16
ER,71,149.0,65535,538.0,3234.0,0,2,1,21,13,15
ER,72,133.0,65535,499.0,3542.0,0,1,1,23,12,15
ER,73,170.0,65535,152.0,3234.0,0,1,1,21,12,15
ER,74,201.0,65535,736.0,6480.0,0,1,0,27,17,15
ER,75,75.0,65535,81.0,1152.0,0,1,2,16,10,10
ER,76,166.0,65535,632.0,4608.0,0,0,1,24,12,17
ER,77,238.0,65535,687.0,7140.0,0,2,0,28,17,17
ER,78,88.0,65535,131.0,1050.0,0,2,1,15,9,11
ER,79,89.0,65535,291.0,2079.0,0,1,2,21,12,11
ER,80,110.0,65535,566.0,3190.0,0,1,1,29,11,12
ER,81,141.0,65535,526.0,3432.0,0,1,1,22,14,13
ER,82,174.0,65535,160.0,2600.0,0,3,3,20,13,16
ER,83,124.0,65535,477.0,3003.0,0,1,1,21,12,14
ER,84,186.0,65535,752.0,5408.0,0,1,0,26,14,16
ER,85,177.0,65535,825.0,5824.0,0,1,0,28,14,16
ER,86,187.0,65535,215.0,3864.0,0,1,2,23,13,16
ER,87,114.0,65535,389.0,2541.0,0,1,1,21,12,12
ER,88,200.0,65535,882.0,6902.0,0,1,1,29,15,18
ER,89,167.0,65535,623.0,4680.0,0,1,1,24,16,14
ER,90,218.0,65535,900.0,7308.0,0,2,0,29,16,18
ER,91,224.0,65535,778.0,6375.0,0,0,1,25,15,18
ER,92,220.0,65535,876.0,6664.0,0,1,1,28,15,18
ER,93,127.0,65535,199.0,1700.0,0,1,2,17,11,12
ER,94,155.0,65535,558.0,3864.0,0,1,2,23,13,16
ER,95,126.0,65535,488.0,2904.0,0,1,1,22,13,12
ER,96,133.0,65535,494.0,3168.0,0,1,1,24,12,13
ER,97,102.0,65535,475.0,3509.0,0,1,0,29,12,11
ER,98,182.0,65535,230.0,3795.0,0,2,2,23,13,17
ER,99,131.0,65535,496.0,3168.0,0,1,1,22,13,13
