organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,1,197.0,1,1.0,1.0,0,7,11,1,8,12
LD,1,197.0,31,6.0,12.0,2,7,9,4,9,12
LD,1,197.0,111,9.0,18.0,3,2,10,6,5,12
LD,1,197.0,112,14.0,36.0,2,6,8,6,9,11
LD,1,197.0,114,1.0,1.0,4,11,10,5,12,11
LD,1,197.0,397,2.0,2.0,7,7,2,8,8,4
LD,1,197.0,398,19.0,72.0,5,6,7,13,9,10
LD,1,197.0,400,18.0,45.0,4,9,8,9,12,11
LD,1,197.0,559,8.0,10.0,8,4,9,10,5,14
LD,1,197.0,560,12.0,27.0,8,9,6,11,12,9
LD,1,197.0,763,13.0,30.0,8,10,4,13,12,7
LD,1,197.0,764,9.0,27.0,8,10,5,11,13,8
LD,1,197.0,994,11.0,36.0,9,9,8,13,12,11
LD,1,197.0,2139,3.0,4.0,13,9,8,15,11,9
LD,1,197.0,4160,3.0,4.0,20,7,8,22,8,10
LD,1,197.0,4408,2.0,2.0,21,6,8,23,7,9
LD,2,207.0,62,6.0,12.0,2,9,5,4,12,7
LD,2,207.0,113,1.0,1.0,4,9,5,5,10,6
LD,2,207.0,758,1.0,1.0,9,5,3,10,6,4
LD,2,207.0,760,6.0,12.0,8,9,13,11,11,15
LD,2,207.0,1282,1.0,1.0,11,10,6,12,11,7
LD,2,207.0,2136,27.0,84.0,11,2,10,18,5,14
LD,2,207.0,4161,5.0,8.0,21,7,9,23,9,11
LD,3,210.0,264,2.0,2.0,6,2,11,7,3,13
LD,3,210.0,265,8.0,16.0,3,12,6,7,14,8
LD,3,210.0,399,12.0,16.0,6,9,7,10,11,9
LD,3,210.0,757,5.0,9.0,8,2,10,11,3,13
LD,3,210.0,761,7.0,12.0,7,8,1,10,10,3
LD,3,210.0,762,16.0,24.0,6,8,12,10,11,14
LD,3,210.0,991,2.0,2.0,10,2,12,12,3,13
LD,3,210.0,996,21.0,40.0,8,13,3,13,15,7
LD,3,210.0,1281,2.0,2.0,10,1,7,12,2,8
LD,3,210.0,1542,17.0,30.0,9,1,9,14,3,12
LD,3,210.0,1544,33.0,96.0,10,8,11,16,12,15
LD,3,210.0,1546,12.0,20.0,11,13,5,16,15,7
LD,3,210.0,1839,3.0,4.0,12,10,8,14,12,9
LD,3,210.0,2138,31.0,90.0,10,7,0,16,12,3
LD,3,210.0,2142,3.0,3.0,14,11,2,17,12,3
LD,3,210.0,2469,1.0,1.0,15,2,13,16,3,14
LD,3,210.0,2763,13.0,30.0,13,7,2,18,9,5
LD,3,210.0,2764,6.0,18.0,16,8,13,19,11,15
LD,3,210.0,3081,2.0,2.0,17,8,2,19,9,3
LD,3,210.0,3082,7.0,12.0,16,8,1,18,11,3
LD,3,210.0,3083,1.0,1.0,17,11,11,18,12,12
LD,3,210.0,3376,3.0,4.0,17,1,8,19,3,9
LD,3,210.0,3648,1.0,1.0,19,2,12,20,3,13
LD,3,210.0,3915,1.0,1.0,20,10,8,21,11,9
LD,4,74.0,759,3.0,4.0,9,6,7,11,7,9
LD,4,74.0,992,1.0,1.0,10,3,7,11,4,8
LD,4,74.0,993,4.0,8.0,9,4,2,11,6,4
LD,4,74.0,1543,4.0,6.0,11,3,8,14,5,9
LD,4,74.0,2137,4.0,4.0,13,2,4,17,3,5
LD,4,74.0,2470,6.0,9.0,14,2,8,17,5,9
LD,4,74.0,2471,62.0,192.0,10,2,1,18,8,5
LD,4,74.0,3649,46.0,96.0,16,2,1,22,6,5
LD,5,183.0,401,3.0,4.0,7,8,4,9,10,5
