organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,1,197.0,2,1375.0,4914.0,2,1,2,29,14,16
mitochondria,1,197.0,563,57.0,144.0,32,4,2,35,12,8
mitochondria,1,197.0,564,54.0,168.0,32,4,10,35,12,17
mitochondria,2,207.0,3,1903.0,8448.0,2,0,1,35,16,17
mitochondria,2,207.0,641,2.0,2.0,34,1,12,35,3,13
mitochondria,3,210.0,1,1784.0,8448.0,2,0,0,35,16,16
mitochondria,3,210.0,8,1.0,1.0,2,12,5,3,13,6
mitochondria,3,210.0,468,4.0,8.0,23,11,11,25,13,13
mitochondria,3,210.0,642,2.0,2.0,34,4,14,35,6,15
mitochondria,3,210.0,643,7.0,8.0,34,7,13,35,11,15
mitochondria,3,210.0,645,1.0,1.0,34,12,2,35,13,3
mitochondria,4,74.0,4,731.0,2016.0,2,1,0,30,9,9
mitochondria,4,74.0,542,41.0,168.0,31,3,0,35,9,7
mitochondria,5,183.0,5,1158.0,4536.0,2,0,2,29,12,16
mitochondria,5,183.0,515,59.0,324.0,29,1,3,35,7,12
mitochondria,5,183.0,565,41.0,90.0,32,6,10,35,12,15
mitochondria,6,140.0,6,795.0,2880.0,2,1,5,26,13,15
mitochondria,6,140.0,543,155.0,432.0,31,1,2,35,13,11
mitochondria,7,252.0,9,193.0,672.0,2,2,1,14,10,8
mitochondria,7,252.0,10,1693.0,8448.0,2,1,2,35,17,18
mitochondria,7,252.0,208,17.0,36.0,7,1,7,11,4,10
mitochondria,7,252.0,365,10.0,12.0,15,3,3,18,5,5
mitochondria,7,252.0,373,1.0,1.0,16,12,9,17,13,10
mitochondria,7,252.0,485,1.0,1.0,25,3,11,26,4,12
mitochondria,7,252.0,592,40.0,240.0,33,2,9,35,17,17
mitochondria,7,252.0,646,2.0,2.0,34,3,5,35,4,7
mitochondria,8,209.0,7,1186.0,5544.0,2,0,0,35,12,14
mitochondria,8,209.0,13,4.0,6.0,2,9,8,3,11,11
mitochondria,8,209.0,16,4.0,4.0,2,12,1,3,14,3
mitochondria,8,209.0,17,3.0,4.0,2,12,7,3,14,9
mitochondria,8,209.0,135,29.0,96.0,4,11,1,10,15,5
mitochondria,8,209.0,324,19.0,36.0,11,10,9,14,14,12
mitochondria,8,209.0,333,13.0,32.0,12,13,1,16,15,5
