organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,1,197.0,7,87.0,180.0,2,4,6,8,9,12
peroxisome,1,197.0,71,102.0,180.0,7,4,6,13,10,11
peroxisome,1,197.0,260,26.0,40.0,12,6,6,16,11,8
peroxisome,1,197.0,349,209.0,375.0,12,6,6,27,11,11
peroxisome,1,197.0,825,8.0,12.0,24,2,5,27,4,7
peroxisome,1,197.0,973,12.0,16.0,27,2,5,31,4,7
peroxisome,2,207.0,556,294.0,570.0,13,9,1,32,14,7
peroxisome,2,207.0,668,29.0,72.0,21,11,5,29,14,8
peroxisome,3,210.0,880,144.0,300.0,20,0,7,30,5,13
peroxisome,3,210.0,1103,129.0,200.0,29,0,7,37,5,12
peroxisome,4,74.0,508,1.0,1.0,20,2,2,21,3,3
peroxisome,4,74.0,555,6.0,6.0,19,5,1,22,6,3
peroxisome,4,74.0,719,37.0,96.0,19,3,0,27,6,4
peroxisome,4,74.0,826,9.0,24.0,25,2,1,29,5,3
peroxisome,5,183.0,30,140.0,300.0,2,7,6,14,12,11
peroxisome,5,183.0,459,186.0,300.0,12,8,10,27,13,14
peroxisome,6,140.0,8,26.0,48.0,3,6,7,7,9,11
peroxisome,6,140.0,9,37.0,72.0,2,8,6,10,11,9
peroxisome,6,140.0,44,120.0,360.0,3,3,7,15,9,12
peroxisome,6,140.0,206,19.0,54.0,12,10,6,18,13,9
peroxisome,6,140.0,774,1.0,1.0,25,6,11,26,7,12
peroxisome,7,252.0,458,172.0,350.0,14,3,13,28,8,18
peroxisome,7,252.0,460,79.0,165.0,14,7,0,25,12,3
peroxisome,7,252.0,720,165.0,320.0,17,5,0,33,10,4
peroxisome,8,209.0,29,200.0,408.0,2,0,1,19,4,7
peroxisome,8,209.0,608,56.0,120.0,15,7,0,23,12,3
peroxisome,8,209.0,722,52.0,80.0,23,7,0,31,12,2
peroxisome,9,197.0,775,9.0,12.0,22,5,7,26,8,8
peroxisome,9,197.0,827,29.0,72.0,23,5,7,31,8,10
peroxisome,10,92.0,722,8.0,8.0,26,4,9,30,6,10
peroxisome,11,143.0,669,32.0,64.0,20,2,7,24,6,11
peroxisome,11,143.0,723,10.0,24.0,22,2,8,25,4,12
peroxisome,11,143.0,776,41.0,140.0,22,2,8,29,7,12
peroxisome,11,143.0,882,47.0,180.0,25,3,6,31,8,12
peroxisome,11,143.0,974,27.0,125.0,27,4,5,32,9,10
peroxisome,11,143.0,1022,22.0,48.0,29,5,4,33,9,7
peroxisome,12,122.0,160,5.0,6.0,12,4,3,14,7,4
peroxisome,12,122.0,207,10.0,36.0,12,4,3,16,7,6
peroxisome,12,122.0,261,14.0,36.0,14,3,3,18,6,6
peroxisome,12,122.0,303,5.0,12.0,16,3,5,18,6,7
peroxisome,12,122.0,558,19.0,63.0,17,3,9,24,6,12
peroxisome,12,122.0,609,12.0,12.0,22,3,9,24,6,11
peroxisome,12,122.0,721,75.0,156.0,18,0,4,31,3,8
peroxisome,12,122.0,724,5.0,6.0,24,4,9,25,6,12
peroxisome,12,122.0,881,38.0,96.0,24,2,9,32,6,12
peroxisome,12,122.0,929,18.0,54.0,26,4,2,32,7,5
peroxisome,12,122.0,975,8.0,24.0,29,4,3,33,7,5
peroxisome,12,122.0,1063,3.0,4.0,31,4,3,33,5,5
peroxisome,13,188.0,350,35.0,78.0,11,8,15,24,11,17
peroxisome,13,188.0,461,46.0,128.0,12,0,12,20,4,16
peroxisome,13,188.0,557,52.0,120.0,20,0,12,30,3,16
peroxisome,14,225.0,1,42.0,72.0,1,3,9,9,6,12
