organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,1,321.0,65535,1521.0,12768.0,4,0,1,36,21,20
ER,2,253.0,65535,1253.0,10336.0,4,1,0,36,18,19
ER,3,187.0,65535,595.0,6045.0,5,0,0,36,13,15
ER,4,218.0,65535,1079.0,8160.0,3,0,3,37,16,18
ER,5,339.0,65535,1917.0,18981.0,0,0,0,37,19,27
ER,6,182.0,65535,891.0,7293.0,4,0,0,37,13,17
ER,7,67.0,65535,252.0,2268.0,9,1,0,37,10,9
ER,8,59.0,65535,315.0,1664.0,6,0,2,32,8,10
ER,9,278.0,65535,946.0,9792.0,4,1,0,36,19,17
ER,10,131.0,65535,667.0,4680.0,5,1,1,35,14,13
ER,11,77.0,65535,337.0,2900.0,4,0,0,33,10,10
ER,12,183.0,65535,861.0,7280.0,0,0,0,35,16,13
ER,13,195.0,65535,817.0,8400.0,2,1,2,37,17,17
ER,14,214.0,65535,1054.0,9248.0,3,0,2,37,17,18
ER,15,215.0,65535,840.0,7905.0,4,0,1,35,15,18
ER,16,250.0,65535,915.0,10752.0,5,0,1,37,16,22
ER,17,164.0,65535,942.0,6912.0,0,0,1,36,16,13
ER,18,268.0,65535,1345.0,8640.0,4,0,3,36,18,18
ER,19,176.0,65535,972.0,6630.0,2,1,0,36,16,13
ER,20,168.0,65535,830.0,4992.0,5,0,1,37,13,13
ER,21,186.0,65535,945.0,5577.0,4,0,2,37,13,15
ER,22,184.0,65535,736.0,6864.0,4,0,1,37,16,14
ER,23,543.0,65535,2478.0,25296.0,3,0,2,37,31,26
ER,24,209.0,65535,866.0,7905.0,5,0,0,36,15,17
ER,25,183.0,65535,851.0,7392.0,3,0,2,36,16,16
ER,26,210.0,65535,942.0,7650.0,3,0,2,37,15,17
ER,27,184.0,65535,969.0,6006.0,4,0,2,37,13,16
ER,28,77.0,65535,183.0,1104.0,13,0,2,36,8,8
ER,29,172.0,65535,751.0,6240.0,4,1,1,36,14,16
ER,30,184.0,65535,774.0,7616.0,4,1,0,36,15,17
ER,31,115.0,65535,583.0,3744.0,4,1,2,36,10,15
ER,32,322.0,65535,1409.0,11520.0,5,0,0,37,18,20
ER,33,171.0,65535,927.0,5952.0,5,1,0,36,13,16
ER,34,119.0,65535,527.0,5005.0,2,0,1,37,13,12
ER,35,184.0,65535,853.0,6656.0,4,0,2,36,13,18
ER,36,233.0,65535,1017.0,9792.0,2,0,0,36,16,18
