organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,1,188.0,251,46.0,140.0,5,1,9,9,8,14
mitochondria,1,188.0,392,31.0,56.0,6,7,0,8,11,7
mitochondria,1,188.0,395,14.0,18.0,6,12,1,8,15,4
mitochondria,1,188.0,396,1.0,1.0,6,14,7,7,15,8
mitochondria,1,188.0,610,47.0,105.0,15,12,1,18,17,8
mitochondria,1,188.0,796,64.0,308.0,33,5,2,37,16,9
mitochondria,1,188.0,906,2.0,2.0,36,1,8,37,2,10
mitochondria,3,96.0,252,43.0,90.0,5,1,2,8,6,8
mitochondria,3,96.0,393,7.0,12.0,6,7,2,8,9,5
mitochondria,3,96.0,795,79.0,224.0,33,0,2,37,8,9
mitochondria,4,129.0,394,11.0,24.0,6,6,10,9,10,12
mitochondria,4,129.0,483,22.0,48.0,7,8,2,11,11,6
mitochondria,4,129.0,571,363.0,912.0,13,3,6,32,11,12
mitochondria,4,129.0,729,8.0,18.0,26,4,0,32,5,3
mitochondria,6,264.0,111,1500.0,7854.0,4,1,2,37,18,16
mitochondria,6,264.0,678,28.0,72.0,20,7,13,28,10,16
mitochondria,6,264.0,907,10.0,12.0,36,7,13,37,10,17
mitochondria,7,176.0,10,102.0,294.0,3,6,5,10,13,11
mitochondria,7,176.0,113,438.0,4125.0,12,1,3,37,16,14
mitochondria,7,176.0,589,37.0,90.0,14,3,4,24,6,7
mitochondria,7,176.0,797,94.0,252.0,33,8,2,37,15,11
mitochondria,8,142.0,9,682.0,3025.0,3,1,3,28,12,14
mitochondria,8,142.0,823,150.0,297.0,34,0,2,37,11,11
mitochondria,9,305.0,253,117.0,300.0,5,8,9,17,13,14
mitochondria,9,305.0,397,509.0,3069.0,6,5,1,37,14,12
mitochondria,9,305.0,484,1.0,1.0,7,4,19,8,5,20
mitochondria,9,305.0,509,13.0,16.0,8,6,14,10,8,18
mitochondria,9,305.0,510,165.0,380.0,8,9,17,27,14,21
mitochondria,9,305.0,572,116.0,208.0,13,4,14,26,8,18
mitochondria,9,305.0,873,10.0,24.0,35,3,9,37,6,13
mitochondria,11,302.0,12,1729.0,10982.0,3,1,1,37,20,18
mitochondria,12,152.0,11,640.0,2376.0,3,2,5,27,13,14
mitochondria,12,152.0,824,129.0,360.0,34,3,1,37,13,13
mitochondria,13,244.0,112,130.0,702.0,4,2,2,13,8,15
mitochondria,13,244.0,114,774.0,4620.0,4,7,2,37,17,16
mitochondria,13,244.0,398,3.0,4.0,6,8,0,7,10,2
mitochondria,13,244.0,590,338.0,1254.0,14,0,3,33,6,14
mitochondria,13,244.0,735,79.0,480.0,27,2,11,37,10,17
mitochondria,13,244.0,908,2.0,2.0,36,2,9,37,3,11
mitochondria,13,244.0,909,1.0,1.0,36,3,5,37,4,6
mitochondria,14,105.0,113,433.0,1750.0,4,0,1,29,10,8
mitochondria,14,105.0,874,116.0,180.0,35,1,1,37,11,10
mitochondria,16,135.0,115,702.0,3300.0,4,2,1,37,12,11
mitochondria,16,135.0,528,24.0,72.0,10,4,8,18,7,11
mitochondria,16,135.0,667,84.0,144.0,19,1,8,31,5,11
mitochondria,18,202.0,254,718.0,2816.0,5,1,3,37,12,11
mitochondria,18,202.0,485,12.0,27.0,7,5,15,10,8,18
mitochondria,19,73.0,11,351.0,1176.0,13,1,3,37,8,10
mitochondria,19,73.0,255,30.0,80.0,5,7,1,15,9,5
mitochondria,21,197.0,119,1082.0,5184.0,4,4,1,31,16,17
mitochondria,21,197.0,255,21.0,32.0,5,2,5,9,4,9
mitochondria,21,197.0,399,20.0,45.0,6,5,1,9,10,4
mitochondria,21,197.0,736,142.0,960.0,27,7,5,37,15,17
mitochondria,21,197.0,911,3.0,4.0,36,7,4,37,9,6
mitochondria,22,325.0,18,1464.0,10982.0,3,1,2,37,18,21
mitochondria,22,325.0,117,11.0,32.0,4,5,4,6,9,8
mitochondria,22,325.0,256,6.0,8.0,5,5,0,7,7,2
mitochondria,23,179.0,116,12.0,24.0,4,2,12,8,5,14
mitochondria,23,179.0,400,7.0,12.0,6,6,6,8,9,8
mitochondria,23,179.0,486,2.0,2.0,7,2,5,8,3,7
mitochondria,23,179.0,487,1.0,1.0,7,7,1,8,8,2
mitochondria,23,179.0,730,9.0,24.0,26,2,13,28,6,16
mitochondria,23,179.0,742,241.0,990.0,28,2,4,37,13,14
mitochondria,23,179.0,910,2.0,2.0,36,2,4,37,3,6
mitochondria,24,200.0,13,825.0,5100.0,3,1,2,37,16,12
mitochondria,24,200.0,529,137.0,384.0,10,5,10,26,11,14
mitochondria,24,200.0,697,61.0,120.0,22,6,1,30,11,4
mitochondria,24,200.0,825,24.0,84.0,34,4,9,37,11,13
mitochondria,25,194.0,118,1141.0,6435.0,4,1,1,37,16,14
mitochondria,25,194.0,401,2.0,2.0,6,15,3,7,16,5
mitochondria,26,143.0,14,823.0,4420.0,3,1,2,37,14,12
