organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,1,197.0,8,48.0,210.0,9,7,2,16,13,7
LD,1,197.0,9,28.0,175.0,9,7,5,14,14,10
LD,1,197.0,12,1.0,1.0,9,13,10,10,14,11
LD,1,197.0,386,20.0,48.0,9,9,8,13,12,12
LD,1,197.0,2124,24.0,60.0,12,7,7,16,12,10
LD,1,197.0,3093,1.0,1.0,16,2,7,17,3,8
LD,1,197.0,3094,9.0,18.0,15,7,8,18,9,11
LD,1,197.0,4051,7.0,18.0,17,5,8,20,8,10
LD,1,197.0,4460,4.0,8.0,18,11,4,20,13,6
LD,1,197.0,5256,10.0,18.0,20,6,8,23,9,10
LD,1,197.0,5634,9.0,24.0,20,5,8,24,8,10
LD,1,197.0,5959,1.0,1.0,23,5,7,24,6,8
LD,2,207.0,2,4.0,4.0,9,5,2,11,6,4
LD,2,207.0,3,1.0,1.0,9,8,2,10,9,3
LD,2,207.0,5,14.0,18.0,9,8,13,11,11,16
LD,2,207.0,814,6.0,12.0,10,9,5,12,11,8
LD,2,207.0,1221,7.0,18.0,11,6,2,14,9,4
LD,2,207.0,1222,4.0,6.0,11,6,6,14,8,7
LD,2,207.0,1224,1.0,1.0,12,11,9,13,12,10
LD,2,207.0,1227,2.0,2.0,12,14,6,14,15,7
LD,2,207.0,1673,4.0,8.0,13,8,1,15,10,3
LD,2,207.0,2121,53.0,135.0,10,2,10,19,5,15
LD,2,207.0,2128,5.0,12.0,14,11,3,16,13,6
LD,2,207.0,3587,2.0,2.0,17,6,9,19,7,10
LD,2,207.0,4461,3.0,4.0,19,12,7,21,14,8
LD,2,207.0,5257,14.0,24.0,20,7,9,24,10,11
LD,3,210.0,1,9.0,24.0,9,1,10,11,4,14
LD,3,210.0,6,5.0,6.0,9,8,1,10,11,3
LD,3,210.0,7,8.0,12.0,9,8,11,10,11,15
LD,3,210.0,383,8.0,12.0,10,1,12,12,4,14
LD,3,210.0,389,4.0,4.0,10,12,1,12,13,3
LD,3,210.0,391,32.0,72.0,9,12,2,13,15,8
LD,3,210.0,813,6.0,18.0,10,0,6,13,3,8
LD,3,210.0,1219,34.0,90.0,9,0,8,15,3,13
LD,3,210.0,1223,60.0,140.0,10,7,11,17,12,15
LD,3,210.0,1228,28.0,54.0,11,13,5,17,16,8
LD,3,210.0,1676,30.0,90.0,9,8,7,15,13,10
LD,3,210.0,2123,52.0,180.0,10,7,0,16,13,5
LD,3,210.0,2129,11.0,24.0,13,11,2,19,13,4
LD,3,210.0,2132,3.0,4.0,14,13,3,16,14,5
LD,3,210.0,2609,9.0,16.0,13,2,12,17,4,14
LD,3,210.0,2612,4.0,6.0,14,7,14,17,8,16
LD,3,210.0,3095,25.0,48.0,13,7,2,21,9,5
LD,3,210.0,3096,27.0,140.0,15,7,12,22,12,16
LD,3,210.0,3586,4.0,6.0,16,2,12,19,3,14
LD,3,210.0,3589,8.0,16.0,17,7,1,21,9,3
LD,3,210.0,3590,15.0,36.0,16,8,0,19,12,3
