organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
golgi,1,197.0,269,79.0,240.0,0,7,3,10,11,9
golgi,1,197.0,270,35.0,75.0,0,8,4,5,11,9
golgi,1,197.0,405,27.0,54.0,0,2,12,6,5,15
golgi,1,197.0,565,12.0,36.0,2,1,11,6,4,14
golgi,1,197.0,1646,38.0,96.0,6,2,13,12,6,17
golgi,1,197.0,2156,76.0,330.0,6,0,7,17,5,13
golgi,1,197.0,2159,26.0,63.0,9,9,6,16,12,9
golgi,1,197.0,2389,17.0,27.0,12,3,8,15,6,11
golgi,1,197.0,2863,28.0,60.0,14,3,8,18,8,11
golgi,1,197.0,2864,1.0,1.0,14,6,13,15,7,14
golgi,1,197.0,4136,86.0,200.0,17,3,7,27,8,11
golgi,2,207.0,1,7.0,12.0,0,1,5,2,3,8
golgi,2,207.0,167,22.0,36.0,0,9,5,3,12,9
golgi,2,207.0,267,15.0,36.0,1,1,4,4,4,8
golgi,2,207.0,272,15.0,24.0,2,8,5,4,12,8
golgi,2,207.0,567,13.0,36.0,2,2,3,5,5,7
golgi,2,207.0,569,9.0,18.0,3,7,5,6,9,8
golgi,2,207.0,747,4.0,4.0,4,0,7,6,1,9
golgi,2,207.0,950,50.0,132.0,0,6,3,11,9,7
golgi,2,207.0,952,80.0,280.0,4,8,4,12,13,11
golgi,2,207.0,1180,52.0,160.0,5,1,3,15,5,7
golgi,2,207.0,1412,3.0,4.0,8,4,3,10,5,5
golgi,2,207.0,1874,2.0,2.0,9,2,14,11,3,15
golgi,2,207.0,2160,24.0,72.0,8,11,6,14,14,10
golgi,2,207.0,2391,13.0,24.0,11,4,10,14,6,14
golgi,2,207.0,2862,5.0,12.0,13,1,5,16,3,7
golgi,2,207.0,2865,66.0,180.0,8,4,11,17,9,15
golgi,2,207.0,2867,21.0,54.0,13,10,7,19,13,10
golgi,2,207.0,3129,24.0,80.0,12,4,8,17,8,12
golgi,2,207.0,3132,11.0,12.0,15,10,7,19,11,10
golgi,2,207.0,3397,8.0,16.0,15,2,5,19,4,7
golgi,2,207.0,3401,19.0,54.0,13,3,7,19,6,10
golgi,2,207.0,3659,51.0,175.0,16,4,10,23,9,15
golgi,2,207.0,4363,16.0,27.0,18,3,8,21,6,11
golgi,2,207.0,4574,22.0,36.0,20,3,7,24,6,10
golgi,3,210.0,2,17.0,36.0,0,3,11,4,6,14
golgi,3,210.0,4,34.0,120.0,0,5,4,4,11,9
golgi,3,210.0,268,56.0,144.0,0,5,2,12,8,6
golgi,3,210.0,271,63.0,160.0,2,7,6,10,12,10
golgi,3,210.0,406,4.0,8.0,3,5,11,5,7,13
golgi,3,210.0,568,5.0,6.0,3,6,12,6,7,14
golgi,3,210.0,949,3.0,4.0,6,6,12,8,7,14
golgi,3,210.0,1410,10.0,18.0,6,0,8,12,1,11
golgi,3,210.0,2393,5.0,6.0,11,5,3,14,7,4
golgi,3,210.0,2632,36.0,81.0,8,0,4,17,3,7
golgi,3,210.0,3128,1.0,1.0,15,3,4,16,4,5
golgi,3,210.0,3130,3.0,4.0,15,9,1,17,10,3
golgi,3,210.0,3131,12.0,24.0,12,8,9,16,11,11
golgi,3,210.0,3400,8.0,18.0,15,3,2,18,5,5
golgi,3,210.0,3657,10.0,24.0,16,0,5,20,2,8
golgi,3,210.0,3658,1.0,1.0,17,4,4,18,5,5
golgi,3,210.0,3660,10.0,16.0,15,7,6,19,9,8
golgi,3,210.0,3663,64.0,260.0,11,7,6,24,11,11
golgi,3,210.0,3891,3.0,4.0,17,3,7,19,4,9
golgi,3,210.0,3892,7.0,16.0,16,8,1,20,10,3
golgi,3,210.0,4138,27.0,84.0,18,6,5,25,9,9
golgi,3,210.0,4365,8.0,12.0,20,7,1,23,9,3
golgi,3,210.0,4573,30.0,63.0,18,1,6,25,4,9
golgi,4,74.0,748,65.0,140.0,0,2,4,7,6,9
golgi,4,74.0,1181,22.0,36.0,3,1,1,12,3,3
golgi,4,74.0,1183,41.0,60.0,7,2,5,12,5,9
golgi,4,74.0,1184,18.0,36.0,4,4,1,8,7,4
golgi,4,74.0,1647,30.0,45.0,7,4,1,12,7,4
golgi,4,74.0,2158,27.0,63.0,11,5,1,18,8,4
golgi,4,74.0,2392,53.0,132.0,10,1,6,21,5,9
golgi,4,74.0,2633,25.0,60.0,10,2,0,15,6,3
golgi,4,74.0,3398,5.0,8.0,15,1,3,19,2,5
golgi,4,74.0,3399,9.0,24.0,16,0,5,20,3,7
golgi,4,74.0,3402,38.0,90.0,14,2,0,20,7,3
golgi,4,74.0,4137,5.0,12.0,19,2,1,22,4,3
golgi,4,74.0,4364,9.0,18.0,19,1,2,22,4,4
golgi,5,183.0,3,12.0,36.0,0,1,5,3,5,8
golgi,5,183.0,6,11.0,24.0,0,5,13,2,9,16
golgi,5,183.0,273,55.0,112.0,1,6,12,8,10,16
golgi,5,183.0,408,3.0,4.0,2,9,11,4,10,13
golgi,5,183.0,749,9.0,9.0,0,1,13,9,2,14
golgi,5,183.0,1413,194.0,630.0,0,1,5,21,6,11
golgi,5,183.0,1414,3.0,4.0,7,4,14,9,5,16
golgi,5,183.0,1415,43.0,108.0,8,5,13,17,9,16
golgi,5,183.0,1876,28.0,72.0,8,1,12,14,5,15
golgi,5,183.0,2395,3.0,4.0,12,4,13,14,5,15
golgi,5,183.0,2635,6.0,18.0,13,3,13,16,5,16
golgi,5,183.0,2866,7.0,18.0,14,4,13,17,6,16
golgi,5,183.0,3133,5.0,6.0,15,4,15,18,6,16
golgi,5,183.0,3662,5.0,6.0,17,3,10,20,4,12
golgi,6,140.0,5,37.0,60.0,0,3,9,4,8,12
golgi,6,140.0,166,21.0,36.0,0,1,5,4,4,8
golgi,6,140.0,277,3.0,4.0,2,9,8,4,10,10
golgi,6,140.0,571,28.0,48.0,3,4,10,7,7,14
golgi,6,140.0,573,3.0,4.0,3,9,8,5,10,10
golgi,6,140.0,751,5.0,6.0,4,10,7,7,11,9
golgi,6,140.0,951,2.0,2.0,5,0,11,7,1,12
golgi,6,140.0,1185,15.0,24.0,6,6,10,10,9,12
golgi,6,140.0,1648,75.0,280.0,3,0,5,17,4,10
golgi,6,140.0,1877,7.0,10.0,10,7,10,15,8,12
golgi,6,140.0,1878,14.0,27.0,8,8,6,11,11,9
golgi,6,140.0,2157,16.0,36.0,9,0,10,13,3,13
golgi,6,140.0,2161,14.0,36.0,9,7,6,12,10,10
golgi,6,140.0,2394,13.0,54.0,12,0,10,18,3,13
golgi,6,140.0,2634,20.0,54.0,13,0,9,19,3,12
golgi,6,140.0,2637,19.0,45.0,12,5,4,17,8,7
golgi,6,140.0,2871,1.0,1.0,14,9,5,15,10,6
golgi,6,140.0,3664,7.0,12.0,16,1,6,19,3,8
golgi,6,140.0,4139,11.0,18.0,18,6,6,21,9,8
golgi,7,252.0,8,2.0,2.0,0,7,4,1,9,5
golgi,7,252.0,10,3.0,4.0,0,11,8,1,13,10
golgi,7,252.0,168,1.0,1.0,1,7,4,2,8,5
golgi,7,252.0,276,4.0,6.0,1,7,3,4,8,5
golgi,7,252.0,279,14.0,48.0,1,9,11,4,13,15
golgi,7,252.0,411,12.0,36.0,2,9,11,5,12,15
golgi,7,252.0,412,40.0,120.0,0,10,4,10,13,8
golgi,7,252.0,750,8.0,18.0,4,1,12,7,4,14
golgi,7,252.0,954,2.0,2.0,5,6,1,7,7,2
golgi,7,252.0,1416,7.0,12.0,7,7,14,10,9,16
golgi,7,252.0,1650,11.0,30.0,6,2,13,11,5,15
golgi,7,252.0,1652,122.0,384.0,0,7,1,16,13,5
golgi,7,252.0,2163,13.0,30.0,8,11,10,13,13,13
golgi,7,252.0,2396,11.0,24.0,8,2,13,14,4,15
golgi,7,252.0,2398,2.0,2.0,11,7,14,13,8,15
golgi,7,252.0,2400,8.0,18.0,10,11,10,13,13,13
