organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,1,197.0,65535,74.0,1015.0,2,2,5,31,9,10
peroxisome,2,207.0,65535,71.0,456.0,13,9,1,32,13,7
peroxisome,3,210.0,65535,32.0,272.0,20,0,8,37,4,12
peroxisome,4,74.0,65535,18.0,60.0,19,2,1,29,5,3
peroxisome,5,183.0,65535,58.0,525.0,2,8,6,27,11,13
peroxisome,6,140.0,65535,60.0,1200.0,2,4,6,27,12,12
peroxisome,7,252.0,65535,72.0,1938.0,14,4,0,33,10,17
peroxisome,8,209.0,65535,56.0,1350.0,2,0,0,29,10,5
peroxisome,9,197.0,65535,16.0,54.0,22,5,7,31,8,9
peroxisome,10,92.0,65535,3.0,96.0,18,2,3,26,6,6
peroxisome,11,143.0,65535,29.0,390.0,20,3,5,33,8,11
peroxisome,12,122.0,65535,63.0,1008.0,12,0,3,33,6,11
peroxisome,13,188.0,65535,17.0,378.0,13,1,14,27,10,17
peroxisome,14,225.0,65535,69.0,2156.0,1,3,5,29,14,12
peroxisome,15,193.0,65535,75.0,2610.0,7,5,6,36,14,16
peroxisome,16,186.0,65535,25.0,90.0,17,0,10,32,2,13
peroxisome,17,195.0,65535,92.0,5070.0,2,0,2,32,13,15
peroxisome,18,90.0,65535,45.0,300.0,5,0,5,20,4,10
peroxisome,19,215.0,65535,71.0,2912.0,5,5,2,31,12,18
peroxisome,20,150.0,65535,34.0,520.0,13,4,4,26,12,9
peroxisome,21,147.0,65535,51.0,1596.0,5,1,0,24,7,14
peroxisome,22,106.0,65535,42.0,464.0,5,4,5,34,8,9
peroxisome,23,173.0,65535,59.0,2704.0,0,2,3,26,10,16
peroxisome,24,207.0,65535,123.0,5180.0,0,3,0,37,13,14
peroxisome,25,192.0,65535,44.0,2090.0,3,0,0,22,11,10
peroxisome,26,201.0,65535,48.0,4872.0,1,0,2,30,12,16
peroxisome,27,152.0,65535,52.0,1440.0,7,2,3,37,10,9
peroxisome,28,180.0,65535,22.0,102.0,11,5,0,28,8,2
peroxisome,29,197.0,65535,3.0,8.0,3,1,11,7,2,13
peroxisome,30,199.0,65535,39.0,132.0,9,1,12,31,3,15
peroxisome,31,257.0,65535,106.0,7293.0,4,2,0,37,15,17
peroxisome,33,202.0,65535,62.0,1771.0,14,1,5,37,12,12
peroxisome,34,133.0,65535,22.0,99.0,10,4,5,21,7,8
peroxisome,35,189.0,65535,63.0,900.0,8,5,7,33,9,16
peroxisome,36,148.0,65535,47.0,240.0,12,2,0,32,6,3
peroxisome,37,157.0,65535,52.0,2548.0,4,0,0,32,7,13
peroxisome,38,252.0,65535,59.0,2750.0,6,1,0,31,11,11
peroxisome,39,77.0,65535,8.0,16.0,8,2,4,12,4,6
peroxisome,41,116.0,65535,22.0,88.0,5,5,0,16,7,4
peroxisome,42,217.0,65535,100.0,3456.0,3,6,0,27,15,16
peroxisome,43,229.0,65535,39.0,264.0,2,11,9,24,14,13
peroxisome,44,192.0,65535,42.0,800.0,6,1,5,26,5,15
peroxisome,45,193.0,65535,39.0,1408.0,12,0,0,28,8,11
peroxisome,46,124.0,65535,12.0,32.0,14,6,1,22,8,3
peroxisome,47,178.0,65535,24.0,84.0,6,5,0,20,7,3
peroxisome,48,74.0,65535,32.0,408.0,3,0,0,20,4,6
peroxisome,49,124.0,65535,4.0,9.0,15,3,2,18,4,5
peroxisome,50,126.0,65535,20.0,132.0,13,5,3,24,8,7
peroxisome,52,186.0,65535,102.0,2772.0,4,3,3,37,10,15
peroxisome,53,131.0,65535,24.0,144.0,17,4,2,33,7,5
peroxisome,54,175.0,65535,29.0,1020.0,10,0,7,27,12,12
peroxisome,55,196.0,65535,34.0,1936.0,6,2,2,22,13,13
peroxisome,56,134.0,65535,42.0,325.0,6,3,2,19,8,7
peroxisome,57,180.0,65535,74.0,2548.0,8,1,2,34,8,16
peroxisome,58,217.0,65535,85.0,4608.0,5,3,1,37,12,17
peroxisome,59,213.0,65535,56.0,2288.0,12,6,1,34,14,14
peroxisome,60,204.0,65535,71.0,2184.0,5,3,3,29,16,10
peroxisome,61,166.0,65535,29.0,126.0,6,3,12,20,6,15
peroxisome,62,139.0,65535,23.0,117.0,18,6,4,31,9,7
peroxisome,63,132.0,65535,28.0,208.0,4,0,4,17,4,8
peroxisome,64,118.0,65535,44.0,432.0,13,1,4,31,7,8
peroxisome,65,144.0,65535,31.0,504.0,9,0,6,23,6,12
peroxisome,66,152.0,65535,28.0,168.0,5,0,7,19,3,11
peroxisome,67,151.0,65535,20.0,160.0,12,1,2,22,5,6
peroxisome,68,137.0,65535,31.0,616.0,4,2,2,15,9,10
peroxisome,69,183.0,65535,56.0,264.0,11,4,0,33,8,3
peroxisome,70,183.0,65535,52.0,936.0,11,4,4,37,13,8
peroxisome,71,149.0,65535,65.0,378.0,13,4,4,31,11,7
peroxisome,72,133.0,65535,56.0,2704.0,9,1,2,35,9,15
peroxisome,73,170.0,65535,24.0,1512.0,21,0,0,33,9,14
peroxisome,74,201.0,65535,102.0,4550.0,2,2,1,37,15,11
peroxisome,75,75.0,65535,34.0,216.0,13,2,3,22,6,9
peroxisome,76,166.0,65535,21.0,60.0,16,0,5,31,1,9
peroxisome,77,238.0,65535,33.0,228.0,4,7,0,23,11,3
peroxisome,78,88.0,65535,44.0,1078.0,9,2,1,31,9,8
peroxisome,79,89.0,65535,11.0,54.0,11,5,3,17,8,6
peroxisome,80,110.0,65535,31.0,126.0,13,0,5,27,3,8
peroxisome,82,174.0,65535,34.0,1650.0,5,0,4,20,11,14
peroxisome,83,124.0,65535,63.0,1092.0,10,4,4,36,10,11
peroxisome,85,177.0,65535,42.0,1392.0,8,5,3,37,11,11
peroxisome,86,187.0,65535,71.0,2496.0,2,2,3,28,10,15
peroxisome,88,200.0,65535,43.0,1408.0,4,0,7,26,8,15
peroxisome,89,167.0,65535,47.0,2508.0,13,2,1,32,14,12
peroxisome,90,218.0,65535,77.0,1344.0,12,7,1,36,14,9
peroxisome,91,224.0,65535,120.0,4760.0,2,3,0,37,11,17
peroxisome,93,127.0,65535,33.0,504.0,8,1,3,20,7,10
peroxisome,94,155.0,65535,8.0,14.0,27,7,8,34,8,10
peroxisome,95,126.0,65535,25.0,132.0,15,4,5,26,7,9
peroxisome,96,133.0,65535,63.0,1080.0,4,3,2,34,7,11
peroxisome,97,102.0,65535,41.0,252.0,14,6,5,35,9,9
peroxisome,98,182.0,65535,65.0,1176.0,16,1,0,37,8,8
peroxisome,99,131.0,65535,63.0,1520.0,7,1,1,26,9,11
peroxisome,100,165.0,65535,32.0,840.0,5,2,7,33,8,12
peroxisome,101,226.0,65535,107.0,1872.0,5,0,2,31,6,14
peroxisome,102,163.0,65535,54.0,1620.0,9,0,7,36,10,13
peroxisome,103,191.0,65535,92.0,910.0,11,7,0,37,12,7
peroxisome,104,89.0,65535,19.0,66.0,10,3,2,21,5,5
peroxisome,105,176.0,65535,53.0,1512.0,6,2,2,24,9,14
peroxisome,106,156.0,65535,52.0,2750.0,10,1,0,35,11,11
peroxisome,107,175.0,65535,79.0,1008.0,10,9,6,34,15,13
peroxisome,108,210.0,65535,47.0,3000.0,7,3,1,37,13,11
peroxisome,109,243.0,65535,76.0,3600.0,5,7,0,35,15,15
peroxisome,110,182.0,65535,42.0,4004.0,11,0,2,37,11,16
peroxisome,111,190.0,65535,90.0,3600.0,7,3,2,37,13,14
peroxisome,112,166.0,65535,51.0,1764.0,11,0,5,29,14,12
peroxisome,113,205.0,65535,86.0,3900.0,12,1,1,37,14,13
peroxisome,114,133.0,65535,32.0,816.0,9,2,5,26,8,13
peroxisome,115,220.0,65535,43.0,304.0,4,11,6,23,15,10
peroxisome,116,196.0,65535,122.0,2232.0,6,5,0,37,13,9
peroxisome,117,198.0,65535,46.0,560.0,7,1,7,35,5,12
peroxisome,118,151.0,65535,46.0,3132.0,6,2,1,35,11,13
peroxisome,119,119.0,65535,28.0,224.0,15,1,2,29,5,6
peroxisome,120,150.0,65535,63.0,3120.0,3,1,0,33,9,13
peroxisome,122,132.0,65535,26.0,1008.0,23,1,3,37,10,11
peroxisome,123,255.0,65535,71.0,5460.0,7,2,4,37,15,18
peroxisome,124,125.0,65535,71.0,3000.0,8,0,0,33,12,10
peroxisome,125,101.0,65535,44.0,1050.0,7,1,1,32,7,8
peroxisome,126,167.0,65535,64.0,748.0,18,0,9,35,11,13
peroxisome,128,66.0,65535,4.0,6.0,25,0,5,28,2,6
peroxisome,129,141.0,65535,30.0,525.0,1,4,4,16,9,11
peroxisome,130,201.0,65535,95.0,2808.0,5,2,1,32,10,14
peroxisome,131,99.0,65535,27.0,280.0,15,1,0,29,5,5
peroxisome,132,116.0,65535,69.0,540.0,19,1,3,34,7,9
peroxisome,133,171.0,65535,53.0,2871.0,8,0,8,37,11,17
peroxisome,134,156.0,65535,41.0,153.0,20,0,4,37,3,7
peroxisome,135,135.0,65535,23.0,168.0,3,5,3,17,9,6
peroxisome,137,162.0,65535,43.0,1400.0,8,6,3,36,11,13
peroxisome,138,143.0,65535,44.0,672.0,4,4,0,20,11,6
peroxisome,139,221.0,65535,115.0,3850.0,2,1,3,37,11,14
peroxisome,140,116.0,65535,57.0,1160.0,8,5,3,37,9,13
peroxisome,142,192.0,65535,51.0,1512.0,10,3,0,37,10,8
peroxisome,143,105.0,65535,28.0,153.0,20,2,2,37,5,5
peroxisome,144,188.0,65535,47.0,260.0,10,1,0,23,6,4
peroxisome,145,186.0,65535,36.0,1240.0,6,6,3,37,10,13
peroxisome,146,105.0,65535,10.0,700.0,17,5,4,37,10,11
peroxisome,147,207.0,65535,64.0,3276.0,9,1,1,37,14,10
peroxisome,148,185.0,65535,76.0,805.0,9,1,12,32,8,17
peroxisome,149,169.0,65535,54.0,1104.0,6,3,8,29,11,14
peroxisome,150,142.0,65535,56.0,2380.0,3,0,5,37,10,12
peroxisome,152,191.0,65535,51.0,1800.0,17,4,5,35,14,15
