x,y,c,t,z,folder,file
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-1
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-2
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-3
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-4
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-5
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-5_field-0
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-5_field-1
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-5_field-2
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-5_field-3
512,512,5,1,31,EYrainbow_glucose,spectral-blue_EYrainbow_glu-5_field-4
