YFP Volume Fraction,YFP Total Volume,Organelle Total Volume,Organelle Volume Fraction,Cell Volume
0.008639619,0.502274645,16.22642939,0.279110595,58.13619997
0,0,4.128733302,0.071657777,57.61737877
0,0,5.461870813,0.078254874,69.79591851
0,0,2.154519617,0.042305968,50.92708438
0.001745684,0.1056185,2.61743934,0.043261566,60.50264897
0.001621891,0.112659733,5.221980532,0.07517755,69.461967
0,0,10.9940591,0.218699036,50.27026774
0,0,5.510116227,0.079741015,69.10015149
0,0,7.214281669,0.087094012,82.8332679
0,0,14.56010354,0.201816779,72.1451585
0,0,7.345144897,0.116293615,63.16034563
0.00119344,0.093883111,6.89251548,0.08761747,78.6659949
0,0,4.095089705,0.080539807,50.84553648
0.002776107,0.255831478,33.19468223,0.360205777,92.15477464
0.006916602,0.537480812,12.19216558,0.156895556,77.7088012
0,0,9.013528584,0.156535852,57.58124075
0.001074187,0.0633711,4.456895951,0.075547688,58.99447173
0,0,5.050604904,0.073533725,68.68419785
0.009554666,0.455333089,3.526551072,0.074000809,47.65557466
0,0,4.120523897,0.098071969,42.01530694
0.002540935,0.140824667,8.371691615,0.151052558,55.42237567
0.000695183,0.061024022,11.45422256,0.13048606,87.78119713
0,0,8.624272582,0.206960338,41.67113692
0,0,3.318991167,0.092746669,35.7855564
0,0,3.095701328,0.059933784,51.65202555
0.001164537,0.070412333,14.63201967,0.241996311,60.46381299
0.006119518,0.309814267,9.560485726,0.188840768,50.62723394
0,0,3.783066668,0.062247229,60.77486072
0,0,12.00334442,0.204182298,58.7873903
0,0,9.66716413,0.174261434,55.47506352
0,0,13.63818506,0.317541698,42.94927298
0,0,7.447842623,0.133320576,55.8641646
0.002808312,0.152560056,7.447223335,0.13708785,54.32445937
0,0,3.571150417,0.107181651,33.31867344
0,0,19.17778188,0.327653872,58.53061263
0.006051755,0.617281456,32.06029143,0.314315349,102.0004002
0,0,4.608966162,0.063938966,72.08383942
0,0,3.749057655,0.066270439,56.57209601
0.004067249,0.3168555,14.78316682,0.189761023,77.90412698
0,0,22.67632351,0.229575583,98.77497934
0,0,3.532984164,0.066553031,53.08524795
0,0,21.57534815,0.644359684,33.4833924
0.003979937,0.164295445,5.470741509,0.132524725,41.28091203
0.006639743,0.514010034,8.259369973,0.106690706,77.41414693
0,0,13.01049141,0.240262178,54.15122558
0,0,12.15366492,0.192758678,63.05119465
0,0,29.66133704,0.751045949,39.49337197
0,0,4.288408366,0.071393113,60.06753544
0.008291514,0.685346712,15.72197234,0.190208777,82.65639793
0,0,5.109787874,0.087210307,58.59155959
0.002781843,0.173683756,11.99145373,0.192063696,62.43477551
0,0,3.400200423,0.086507594,39.30522476
0,0,5.570970024,0.11444036,48.68011631
0,0,6.242599564,0.171485598,36.4030545
0.004126452,0.640752234,12.95332838,0.083419591,155.2792131
0,0,5.111358648,0.045843028,111.4969696
0,0,11.50419748,0.099996731,115.0457362
0.001833726,0.122048045,13.10577548,0.196909331,66.55741203
0,0,6.785718802,0.166303326,40.80326565
0,0,6.764873913,0.222179553,30.4477789
0,0,1.952160939,0.05587283,34.93936017
0.009070732,1.08904409,25.9522627,0.21615839,120.0613251
0,0,27.86363314,0.27245577,102.2684641
0.003441959,0.314508423,8.815141357,0.096472317,91.37482766
0,0,6.124481814,0.199119278,30.75785464
0,0,3.783185013,0.070120951,53.95227738
0,0,4.466125942,0.104155962,42.87921534
0.002656113,0.192460378,16.03621303,0.221313019,72.45942019
0,0,5.674883263,0.144419205,39.29451954
0.000868828,0.058676944,2.248664094,0.033295907,67.53575149
0.007445354,0.3802266,2.1234194,0.041579441,51.06897429
0.00282747,0.194807456,11.46959276,0.166471725,68.89814308
0,0,3.204065303,0.075924655,42.20059106
0,0,2.796565404,0.079188828,35.31515097
0,0,2.401620659,0.059566184,40.31852479
0.007638239,0.474109712,8.552276683,0.137783161,62.07055064
0,0,16.23540405,0.147117988,110.3563493
0,0,4.485152978,0.141528924,31.69071633
0,0,8.181965517,0.208602264,39.222803
0.006028438,0.258178556,13.77955617,0.321750992,42.82677135
0,0,7.960787458,0.168694616,47.19052491
0,0,12.54471447,0.225983437,55.51165435
0.005790292,0.244096089,4.166546861,0.098836176,42.15609123
0,0,11.79624785,0.243272,48.48995292
0,0,8.402686975,0.194503295,43.20074365
0.003122833,0.161948367,8.359716169,0.161199513,51.85943813
0.007233711,1.417634979,21.95766105,0.112042509,195.9761638
0.004400166,0.206542845,13.48721998,0.287330263,46.93978228
0.0031361,0.213584078,8.034049065,0.117965643,68.10499101
0.006131592,0.349714589,9.203624498,0.161368367,57.03487397
0.002079295,0.086841878,11.55285426,0.276615306,41.76505788
