folder,condition,peroxisome,vacuole,ER,golgi,mitochondria,LD,non-organelle,growth-rate
EYrainbowWhi5Up_betaEstrodiol,0.0,0.053037540297524916,0.10076491484147554,0.1502050372107406,0.02568481501783016,0.17550801547070213,0.040394423176108404,0.45440525398561793,
EYrainbowWhi5Up_betaEstrodiol,10.0,0.034539447366194256,0.09196958051829424,0.08975005093191983,0.017148634279474773,0.1323307730035324,0.016192065873350786,0.6180694480272345,
EYrainbow_1nmpp1_1st,0.0,0.022804869439671752,0.05304303959677377,0.177349823453654,0.010899187851432566,0.22777015922700045,0.025834671822689052,0.48229824860877835,0.5150559209301068
EYrainbow_1nmpp1_1st,500.0,0.022549696906168436,0.01977443387310403,0.20448506345180503,0.027412563414725564,0.2963928854342524,0.07153957090403341,0.35784578601590933,0.4362196053209865
EYrainbow_1nmpp1_1st,1500.0,0.024886947739264174,0.028898554803955222,0.19250588799045842,0.026055774191566666,0.3537129195655987,0.06039817349422884,0.3135417422149275,0.3964493308823365
EYrainbow_1nmpp1_1st,3000.0,0.02492461203573943,0.02575685378205477,0.1962384022383905,0.021098557411263326,0.32650393748181394,0.05426194889373502,0.3512156881570033,0.3983689927179949
EYrainbow_glucose,0.0,0.046386491095208614,0.1478909635060993,0.18664899430687437,0.026280042633279866,0.3758236984919304,0.019321567105167733,0.19764824286143928,0.0099044811067697
EYrainbow_glucose,0.5,0.03504540338180222,0.10395346721376256,0.15766045011519414,0.029128556739266155,0.35592793000460515,0.022568957663832604,0.29571523488153745,0.0793980362262528
EYrainbow_glucose,5.0,0.042667899638324694,0.07378123263614796,0.19707821898655337,0.02256877002952902,0.4879780464273684,0.017106731675541716,0.15881910060653537,0.2191312144555496
EYrainbow_glucose,50.0,0.02671470461626215,0.04756672050411893,0.15159599654197745,0.018265106934729325,0.3183157092878251,0.009354125330368453,0.42818763678471783,0.4416322220898699
EYrainbow_glucose,100.0,0.027987486901226093,0.06087499438730697,0.1624363218752324,0.036822458522473775,0.339014689868004,0.009775551232670482,0.3630884972130865,0.476064418726077
EYrainbow_glucose,200.0,0.024567899484019176,0.02550421286904693,0.13887654052564471,0.0390764360755808,0.28684040729749777,0.017184377954276395,0.467950125793935,0.4613008609011259
EYrainbow_glucose_largerBF,0.0,0.018215525552717986,0.14078185874978422,0.1439433103903016,0.03588137607740075,0.3313474878885364,0.05318661643295717,0.2766438249083013,0.0097393596422139
EYrainbow_glucose_largerBF,0.5,0.015709258570280753,0.056220453382453496,0.12424328994176602,0.025952310591810315,0.32244591875716194,0.04382230414606092,0.41160646461046707,0.1473601002596206
EYrainbow_glucose_largerBF,5.0,0.01927001099223018,0.06401185045793854,0.1421028674749774,0.03585401992085982,0.3687814308329872,0.07795418342490028,0.2920256368961073,0.3104315476970304
EYrainbow_glucose_largerBF,50.0,0.007939144539577218,0.030573566501489968,0.08337989309645297,0.030128436589125784,0.1643650932031304,0.02269014019732524,0.6609237258728979,0.4605144481457689
EYrainbow_glucose_largerBF,100.0,0.012848679093748445,0.04815660309974186,0.11580922839167282,0.038660070331210133,0.22353855173064122,0.02905628363337815,0.5319305837196073,0.4271322136084929
EYrainbow_glucose_largerBF,200.0,0.013735310560585868,0.04943797057922774,0.11676432311495524,0.04418449142796771,0.2316162550163086,0.03315470116437189,0.511106948136583,0.4804778712852844
