filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-0,ER,17132,16860,0.05648458312452193,0.05558779310526732
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-1,ER,16617,16706,0.058485233508022934,0.058798478123911126
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-2,ER,17399,17240,0.05849504444534097,0.057960490041823
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-3,ER,15435,15128,0.05914200979377888,0.057965683457096656
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-4,ER,9315,9162,0.06059758390309591,0.05960226126893878
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-5,ER,10326,10186,0.05895888408635427,0.058159519010614426
EYrainbow_glucose/ER_EYrainbow_glu-0_field-0,ER,15511,15120,0.0556638136764099,0.05426064488345804
EYrainbow_glucose/ER_EYrainbow_glu-0_field-1,ER,27537,27285,0.05877506589970438,0.05823719624771886
EYrainbow_glucose/ER_EYrainbow_glu-0_field-2,ER,16629,16630,0.05735265207299366,0.057356101026753536
EYrainbow_glucose/ER_EYrainbow_glu-0_field-3,ER,20239,19994,0.05859260781833078,0.057883324310475104
EYrainbow_glucose/ER_EYrainbow_glu-0_field-4,ER,10887,10744,0.060427941054033804,0.05963422418338745
EYrainbow_glucose/ER_EYrainbow_glu-0_field-5,ER,12025,11771,0.06003195047676102,0.058763915930308025
EYrainbow_glucose/ER_EYrainbow_glu-100_field-0,ER,22185,22042,0.05958632025934889,0.05920223895229065
EYrainbow_glucose/ER_EYrainbow_glu-100_field-1,ER,20909,21092,0.05763897694881987,0.05814344549258735
EYrainbow_glucose/ER_EYrainbow_glu-100_field-2,ER,27456,27008,0.060663105007092384,0.05967326413285078
EYrainbow_glucose/ER_EYrainbow_glu-100_field-3,ER,20514,20406,0.06202661393467159,0.06170006258900792
EYrainbow_glucose/ER_EYrainbow_glu-200_field-0,ER,22989,22178,0.061917061464581306,0.059732767374026025
EYrainbow_glucose/ER_EYrainbow_glu-200_field-1,ER,12506,12591,0.05953168660418045,0.059936307854888536
EYrainbow_glucose/ER_EYrainbow_glu-200_field-2,ER,11414,11444,0.06097450225168676,0.06113476465466123
EYrainbow_glucose/ER_EYrainbow_glu-200_field-3,ER,8890,8906,0.06269260876004033,0.06280544135173445
