filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-0,ER,138919,7823160,0.45801901722364363,25.793131643499592
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-1,ER,136262,7842341,0.4795880657320949,27.601922406844924
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-2,ER,142933,7829020,0.4805375129436129,26.32098815239171
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-3,ER,111299,7865482,0.42646236138890803,30.1380248446253
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-4,ER,74622,7972745,0.4854442196475387,51.86570950890911
EYrainbow_glucose/ER_EYrainbow_glu-0-5_field-5,ER,75909,7951325,0.43342145381668273,45.40008222040779
EYrainbow_glucose/ER_EYrainbow_glu-0_field-0,ER,117855,7847809,0.42294234806481135,28.163173099352246
EYrainbow_glucose/ER_EYrainbow_glu-0_field-1,ER,200987,7657949,0.4289873323159344,16.34515223632114
EYrainbow_glucose/ER_EYrainbow_glu-0_field-2,ER,121426,7836521,0.41879265924681747,27.027798567304608
EYrainbow_glucose/ER_EYrainbow_glu-0_field-3,ER,141228,7781045,0.4088599642752715,22.526395479113773
EYrainbow_glucose/ER_EYrainbow_glu-0_field-4,ER,80752,7946299,0.44821136180723226,44.105675353148506
EYrainbow_glucose/ER_EYrainbow_glu-0_field-5,ER,89071,7926154,0.44466576805950775,39.56943737207329
EYrainbow_glucose/ER_EYrainbow_glu-100_field-0,ER,189775,7754147,0.5097134968320007,20.826733670501213
EYrainbow_glucose/ER_EYrainbow_glu-100_field-1,ER,172909,7763706,0.47665110073382255,21.401887759884
EYrainbow_glucose/ER_EYrainbow_glu-100_field-2,ER,223984,7673866,0.49488508566100603,16.955147835385926
EYrainbow_glucose/ER_EYrainbow_glu-100_field-3,ER,179818,7795735,0.543701943282869,23.57136809895715
EYrainbow_glucose/ER_EYrainbow_glu-200_field-0,ER,189482,7755177,0.510338363583966,20.887283960925107
