experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,100,3,4,mitochondria-skeleton2d,1,10,1,1,2,9,10,3,10,11
glu,100,3,4,mitochondria-skeleton2d,1,30,1,1,3,5,8,4,6,9
glu,100,3,4,mitochondria-skeleton2d,1,106,203,6750,5,2,0,35,17,15
glu,100,3,4,mitochondria-skeleton2d,1,292,5,30,15,8,8,20,11,10
glu,100,3,4,mitochondria-skeleton2d,1,335,4,4,17,3,4,21,4,5
glu,100,3,4,mitochondria-skeleton2d,1,622,1,1,34,2,10,35,3,11
glu,100,3,4,mitochondria-skeleton2d,1,653,1,1,36,13,9,37,14,10
glu,100,3,4,mitochondria-skeleton2d,2,105,184,5824,5,1,0,31,17,14
glu,100,3,4,mitochondria-skeleton2d,2,147,1,1,6,6,13,7,7,14
glu,100,3,4,mitochondria-skeleton2d,2,443,1,1,23,2,9,24,3,10
glu,100,3,4,mitochondria-skeleton2d,2,534,1,1,29,7,12,30,8,13
glu,100,3,4,mitochondria-skeleton2d,2,535,3,12,29,14,11,31,16,14
glu,100,3,4,mitochondria-skeleton2d,3,31,1,1,3,1,2,4,2,3
glu,100,3,4,mitochondria-skeleton2d,3,68,1,1,4,10,11,5,11,12
glu,100,3,4,mitochondria-skeleton2d,3,70,1,1,4,12,11,5,13,12
glu,100,3,4,mitochondria-skeleton2d,3,107,2,2,5,6,6,6,8,7
glu,100,3,4,mitochondria-skeleton2d,3,108,156,5096,5,2,0,31,16,14
glu,100,3,4,mitochondria-skeleton2d,3,312,1,1,16,9,9,17,10,10
glu,100,3,4,mitochondria-skeleton2d,3,372,1,1,19,1,5,20,2,6
glu,100,3,4,mitochondria-skeleton2d,3,492,1,1,26,7,8,27,8,9
glu,100,3,4,mitochondria-skeleton2d,3,493,1,1,26,11,11,27,12,12
glu,100,3,4,mitochondria-skeleton2d,3,533,1,1,29,1,9,30,2,10
glu,100,3,4,mitochondria-skeleton2d,3,548,1,1,31,12,2,32,13,3
glu,100,3,4,mitochondria-skeleton2d,4,11,1,1,2,18,8,3,19,9
glu,100,3,4,mitochondria-skeleton2d,4,32,243,7308,3,4,1,32,22,15
glu,100,3,4,mitochondria-skeleton2d,4,69,1,1,4,6,5,5,7,6
glu,100,3,4,mitochondria-skeleton2d,4,148,3,10,8,1,12,13,3,13
glu,100,3,4,mitochondria-skeleton2d,4,354,2,2,18,9,14,20,10,15
