experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
betaEstrodiol,0,3,5,LD,1,155306,113285,104647,84414,76200,73357,71763,69461,67563,64852,62803,61802,60988,60405,59943,59528,58717,58310,57931,56378,55230,53913,52512,51098,49346,48338,47641,46944,46051,44589,43099,42021,41241,40587,40029,39554,39170,38884,38651,38416,38158,37859,37546,37279,36968,36631,36386,36152,35922,35728,35517,35330,35150,34931,34744,34537,34245,33969,33680,33475,33113,32600,32201,31776,31164,30480,29793,29071,28127,27289,26661,26035,25390,24790,24255,23714,23044,22351,21797,21333,20793,20288,19635,19040,18412,17537,16700,15961,15272,14447,13536,12589,11283,10253,8477,7471,5535,4328,3102,1377
betaEstrodiol,0,3,5,LD,2,155278,113263,104627,84404,76192,73349,71755,69453,67555,64844,62795,61796,60982,60399,59937,59522,58711,58304,57925,56373,55226,53909,52509,51095,49343,48335,47638,46941,46048,44586,43097,42019,41239,40585,40027,39552,39168,38882,38649,38414,38156,37857,37544,37277,36966,36629,36384,36150,35920,35726,35515,35328,35148,34929,34742,34535,34243,33967,33678,33474,33112,32600,32201,31776,31164,30480,29793,29071,28127,27289,26661,26035,25390,24790,24255,23714,23044,22351,21797,21333,20793,20288,19635,19040,18412,17537,16700,15961,15272,14447,13536,12589,11283,10253,8477,7471,5535,4328,3102,1377
betaEstrodiol,0,3,5,LD,3,155260,113249,104613,84394,76182,73339,71746,69444,67546,64835,62786,61787,60973,60390,59928,59513,58703,58296,57917,56365,55218,53901,52501,51087,49335,48327,47630,46933,46040,44578,43090,42012,41232,40578,40020,39545,39161,38875,38642,38407,38149,37850,37537,37270,36959,36622,36377,36144,35914,35720,35509,35322,35142,34923,34736,34529,34237,33961,33672,33468,33106,32594,32196,31772,31160,30476,29789,29069,28126,27288,26661,26035,25390,24790,24255,23714,23044,22351,21797,21333,20793,20288,19635,19040,18412,17537,16700,15961,15272,14447,13536,12589,11283,10253,8477,7471,5535,4328,3102,1377
betaEstrodiol,0,3,5,LD,4,155189,113200,104577,84369,76159,73316,71723,69421,67525,64814,62766,61767,60953,60370,59908,59493,58683,58277,57898,56347,55200,53884,52485,51071,49319,48314,47618,46922,46029,44567,43079,42003,41223,40569,40011,39536,39152,38866,38634,38399,38141,37842,37530,37263,36952,36615,36370,36137,35907,35714,35503,35316,35136,34917,34730,34523,34231,33955,33666,33462,33100,32588,32190,31766,31154,30470,29783,29063,28120,27282,26655,26029,25384,24784,24250,23710,23040,22348,21794,21330,20790,20285,19633,19038,18410,17535,16699,15961,15272,14447,13536,12589,11283,10253,8477,7471,5535,4328,3102,1377
betaEstrodiol,0,3,5,LD,5,155183,113194,104571,84364,76155,73312,71719,69417,67521,64810,62763,61764,60950,60367,59905,59490,58680,58274,57895,56345,55198,53882,52483,51069,49317,48312,47616,46920,46027,44565,43079,42003,41223,40569,40011,39536,39152,38866,38634,38399,38141,37842,37530,37263,36952,36615,36370,36137,35907,35714,35503,35316,35136,34917,34730,34523,34231,33955,33666,33462,33100,32588,32190,31766,31154,30470,29783,29063,28120,27282,26655,26029,25384,24784,24250,23710,23040,22348,21794,21330,20790,20285,19633,19038,18410,17535,16699,15961,15272,14447,13536,12589,11283,10253,8477,7471,5535,4328,3102,1377
betaEstrodiol,0,3,5,LD,6,155183,113194,104571,84364,76155,73312,71719,69417,67521,64810,62763,61764,60950,60367,59905,59490,58680,58274,57895,56345,55198,53882,52483,51069,49317,48312,47616,46920,46027,44565,43079,42003,41223,40569,40011,39536,39152,38866,38634,38399,38141,37842,37530,37263,36952,36615,36370,36137,35907,35714,35503,35316,35136,34917,34730,34523,34231,33955,33666,33462,33100,32588,32190,31766,31154,30470,29783,29063,28120,27282,26655,26029,25384,24784,24250,23710,23040,22348,21794,21330,20790,20285,19633,19038,18410,17535,16699,15961,15272,14447,13536,12589,11283,10253,8477,7471,5535,4328,3102,1377
betaEstrodiol,0,3,5,LD,7,155181,113192,104569,84362,76153,73310,71717,69415,67519,64809,62762,61763,60949,60366,59904,59489,58679,58273,57894,56344,55197,53881,52482,51068,49317,48312,47616,46920,46027,44565,43079,42003,41223,40569,40011,39536,39152,38866,38634,38399,38141,37842,37530,37263,36952,36615,36370,36137,35907,35714,35503,35316,35136,34917,34730,34523,34231,33955,33666,33462,33100,32588,32190,31766,31154,30470,29783,29063,28120,27282,26655,26029,25384,24784,24250,23710,23040,22348,21794,21330,20790,20285,19633,19038,18410,17535,16699,15961,15272,14447,13536,12589,11283,10253,8477,7471,5535,4328,3102,1377
betaEstrodiol,0,3,5,LD,8,155134,113145,104523,84329,76120,73277,71684,69382,67487,64777,62730,61731,60917,60334,59872,59457,58647,58241,57862,56314,55167,53852,52453,51039,49289,48284,47588,46894,46002,44542,43059,41984,41204,40551,39993,39518,39134,38848,38616,38382,38124,37825,37513,37246,36935,36598,36353,36120,35890,35697,35486,35300,35120,34901,34714,34507,34215,33939,33650,33446,33084,32572,32174,31750,31138,30454,29767,29047,28105,27269,26642,26017,25372,24773,24239,23699,23029,22339,21785,21321,20781,20277,19625,19030,18402,17527,16691,15953,15264,14440,13529,12582,11276,10246,8472,7466,5532,4327,3102,1377
betaEstrodiol,0,3,5,LD,9,155120,113140,104518,84326,76118,73275,71682,69380,67486,64777,62730,61731,60917,60334,59872,59457,58647,58241,57862,56314,55167,53852,52453,51039,49289,48284,47588,46894,46002,44542,43059,41984,41204,40551,39993,39518,39134,38848,38616,38382,38124,37825,37513,37246,36935,36598,36353,36120,35890,35697,35486,35300,35120,34901,34714,34507,34215,33939,33650,33446,33084,32572,32174,31750,31138,30454,29767,29047,28105,27269,26642,26017,25372,24773,24239,23699,23029,22339,21785,21321,20781,20277,19625,19030,18402,17527,16691,15953,15264,14440,13529,12582,11276,10246,8472,7466,5532,4327,3102,1377
betaEstrodiol,0,3,5,LD,10,155120,113140,104518,84326,76118,73275,71682,69380,67486,64777,62730,61731,60917,60334,59872,59457,58647,58241,57862,56314,55167,53852,52453,51039,49289,48284,47588,46894,46002,44542,43059,41984,41204,40551,39993,39518,39134,38848,38616,38382,38124,37825,37513,37246,36935,36598,36353,36120,35890,35697,35486,35300,35120,34901,34714,34507,34215,33939,33650,33446,33084,32572,32174,31750,31138,30454,29767,29047,28105,27269,26642,26017,25372,24773,24239,23699,23029,22339,21785,21321,20781,20277,19625,19030,18402,17527,16691,15953,15264,14440,13529,12582,11276,10246,8472,7466,5532,4327,3102,1377
