loc,scale,statistic,p_value,segment,z_score
988.7895,19.62362602629397,1.4894111932499072,0.0008,810,-9.110930862646763
1202.5261,20.945982722451124,1.3330995705819078,0.0028,949,-12.103805458039265
1233.7473,20.855563722033896,1.370626275178438,0.0015,996,-11.399706244757127
1557.4517,23.23005446943819,1.5908453024021583,0.0005,1273,-12.244986354820176
1164.3048,20.63610142028244,1.4312817738918966,0.0013,946,-10.578781115382403
1112.7504,19.537877896723348,1.439609955636115,0.0007,925,-9.609559492204989
1043.3769,19.05681932081696,1.3860394251605612,0.0014,806,-12.456270692596549
1522.6262,22.918010321136258,1.741749982431429,0.0002,1248,-11.982986138492329
1706.2779,24.302072559003406,1.2557538013370504,0.0033,1388,-13.09673893974466
983.0341,18.495965702409983,1.4670895333565568,0.0008,778,-11.085341706342183
1723.5982,24.37238515360792,0.8698609935290733,0.0251,1424,-12.29252689516313
1015.4011,18.07594237541368,1.5425022865165374,0.0011,807,-11.52919696643095
1230.3604,19.89727373260465,1.713911137330797,0.0003,1007,-11.225678603093785
2092.2742,26.448333894530666,0.9503452561511949,0.0159,1714,-14.302382959488588
1216.1339,20.436044969205717,1.5074783027957892,0.0007,1004,-10.380379389439414
1308.5414,22.110851974030805,1.124588971164485,0.0064,1031,-12.552270727784368
931.9317,17.59821027293631,2.121642808773686,0.0001,741,-10.84949532019329
468.8954,13.49537963034522,2.788998483069008,0.0001,373,-7.1057949184603215
870.8667,16.77296230057272,1.72234636230678,0.0004,706,-9.8293132152554
1597.9087,22.257787518541058,1.3986242082501121,0.0017,1310,-12.935189526819224
1008.5668,18.329646351022035,1.7409106052018615,0.0003,809,-10.887651413354867
1492.2309,23.598493046747873,0.9508617824139947,0.014,1203,-12.256329225219709
1011.3209,19.503183345445446,2.0408558032959263,0.0002,782,-11.758126657490152
1628.7478,22.872418103711535,1.020257688298443,0.0137,1366,-11.487539219010852
386.3839,12.472757423993132,2.797113835498749,0.0001,302,-6.765456677420462
1573.8057,23.68004269320888,1.5577833016632212,0.0007,1296,-11.73163847714138
1355.5622,20.56180950113574,1.3420229725652462,0.002,1107,-12.088537246017703
1727.7548,22.691671779681986,0.9260507200051507,0.0195,1422,-13.474317933409
1254.6121,20.050327557262385,1.7852502600726439,0.0003,1031,-11.15254099272837
1407.044,21.197792305800714,1.169660065574135,0.0047,1142,-12.503377529907752
1229.52,20.51548899073217,1.2375788159806689,0.0039,1009,-10.748951687167654
1109.3443,18.850434780108916,1.3924983625493041,0.0015,919,-10.097607944876282
1930.3067,24.75957872791616,1.6088407308361639,0.0005,1635,-11.926967871510874
1592.1979,22.069051631050876,1.657392132205132,0.0006,1307,-12.922979417870865
1979.9424,25.793611869634077,1.0343207886817254,0.009,1598,-14.807635391678023
853.6191,18.43345855854085,1.7395592432931153,0.0005,677,-9.581441238446615
1622.0917,22.384865407903018,1.2234818906454166,0.0033,1341,-12.557220911444928
635.5909,14.754372448214598,2.5901791686592333,0.0001,516,-8.105454869039281
799.7424,15.485826530164033,2.1133417457476753,0.0001,700,-6.440883204116807
506.6632,13.165640856787679,2.591321870113461,0.0001,420,-6.582528032072205
1437.7839,20.77955677554213,2.2077687980545306,0.0001,1169,-12.935016030580732
1908.489,24.500891991330377,0.823710236019906,0.0333,1581,-13.366411317428026
2152.5837,24.06032593790915,0.9670068270370393,0.0155,1796,-14.820401889825247
