loc,scale,statistic,p_value,segment,z_score
299.051,13.02506676514265,2.559438763775688,0.0001,191,-8.295619665394984
322.6621,12.314352923267704,3.1483581068787316,0.0001,220,-8.336783965808078
254.3558,11.92156947477446,3.5158225868035515,0.0001,175,-6.656489329522722
370.7548,14.255293693917006,2.1680757898029697,0.0002,250,-8.470874230499247
224.3556,11.295065581511649,3.3690135579126945,0.0001,140,-7.468358584661752
201.2121,10.703605481660407,4.054149719868292,0.0001,120,-7.587359244429279
198.1898,10.550673325942903,3.8930656443008047,0.0001,125,-6.936979066543044
339.5032,13.042553453218355,2.9146919944723777,0.0001,232,-8.242496408820369
276.5876,12.54599802513314,3.1890353107064584,0.0001,148,-10.24929222389507
193.312,10.324103579075093,4.093711321595038,0.0001,122,-6.907330932298594
411.9794,14.716678759263937,2.428053858664498,0.0001,283,-8.764164938968266
187.7014,10.087646608669939,4.4559709737150115,0.0001,125,-6.215661831978789
266.74,11.760043786610078,4.237504990176603,0.0001,194,-6.18535111942537
373.9448,14.150271233357959,2.4354801316785597,0.0001,251,-8.688511900052415
179.1628,10.372061228387176,3.997932858273998,0.0001,93,-8.307201249852056
272.8004,12.409615614352026,3.039635036400796,0.0001,167,-8.525679061133792
248.1293,10.623985524126136,3.9382183935758803,0.0001,185,-5.942148533301266
105.7809,7.425631905159256,7.582509123256386,0.0001,65,-5.491909715005646
115.7308,7.906919962812943,6.976541825017193,0.0001,81,-4.392456248873458
281.3097,12.251236475944742,3.853852071948495,0.0001,173,-8.840715809597318
190.5632,10.032052131393492,4.733181068893828,0.0001,129,-6.136650726459953
473.3563,16.32516466716771,1.73237983866602,0.0006,314,-9.761390053264748
337.7582,13.621324708290338,2.9752813310424244,0.0001,218,-8.79196425932873
330.1644,12.932273466397971,3.101061087114431,0.0001,223,-8.286586289599127
128.3764,8.542167166591286,5.771333518712709,0.0001,83,-5.3120477643505595
348.3461,13.608505940528275,2.5625477363773825,0.0001,233,-8.476029661454687
220.5873,10.999358040255338,3.853320078456818,0.0001,150,-6.417401792146898
370.4651,13.213857975408219,2.703854276864149,0.0001,256,-8.662504184094184
224.2639,11.195346817720159,3.6939329625674873,0.0001,144,-7.169398260441305
180.2231,10.340968037470923,4.512132171335907,0.0001,103,-7.467685783398509
328.5072,12.811110826780856,3.2529297852543095,0.0001,221,-8.391715710964164
216.7665,11.125302467146614,4.2780405603589315,0.0001,129,-7.888909111386174
321.9205,13.326204955794895,2.883488083627526,0.0001,214,-8.098367116368777
201.2897,10.635858501249716,4.230479235280654,0.0001,133,-6.420704073110408
325.0467,13.22239775117316,2.7975329247365153,0.0001,206,-9.003412409783055
182.9906,10.110120330308108,4.2875004659399565,0.0001,121,-6.131539286843564
371.5697,13.855552661079761,2.3917743723632157,0.0001,272,-7.186266938286138
118.9444,8.259414654383402,7.2271833653121575,0.0001,75,-5.320522317725992
137.0741,8.524522035726916,5.661202485123795,0.0001,76,-7.164518989338501
130.5864,8.09044378066227,6.453968959116537,0.0001,91,-4.892982520269058
232.2903,11.302521869479438,3.563526239258863,0.0001,154,-6.9267992492374475
468.2033,15.829151124192707,2.2940619923901977,0.0001,312,-9.868078128413625
467.9436,15.105172480430879,2.130484741755936,0.0001,370,-6.484110004496032
389.4358,13.534223135429237,3.2870620594803768,0.0001,284,-7.790310455573562
197.0517,9.448732982019154,5.099087726144717,0.0001,161,-3.8155062767257837
325.6512,12.73900964740508,3.4374853976551094,0.0001,221,-8.2150185058787
219.7366,10.861455591298808,3.645318753820902,0.0001,135,-7.8015878523577555
327.2736,13.12925667271677,2.5427861012722133,0.0001,217,-8.399074124977226
185.9477,10.151446689856067,4.566612038708627,0.0001,111,-7.382957551744051
516.8912,16.44906136294628,1.6002803025603498,0.0006,354,-9.90276565974362
291.8899,12.516446945296154,3.1410713440891413,0.0001,179,-9.019324772708401
316.1481,12.646254748577407,3.1852567626501695,0.0001,221,-7.523816488886034
339.1436,13.242919486716408,2.9027302660488203,0.0001,229,-8.317169043463707
341.1203,13.244492046392594,2.7690507294410054,0.0001,223,-8.918446972994516
432.1913,14.261319813898131,2.240617124338314,0.0001,305,-8.918620552639725
354.2228,13.358869941002125,2.7636660115313134,0.0001,252,-7.652054436599425
135.0352,8.519742928161401,6.438569150586773,0.0001,79,-6.577099857647073
321.5876,13.151502668601951,2.605245776630909,0.0001,200,-9.245148867306217
258.0878,11.53147816452279,4.269243043036113,0.0001,164,-8.159214166442787
283.6677,12.11092664350736,3.351467454664089,0.0001,181,-8.47727866100485
299.0125,11.756128801882047,3.219275308851138,0.0001,209,-7.656644590827367
374.7399,14.02068849809438,2.271786481360323,0.0001,261,-8.11229063504684
438.7723,14.144775013269655,2.8119103615972563,0.0001,312,-8.962482604429615
282.6709,12.345810426760544,3.3059247383644106,0.0001,187,-7.749260412473659
171.9902,9.767714409444947,4.510067004528537,0.0001,108,-6.551194815659669
262.2259,11.5271313285512,3.343721212428136,0.0001,174,-7.653760288258015
243.1426,11.69489385562047,3.642396828625351,0.0001,167,-6.510755970940813
211.4381,10.700617678988031,4.59499248717475,0.0001,120,-8.545123538013124
190.8288,10.193904165147563,4.016880787155969,0.0001,135,-5.4766848005964
306.2526,12.504280424834302,3.405217725359762,0.0001,201,-8.41732562162966
94.6246,6.996711387289296,9.272280165823759,0.0001,71,-3.3765291566718134
187.7633,10.28833602171943,4.368816404905374,0.0001,121,-6.489222344513026
466.0653,15.713800567107446,2.3897444657013693,0.0001,316,-9.549904834233466
69.1495,6.111782484555047,11.329276229627794,0.0001,41,-4.605775822542114
122.4513,8.26238797294714,6.608157207212571,0.0001,68,-6.590261819982968
83.7207,7.294478216517281,8.521540389941947,0.0001,38,-6.267850645776437
214.1992,10.831844360275149,3.9905589025675,0.0001,135,-7.31170033152029
215.1892,10.925481223909426,3.5212200909900275,0.0001,149,-6.058241156018916
176.5189,9.974106028567519,4.5096014522005134,0.0001,95,-8.173053280816962
154.3441,9.879759923986795,4.67622934271094,0.0001,71,-8.435842635978549
313.701,12.821358653581624,2.766800168234113,0.0001,215,-7.6981701133856095
186.5515,10.296356114904171,4.139433353126151,0.0001,121,-6.366475602481636
143.945,9.15641627471685,5.130828924688103,0.0001,58,-9.386314189025633
