loc,scale,statistic,p_value,segment,z_score
262.4277,10.66819355586383,3.928022433836304,0.0001,192,-6.601651875850064
316.0833,11.439092900865848,3.352414169927215,0.0001,245,-6.214067899966051
216.5416,9.771633329274701,4.647803555808423,0.0001,154,-6.4003220232008164
343.4041,12.201380682490647,3.272907538785148,0.0001,248,-7.819123301095573
233.8853,10.434914118154751,4.065102009470138,0.0001,162,-6.8889210956641564
221.1595,9.474652323629893,4.693680693950228,0.0001,173,-5.082983349150412
215.2151,9.978065352001703,4.18436143110921,0.0001,151,-6.435626319797334
349.1392,11.879719530932258,3.02155338052944,0.0001,271,-6.577529023016258
337.6974,12.061342414428164,2.9984419065913244,0.0001,252,-7.105129516718308
241.916,10.481189318629507,3.958849291473598,0.0001,166,-7.243071152723589
374.7932,12.813557370427954,2.646291094353728,0.0001,288,-6.773544417907519
155.6937,8.382273352775849,6.765388975834867,0.0001,118,-4.496834977055177
233.4286,9.9213076393451,4.413853433155964,0.0001,186,-4.7804787155184645
370.0314,12.462172547933264,2.953300049799509,0.0001,282,-7.0638887129354675
289.8545,10.75599827537593,3.8786247352181817,0.0001,223,-6.21555510594049
276.9753,10.554166426245859,3.9827743981841195,0.0001,209,-6.440612858914238
256.143,10.673009993166474,4.135724175270298,0.0001,187,-6.478303687925864
82.7531,6.263630233049333,11.69715020966214,0.0001,60,-3.6325739472847323
168.6705,8.29774758663465,6.806841002098736,0.0001,125,-5.262934253428119
276.151,11.046646633263148,3.72125919519749,0.0001,204,-6.5314843857449265
269.2576,10.672114675319241,3.9370013833286066,0.0001,205,-6.021074731196875
281.4806,10.994867545870441,4.122893785557608,0.0001,212,-6.319366714526377
244.3624,10.598646110232051,4.241018477116086,0.0001,167,-7.299271925431445
346.2246,11.948607942483354,3.161592087322788,0.0001,264,-6.881521294848909
137.0267,7.728632497798599,7.868854835287493,0.0001,98,-5.049625533510134
272.2866,10.59870245310099,4.041646863368442,0.0001,209,-5.971164893065141
227.1984,10.0694973517893,4.186676545186856,0.0001,163,-6.375531742762934
353.3532,12.1269104043691,3.010500208907615,0.0001,266,-7.20325269068767
341.2686,11.533132937564517,3.261953283330513,0.0001,279,-5.3991053720698226
310.5221,11.570319737149962,3.7815150841524883,0.0001,244,-5.749374391652374
308.7696,11.05183831554802,3.740840319840572,0.0001,241,-6.131975338859233
270.4936,10.83968214067604,4.063465678409557,0.0001,203,-6.226529442844957
362.8502,12.904154822427083,2.723750654500691,0.0001,260,-7.970316647259146
221.7181,9.878228096629117,4.618997540061173,0.0001,169,-5.336797195236837
380.2742,12.682503654637557,2.7246540046726295,0.0001,304,-6.014127973234145
185.3765,9.01363812881523,5.304797763490569,0.0001,140,-5.034204762995556
287.973,10.964054544246162,3.8173801659177116,0.0001,220,-6.199622568976697
