loc,scale,statistic,p_value,segment,z_score
760.8589,15.952298842920332,2.0140184592073638,0.0001,613,-9.268814573745281
1623.4214,19.830278516314475,1.1302525311202771,0.0062,1518,-5.316183527794085
1625.5346,19.21103092525024,1.3658051209804398,0.0021,1587,-2.005857996373925
1764.9016,19.41663250931531,1.2648293135607673,0.0037,1678,-4.475626757539345
1026.3565,16.218893704605755,1.932798270288913,0.0002,914,-6.927507020290397
870.8126,16.052895401922935,1.8810779838458984,0.0001,749,-7.588201190509742
809.571,14.027089324713533,2.2520668786601163,0.0001,724,-6.100410286062507
2064.9772,21.94572034871862,1.0810101922852482,0.0076,2001,-2.915247209177864
1662.4045,19.817894808618412,1.3268240862162202,0.0013,1522,-7.084733336002013
425.6042,12.253422256484088,3.0647495635712403,0.0001,316,-8.944782747693301
1065.0919,17.001734037621826,1.6155437249690294,0.0005,941,-7.298779037797351
932.4048,14.89449299412891,2.370440930073528,0.0001,843,-6.00254067293472
1213.7687,16.9268323107192,1.791568621123588,0.0002,1132,-4.8307148377797
2093.7356,22.12196715446161,1.435739155196643,0.0012,1972,-5.5029283404142495
1171.4472,18.075543828291,1.4473028653883375,0.0006,1088,-4.616580324924575
1403.7258,17.777143106857867,1.5880871483350347,0.0005,1321,-4.653492380791315
555.5928,12.551929861751358,2.933029799549331,0.0001,471,-6.739425803977275
729.261,10.85980075909557,3.4972217155100225,0.0001,729,-0.024033590098913007
498.4001,12.686122881376175,2.750857099175846,0.0001,401,-7.677688519239234
1332.3351,17.976777365324526,1.5219553105653176,0.001,1204,-7.138938052798388
523.5408,12.77482113242673,3.2604927301217685,0.0001,439,-6.617767804623692
2377.1802,21.340592073487674,1.1306846635779948,0.0055,2285,-4.319477158017522
876.2767,15.12734017440195,1.9846901711498504,0.0001,754,-8.083159272567501
1037.0024,18.320626593429537,1.3959210832490498,0.0009,909,-6.98679160056166
297.6055,9.580159064168479,4.754809860480236,0.0001,245,-5.491088367911766
1154.7457,18.752029100061065,1.6562877498145099,0.0004,990,-8.785486579661049
965.5617,15.910063045777415,1.874453936199643,0.0001,858,-6.760608030937201
680.541,15.446228588162217,2.8526655955556635,0.0001,540,-9.098725892721074
943.5116,15.897658286486706,1.824164108655168,0.0002,851,-5.819196659839931
1269.7499,18.46480557424013,1.6145289598498493,0.0008,1136,-7.243504377137431
1101.3263,17.67853165164279,1.7874007098762377,0.0002,971,-7.372009314353281
473.1655,12.249135229941261,2.894296719437989,0.0001,374,-8.095714361745644
1632.5646,18.780098403618787,1.4184390382833953,0.0016,1585,-2.53271303364601
1616.7495,18.830034699136302,1.550252358392754,0.0011,1585,-1.6861094792064397
1893.7053,21.01322934464736,1.4853402271473897,0.0007,1766,-6.0773762045542075
546.9589,11.804073212431396,3.2938500513319013,0.0001,472,-6.350257123198576
1390.9817,17.79928219211818,1.8458551976382296,0.0001,1252,-7.80827555290648
526.3314,11.273122121588004,3.2552810348552157,0.0001,501,-2.2470616149443154
1261.4698,14.378663448187929,2.321681198453007,0.0001,1279,1.21918146726003
246.2701,8.94753328159122,5.592482481435582,0.0001,188,-6.512420593046101
850.6028,15.879201713710499,2.180799748548452,0.0001,725,-7.909893851373612
1600.8616,19.739524065210695,1.3413628387843346,0.001,1520,-4.096431085818931
827.8603,16.858974061627862,1.750746613179217,0.0003,676,-9.00768335278741
659.8701,14.461422449535398,2.235526971919171,0.0001,533,-8.773002824772327
240.4175,8.379690666818624,6.349635198354008,0.0001,211,-3.5105711140967975
1403.1105,18.346567782692777,1.6561563818013383,0.0004,1313,-4.911572620411633
1310.0992,18.397048798664695,1.4463259828626178,0.0013,1217,-5.060550799145431
2059.0902,21.83266201069048,1.083734959944195,0.006,1963,-4.4012131893467235
1183.7415,16.793495166224027,1.7611977692540677,0.0001,1081,-6.117934294383177
1592.7392,21.626450325824845,1.477931082878058,0.0014,1420,-7.9874041924358945
1020.2754,16.478510520398896,1.887616557391084,0.0005,910,-6.692073283170168
1095.3433,17.251684183601235,1.7283939923527214,0.0006,994,-5.8744003728246375
1143.0857,17.644395370167768,1.654595219211842,0.0004,1041,-5.785729567849138
1518.527,17.532524345940434,1.6302828800289717,0.0003,1442,-4.3648591891286594
1242.3607,17.692351382440492,1.5459227817846113,0.001,1103,-7.876889678910303
828.4607,16.917915861527085,1.577368928688884,0.0005,669,-9.425552255087664
490.7708,11.655138419819755,3.2686047838906234,0.0001,458,-2.811704058724238
1745.0393,21.233187239178985,1.1179847763942234,0.0062,1668,-3.6282494536594476
1191.3581,17.664412459426828,1.6657442629530124,0.0004,1102,-5.058651127244987
1242.4378,18.01995568918814,1.9794886151084938,0.0001,1170,-4.019865600638638
1199.8707,17.007489731900417,2.013295989661856,0.0002,1139,-3.579052579748243
2854.915,23.715927549264272,1.047685235103927,0.0097,2910,2.322700635915415
1993.9254,22.005696078651784,1.0351776591905946,0.01,1932,-2.814062312715265
1224.1542,16.314559106634917,1.9946955321574933,0.0001,1155,-4.238802872207306
814.7673,14.275304870401694,2.1622253632958746,0.0001,768,-3.276098158643668
1270.3606,17.068933841638998,1.7918158024767763,0.0001,1208,-3.6534560728024927
1379.0204,19.417113232111173,1.663024728966775,0.0003,1295,-4.327131381252433
1010.0358,15.420872176691855,2.00358492956002,0.0001,967,-2.7907500630896354
730.7762,13.753429726541825,3.0002088776018354,0.0001,661,-5.073367253649001
1416.2752,19.476359973562356,1.7232311340849265,0.0006,1313,-5.302592483410046
161.2868,6.890942915844461,8.713814884164094,0.0001,153,-1.2025640179003692
495.8987,11.284909092559086,3.6214999624844495,0.0001,448,-4.244491436052676
896.7847,17.544410122390957,1.8759307448799518,0.0003,703,-11.045381329331978
369.9276,9.472831239559232,4.660051005108471,0.0001,335,-3.687134196388909
572.0412,12.236996239588242,2.8816396067450114,0.0002,518,-4.416214481227822
881.5296,14.711178257249541,2.111957687597169,0.0002,789,-6.289747726658276
893.3844,16.73846630565138,2.1024869647135347,0.0001,735,-9.462300613917357
981.7754,15.919663891233412,1.8437778674560832,0.0005,911,-4.445784815782094
1081.0113,18.16529025606276,1.4373572519216395,0.0007,903,-9.799529624393845
1076.2156,16.984968812351575,1.733289650070219,0.0004,1014,-3.6629799375761247
1031.674,17.908980907905285,1.6613212606680463,0.0002,940,-5.118884233079602
552.4763,13.54065630785025,2.543468061297972,0.0001,461,-6.755676971652126
1145.4232,18.984075992107897,1.6539285945764277,0.0002,996,-7.870975656761936
426.1806,10.34119324197004,4.031249782006853,0.0001,384,-4.07889099575171
748.4223,13.918862603805612,2.435996885478744,0.0001,652,-6.927455406710943
1286.193,18.562526976162864,1.5402705019459972,0.0004,1201,-4.58951521575704
2329.6658,24.346913307003785,0.8295332250800129,0.0357,2151,-7.338334750984804
669.6682,15.517396293153432,1.8771582591853075,0.0001,524,-9.38741250452381
1204.7822,16.81063422070358,1.8155575838627556,0.0002,1145,-3.5562132406862887
1598.0001,18.686525054484076,1.5513925053855928,0.0006,1506,-4.923339129760959
500.2458,13.299543982671537,2.582152606570162,0.0001,388,-8.439823210949875
134.6166,7.102143935801955,8.212684211561282,0.0001,95,-5.578118432702055
813.6513,17.131341354244846,1.602146703065955,0.0005,586,-13.28858583181474
230.6253,8.565958059303545,5.958594218953294,0.0001,176,-6.377021650330298
1885.41,19.531104587417488,1.3027190710854484,0.0025,1821,-3.2978165526539085
1493.8483,19.43393565121305,1.6049239260519244,0.0007,1340,-7.916476763181883
1505.1725,19.949986063764417,1.292734223554362,0.0023,1392,-5.672810980332338
2411.8431,23.286625111443442,1.2004161792356172,0.0035,2317,-4.07285725372856
652.1061,12.776336183218827,2.7835550618092384,0.0001,592,-4.704486414418772
1073.3913,15.493817804176443,1.9296629502568976,0.0003,1007,-4.285018762909672
140.099,6.351238684168808,10.141469756101287,0.0001,113,-4.266726751672451
197.1919,8.79515831983638,5.759262042474802,0.0001,127,-7.98074320523497
593.3209,13.592755404624517,2.5571365278992744,0.0001,500,-6.865488064932772
