experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
1nmpp1,3000,3,1,LD,3,7354,192,67,92,71,47,52,22,11,13,17,12,12,11,14,12,7,6,15,8,10,7,8,8,5,7,7,15,7,7,4,3,2,2,1,6,2,0,2,0,1,0,0,1,1,5,0,0,2,1,1,2,4,3,4,1,2,2,2,4,2,3,3,4,6,6,6,11,6,3,10,9,15,10,9,13,5,8,7,3,2,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1nmpp1,3000,3,1,LD,4,10231,291,127,143,83,69,61,54,30,35,29,35,31,34,31,31,14,28,27,15,20,18,18,14,17,10,14,12,6,11,11,5,6,10,5,7,5,7,4,6,6,5,5,4,1,7,3,8,2,4,2,1,7,2,3,1,4,1,2,3,6,11,18,25,11,11,7,12,10,14,12,13,8,10,13,19,13,19,16,8,6,4,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
1nmpp1,3000,3,1,LD,5,2065,122,32,22,28,15,32,12,12,12,14,12,6,9,12,16,10,14,9,8,11,6,8,3,10,9,10,8,1,4,4,0,2,6,3,0,2,2,0,1,0,2,3,1,1,2,1,2,2,1,1,1,1,0,0,2,6,3,11,9,3,10,5,6,4,5,2,2,0,4,1,2,1,1,2,1,0,1,1,0,4,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1nmpp1,3000,3,1,LD,6,3346,72,17,14,12,4,13,17,3,5,8,8,4,5,5,2,4,4,8,6,11,6,3,2,5,4,2,2,1,3,4,3,4,2,2,4,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,2,1,1,2,1,2,4,2,4,3,8,5,4,3,1,6,2,2,4,4,4,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1nmpp1,3000,3,1,LD,7,9109,423,171,246,120,167,108,58,31,32,23,31,32,23,24,20,14,24,35,23,13,9,18,13,17,14,10,12,7,9,10,9,10,8,13,5,8,4,5,9,3,5,3,3,6,4,3,7,2,5,3,1,3,3,5,6,3,6,9,3,7,9,14,15,11,11,17,19,14,10,14,14,9,11,19,23,28,22,17,9,8,4,2,1,4,0,3,0,0,1,0,1,1,2,1,1,0,0,0,0,0
1nmpp1,3000,3,1,LD,8,11486,177,138,81,29,49,34,39,25,12,6,3,10,10,5,24,11,24,24,13,7,8,7,5,15,6,5,12,5,7,6,2,7,6,5,9,6,5,7,3,3,5,6,6,2,11,4,5,1,7,5,3,2,4,2,6,2,0,3,4,1,3,3,2,3,1,6,3,6,5,4,2,4,9,7,11,16,14,7,8,4,8,5,2,1,2,5,2,0,2,1,3,3,4,2,3,4,0,0,0,0
1nmpp1,3000,3,1,LD,9,7226,163,53,58,17,11,16,16,12,4,5,1,3,3,4,8,9,4,9,6,8,8,7,2,5,6,4,7,5,4,3,3,2,1,2,1,1,4,2,0,2,2,1,1,0,2,1,2,0,0,1,1,3,0,0,1,1,2,0,1,2,0,1,3,2,3,5,2,2,2,2,2,2,2,1,3,2,0,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1nmpp1,3000,3,1,LD,10,8290,339,170,169,98,88,71,47,28,18,20,14,13,14,20,26,25,20,16,21,18,19,11,16,14,14,17,17,7,5,6,4,7,6,8,10,2,9,3,4,3,6,4,10,1,3,5,3,6,7,7,3,2,2,3,4,2,3,3,9,4,7,10,6,12,16,10,12,17,6,12,18,13,11,19,13,12,22,18,6,3,9,7,3,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1nmpp1,3000,3,1,LD,11,8439,335,214,239,119,98,79,66,31,30,38,39,38,33,19,40,29,19,38,27,15,22,23,16,14,15,13,15,14,10,3,4,14,4,6,7,9,6,5,6,5,7,2,7,9,8,4,6,7,4,4,3,1,10,11,12,21,18,23,16,18,12,9,14,14,11,14,15,13,16,15,14,21,21,13,19,9,13,7,5,0,3,1,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1nmpp1,3000,3,1,LD,12,2133,42,15,22,10,18,4,9,5,4,7,4,5,2,2,3,2,1,1,0,0,1,6,1,2,1,3,3,2,1,2,2,1,1,1,2,0,1,0,0,0,1,0,1,0,0,1,2,0,0,1,1,1,2,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,2,2,1,3,0,1,1,4,1,0,1,2,3,1,0,1,1,0,3,0,1,2,1,1,1,0,0,0,0,0
