experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
betaEstrodiol,0,3,2,LD,1,8951,91,24,142,44,3,10,8,2,6,10,5,1,1,0,0,3,0,1,11,7,6,3,6,7,3,2,1,1,5,2,3,2,1,1,1,1,0,0,0,2,2,0,0,1,0,1,1,2,0,0,0,1,1,2,1,1,0,2,2,2,2,2,4,4,8,5,7,6,2,0,3,1,1,1,3,1,2,1,0,0,1,1,1,2,3,0,0,0,3,2,2,1,2,4,2,4,2,3,0,0
betaEstrodiol,0,3,2,LD,2,17620,206,25,165,46,11,13,20,11,12,11,3,3,5,1,0,8,2,3,21,7,10,9,10,18,14,4,3,8,7,6,8,2,2,1,1,3,1,3,1,0,6,3,2,4,6,3,4,3,0,3,2,1,3,5,2,7,5,1,3,2,9,4,6,12,14,17,12,16,5,13,11,6,1,4,5,6,6,3,1,4,2,4,7,9,5,12,1,3,5,2,8,6,5,13,8,7,1,6,6,14
betaEstrodiol,0,3,2,LD,3,5343,71,6,90,22,4,5,10,1,4,3,2,2,1,1,1,2,1,2,8,4,8,4,7,6,4,3,1,1,6,3,2,1,2,1,0,3,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,3,5,1,1,9,7,10,5,5,6,5,0,4,1,0,3,7,2,3,2,0,1,2,2,3,0,4,2,4,2,3,1,2,4,1,4,2,1,2,8,0
betaEstrodiol,0,3,2,LD,4,18433,225,41,191,43,10,11,18,9,4,13,8,2,3,3,2,6,3,2,26,9,19,12,6,15,8,5,6,3,7,9,6,1,3,1,3,1,0,0,0,3,1,4,4,1,2,2,1,1,1,0,3,0,2,0,0,5,2,4,1,2,8,3,9,2,12,8,13,5,4,3,5,5,4,3,2,6,4,4,4,6,6,2,3,5,3,9,5,5,4,3,5,6,4,16,5,5,3,5,10,5
betaEstrodiol,0,3,2,LD,5,13961,331,97,152,86,41,23,28,15,20,19,6,4,5,3,4,10,2,0,21,7,11,8,10,17,13,8,6,5,4,11,5,6,3,3,1,3,3,0,3,0,0,2,3,3,5,2,2,3,0,1,3,1,2,2,1,5,6,1,0,5,6,4,5,8,11,12,5,12,8,9,5,8,9,5,8,5,9,7,3,2,6,9,7,2,9,5,10,11,14,8,9,9,10,12,6,9,5,15,15,4
betaEstrodiol,0,3,2,LD,6,6083,188,57,103,31,8,9,9,3,6,3,3,5,1,0,0,3,4,0,7,8,18,3,3,6,1,2,4,5,5,0,2,0,1,0,0,1,0,0,0,1,1,1,0,1,1,2,3,1,0,1,0,0,1,2,0,2,1,1,1,3,2,2,6,2,5,3,8,4,7,1,6,1,2,2,2,1,2,4,1,2,3,3,4,1,3,7,5,5,6,6,4,2,5,3,3,3,3,0,0,0
betaEstrodiol,0,3,2,LD,7,9249,169,36,143,56,13,11,10,3,9,6,1,1,0,4,0,5,2,0,11,4,9,7,7,15,3,3,4,6,2,3,4,2,1,0,2,1,1,1,0,0,1,0,0,3,3,4,2,2,3,1,1,1,4,1,1,1,1,2,2,2,0,3,4,6,10,6,6,3,8,5,5,0,3,10,1,3,5,6,3,0,5,0,5,1,1,1,4,4,3,3,8,3,3,1,7,1,1,1,7,5
betaEstrodiol,0,3,2,LD,8,4587,76,21,28,8,2,3,4,3,3,2,4,2,1,0,1,2,0,0,3,1,4,5,2,2,1,2,1,1,1,3,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,3,1,1,2,4,0,2,4,1,4,3,1,3,3,2,2,5,6,1,6,4,3,1,3,3,1,4,3,4,1,0,1,3,1,2,2,3,1,3,0
betaEstrodiol,0,3,2,LD,9,5889,234,74,83,51,29,8,9,6,8,9,6,5,2,1,1,3,2,4,9,7,6,8,8,13,7,10,4,3,5,7,2,3,2,4,2,0,0,1,0,0,1,2,0,5,2,2,0,2,2,0,0,1,3,0,0,1,3,3,2,3,1,1,3,4,4,10,2,3,3,4,2,5,4,1,4,2,3,5,4,2,4,2,6,2,5,7,4,16,6,7,6,5,4,2,5,6,5,6,9,3
betaEstrodiol,0,3,2,LD,10,4459,117,29,83,13,7,3,5,7,3,5,1,0,0,0,0,3,1,0,3,2,1,4,1,6,1,0,1,3,4,3,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,2,0,1,4,0,0,2,3,4,3,2,4,7,2,0,3,4,1,2,4,1,2,5,4,3,3,5,3,2,5,3,3,1,4,1,3,4,1,2,3,1,1,1,1,0,0,0
