experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,0-5,3,2,LD,1,4499,64,31,67,37,7,4,6,13,23,43,36,58,50,34,14,8,6,5,5,6,8,10,21,17,5,8,5,13,2,5,3,2,1,5,2,3,4,4,6,15,11,1,4,3,8,5,5,7,6,12,18,5,5,2,1,4,2,1,1,3,4,6,5,4,7,2,8,1,2,2,2,2,3,1,3,2,1,2,1,1,2,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
glu,0-5,3,2,LD,2,8893,154,68,88,77,27,29,21,17,57,64,51,108,80,39,42,20,16,18,23,21,18,15,37,31,19,18,22,28,8,7,5,7,8,3,2,2,13,13,10,20,17,9,7,7,7,14,8,9,9,11,20,7,10,7,6,9,9,5,8,5,12,15,12,9,7,9,8,5,5,5,2,0,3,6,2,6,4,2,5,4,6,9,5,10,4,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0
glu,0-5,3,2,LD,5,10676,195,73,115,77,33,36,18,18,37,74,60,99,101,59,47,20,19,14,10,10,12,28,27,30,11,20,20,29,11,14,11,12,8,8,7,13,10,5,11,17,17,11,4,7,5,6,8,8,9,21,20,11,10,3,4,3,6,7,3,4,12,15,7,8,7,9,8,5,8,13,4,10,4,5,6,1,7,2,5,2,7,9,6,0,2,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0
glu,0-5,3,2,LD,8,5778,180,77,124,58,36,20,22,15,29,55,55,57,67,45,23,23,9,13,12,11,18,29,28,22,12,12,13,18,8,9,7,5,1,8,6,7,5,9,10,10,4,12,5,10,5,4,6,6,8,16,30,12,7,5,3,5,5,5,5,1,6,12,4,5,7,5,6,1,5,6,2,0,2,4,5,6,1,3,2,5,5,4,4,5,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
glu,0-5,3,2,LD,9,9781,282,156,137,77,51,46,33,28,54,72,92,83,146,74,44,35,19,13,21,18,26,27,39,33,9,27,21,18,5,13,11,3,6,5,8,8,12,10,9,10,12,15,12,10,7,11,11,12,17,22,34,13,11,14,5,4,4,7,12,14,10,17,8,9,7,10,11,8,6,4,3,10,10,5,3,7,3,8,2,4,6,6,4,6,2,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0
glu,0-5,3,2,LD,11,3359,205,131,105,55,41,29,25,48,62,69,42,36,46,26,16,17,6,17,7,10,14,7,10,13,6,13,10,10,8,11,8,9,9,8,6,5,3,7,5,12,4,8,5,4,3,4,0,5,4,1,7,4,4,4,1,6,5,2,3,4,1,6,6,9,7,7,5,11,5,4,8,7,4,6,7,3,7,7,9,2,5,8,7,5,10,7,12,10,10,8,1,7,8,8,8,14,16,4,8,3
glu,0-5,3,2,LD,12,3401,53,20,44,22,13,5,7,6,10,29,25,45,61,20,12,10,5,6,1,3,8,5,18,14,8,8,9,13,3,2,5,1,1,1,4,2,5,7,5,13,2,5,1,2,3,2,2,3,5,5,11,4,4,2,1,1,2,0,3,1,1,6,6,6,4,5,9,0,2,3,1,2,4,3,2,6,2,1,0,2,4,3,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
glu,0-5,3,2,LD,13,3715,61,47,47,36,16,10,7,7,23,25,19,52,55,26,14,11,9,5,3,8,10,10,20,14,3,5,11,8,3,2,2,3,1,1,4,2,6,3,2,7,10,2,2,4,2,2,3,6,10,13,16,6,3,0,3,1,0,3,3,2,4,10,4,4,10,1,1,3,1,1,4,2,2,1,1,1,0,2,3,2,0,0,5,1,3,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0
glu,0-5,3,2,LD,15,6705,201,90,104,49,42,39,18,15,35,70,38,84,84,49,55,20,12,19,15,14,13,11,37,39,14,17,24,14,13,7,5,3,4,5,7,10,6,10,8,8,8,6,6,5,6,13,9,3,13,15,24,9,11,7,8,3,3,6,6,8,5,8,15,11,15,10,6,6,6,5,3,5,4,4,4,2,6,1,2,3,5,3,3,2,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
glu,0-5,3,2,LD,16,6714,153,63,107,49,32,12,8,13,28,56,66,90,98,50,36,21,11,12,14,11,14,23,16,23,15,15,21,18,12,6,5,7,5,4,9,10,7,7,14,14,18,5,5,3,2,7,5,8,5,13,25,7,11,3,4,4,8,2,3,6,6,14,10,3,7,8,13,7,7,7,2,4,2,6,3,3,2,2,9,3,2,7,3,1,4,3,3,0,0,2,0,0,1,0,0,0,0,0,0,0
