experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,5,3,4,LD,1,6098,84,63,68,60,26,17,11,17,22,49,51,77,62,33,21,13,7,7,8,9,14,17,16,16,12,9,9,21,4,9,5,9,6,10,6,5,4,9,8,14,2,6,3,0,6,2,4,5,6,10,12,6,6,1,3,2,3,3,4,4,3,7,9,5,7,5,4,3,6,6,7,5,2,4,4,6,3,0,1,5,0,5,7,3,0,1,4,3,0,2,0,0,0,1,1,0,2,0,0,0
glu,5,3,4,LD,3,6356,52,27,76,46,15,6,7,6,20,51,34,75,62,25,20,11,5,7,5,6,9,8,11,14,12,13,11,20,4,3,6,4,2,2,1,4,1,5,3,13,15,3,3,3,2,9,4,4,2,6,17,4,4,2,0,1,0,0,3,7,6,14,4,4,3,4,7,3,4,8,3,1,4,4,0,2,3,1,3,0,4,2,2,4,5,3,2,1,0,2,2,0,0,0,0,0,0,0,0,0
glu,5,3,4,LD,5,7381,376,122,102,84,54,60,35,50,65,62,56,94,96,66,41,26,22,13,10,23,22,25,26,36,17,19,16,13,8,4,6,4,5,4,10,10,11,17,5,11,14,5,11,9,10,9,11,4,11,21,15,11,10,12,7,4,7,5,6,11,10,11,8,9,10,5,7,3,3,3,6,5,3,5,3,5,5,6,6,10,10,10,9,8,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
glu,5,3,4,LD,8,7822,387,242,185,141,82,53,47,54,77,77,72,68,63,50,36,29,22,28,28,24,27,27,29,29,16,20,16,13,11,15,8,21,19,15,20,14,7,16,14,18,14,10,9,8,10,14,13,6,9,4,23,6,10,6,8,5,8,4,9,5,11,14,11,7,6,8,13,7,13,10,6,8,10,9,11,6,7,12,12,18,12,18,10,15,12,10,10,8,6,11,13,11,4,8,10,13,11,21,12,8
glu,5,3,4,LD,9,3411,29,17,34,39,25,10,10,5,15,20,17,50,32,23,22,12,3,7,5,1,8,4,12,16,2,7,15,12,2,2,5,3,4,0,2,4,6,8,7,6,4,5,3,0,2,7,4,2,3,6,9,7,7,1,1,0,0,4,2,5,2,6,3,2,7,6,11,3,2,2,3,1,4,3,0,1,1,0,2,2,4,1,2,3,1,8,1,0,0,2,3,0,0,0,0,0,0,0,0,0
glu,5,3,4,LD,10,3919,36,19,33,34,9,7,4,3,11,23,13,50,39,17,12,7,7,3,3,6,5,10,13,17,4,8,4,2,2,3,0,1,1,1,2,4,4,6,2,3,12,1,4,2,2,1,3,5,4,9,11,2,2,1,0,0,0,1,2,1,4,6,1,0,4,6,3,0,5,2,1,2,1,3,2,0,3,0,3,2,4,1,4,2,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0
glu,5,3,4,LD,11,2535,95,61,32,27,24,11,12,19,32,28,37,28,22,16,11,13,11,8,7,2,4,10,7,12,8,10,7,7,2,5,4,5,2,1,5,3,1,5,5,1,6,1,5,2,0,4,2,2,0,1,5,2,0,2,1,0,1,1,3,3,3,3,5,6,0,3,5,3,2,7,2,7,0,3,3,5,4,5,3,8,7,6,1,3,2,5,4,4,4,3,8,4,3,1,3,3,5,5,6,0
glu,5,3,4,LD,12,3812,125,80,92,60,43,25,29,26,23,59,40,75,70,47,31,23,17,7,15,8,19,19,37,14,21,16,22,18,9,16,7,9,7,11,7,6,16,19,16,14,9,4,7,5,5,6,6,4,10,8,27,6,3,4,3,2,6,4,7,6,9,15,10,10,7,8,10,10,4,5,7,8,7,5,5,3,4,1,7,6,7,6,9,7,4,4,1,0,1,0,0,0,2,4,0,0,0,0,0,0
glu,5,3,4,LD,14,5260,135,67,73,51,26,16,13,23,40,77,50,80,70,44,32,17,13,10,10,7,10,14,19,18,14,8,11,8,6,4,4,5,2,2,0,4,5,6,7,7,11,3,10,7,4,10,2,2,10,10,21,9,4,1,3,2,4,0,2,3,10,6,5,4,4,6,3,4,9,6,8,3,2,3,3,3,5,2,3,2,5,6,4,3,3,3,1,1,1,2,1,1,0,2,2,0,0,0,0,0
glu,5,3,4,LD,15,7109,6,1,25,27,4,3,3,3,7,20,14,63,33,5,5,5,2,2,0,2,1,2,5,22,6,12,1,17,2,4,3,5,0,1,2,5,3,1,5,10,8,2,4,0,1,3,1,5,3,15,5,2,5,1,1,0,1,0,1,0,1,5,2,2,1,5,0,1,2,2,1,1,1,2,1,0,1,0,1,1,0,4,2,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0
glu,5,3,4,LD,16,4827,312,179,90,72,47,48,47,49,74,73,60,55,62,58,29,25,26,14,16,19,18,19,34,20,13,20,14,13,5,8,10,7,6,6,7,8,10,9,5,6,14,2,11,7,6,11,7,10,9,8,13,12,8,7,5,4,10,6,6,6,8,3,5,4,3,3,3,5,5,3,4,3,3,6,6,4,1,4,10,3,6,5,8,2,4,9,5,5,3,1,4,4,1,4,3,2,0,0,0,0
glu,5,3,4,LD,18,5882,158,86,99,82,58,25,31,35,83,87,70,87,63,53,29,28,16,14,13,7,18,26,31,24,22,27,8,21,12,7,8,9,4,14,12,9,11,20,12,8,7,8,5,5,8,14,8,3,7,11,14,9,7,8,7,3,3,1,5,6,5,10,5,2,11,9,9,14,6,8,4,3,5,7,9,5,9,5,4,9,9,10,4,7,4,12,9,9,6,4,7,8,7,3,2,5,1,2,0,0
glu,5,3,4,LD,19,5251,125,58,65,42,17,9,16,12,20,53,38,57,54,24,19,18,10,15,6,7,3,16,13,25,8,11,6,7,1,2,6,4,1,3,4,3,4,3,4,7,7,2,5,4,7,5,6,8,9,10,16,8,9,2,2,2,4,3,3,4,2,11,4,3,7,5,7,5,1,6,1,4,2,3,4,1,0,0,0,3,5,5,4,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
glu,5,3,4,LD,20,8419,25,13,71,53,11,4,4,6,17,35,29,108,76,25,21,8,2,2,3,4,6,12,14,29,13,15,12,17,8,4,5,5,3,5,1,9,4,14,6,17,12,7,3,1,3,4,6,11,3,14,18,5,6,1,0,0,1,1,1,2,2,13,5,2,2,11,7,1,2,9,2,3,2,1,2,2,1,0,0,3,0,3,3,3,1,2,1,0,3,1,2,0,1,0,0,0,0,0,0,0
glu,5,3,4,LD,21,10205,775,448,212,157,125,105,92,84,114,134,85,115,96,69,41,45,37,33,30,34,25,25,35,23,20,30,16,19,11,12,11,20,12,6,15,15,8,11,17,18,14,6,15,13,20,14,21,14,9,12,16,11,5,13,9,4,7,3,12,9,13,9,9,12,13,6,15,9,9,11,8,12,6,6,9,10,12,10,17,14,9,12,12,10,18,13,12,11,19,13,6,16,10,13,10,14,6,3,13,18
glu,5,3,4,LD,22,8343,73,58,77,62,31,19,16,16,25,42,29,90,89,34,21,11,10,8,4,2,10,11,16,20,13,7,6,6,7,7,5,7,9,3,1,11,4,11,5,16,10,7,3,3,4,8,3,1,6,13,8,0,3,2,2,0,3,1,6,3,2,5,5,0,3,6,6,5,3,4,6,8,6,1,6,4,3,3,8,2,7,4,4,7,3,2,2,2,5,7,3,4,4,3,1,3,4,0,0,0
glu,5,3,4,LD,23,4791,226,95,72,45,35,19,28,31,54,61,35,65,76,44,37,18,17,13,9,13,16,14,24,15,9,11,12,12,7,7,2,4,4,4,6,2,8,8,3,7,8,7,5,9,9,11,7,7,15,10,21,9,8,1,8,1,2,5,6,5,2,7,8,5,8,6,13,1,3,4,3,1,2,2,4,2,2,3,0,8,8,2,1,2,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
glu,5,3,4,LD,24,4516,50,26,52,32,9,7,7,5,9,40,27,66,55,28,7,15,3,3,7,7,8,15,17,20,13,9,9,9,2,2,4,3,4,2,1,6,3,6,4,11,10,1,4,2,3,6,6,7,4,9,17,2,4,3,4,4,0,0,2,5,5,7,7,0,6,3,2,2,5,5,2,1,4,1,2,2,1,2,1,1,2,4,4,3,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
glu,5,3,4,LD,25,6669,508,339,201,154,121,108,71,111,130,118,85,94,91,58,44,29,45,42,36,33,39,29,36,31,31,29,18,12,16,15,13,17,16,12,12,9,13,15,12,8,16,15,12,16,12,13,14,8,8,11,15,12,19,8,12,9,12,8,11,13,11,9,10,14,11,16,21,15,18,12,12,18,24,19,17,20,26,22,28,30,28,25,20,33,30,41,31,18,37,35,26,39,30,34,37,36,25,20,20,24
glu,5,3,4,LD,26,3254,278,134,83,42,44,44,33,45,71,58,43,65,52,32,28,27,22,21,8,13,11,14,21,17,10,7,9,8,8,9,8,5,4,3,7,8,8,10,7,5,7,2,5,4,6,4,9,9,7,8,12,9,6,5,6,4,4,10,6,7,10,8,5,7,3,3,8,0,4,5,4,4,2,4,6,3,6,4,5,5,5,10,8,3,1,2,7,8,9,9,8,5,1,2,4,0,0,0,0,0
glu,5,3,4,LD,27,9789,421,209,171,123,73,56,55,42,89,113,96,120,119,81,48,46,22,27,21,18,26,36,31,39,28,30,17,18,14,13,11,14,9,13,12,21,12,22,11,19,19,12,11,11,5,18,16,12,11,16,38,6,9,8,9,7,8,4,3,12,8,23,15,11,12,8,15,10,9,8,8,9,4,10,7,8,7,5,7,10,10,8,7,7,7,10,7,3,9,0,6,2,4,3,3,4,0,0,0,0
glu,5,3,4,LD,28,6163,56,38,63,56,16,11,15,8,23,53,44,66,49,36,17,12,6,6,4,7,6,15,21,25,13,12,20,17,6,7,6,8,4,1,5,10,9,17,7,15,5,7,8,2,4,5,7,6,8,8,11,8,8,1,5,3,4,4,3,3,5,5,4,5,5,8,3,3,4,4,4,4,4,5,4,1,2,2,10,3,6,7,7,5,9,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0
glu,5,3,4,LD,29,5423,244,129,103,60,61,68,46,40,57,79,46,52,56,38,32,28,19,19,20,25,11,18,22,22,17,12,9,15,6,8,6,11,12,9,4,9,10,9,5,7,8,9,5,8,2,7,5,7,6,10,9,8,4,2,6,4,13,3,3,3,3,10,6,10,6,7,6,9,9,6,7,3,4,8,11,2,10,7,9,7,9,10,10,8,7,11,7,7,4,7,5,4,7,4,6,2,4,5,2,4
glu,5,3,4,LD,30,7017,413,311,193,183,100,86,66,80,131,114,58,81,71,59,50,45,44,36,24,38,34,36,31,29,27,21,26,27,22,19,18,18,13,16,14,12,21,14,12,16,19,19,11,7,6,10,12,7,9,6,21,17,10,12,6,12,14,12,13,12,14,14,11,13,18,6,14,11,16,7,12,18,19,7,16,15,12,24,27,22,21,21,26,23,22,22,24,23,23,22,24,21,13,14,23,12,15,11,13,15
glu,5,3,4,LD,31,7247,108,91,87,68,42,27,20,32,59,66,49,71,60,27,18,25,15,10,14,8,11,15,18,22,14,18,17,14,9,6,3,13,3,5,4,7,7,13,10,9,8,2,4,2,0,7,8,8,4,7,5,4,9,3,1,1,6,7,2,3,5,11,8,10,4,14,7,8,10,6,4,2,2,4,2,6,2,7,6,4,8,7,11,6,12,7,1,5,4,1,4,3,5,7,2,0,0,0,0,0
glu,5,3,4,LD,33,10239,51,44,77,50,16,9,7,12,35,49,45,102,79,24,17,9,8,8,7,9,5,18,23,19,9,13,11,17,7,6,6,3,2,3,3,10,6,9,7,27,16,3,5,2,4,9,4,7,4,16,7,3,6,2,1,0,2,2,1,2,4,10,3,7,2,5,2,3,6,3,4,4,3,4,5,2,1,1,2,4,6,5,12,5,3,5,3,2,2,2,1,0,2,2,0,0,0,0,0,0
glu,5,3,4,LD,34,8291,558,323,194,122,109,101,67,98,99,136,84,93,83,56,55,37,33,31,47,28,27,30,29,36,22,31,19,30,20,18,17,20,12,14,13,14,12,11,12,14,15,15,11,17,12,9,9,10,8,11,14,8,12,10,7,14,11,10,10,6,9,16,12,11,13,13,16,15,7,13,19,10,11,10,12,14,18,12,18,18,12,22,19,24,19,11,21,13,17,18,15,16,19,19,18,14,11,12,5,3
