experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
leu,75,3,2,LD,1,3303,395,351,119,74,46,47,43,35,26,29,30,13,7,5,1,2,1,3,15,10,2,5,5,5,3,3,3,5,1,2,1,3,3,1,1,2,0,4,0,3,3,4,6,9,11,9,11,4,3,3,9,9,8,11,12,6,8,5,4,3,4,4,6,4,2,3,2,3,8,9,5,3,1,1,6,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leu,75,3,2,LD,2,5750,538,317,127,97,61,62,60,64,62,34,25,17,13,11,6,5,6,8,11,11,14,2,4,8,3,3,4,3,1,1,1,3,3,0,6,2,4,3,4,2,3,3,5,10,10,13,17,10,9,8,8,16,9,10,11,7,10,9,10,3,4,3,12,10,8,11,4,6,5,8,3,6,7,6,9,4,4,9,4,1,6,3,2,3,7,7,3,1,0,0,0,0,2,1,0,0,0,0,0,0
leu,75,3,2,LD,3,5823,515,532,143,91,68,53,56,92,55,52,51,24,14,1,6,7,11,16,10,7,10,6,8,11,5,7,2,2,6,3,2,0,3,7,4,5,2,7,5,2,1,7,4,10,21,21,18,16,15,20,18,11,27,23,12,19,8,10,11,13,4,13,8,7,12,14,10,9,5,8,9,3,3,7,11,8,6,6,5,2,0,3,0,1,1,3,0,2,5,1,1,0,0,0,1,0,0,0,0,0
leu,75,3,2,LD,4,9392,867,512,176,116,93,95,82,95,80,55,40,28,17,12,11,12,10,19,9,13,26,8,9,10,2,6,9,3,4,7,8,11,7,8,10,9,6,8,11,5,7,10,13,17,15,10,19,17,12,11,22,13,15,16,18,15,17,11,15,12,7,7,10,15,17,10,10,8,11,9,6,15,13,7,6,6,3,8,3,1,6,7,7,6,7,6,6,4,1,2,2,4,6,4,3,3,0,0,0,0
leu,75,3,2,LD,5,8433,618,931,204,108,55,38,39,62,53,91,56,34,16,14,7,7,5,6,10,9,10,12,5,6,4,6,6,5,1,3,2,3,8,5,1,6,1,8,3,5,2,3,5,11,9,12,20,7,11,10,5,14,15,17,15,10,15,15,9,13,7,10,4,2,7,12,8,7,7,10,6,3,5,4,14,7,4,5,0,0,0,0,4,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
leu,75,3,2,LD,6,5859,912,551,193,100,52,69,84,66,47,38,32,11,10,6,8,2,4,4,9,4,8,8,4,5,5,8,3,3,1,2,2,3,10,3,4,7,2,3,10,4,12,16,18,18,11,21,18,18,17,19,15,17,18,9,26,12,20,17,14,12,16,15,14,13,6,10,5,8,6,12,12,13,6,5,1,6,4,6,4,3,1,2,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
leu,75,3,2,LD,7,9083,869,719,295,144,105,64,64,65,51,70,60,42,16,6,12,7,10,14,10,11,15,6,7,6,9,6,4,2,2,2,7,8,9,5,6,7,9,3,5,3,4,10,19,14,13,20,22,16,15,12,25,32,24,27,31,19,15,16,20,17,11,19,14,13,12,20,5,6,13,8,9,13,11,16,7,5,7,5,3,1,2,1,2,4,3,4,3,2,0,0,1,2,1,0,0,0,0,0,0,0
leu,75,3,2,LD,8,6888,639,481,171,110,77,58,52,72,68,53,50,20,17,10,5,7,5,14,12,13,11,9,6,8,4,6,2,3,5,5,4,5,2,8,7,7,5,3,6,8,10,10,14,16,12,21,11,16,19,16,17,27,23,15,16,25,11,22,19,13,11,10,11,6,15,6,14,5,6,15,11,7,12,7,2,10,11,6,2,2,8,2,5,3,1,4,3,1,1,0,0,1,2,2,1,0,0,0,0,0
leu,75,3,2,LD,9,7923,664,769,224,114,60,34,27,63,72,72,38,25,15,4,4,3,10,8,14,13,13,9,5,8,6,11,7,7,2,0,1,5,5,2,3,2,7,8,7,3,2,3,10,16,19,16,12,6,11,10,17,14,22,12,20,16,10,21,19,6,7,9,8,10,7,13,2,5,2,7,5,7,12,5,7,8,6,2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leu,75,3,2,LD,10,10722,1294,1102,380,207,105,100,111,116,102,102,59,39,19,17,13,8,7,13,14,18,11,15,8,12,12,9,5,14,9,5,10,10,10,18,15,15,19,20,18,16,16,23,40,37,41,34,41,33,36,33,33,26,28,41,39,32,27,32,18,21,24,17,19,16,18,25,14,10,18,13,16,22,9,11,10,12,11,5,2,5,0,1,1,4,1,1,1,2,1,3,0,1,2,0,0,0,0,0,0,0
