experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
rpmc,100,3,4,LD,1,8443,58,52,8,10,41,9,1,2,1,71,9,126,25,67,9,13,19,17,9,8,7,12,7,13,11,13,16,18,5,0,1,6,11,2,1,6,5,3,3,2,3,1,2,2,3,7,10,4,1,5,2,4,5,4,5,1,4,4,3,4,7,7,5,5,10,8,8,4,6,8,6,6,7,5,9,8,12,5,8,6,8,1,6,6,4,27,7,3,4,4,2,2,0,4,1,2,0,0,0,0
rpmc,100,3,4,LD,2,5425,0,29,0,0,0,0,0,0,0,41,1,96,15,46,0,0,0,4,0,0,0,4,1,0,0,0,4,13,0,0,1,12,3,0,0,2,0,0,0,0,0,1,1,0,7,1,5,2,0,10,8,1,3,3,2,2,1,1,0,1,1,3,1,5,3,3,1,1,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpmc,100,3,4,LD,3,7651,13,46,8,3,3,1,0,4,0,72,9,154,34,64,5,4,2,11,6,2,5,3,1,0,0,1,10,18,1,1,0,6,6,1,0,3,7,0,0,0,2,5,2,1,14,9,8,3,1,4,3,3,6,4,1,5,2,5,2,2,6,1,2,4,2,3,1,3,4,3,2,1,3,3,5,1,1,3,6,6,5,2,4,1,5,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0
rpmc,100,3,4,LD,4,9002,2,38,0,0,0,2,0,0,0,83,4,115,17,59,0,1,4,11,0,0,0,1,1,0,0,1,7,9,0,0,0,7,7,1,0,2,3,1,0,0,0,2,0,0,4,3,5,2,0,3,3,1,7,3,5,1,0,6,0,0,0,0,1,1,0,1,0,1,0,0,1,0,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpmc,100,3,4,LD,5,10367,30,55,9,6,23,17,7,1,1,96,12,170,34,56,6,10,12,12,8,5,6,6,4,3,2,4,13,21,0,1,0,17,10,2,4,1,8,0,3,0,1,1,2,3,20,7,18,10,1,9,6,8,9,8,6,5,3,9,3,7,1,4,4,4,8,5,4,6,4,3,4,11,2,2,5,6,1,4,1,9,13,0,1,0,5,8,11,1,4,4,3,4,0,1,1,0,0,0,0,0
rpmc,100,3,4,LD,6,6687,30,40,2,0,4,1,1,1,0,53,9,91,19,39,3,2,3,6,1,5,2,2,2,0,0,0,9,10,2,1,1,6,11,2,1,3,3,1,1,0,0,2,0,1,3,6,5,4,1,2,7,1,4,4,1,4,1,5,4,3,6,1,5,5,2,3,6,8,3,7,10,3,1,2,4,8,4,4,6,4,1,0,1,2,0,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0
rpmc,100,3,4,LD,7,9395,3,50,0,1,1,1,0,0,0,75,1,127,21,60,0,1,3,17,2,0,0,3,0,0,0,2,15,22,0,0,0,12,8,3,0,4,0,1,1,0,1,3,0,1,15,21,13,8,1,1,10,2,5,9,6,8,3,5,2,3,4,4,6,2,3,4,4,7,1,0,2,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpmc,100,3,4,LD,8,9489,40,74,16,8,17,21,7,5,2,113,14,215,25,82,8,2,6,18,11,18,11,11,5,4,3,5,13,30,1,2,2,9,16,2,1,7,7,1,1,1,3,3,1,1,11,10,18,11,1,13,12,3,7,5,7,9,5,5,2,8,3,2,7,4,7,5,2,6,2,3,5,4,11,5,2,5,7,7,12,6,7,9,6,5,8,7,7,9,11,2,2,5,2,2,3,4,4,0,0,0
rpmc,100,3,4,LD,9,7740,46,60,8,9,31,10,6,2,6,87,22,157,28,45,3,5,17,9,8,12,8,9,12,3,2,7,9,10,3,1,1,9,9,2,3,7,5,3,1,1,4,5,0,4,4,6,8,7,2,5,3,1,7,5,5,7,4,8,4,5,5,3,5,16,3,13,13,9,6,7,6,11,9,9,10,11,7,7,13,5,6,6,8,15,6,12,8,8,7,7,7,9,3,3,13,6,4,0,0,0
rpmc,100,3,4,LD,10,4621,0,18,0,1,0,0,0,0,0,38,3,67,15,35,0,0,1,10,0,0,0,1,0,0,0,0,9,7,0,0,1,2,8,0,0,3,2,0,0,0,0,1,0,0,7,6,9,1,0,3,3,2,2,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpmc,100,3,4,LD,11,5631,5,26,0,1,0,0,0,0,0,64,4,116,12,38,1,2,4,5,0,0,2,1,0,0,0,0,9,9,1,0,1,9,9,0,1,6,5,1,0,0,1,1,0,0,10,4,12,7,0,2,6,2,6,7,3,7,5,6,0,3,5,2,3,6,1,6,2,2,1,3,2,1,1,3,5,2,2,1,2,1,3,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rpmc,100,3,4,LD,12,3584,0,26,0,3,1,3,0,0,0,69,8,103,22,45,1,2,4,6,0,0,2,3,0,0,0,2,13,11,3,1,2,9,5,2,0,3,2,1,0,0,0,4,2,1,8,4,10,1,0,7,7,4,5,3,3,5,7,8,2,0,3,2,6,1,1,3,4,5,0,1,1,0,2,1,3,3,4,3,1,1,0,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
rpmc,100,3,4,LD,14,9526,0,40,0,0,0,0,0,0,0,94,3,125,19,63,0,0,4,12,0,0,1,2,0,0,0,1,12,9,0,0,0,7,10,0,0,1,1,0,0,0,0,1,0,0,5,3,7,3,1,3,5,1,6,1,1,3,4,2,0,0,2,0,0,0,1,3,0,2,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpmc,100,3,4,LD,15,14192,53,85,15,3,8,10,7,6,1,132,21,194,38,114,11,8,6,22,12,10,9,22,4,3,0,12,13,37,4,0,4,10,27,5,1,4,14,3,0,3,0,6,3,5,15,24,21,15,2,8,13,6,10,7,5,13,12,5,5,7,16,15,9,10,13,13,11,7,6,9,11,8,6,10,7,5,7,10,11,1,6,2,4,7,6,5,2,4,3,4,0,4,1,0,0,2,0,0,0,0
rpmc,100,3,4,LD,16,11143,55,89,23,16,58,28,13,6,3,116,13,252,47,80,7,5,24,21,13,17,21,15,7,4,5,6,24,20,1,1,3,5,11,6,3,7,6,4,0,2,4,13,5,3,15,12,11,5,1,13,5,5,8,11,4,13,9,12,11,8,4,1,6,6,7,13,2,11,8,5,3,10,10,6,12,8,8,7,6,8,4,8,8,12,12,24,18,11,9,7,8,5,10,13,5,4,5,2,0,0
rpmc,100,3,4,LD,17,9723,37,61,5,3,8,16,4,4,1,107,10,164,32,88,4,5,7,14,7,3,5,10,6,5,1,6,16,19,0,0,3,5,15,1,1,9,10,1,1,2,2,1,3,1,11,6,10,2,2,3,7,2,7,2,3,5,6,6,1,1,5,2,6,4,5,1,5,8,3,4,2,5,3,5,5,9,7,3,8,0,4,5,2,3,8,12,1,4,2,5,1,5,3,2,4,3,2,0,0,0
rpmc,100,3,4,LD,18,7612,12,41,1,1,0,0,0,0,0,103,3,184,27,72,7,4,7,3,0,2,3,2,0,0,0,1,11,24,2,0,0,14,9,2,0,8,2,1,0,1,0,4,1,3,11,7,14,5,2,5,10,2,3,4,4,5,2,8,1,3,2,3,9,7,1,7,1,2,2,3,3,2,0,4,1,4,1,2,2,0,3,2,2,0,1,1,1,3,1,0,0,1,0,0,1,0,0,0,0,0
rpmc,100,3,4,LD,19,9252,28,58,7,4,16,10,2,2,0,93,10,121,22,80,4,8,5,11,3,6,4,10,4,2,3,3,6,18,1,2,1,10,6,1,2,4,3,1,5,0,0,5,2,2,11,23,9,6,1,3,5,2,4,8,7,5,3,7,2,1,7,2,3,7,6,4,3,0,2,4,2,2,5,2,4,6,4,5,3,0,7,5,5,4,2,3,10,10,2,2,2,3,1,1,0,2,0,0,0,0
rpmc,100,3,4,LD,20,6820,35,58,9,5,18,3,1,0,0,79,15,161,24,74,4,1,11,11,9,2,11,6,1,0,0,3,14,23,2,1,0,10,8,4,2,8,4,2,1,0,1,6,1,0,10,16,15,6,2,7,10,8,4,11,8,8,8,4,6,6,3,5,9,9,9,13,8,10,4,6,12,5,7,6,5,7,6,6,8,2,2,5,6,9,5,5,5,3,2,0,1,3,2,2,2,1,0,0,0,0
