experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
1nmpp1,1500,3,2,golgi,1,5358,7,77,16,20,126,10,34,5,13,9,2,4,1,3,1,1,3,2,0,1,1,2,0,4,0,1,3,1,0,0,2,1,0,2,1,1,1,0,0,0,1,1,1,1,2,1,4,0,0,3,0,1,0,0,0,2,0,1,1,2,1,2,2,0,1,1,3,0,2,3,0,2,0,1,0,1,1,1,2,0,0,2,1,1,0,2,0,0,0,0,4,0,1,0,1,2,1,0,0,0
1nmpp1,1500,3,2,golgi,3,7923,48,222,17,17,198,42,78,30,60,16,13,1,3,7,2,1,2,3,2,1,2,3,6,3,2,11,6,3,2,3,2,2,2,7,0,3,1,1,1,2,1,1,2,1,1,0,1,2,1,0,0,1,2,2,1,4,4,1,0,4,3,3,3,2,4,1,2,3,3,2,2,3,0,2,1,1,2,4,4,1,2,4,1,4,4,4,1,2,0,8,5,4,0,0,0,1,8,3,6,0
1nmpp1,1500,3,2,golgi,4,7926,6,119,1,4,208,1,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,2,3,2,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,3,1,0,0,2,0,0,1,0,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1nmpp1,1500,3,2,golgi,5,11214,23,234,7,15,235,20,55,11,20,6,8,1,0,3,1,5,2,6,2,1,3,2,3,2,0,0,0,3,3,3,4,2,0,2,1,2,0,1,0,2,4,1,2,2,2,0,0,1,1,2,2,3,2,1,2,0,0,0,1,0,2,4,4,3,2,1,1,0,0,0,1,4,1,3,2,1,0,0,1,1,4,2,1,1,3,0,2,5,1,2,3,0,0,1,0,3,0,1,0,0
1nmpp1,1500,3,2,golgi,6,2148,15,71,34,18,68,43,32,14,35,17,9,3,3,3,3,2,2,1,1,1,1,2,2,7,4,1,0,0,2,0,0,0,0,2,1,1,0,0,1,1,2,3,0,1,1,0,4,1,0,3,1,2,2,2,0,1,1,1,0,1,1,5,0,5,1,3,0,3,2,1,1,3,1,1,1,0,1,0,1,3,1,2,0,1,1,0,1,2,5,8,6,7,3,1,1,4,8,2,0,4
1nmpp1,1500,3,2,golgi,7,5326,47,84,60,57,137,38,106,26,56,24,18,3,3,3,0,2,1,11,3,8,11,9,5,4,5,5,5,6,3,4,4,2,2,3,1,0,3,0,1,1,1,1,0,2,4,2,0,0,0,1,4,3,4,1,1,3,1,1,4,0,3,0,1,0,0,0,3,1,1,0,1,3,1,2,1,4,1,3,2,0,1,4,1,4,5,2,0,3,3,5,3,5,3,3,4,6,8,3,6,0
1nmpp1,1500,3,2,golgi,8,12385,28,188,42,21,259,22,69,23,41,10,19,5,3,5,3,8,3,3,2,1,7,1,0,3,2,2,2,3,2,4,4,5,1,5,1,1,3,1,4,1,1,2,0,9,1,4,2,3,1,6,3,9,2,3,2,1,0,2,1,3,4,2,5,1,4,2,0,3,1,6,5,5,1,1,2,0,6,1,5,0,0,1,2,4,4,2,2,5,3,7,3,1,2,3,3,2,8,3,0,1
1nmpp1,1500,3,2,golgi,9,6680,44,304,41,66,125,59,39,20,34,10,15,3,6,7,0,4,3,4,1,4,5,3,3,1,2,4,7,3,3,1,2,1,2,2,3,2,0,1,0,2,5,3,4,1,3,6,4,3,3,2,2,3,4,1,2,1,8,1,2,0,3,4,3,0,3,1,4,3,7,7,1,2,2,2,1,1,3,0,2,2,0,3,2,7,3,2,8,4,5,2,2,6,1,6,4,1,6,6,1,2
1nmpp1,1500,3,2,golgi,10,13451,49,345,31,24,234,40,78,26,56,22,15,8,4,10,3,2,1,3,5,2,2,2,4,2,5,3,3,2,2,4,5,3,1,6,1,1,0,5,4,2,2,1,6,4,5,2,3,1,0,2,5,4,5,2,1,2,2,1,2,0,6,6,5,4,2,0,1,0,5,5,4,4,3,2,5,1,1,0,1,3,1,4,1,1,3,5,9,1,3,5,7,3,0,1,2,5,3,6,13,5
1nmpp1,1500,3,2,golgi,11,6874,31,239,21,34,147,48,45,12,45,9,14,2,7,4,1,2,1,6,0,2,3,5,5,2,0,2,3,3,3,2,3,0,1,2,3,2,0,4,2,1,1,1,3,2,1,5,4,4,1,0,5,1,1,1,1,2,1,1,4,4,0,3,0,1,1,0,0,2,2,3,3,1,0,4,1,0,2,4,3,2,0,1,2,1,1,2,1,1,1,3,0,4,1,1,1,3,5,1,2,0
1nmpp1,1500,3,2,golgi,12,5907,64,176,44,9,130,16,30,22,38,10,14,6,3,7,8,1,6,4,1,1,0,1,2,4,3,1,2,3,3,2,1,2,1,2,1,0,2,4,2,1,1,0,0,4,1,4,1,2,2,0,2,2,5,1,0,1,4,0,1,1,1,2,1,1,3,3,3,1,1,2,1,3,2,3,0,0,1,2,3,2,2,1,2,2,1,1,0,6,4,4,3,5,2,4,2,3,9,4,4,0
1nmpp1,1500,3,2,golgi,13,6854,36,237,38,8,146,5,27,8,9,10,7,3,2,4,2,1,3,2,0,1,0,0,1,2,0,3,3,2,4,2,3,3,1,3,1,1,3,1,4,2,3,4,1,4,2,3,4,2,1,0,6,2,2,1,2,1,2,1,0,3,4,2,1,1,1,1,3,3,2,1,3,1,0,0,0,1,1,2,2,0,3,1,1,2,3,1,3,1,2,1,4,0,1,3,1,2,1,3,0,0
1nmpp1,1500,3,2,golgi,14,4525,33,177,33,19,98,45,42,17,65,13,11,8,4,5,3,3,1,1,3,1,4,4,3,3,2,2,0,4,1,2,4,3,0,2,0,2,3,3,1,2,1,2,2,3,0,4,2,1,1,3,1,2,1,2,1,0,3,1,3,2,4,3,0,1,2,2,1,2,1,4,3,1,0,1,1,1,3,1,6,1,4,0,3,3,3,1,1,3,2,6,8,4,1,4,3,3,10,3,4,0
1nmpp1,1500,3,2,golgi,15,4910,82,164,92,67,127,83,82,40,109,33,25,12,9,7,6,4,2,3,3,3,3,8,10,5,1,5,3,5,6,5,4,6,2,3,5,3,1,1,7,1,3,3,2,5,5,2,3,4,4,3,4,3,5,3,3,4,2,8,0,2,10,3,1,4,1,8,1,7,1,5,4,5,4,2,2,1,4,1,2,1,3,3,6,5,5,1,4,4,3,14,6,14,1,6,4,7,17,8,14,9
1nmpp1,1500,3,2,golgi,17,7685,28,170,12,6,190,14,45,5,21,2,3,4,2,5,2,1,3,3,2,1,0,0,2,2,1,0,1,4,0,8,1,4,3,0,2,1,1,4,1,4,1,3,1,5,0,0,1,1,0,1,1,2,1,2,2,0,1,2,0,2,0,2,1,3,1,2,1,0,1,2,2,1,1,0,0,1,1,2,2,1,2,3,0,0,3,1,2,2,2,0,4,2,0,3,0,1,1,1,2,3
1nmpp1,1500,3,2,golgi,18,7542,71,343,80,24,185,18,61,25,99,25,18,7,10,9,5,4,4,2,7,6,6,9,5,1,2,4,4,1,2,3,2,6,1,4,4,0,2,0,1,2,2,4,2,2,1,4,1,3,2,3,3,1,2,5,2,6,4,3,1,0,2,5,4,2,1,4,4,5,1,0,2,5,2,6,3,4,2,0,2,1,0,4,2,5,3,0,1,4,9,9,1,9,3,3,6,4,10,8,13,2
1nmpp1,1500,3,2,golgi,19,7004,66,299,37,72,205,89,56,28,99,42,17,4,12,9,3,3,2,10,2,6,7,8,5,2,6,4,1,7,3,6,4,3,1,1,2,2,1,0,3,2,1,2,2,2,1,2,2,0,0,2,1,5,4,1,4,1,1,2,2,6,4,3,6,1,0,3,0,5,0,1,4,5,4,2,3,3,5,4,5,4,0,1,3,2,1,1,2,3,8,5,4,8,4,4,2,2,10,7,12,10
1nmpp1,1500,3,2,golgi,20,4785,21,63,19,50,80,37,46,15,13,10,8,0,1,4,0,4,1,11,5,5,6,2,3,1,3,4,2,5,3,2,1,1,1,2,3,0,0,0,1,0,1,3,0,3,1,3,6,2,2,2,2,2,1,3,1,0,1,3,3,0,1,0,2,1,1,2,1,4,2,1,0,0,0,1,1,0,1,2,1,0,0,0,0,1,1,2,2,1,1,0,0,1,1,2,1,0,0,0,0,0
1nmpp1,1500,3,2,golgi,21,2653,18,88,48,43,79,77,49,12,46,13,29,4,4,7,0,2,5,6,3,7,7,4,2,2,0,2,0,1,1,1,1,0,0,0,3,2,0,1,1,1,2,2,2,3,3,2,2,2,1,1,1,2,2,4,1,1,1,4,0,2,1,1,4,0,0,0,2,4,1,1,0,1,3,2,3,2,0,2,0,1,1,3,4,2,3,1,0,2,5,3,3,3,0,5,0,2,1,2,0,2
1nmpp1,1500,3,2,golgi,22,3707,86,95,30,1,89,26,79,30,78,15,7,4,6,5,3,1,1,2,0,1,3,11,5,8,5,5,5,5,1,2,6,1,1,2,4,1,2,0,5,1,3,1,0,3,1,0,1,2,2,0,0,2,2,1,0,2,4,2,0,2,2,0,2,1,1,3,1,5,3,4,1,1,0,0,2,1,2,2,2,3,0,0,6,4,3,2,0,3,1,2,7,9,2,0,2,2,16,5,10,0
1nmpp1,1500,3,2,golgi,23,8451,68,231,49,38,187,56,58,20,29,22,19,6,4,5,5,6,8,4,0,5,1,0,1,0,2,1,1,1,3,3,1,1,0,1,1,3,1,1,3,2,2,0,5,2,6,3,0,2,2,2,4,3,3,0,2,3,1,1,3,4,3,3,5,1,3,4,3,7,7,3,2,5,2,3,1,2,3,4,2,1,2,4,1,1,1,2,2,4,2,6,5,5,5,2,2,4,2,7,0,5
1nmpp1,1500,3,2,golgi,24,13179,83,422,91,26,255,46,123,33,71,31,21,18,9,13,8,7,7,2,6,5,5,3,4,5,3,3,1,7,6,6,6,3,3,6,3,0,0,1,4,2,5,3,2,9,3,3,7,4,3,1,2,4,5,6,0,4,0,4,4,3,11,9,4,1,3,2,6,3,8,5,6,0,0,5,6,4,1,2,6,3,2,3,0,4,6,8,4,5,7,14,9,11,7,5,2,3,9,3,8,6
1nmpp1,1500,3,2,golgi,25,10653,84,387,85,50,257,104,134,36,197,60,32,8,16,21,12,2,8,6,7,20,15,25,18,10,6,8,10,8,11,8,6,8,3,2,7,4,5,2,0,1,4,2,3,3,0,4,4,2,2,2,7,3,5,3,3,5,3,4,3,2,3,7,6,1,3,3,9,6,4,6,5,3,3,7,4,3,4,4,5,4,6,8,6,8,5,3,1,5,7,18,10,11,2,10,5,7,12,16,15,9
1nmpp1,1500,3,2,golgi,26,3585,56,111,56,6,132,8,34,13,76,23,8,2,1,6,0,3,3,3,0,4,4,0,3,7,5,3,1,7,3,10,1,2,0,2,2,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,2,4,4,0,2,1,1,0,1,2,6,1,0,2,2,3,0,1,4,3,5,5,0,5,1,3,3,1,1,2,1,1,1,2,5,2,2,4,2,7,2,7,5,2,2,3,9,6,11,1
