experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
betaEstrodiol,0,3,2,golgi,1,8843,50,97,8,9,12,13,28,4,6,1,70,7,18,6,17,7,13,17,7,5,12,5,2,3,7,4,5,2,2,0,2,3,8,5,2,2,0,3,7,0,1,2,1,0,1,0,4,1,1,4,1,1,0,2,1,8,1,0,2,5,1,3,1,3,8,3,3,4,3,2,2,1,0,1,1,4,0,5,1,1,1,0,3,2,2,0,3,2,0,5,1,2,3,2,7,4,9,2,4,25
betaEstrodiol,0,3,2,golgi,2,18166,63,44,4,31,17,2,48,10,11,2,40,4,16,0,6,4,4,23,5,12,9,10,0,7,1,2,1,0,0,0,0,2,4,3,1,2,1,3,12,1,2,1,0,1,1,0,4,0,0,2,1,0,2,0,2,2,1,1,0,1,3,1,0,6,5,1,2,3,0,2,0,0,1,1,2,4,0,0,8,1,0,0,1,2,2,0,0,2,0,2,2,0,1,1,3,0,0,0,0,0
betaEstrodiol,0,3,2,golgi,3,5214,80,87,19,13,4,2,23,8,5,0,49,9,15,5,7,4,2,13,8,7,10,5,0,4,5,2,4,1,2,1,3,1,4,7,2,2,1,2,4,0,1,3,0,0,1,0,4,0,0,2,4,1,0,1,1,2,1,1,4,4,2,4,3,3,3,5,0,2,2,2,1,2,1,2,1,1,3,10,6,5,1,0,1,2,1,4,6,2,0,2,1,4,1,2,3,2,2,0,4,12
betaEstrodiol,0,3,2,golgi,4,18576,137,116,16,22,18,4,47,17,15,3,49,13,21,5,8,7,14,12,8,10,16,4,4,3,7,3,5,1,0,4,6,1,9,3,3,1,4,1,11,2,3,0,0,0,1,3,4,1,1,2,4,1,4,2,3,5,2,3,4,0,0,3,2,6,8,6,4,1,1,0,4,2,2,3,2,0,0,1,4,1,3,1,1,1,3,0,3,1,2,2,2,1,3,5,4,26,29,0,3,36
betaEstrodiol,0,3,2,golgi,5,14903,27,32,2,43,34,3,72,6,4,2,41,2,12,0,6,3,1,16,1,16,4,6,0,2,1,8,5,0,1,0,0,2,3,1,1,1,1,0,11,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,1,8,2,0,0,0,0,5,0,6,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betaEstrodiol,0,3,2,golgi,6,6089,96,93,15,21,15,7,14,8,9,2,35,25,22,11,5,7,9,17,6,5,8,4,2,3,5,3,1,2,3,2,1,3,4,4,2,1,1,3,5,0,0,1,1,1,2,0,0,2,2,2,1,0,1,2,0,1,2,1,0,5,1,0,1,1,1,1,1,2,2,1,3,0,0,4,1,2,0,4,2,2,0,0,2,5,0,2,3,3,4,2,3,4,3,3,2,13,31,1,2,30
betaEstrodiol,0,3,2,golgi,7,9591,43,43,5,19,10,3,55,5,5,3,39,1,14,1,5,10,9,12,3,2,8,2,0,3,4,4,1,3,1,0,0,1,3,1,1,0,0,1,4,0,0,0,0,0,0,0,2,1,1,2,2,1,1,0,1,1,1,1,1,1,0,0,1,2,4,9,6,1,1,1,0,1,1,3,1,2,0,1,0,1,2,0,1,0,0,1,1,2,0,5,0,1,3,0,0,5,0,3,0,0
betaEstrodiol,0,3,2,golgi,8,4749,16,24,7,7,2,0,17,2,3,1,16,3,4,3,0,3,1,2,1,1,2,2,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betaEstrodiol,0,3,2,golgi,9,5736,155,130,22,23,8,7,18,9,16,6,65,21,25,13,17,9,22,9,8,3,14,14,8,6,4,5,8,4,8,2,2,1,8,7,5,2,3,2,6,2,1,2,2,2,0,2,5,4,2,2,4,2,4,1,5,7,2,4,0,3,4,2,6,5,10,3,6,1,3,5,1,2,0,3,5,6,2,7,5,3,3,2,5,2,3,6,6,1,0,4,3,7,5,5,5,12,35,2,1,61
betaEstrodiol,0,3,2,golgi,10,4329,73,118,11,8,5,5,17,7,10,7,29,10,13,6,3,9,4,1,2,5,11,4,3,1,0,2,3,4,0,0,1,2,8,0,1,4,1,3,4,2,3,3,0,0,1,1,3,0,1,1,1,0,1,0,1,4,2,2,2,0,3,3,0,1,7,1,0,2,1,2,1,4,0,1,2,1,1,1,4,2,1,1,1,3,2,1,2,4,2,2,2,2,2,4,6,8,17,2,3,30
