experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,0-5,3,3,golgi,2,9044,207,267,247,47,34,16,14,238,45,41,24,21,17,63,12,16,12,11,7,3,12,4,6,8,3,5,12,13,7,13,11,7,3,10,1,4,2,10,9,9,4,6,8,8,6,5,2,5,2,3,1,7,6,4,0,4,3,4,7,5,4,2,2,5,8,5,3,0,3,1,2,0,0,3,1,2,0,0,1,1,0,2,1,1,0,0,1,1,0,3,1,2,2,4,2,2,1,0,2,0
glu,0-5,3,3,golgi,3,10688,183,289,348,36,28,5,23,274,100,66,29,24,18,55,17,15,15,16,12,12,11,15,10,3,4,11,7,6,5,14,9,6,5,8,2,4,9,13,10,10,3,6,10,8,10,8,2,5,5,2,4,6,6,6,8,2,4,6,4,6,3,2,2,3,4,3,0,1,0,0,2,0,3,1,2,1,0,1,1,1,3,1,1,1,0,0,0,0,3,0,1,0,3,3,1,1,4,0,0,2
glu,0-5,3,3,golgi,4,6256,139,239,194,53,26,20,27,192,62,49,29,25,18,30,14,14,18,13,11,9,14,7,6,4,4,9,13,9,12,7,13,7,7,5,3,6,0,7,7,15,11,4,6,5,2,8,3,5,2,2,4,3,9,8,6,7,3,3,4,11,3,4,5,5,5,0,2,1,1,3,1,0,0,2,0,2,5,1,0,1,2,3,0,1,0,1,0,0,0,0,1,3,5,1,0,2,5,4,1,1
glu,0-5,3,3,golgi,6,3253,37,60,61,8,5,4,5,70,23,13,6,6,1,14,3,5,6,5,0,4,2,5,4,2,0,3,1,3,2,3,4,1,3,4,2,0,0,5,5,2,3,1,2,4,6,3,1,4,0,2,3,2,2,4,3,1,0,0,0,1,1,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
glu,0-5,3,3,golgi,7,5132,163,247,262,51,35,12,18,192,69,35,18,12,8,26,4,22,13,8,5,10,14,4,9,3,7,5,12,10,6,8,4,8,4,4,4,2,4,7,8,10,11,2,9,13,8,5,1,5,3,7,5,4,3,9,2,5,2,7,5,7,3,4,4,7,4,3,2,0,1,3,2,2,2,3,3,1,3,1,3,1,5,2,4,0,1,0,0,2,1,3,0,0,2,0,0,0,0,0,0,0
glu,0-5,3,3,golgi,8,9680,146,229,191,42,23,19,16,207,92,56,26,20,11,59,9,19,27,8,10,14,21,6,15,10,3,9,9,10,6,14,8,4,11,0,8,6,4,6,8,7,5,1,9,5,3,10,5,3,6,8,5,2,3,7,2,3,2,5,2,10,1,5,3,2,6,6,2,1,2,1,3,0,1,0,0,4,0,1,2,2,2,1,1,2,2,3,1,2,2,1,1,1,3,2,0,5,7,3,1,1
glu,0-5,3,3,golgi,9,3831,74,84,86,26,12,8,3,68,24,21,6,8,3,20,4,8,2,5,2,5,4,8,3,2,2,3,1,5,4,4,3,2,4,2,5,3,6,6,0,8,6,2,1,3,4,2,2,5,5,2,1,4,5,5,2,1,2,4,8,5,2,0,1,2,3,3,1,2,4,0,0,0,0,0,0,0,2,0,1,1,3,2,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0
glu,0-5,3,3,golgi,10,8763,202,274,347,39,26,16,13,270,95,67,37,24,18,51,14,28,20,13,5,6,10,15,12,6,10,3,12,11,3,18,11,4,10,6,6,8,8,9,12,7,6,3,4,8,10,7,2,5,6,6,4,6,6,12,4,1,7,5,5,9,4,0,14,3,5,2,2,2,3,3,0,0,1,2,1,3,2,0,0,3,1,0,0,1,0,1,0,0,0,0,0,1,1,1,3,3,3,3,0,0
glu,0-5,3,3,golgi,11,9139,243,404,358,41,39,28,31,348,62,54,34,20,18,33,18,37,21,10,7,11,9,11,12,12,9,11,3,10,13,16,16,7,10,10,1,7,8,16,6,13,3,2,3,6,3,6,4,10,7,4,4,6,3,8,1,9,7,7,6,8,2,4,5,2,1,1,0,2,3,0,1,0,0,0,0,1,0,0,1,1,4,1,1,1,0,0,1,0,0,2,1,1,2,2,1,3,6,6,3,0
glu,0-5,3,3,golgi,12,5091,116,178,190,32,20,12,10,146,60,34,16,13,9,28,14,15,10,8,6,5,6,10,9,5,6,3,5,5,3,11,4,7,7,1,5,5,3,3,12,12,3,8,4,6,2,2,2,2,6,1,2,2,4,4,7,3,4,6,3,2,2,0,4,5,5,3,2,1,2,1,2,1,0,1,0,1,0,0,0,1,1,2,0,1,0,1,1,0,1,0,0,2,1,1,2,0,0,0,1,0
glu,0-5,3,3,golgi,13,8740,197,308,268,56,33,25,25,285,64,61,39,23,16,40,14,20,23,9,9,7,7,8,15,9,2,11,6,6,11,16,9,11,9,5,5,5,4,6,9,8,11,7,8,15,4,7,6,1,2,12,5,8,5,4,4,4,12,5,7,0,4,3,1,4,8,3,0,2,3,3,3,2,0,1,1,1,1,3,2,5,5,8,2,4,0,0,0,0,0,0,3,1,3,4,2,4,6,4,7,2
glu,0-5,3,3,golgi,14,9414,120,177,196,35,30,9,6,212,67,32,10,21,8,45,4,15,29,5,7,10,7,4,9,4,3,8,8,9,8,10,8,4,2,7,4,1,1,7,5,4,3,3,6,2,4,4,4,7,4,4,6,4,1,4,2,4,0,0,8,5,2,2,3,2,3,3,1,0,2,0,1,1,1,0,2,1,1,0,2,0,3,1,1,1,0,1,0,0,0,0,2,2,1,2,4,2,3,0,0,3
glu,0-5,3,3,golgi,15,8607,137,185,198,37,32,11,16,295,59,31,20,21,13,40,10,35,15,10,9,10,6,8,7,6,5,4,3,9,6,11,5,3,7,6,4,8,7,8,7,4,6,0,7,5,6,3,2,7,3,8,4,2,4,11,1,3,2,7,2,5,4,2,3,5,3,3,1,1,2,3,3,1,0,0,1,0,0,0,1,0,2,2,1,2,1,0,1,0,0,1,0,0,2,2,1,1,4,5,1,2
glu,0-5,3,3,golgi,16,6615,137,207,272,64,31,20,16,188,114,70,30,20,5,34,15,10,19,12,16,9,26,14,16,10,13,8,12,12,15,8,7,9,5,7,7,10,4,11,6,5,7,6,10,16,9,10,8,6,5,9,8,6,4,6,1,4,7,3,5,8,1,3,6,5,6,8,0,1,2,2,0,0,0,4,3,2,2,3,2,1,1,2,0,2,0,1,1,2,0,0,2,1,5,3,2,2,1,0,1,1
glu,0-5,3,3,golgi,17,8798,184,247,202,60,52,45,30,225,89,43,48,31,18,47,11,22,13,8,13,7,17,9,7,15,5,8,6,13,9,10,10,8,6,11,6,8,5,11,13,18,13,10,13,11,6,5,5,12,5,6,7,13,2,7,6,6,11,7,3,0,2,1,2,1,6,0,2,4,5,5,5,1,1,1,4,3,3,2,11,2,2,5,3,1,5,1,6,4,2,2,5,6,5,3,15,3,8,11,8,1
glu,0-5,3,3,golgi,18,10517,102,171,152,54,34,20,14,232,71,31,36,20,13,58,8,11,13,11,5,4,7,9,10,5,6,14,6,10,8,9,13,7,5,6,6,0,2,9,8,9,6,10,13,9,11,4,6,6,5,8,5,2,3,7,2,8,7,9,4,4,2,1,4,7,6,4,3,1,1,1,4,1,0,0,2,1,3,0,3,0,4,2,0,1,2,0,0,1,1,1,2,2,2,1,5,6,8,7,5,2
