experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,0,3,5,golgi,1,4564,113,186,133,55,44,10,10,96,35,27,29,32,10,38,12,16,9,8,8,5,6,8,10,2,5,8,1,14,11,5,11,4,1,3,1,3,1,2,4,5,4,5,9,4,7,2,4,8,3,5,1,4,5,7,9,7,4,3,6,6,1,1,4,3,5,2,2,1,3,2,1,2,1,0,0,0,0,1,3,4,4,10,5,4,2,0,3,2,1,1,4,4,10,3,5,5,7,14,4,0
glu,0,3,5,golgi,3,7068,149,208,163,33,18,5,5,128,67,44,15,21,10,43,9,19,16,8,4,10,8,6,7,6,4,6,10,13,6,7,8,3,3,2,7,6,0,11,5,17,8,4,3,4,7,7,2,4,2,3,4,3,3,7,5,5,1,3,1,5,1,2,2,2,3,2,1,0,0,2,0,0,0,0,1,1,3,0,0,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
glu,0,3,5,golgi,4,5889,44,107,35,44,10,24,12,90,19,8,10,29,10,28,3,7,10,3,6,3,6,5,4,10,7,2,5,7,2,4,3,4,9,7,2,9,6,3,2,1,4,4,1,5,5,5,5,5,4,3,4,5,2,1,3,5,9,10,0,4,3,0,2,1,1,1,1,1,7,4,2,1,5,3,3,2,2,2,6,4,9,8,9,6,5,3,1,0,3,0,5,1,3,1,0,5,9,9,31,2
glu,0,3,5,golgi,5,6554,43,258,53,55,47,51,17,87,22,11,10,17,10,21,6,11,6,13,4,16,8,5,10,12,6,12,5,9,9,8,11,8,7,6,12,9,2,7,3,7,3,9,6,8,2,4,10,6,5,9,6,8,4,3,2,6,12,8,3,1,1,4,6,8,2,1,1,3,5,1,5,1,0,2,8,2,3,4,4,6,9,9,3,5,5,1,2,2,2,2,4,4,3,3,10,3,11,4,33,5
glu,0,3,5,golgi,9,10390,112,198,134,65,42,30,22,201,54,37,16,32,21,54,7,10,12,13,11,12,12,10,10,10,8,11,4,10,7,12,14,8,5,7,8,5,2,10,6,12,5,6,3,11,8,4,4,4,3,9,7,9,7,8,11,6,5,8,4,9,6,2,1,2,7,4,4,3,5,4,8,2,6,3,1,5,3,2,3,10,5,10,7,1,3,1,1,6,3,3,4,3,2,8,12,4,4,13,4,1
glu,0,3,5,golgi,13,7491,61,202,72,76,47,36,25,127,20,23,16,31,9,32,11,7,5,8,8,9,15,7,5,9,5,4,8,4,9,13,7,8,9,9,7,4,3,10,6,6,9,10,10,11,9,11,6,5,10,9,16,8,6,11,4,7,17,4,6,5,4,3,8,5,6,1,4,5,5,5,2,3,0,1,4,3,1,2,4,10,12,9,2,1,3,0,0,0,1,0,1,5,4,2,13,5,8,12,10,4
glu,0,3,5,golgi,14,3786,31,132,39,24,19,22,8,71,5,6,5,19,8,26,1,11,8,7,4,5,2,6,5,8,0,4,2,2,3,12,4,5,2,4,2,3,1,0,2,0,6,1,2,5,2,5,5,6,4,4,5,5,7,2,5,2,2,4,1,0,3,4,1,0,1,0,0,0,7,2,0,0,1,2,1,1,0,0,2,2,4,6,7,5,3,0,0,3,2,0,0,4,1,4,0,2,3,4,23,2
glu,0,3,5,golgi,15,7997,218,290,204,79,34,25,28,194,78,52,27,34,14,40,19,29,15,13,12,13,14,20,11,19,23,4,11,15,10,10,11,7,4,3,4,6,5,8,12,3,5,9,9,10,12,4,10,6,7,9,4,6,8,6,12,6,3,10,7,8,3,6,5,9,12,12,7,7,2,3,3,12,3,3,6,5,0,4,8,9,10,4,5,1,1,7,2,6,5,1,3,7,4,4,12,8,12,10,2,1
glu,0,3,5,golgi,16,3940,6,108,24,23,5,13,5,86,2,5,4,3,3,28,1,3,0,6,3,8,6,0,3,2,3,6,2,2,2,7,0,3,2,7,2,1,1,2,1,2,1,3,0,9,4,2,1,1,2,1,2,2,1,3,1,5,2,9,0,2,1,3,2,1,2,0,0,0,1,3,1,0,0,0,0,0,1,0,0,1,5,9,2,3,0,0,0,0,0,0,2,0,1,0,2,0,3,1,13,2
glu,0,3,5,golgi,18,8438,44,175,74,82,68,43,23,218,30,26,47,42,18,46,21,18,33,20,17,19,12,10,12,14,6,4,10,13,6,19,9,6,10,8,10,14,9,9,4,11,4,10,12,9,10,6,1,4,2,0,3,7,13,6,3,4,5,3,5,3,5,2,5,6,5,5,2,2,5,3,2,3,1,2,1,5,2,3,4,5,12,8,7,12,6,8,33,14,1,1,1,3,1,0,7,3,5,10,3,53
glu,0,3,5,golgi,19,3362,26,58,16,5,2,4,2,64,17,9,4,2,4,20,4,5,2,3,6,3,4,5,0,4,2,3,2,2,2,2,10,1,2,1,2,3,0,0,2,2,0,1,3,2,1,1,0,3,0,2,1,1,0,0,1,3,2,2,1,0,0,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glu,0,3,5,golgi,21,7714,67,78,22,22,4,9,2,179,14,17,5,5,2,48,8,10,4,4,3,3,3,4,1,2,1,3,5,4,2,4,9,0,0,1,2,2,2,3,1,5,2,0,2,1,5,3,2,5,3,0,2,2,0,4,0,1,3,0,0,1,0,1,2,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
