experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
leu,75,3,1,golgi,5,13551,101,12,13,44,23,8,13,19,11,17,8,10,10,7,8,2,4,3,6,9,10,9,11,7,4,3,7,5,5,2,2,3,1,1,4,3,1,1,2,2,2,2,1,0,1,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leu,75,3,1,golgi,6,13240,123,12,20,43,16,17,15,28,18,20,7,17,22,5,9,6,4,2,6,4,5,11,7,5,11,9,5,3,3,8,10,2,2,4,1,2,4,2,2,1,2,4,0,1,6,3,1,1,5,1,3,1,0,2,2,1,1,3,1,3,1,3,2,2,2,2,3,3,0,1,1,2,0,1,2,2,1,4,1,2,2,2,2,5,2,1,1,3,0,4,1,0,2,2,2,13,23,3,0,0
leu,75,3,1,golgi,8,12474,154,19,68,46,26,16,16,23,15,16,9,9,19,16,14,15,13,11,11,10,11,9,16,16,11,10,11,7,11,9,5,3,2,4,1,3,2,1,0,3,7,1,2,2,0,4,4,3,4,3,4,0,1,1,3,4,4,3,4,2,1,1,1,4,4,5,2,5,2,1,2,3,1,3,3,4,2,6,0,1,0,3,1,3,2,2,1,3,4,1,8,4,6,5,3,9,7,12,4,0
leu,75,3,1,golgi,9,10136,110,16,14,30,18,11,10,15,4,12,10,5,8,5,6,3,3,5,5,8,7,8,6,7,4,5,4,5,4,6,3,1,0,2,5,0,2,4,3,2,0,1,1,1,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,2,0,3,0,0
leu,75,3,1,golgi,10,21120,153,23,33,57,38,15,33,31,15,25,14,24,30,12,13,10,9,8,10,5,19,8,13,6,11,15,12,10,5,7,7,7,6,3,5,6,3,5,2,5,3,0,5,5,2,1,2,2,2,4,5,0,0,1,1,0,1,1,5,0,2,2,2,1,3,2,3,0,4,0,0,2,2,0,3,1,3,3,3,3,0,2,1,2,0,1,1,1,5,3,3,2,2,6,5,5,12,11,4,0
leu,75,3,1,golgi,11,6646,63,8,15,30,21,15,15,15,18,13,5,9,5,6,12,10,7,6,6,6,7,12,10,20,5,11,12,9,5,8,6,3,4,5,1,2,4,1,3,4,6,2,2,1,2,3,2,0,1,0,1,1,0,1,0,1,0,2,2,2,0,1,1,1,0,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leu,75,3,1,golgi,12,4254,73,10,25,23,13,17,6,11,12,14,7,11,8,10,5,3,4,5,4,12,12,5,10,6,6,10,3,4,7,3,5,3,3,10,3,1,4,2,3,2,3,1,1,5,4,2,1,2,1,3,1,1,3,4,2,8,5,8,6,10,3,4,1,2,3,0,1,4,2,1,3,2,7,3,1,2,2,4,0,0,0,1,3,2,1,0,1,1,4,5,3,2,2,15,62,33,2,2,0,0
leu,75,3,1,golgi,13,10950,97,10,9,23,17,4,5,10,13,13,1,6,9,2,3,1,4,1,2,8,6,4,7,3,2,8,3,7,6,1,2,0,1,1,0,0,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leu,75,3,1,golgi,14,7462,106,13,20,25,19,13,12,12,5,16,6,17,12,10,7,7,10,16,8,3,7,2,3,6,2,2,1,4,1,2,9,3,0,2,3,4,1,4,3,1,3,4,4,5,3,2,3,2,2,3,3,2,1,3,2,3,1,1,2,1,2,0,2,1,0,0,1,0,3,1,0,2,0,1,0,0,1,0,0,0,3,1,2,4,3,1,2,2,4,3,3,1,5,4,2,8,7,13,1,0
leu,75,3,1,golgi,15,10087,122,13,8,41,17,10,9,11,11,10,8,7,9,5,4,4,6,3,5,5,7,9,2,3,2,3,5,4,7,5,1,3,0,4,4,2,2,2,2,0,3,3,1,2,1,2,0,2,3,1,2,2,1,0,0,0,0,1,0,2,0,2,2,3,0,3,3,1,3,0,3,0,0,1,2,0,0,1,1,0,0,1,0,3,1,2,1,2,0,2,1,1,2,1,2,3,4,3,3,0
