experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
rpmc,200,3,1,golgi,2,7864,178,64,25,21,6,10,7,10,5,5,3,3,5,12,9,7,5,2,8,5,15,11,6,20,13,10,16,8,12,11,6,8,5,7,4,5,8,8,6,5,14,3,6,1,9,3,3,15,3,2,5,4,5,8,4,4,3,15,15,4,3,5,4,7,3,4,4,4,5,4,4,2,6,6,6,4,5,8,5,8,3,8,3,2,4,5,6,4,10,7,10,10,3,5,7,12,13,18,57,32
rpmc,200,3,1,golgi,3,8173,117,45,24,13,8,14,6,5,6,5,2,2,5,4,4,4,1,1,8,3,9,6,4,11,6,13,6,6,2,10,5,9,3,5,2,6,7,4,2,5,2,2,3,3,3,6,6,11,4,3,2,6,2,6,1,0,2,4,3,4,1,1,2,9,4,3,2,5,3,4,6,4,1,2,7,0,4,3,6,2,2,7,5,7,3,5,3,1,2,5,7,2,5,6,7,10,13,15,34,28
rpmc,200,3,1,golgi,4,9472,69,17,15,17,7,16,6,0,0,1,2,1,2,7,5,6,2,0,12,2,6,1,4,4,4,13,5,6,6,5,3,5,1,0,2,3,1,1,2,5,7,3,6,4,3,2,4,28,4,4,2,1,11,5,1,1,3,10,7,5,6,4,4,3,3,3,6,1,3,0,3,1,1,0,0,3,3,3,2,6,4,2,6,7,3,3,4,7,3,4,2,5,3,9,4,7,8,4,3,0
rpmc,200,3,1,golgi,5,4381,178,72,32,24,18,16,20,9,10,7,7,8,10,6,10,8,7,2,8,4,9,5,5,8,5,13,5,6,6,4,6,7,2,4,4,3,8,4,8,3,2,2,2,3,1,2,11,16,4,3,7,2,4,2,6,3,6,3,2,3,2,3,1,4,4,3,3,4,3,2,2,1,4,4,1,2,2,3,2,2,4,6,5,7,8,4,2,4,10,3,8,10,8,15,16,9,23,20,40,38
rpmc,200,3,1,golgi,6,9766,81,18,16,14,4,19,7,5,4,2,2,1,0,16,1,4,1,4,27,4,15,7,12,11,3,7,8,8,7,4,2,6,5,5,1,12,3,2,8,2,3,1,5,4,0,10,3,25,8,10,5,2,5,3,5,3,1,13,11,6,4,2,8,19,12,4,13,17,6,1,3,5,8,9,13,3,3,6,6,9,3,12,10,12,8,5,7,4,5,14,6,8,5,5,9,9,13,5,2,5
rpmc,200,3,1,golgi,7,4601,93,32,27,18,12,8,9,6,4,6,2,4,3,9,3,6,3,3,8,0,12,9,4,9,6,13,3,10,9,12,6,4,2,5,3,8,1,6,2,2,1,3,3,1,6,3,1,7,4,2,2,1,1,2,2,1,0,6,9,5,3,1,3,11,5,3,5,1,6,1,3,5,3,3,6,6,1,8,7,4,3,4,4,2,3,5,5,9,9,8,8,5,10,11,9,10,18,11,11,18
rpmc,200,3,1,golgi,8,9800,131,52,30,18,4,17,10,2,5,4,2,4,1,14,7,5,5,1,9,5,21,11,2,17,7,9,8,12,11,5,5,16,2,7,4,16,4,0,6,4,6,1,7,5,2,8,9,26,8,5,3,2,1,9,2,2,4,3,12,1,5,5,8,16,9,5,10,1,3,2,6,6,3,4,6,2,2,3,4,4,8,7,1,5,7,11,9,8,7,8,5,9,8,7,12,9,20,17,13,9
rpmc,200,3,1,golgi,9,7869,52,21,11,9,3,14,1,3,3,4,0,0,1,12,4,3,0,0,7,1,11,7,4,5,6,6,11,7,4,4,2,4,2,2,5,3,1,3,3,2,2,2,0,3,0,6,2,12,2,1,2,1,3,2,0,4,4,6,1,3,1,2,3,8,1,2,2,3,2,4,3,1,0,0,5,2,3,1,3,4,2,1,4,2,1,1,3,3,3,2,0,4,3,2,3,2,9,4,14,9
rpmc,200,3,1,golgi,10,8242,17,4,5,4,0,10,0,0,0,2,1,0,0,6,1,0,1,0,7,3,4,3,0,3,3,3,4,2,6,2,1,3,0,0,2,3,1,0,2,0,1,1,4,1,2,0,0,5,1,2,1,0,2,3,0,0,2,1,0,1,0,2,2,3,3,0,0,2,4,0,1,2,0,0,3,1,0,3,1,2,3,1,2,1,3,1,3,1,1,3,0,3,1,4,4,1,1,2,0,0
rpmc,200,3,1,golgi,11,7535,109,34,20,13,10,17,9,9,5,5,4,3,5,10,9,9,2,4,12,5,13,10,8,9,2,15,8,9,3,11,2,4,3,5,3,2,3,5,5,7,12,1,3,7,0,5,1,12,7,3,8,5,8,5,1,2,2,11,10,4,1,2,5,2,3,4,2,2,5,3,1,6,1,1,3,5,3,3,3,6,1,4,4,2,3,5,6,2,5,11,5,5,10,5,3,8,6,19,20,40
rpmc,200,3,1,golgi,12,6270,62,28,14,9,4,6,6,2,2,3,2,5,2,7,4,6,1,0,4,2,10,4,4,6,5,5,5,4,4,6,0,2,2,2,1,6,3,1,3,2,0,0,1,3,1,8,2,3,4,1,4,2,3,4,3,3,0,5,4,1,2,0,5,4,2,0,4,4,3,1,1,3,1,3,1,3,2,4,5,3,3,2,3,4,4,1,13,2,5,14,3,7,5,12,3,7,15,6,7,1
rpmc,200,3,1,golgi,13,11591,107,57,29,30,11,28,10,7,12,7,4,4,4,13,16,7,10,3,14,6,27,14,6,12,4,17,13,17,11,8,1,7,6,3,5,14,6,1,5,4,4,2,6,6,2,12,11,29,12,3,7,4,6,10,6,3,2,12,13,4,1,5,6,15,7,8,8,20,6,3,3,3,3,3,0,3,7,3,6,7,8,12,8,14,7,5,11,10,9,5,7,14,7,4,10,13,23,18,17,30
