experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
betaEstrodiol,10,3,5,mitochondria,1,8347,7,50,20,3,49,47,54,11,8,9,5,11,4,3,214,13,8,7,5,0,24,16,23,15,566,9,16,54,26,24,12,8,12,5,5,160,12,100,18,59,8,10,16,10,7,11,8,12,4,11,14,29,22,22,49,43,46,17,18,11,15,9,11,12,13,13,19,15,7,8,21,14,23,10,14,12,20,12,22,8,19,32,38,17,28,21,21,19,41,25,91,23,43,31,23,24,64,79,158,432
betaEstrodiol,10,3,5,mitochondria,2,10610,22,127,23,2,61,73,97,13,7,16,9,9,4,4,197,15,7,15,6,0,17,28,33,17,534,12,29,54,16,14,25,18,7,10,5,129,16,88,14,44,8,15,12,17,6,10,9,28,7,12,20,33,21,40,21,52,59,26,17,10,15,18,25,10,9,18,36,19,13,8,14,18,19,8,14,13,16,10,19,14,25,33,51,22,45,21,29,34,32,15,57,45,46,36,41,34,67,82,145,626
betaEstrodiol,10,3,5,mitochondria,3,20154,19,69,24,1,30,27,38,5,1,9,2,5,1,1,384,21,7,5,18,3,16,1,10,11,812,6,17,93,16,13,13,6,5,2,2,262,3,133,24,107,31,13,11,25,5,9,10,6,9,7,24,32,31,35,57,73,29,32,32,19,34,25,32,29,18,30,44,22,24,23,39,13,38,30,36,25,49,30,31,39,46,36,112,55,53,55,43,47,53,49,223,64,64,42,22,33,49,35,263,43
betaEstrodiol,10,3,5,mitochondria,4,12862,26,97,10,1,85,91,110,15,7,11,7,10,9,2,249,8,7,11,8,3,19,27,32,9,499,24,21,55,17,9,21,20,11,8,7,128,16,93,23,56,16,11,18,13,10,14,9,23,14,10,19,26,26,22,19,38,39,17,24,9,11,14,32,15,18,20,33,17,13,16,19,13,15,15,15,9,22,8,28,12,13,37,58,24,50,23,22,37,42,26,106,59,50,39,46,40,98,87,294,497
betaEstrodiol,10,3,5,mitochondria,5,25480,17,106,24,0,58,73,88,9,2,15,6,11,5,3,388,16,9,14,16,6,50,19,29,17,971,19,21,80,21,23,23,16,20,11,8,261,13,150,33,123,19,15,24,15,9,18,14,22,10,2,23,35,30,35,51,79,25,25,30,10,31,30,25,35,19,30,40,32,13,11,26,9,30,18,24,14,22,15,31,19,30,36,50,31,62,28,37,51,78,30,183,60,75,49,43,52,112,81,341,432
betaEstrodiol,10,3,5,mitochondria,6,13001,4,37,10,0,9,25,27,6,1,10,0,2,0,0,349,7,3,6,2,0,8,3,11,10,766,4,12,52,2,5,3,3,5,5,1,229,3,125,20,94,9,8,10,6,8,7,4,6,4,1,14,20,8,28,17,80,15,21,19,21,8,16,18,11,10,19,12,13,5,4,11,7,13,6,8,5,18,3,32,9,14,18,37,23,24,15,13,25,23,23,68,28,27,34,14,22,42,30,174,121
betaEstrodiol,10,3,5,mitochondria,7,16649,18,49,47,1,24,26,23,5,4,22,4,12,2,1,328,33,3,11,37,2,62,9,13,38,731,19,36,80,56,64,22,24,18,11,7,210,36,114,16,109,14,25,19,22,10,19,12,14,12,6,25,23,57,39,38,45,35,20,23,16,25,18,15,19,23,29,18,34,21,31,19,14,19,11,17,18,37,22,18,19,38,33,42,40,70,19,36,41,79,38,108,37,96,27,47,51,117,73,346,245
betaEstrodiol,10,3,5,mitochondria,8,9315,4,42,5,0,14,30,30,6,0,5,2,2,1,1,228,5,2,6,2,0,6,2,19,5,530,3,8,45,2,2,3,3,7,1,1,171,4,99,10,85,4,8,9,7,5,6,3,7,1,2,9,13,5,16,17,55,6,15,19,14,15,10,9,6,10,7,17,3,5,3,4,4,4,5,10,4,11,8,14,10,10,16,21,18,27,13,19,11,14,13,61,17,18,30,9,17,21,32,96,106
betaEstrodiol,10,3,5,mitochondria,9,15735,7,57,3,1,5,13,26,0,0,1,0,0,0,0,319,6,3,4,0,0,1,2,7,0,847,5,10,53,3,5,1,3,2,2,1,266,1,138,10,89,22,10,7,7,1,2,3,12,1,1,7,14,9,24,15,65,14,32,22,8,14,15,16,11,7,13,22,10,4,9,8,3,15,11,14,11,11,4,21,3,11,8,41,13,29,22,14,14,16,15,113,35,13,38,14,12,6,20,55,35
betaEstrodiol,10,3,5,mitochondria,10,8508,7,34,6,1,23,22,27,1,1,4,1,2,0,1,246,0,2,2,1,1,3,2,5,3,578,2,3,42,4,2,4,3,7,0,1,218,1,114,17,93,7,6,2,7,3,3,0,6,3,2,3,10,11,12,15,50,17,18,15,16,6,15,6,7,4,1,3,5,2,1,20,1,24,6,13,11,18,6,18,14,4,5,23,5,11,16,7,9,10,14,25,3,10,5,6,5,10,17,33,59
betaEstrodiol,10,3,5,mitochondria,11,7539,14,60,11,1,29,43,38,4,4,5,6,5,3,3,147,4,1,7,7,1,19,5,14,14,313,10,11,39,26,32,11,14,11,3,8,68,11,63,12,30,2,9,7,8,7,4,5,15,4,10,8,8,19,18,12,21,25,18,8,3,5,3,8,15,2,9,9,16,2,6,6,14,12,7,7,5,5,12,12,9,18,23,24,14,28,20,25,12,47,9,59,9,36,13,35,37,55,59,169,277
betaEstrodiol,10,3,5,mitochondria,12,20662,25,163,28,6,122,102,139,25,5,17,18,9,3,2,346,8,4,14,8,1,13,38,61,14,818,32,41,69,18,34,22,25,15,11,14,214,29,128,25,63,14,14,24,11,4,9,11,33,13,10,37,62,36,39,42,93,99,35,34,17,32,22,27,26,20,20,29,27,11,15,23,17,15,8,12,9,11,16,18,16,28,30,41,23,43,25,31,27,32,29,99,58,38,51,39,55,116,136,236,842
betaEstrodiol,10,3,5,mitochondria,13,18495,8,45,4,1,11,18,43,0,2,2,0,0,0,0,419,8,2,3,6,0,12,3,18,7,964,10,15,59,11,13,9,6,5,1,1,259,8,161,28,127,15,7,16,6,3,4,3,12,4,3,10,24,10,29,27,72,27,31,31,4,16,14,19,13,11,16,23,16,6,5,10,7,15,13,14,12,11,8,20,10,9,23,32,10,37,18,11,16,19,18,67,28,12,24,21,20,29,46,88,217
betaEstrodiol,10,3,5,mitochondria,14,13883,12,49,6,1,24,16,39,4,1,3,3,1,1,0,356,5,4,3,2,1,4,6,16,6,837,7,10,46,12,6,8,7,8,1,3,247,7,129,16,85,10,7,11,8,5,6,5,5,2,2,10,16,5,28,13,56,13,18,23,10,14,18,21,10,4,8,17,12,8,6,18,8,11,5,9,8,18,10,19,13,26,16,40,13,20,12,12,7,14,18,67,20,24,21,16,15,33,37,125,193
betaEstrodiol,10,3,5,mitochondria,15,8677,11,44,19,1,43,29,13,2,2,7,1,4,4,1,186,4,2,8,11,0,25,14,11,13,471,5,13,47,13,15,15,16,7,2,3,116,20,79,7,63,3,11,6,9,6,7,3,5,4,7,12,36,42,18,14,36,40,25,9,8,11,3,8,7,3,5,6,11,5,4,10,13,16,5,6,5,23,16,9,7,20,16,15,8,19,7,10,7,17,10,26,14,49,27,14,31,55,71,95,313
betaEstrodiol,10,3,5,mitochondria,16,19017,5,48,1,0,63,24,21,3,1,2,1,0,0,1,365,2,0,0,1,0,12,15,15,2,945,8,6,48,9,2,2,5,9,2,1,335,2,202,33,184,18,5,4,4,3,8,3,10,6,3,2,10,3,13,16,80,51,25,18,19,9,5,3,5,3,5,8,6,2,5,1,1,5,2,10,2,18,3,8,7,6,17,13,5,16,2,5,4,5,2,10,4,9,9,10,5,14,29,15,219
betaEstrodiol,10,3,5,mitochondria,17,20441,15,120,9,1,39,65,94,11,5,9,6,7,1,2,297,13,7,12,7,3,17,21,48,11,680,26,30,62,14,9,6,15,12,5,8,169,13,111,15,64,13,15,20,13,10,10,15,19,7,6,16,24,19,30,18,33,21,28,25,13,24,15,31,17,14,21,39,18,15,11,13,9,20,17,20,7,23,15,21,12,22,24,64,23,49,33,26,28,32,29,118,70,62,44,52,39,82,95,291,575
betaEstrodiol,10,3,5,mitochondria,18,10907,21,79,8,0,27,58,84,12,0,3,0,3,0,1,228,13,3,8,3,1,7,7,22,5,509,9,16,43,1,7,8,4,13,2,3,142,2,83,10,49,16,8,17,10,3,9,5,15,3,1,15,34,12,45,31,59,13,27,21,29,24,20,26,15,12,24,37,21,8,4,32,4,18,25,33,12,21,18,33,13,20,30,100,13,46,26,15,20,18,16,111,28,18,36,18,14,23,28,105,127
betaEstrodiol,10,3,5,mitochondria,19,13954,9,45,6,1,17,7,22,1,1,4,4,0,0,1,311,3,3,10,2,0,6,5,16,3,827,3,8,66,8,4,10,2,10,3,1,272,8,179,21,130,9,4,11,6,2,6,2,16,3,2,11,18,5,28,17,71,13,21,16,12,15,14,7,9,7,10,16,7,3,4,19,9,12,9,13,5,17,6,18,12,13,16,35,14,24,11,13,13,14,13,47,21,14,21,16,21,28,28,77,187
betaEstrodiol,10,3,5,mitochondria,20,8505,12,74,4,3,61,55,48,13,4,8,7,6,1,4,167,5,1,9,8,0,19,8,18,6,440,13,11,32,8,6,3,6,8,6,3,93,6,50,8,31,8,12,13,8,7,10,8,9,10,7,4,28,12,24,20,39,80,15,20,6,10,14,14,11,3,20,23,12,1,7,14,11,8,11,11,8,20,10,28,16,11,20,46,13,33,17,21,9,14,16,60,25,27,24,22,27,63,39,120,279
betaEstrodiol,10,3,5,mitochondria,21,5219,9,48,5,1,43,35,28,3,2,8,4,1,2,0,138,2,1,6,0,0,4,7,22,4,342,5,11,32,2,6,2,8,11,4,4,107,7,64,11,42,9,10,8,8,4,5,5,8,5,1,4,21,6,25,13,54,16,15,12,19,10,18,15,11,12,16,19,5,4,8,5,5,6,6,6,4,18,2,16,9,12,9,33,7,32,11,12,13,11,19,35,27,10,15,14,3,11,29,33,223
betaEstrodiol,10,3,5,mitochondria,22,14761,8,28,4,0,6,11,12,0,0,2,0,0,0,0,329,9,2,3,1,0,1,1,5,0,815,4,18,58,0,1,6,1,6,0,0,264,5,143,30,138,17,15,9,14,1,11,3,8,1,1,8,23,3,33,24,57,26,46,21,21,20,17,22,12,8,13,22,4,7,8,25,6,20,9,35,11,26,11,20,14,20,18,84,20,39,25,12,24,11,33,82,25,5,26,10,12,12,37,46,6
