experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,0-5,3,0,mitochondria,1,5316,746,1381,132,305,98,215,114,118,77,79,29,33,27,37,33,37,25,16,25,16,12,30,36,21,22,10,17,29,24,9,7,3,8,5,1,6,9,11,8,9,2,2,3,1,3,1,2,0,3,4,2,6,2,5,7,13,12,4,4,6,2,5,9,11,5,6,7,38,59,68,21,9,18,14,15,12,9,36,17,40,29,27,20,45,45,22,16,17,15,96,45,37,26,35,36,105,323,50,45,3
glu,0-5,3,0,mitochondria,2,4959,621,1063,117,254,86,143,77,82,82,95,60,28,32,37,35,37,34,30,13,16,12,24,21,42,16,10,8,16,18,6,6,5,12,0,8,9,12,11,16,11,5,0,3,4,0,2,1,1,1,3,4,5,4,9,8,6,4,9,4,4,5,7,6,8,4,3,5,25,29,32,6,6,7,8,15,6,9,20,21,21,8,11,15,36,33,18,13,19,9,65,44,40,27,35,33,110,258,86,113,15
glu,0-5,3,0,mitochondria,7,3256,553,919,113,238,102,187,119,80,56,98,60,78,28,50,31,47,35,26,26,28,25,29,18,18,33,12,21,14,29,9,8,6,10,8,5,9,5,10,12,11,2,6,6,5,2,3,5,3,2,5,2,2,3,4,6,7,8,3,4,3,4,1,3,2,2,8,5,10,29,29,10,10,15,6,11,9,12,21,17,21,14,13,20,34,34,48,28,20,15,44,38,34,27,21,23,119,374,56,80,0
glu,0-5,3,0,mitochondria,8,1827,333,648,63,172,75,103,105,71,42,57,55,129,21,43,36,54,36,40,19,20,25,24,21,36,30,18,11,20,21,7,5,5,11,6,6,3,15,6,5,6,7,4,1,2,3,0,0,2,0,4,0,1,1,4,4,11,6,1,6,0,2,0,2,7,0,4,1,4,8,15,5,7,10,3,7,5,2,13,5,11,6,11,15,26,23,24,33,11,3,23,31,35,18,23,34,149,249,142,69,5
glu,0-5,3,0,mitochondria,9,1937,393,517,69,153,72,98,77,58,50,67,55,41,31,27,26,27,21,16,20,17,13,9,15,26,26,7,7,7,9,5,4,5,4,5,6,3,8,7,7,4,0,2,5,2,1,3,0,1,4,0,1,0,3,5,6,6,5,2,3,3,5,3,1,4,1,3,1,11,15,16,8,10,12,5,5,2,3,9,8,9,5,4,13,17,40,30,10,11,5,9,23,22,18,19,21,93,189,102,121,0
glu,0-5,3,0,mitochondria,11,1987,401,616,54,179,62,83,77,46,29,57,58,42,23,20,17,11,34,13,11,18,10,20,10,18,22,4,13,10,11,6,5,1,4,3,3,3,5,12,10,15,2,3,3,5,0,3,2,4,2,1,2,4,1,3,4,3,10,3,7,1,2,1,5,1,7,4,3,9,5,19,4,5,3,11,5,7,8,14,6,13,4,12,9,20,33,39,9,6,5,8,16,25,22,30,16,101,223,40,48,0
glu,0-5,3,0,mitochondria,12,3817,623,1218,134,287,103,163,124,87,59,101,64,68,44,35,38,52,40,19,21,27,31,23,20,49,40,16,13,19,26,9,5,7,6,5,16,1,14,19,13,10,4,1,4,5,8,3,6,1,2,8,2,5,5,4,9,6,8,6,6,5,4,5,4,6,2,5,5,14,34,36,9,6,15,8,9,3,6,18,20,26,10,19,8,30,36,13,14,10,10,31,41,17,15,37,24,185,327,117,132,5
glu,0-5,3,0,mitochondria,13,1459,329,477,57,179,41,92,50,49,68,57,20,24,12,19,17,13,12,8,7,17,15,16,15,22,11,9,12,14,8,1,1,5,1,2,4,3,6,4,6,4,1,2,5,1,2,3,1,1,2,2,3,1,1,5,5,7,6,3,6,4,2,6,2,2,3,0,1,10,25,34,4,5,11,5,7,5,1,11,7,8,9,5,8,8,15,14,12,14,3,33,15,29,13,26,27,122,160,48,51,8
glu,0-5,3,0,mitochondria,14,3653,519,1028,154,263,116,94,117,70,58,70,68,46,37,30,36,39,36,30,33,22,28,24,26,30,24,13,16,16,14,15,7,4,9,13,10,6,8,11,11,12,3,2,3,4,2,5,6,1,5,3,4,9,6,6,12,10,8,6,4,8,5,1,2,7,5,3,7,15,25,25,18,10,12,11,5,3,7,10,15,18,17,16,7,28,35,29,11,20,13,63,44,23,32,28,15,174,245,105,251,5
glu,0-5,3,0,mitochondria,15,4988,830,1197,173,386,134,184,183,112,95,117,101,74,57,52,47,46,49,29,28,33,21,21,26,33,31,16,24,33,26,13,8,10,10,4,6,16,16,8,12,12,2,6,2,8,8,5,3,3,2,6,9,4,7,7,6,10,12,4,11,10,6,9,11,4,5,6,6,7,21,34,15,8,21,19,10,5,6,26,14,25,10,21,10,27,37,34,19,19,9,66,70,61,26,42,41,240,400,157,143,24
