experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,50,3,6,mitochondria,2,3902,504,997,110,241,70,173,75,65,86,89,49,32,21,23,25,22,27,31,23,18,16,25,22,32,17,17,14,21,23,6,5,9,7,3,9,7,9,11,1,8,3,5,3,8,3,5,5,3,2,7,5,3,3,5,6,9,8,5,5,2,2,5,10,8,6,5,12,18,54,70,15,11,24,6,9,10,17,26,13,20,24,14,20,46,29,31,16,19,9,110,41,50,17,31,40,151,264,65,66,1
glu,50,3,6,mitochondria,9,6273,774,1280,148,300,139,211,227,96,103,90,75,68,37,48,40,47,51,29,24,26,37,23,36,28,32,24,17,26,33,5,8,6,11,18,10,9,13,7,9,12,6,3,12,6,5,4,3,3,8,7,7,4,3,5,8,10,8,5,4,9,4,6,11,6,1,7,9,14,39,36,14,15,15,14,22,19,13,31,31,34,17,15,16,43,66,38,26,33,21,85,96,70,35,76,55,187,598,100,91,1
glu,50,3,6,mitochondria,15,3869,675,1128,152,293,154,151,130,63,67,108,76,66,32,56,39,46,33,30,33,38,29,19,33,30,29,14,16,29,23,11,8,11,9,15,10,9,10,13,9,5,4,2,8,3,7,1,4,7,6,3,5,3,6,12,4,10,9,3,5,8,2,5,4,5,5,6,6,19,25,28,11,8,10,10,7,7,3,15,13,12,10,8,9,27,18,19,14,14,13,71,53,42,29,32,35,255,303,163,273,54
glu,50,3,6,mitochondria,17,4100,562,1005,112,226,71,146,98,70,65,89,42,30,31,25,24,33,43,15,22,19,22,22,17,23,24,13,19,20,22,10,7,6,7,9,9,17,11,5,10,5,5,3,5,5,2,0,2,3,0,11,8,4,5,5,11,5,12,4,2,3,2,6,3,5,4,4,9,24,50,46,11,8,23,7,11,8,8,17,12,22,9,12,14,11,16,22,8,14,19,55,29,27,19,22,35,147,170,87,125,3
glu,50,3,6,mitochondria,19,6842,698,1531,151,304,99,171,100,91,100,122,49,49,42,26,40,56,43,20,19,22,20,23,30,40,29,7,15,16,26,7,6,9,10,9,21,5,11,11,11,9,3,2,2,1,3,3,1,1,1,3,2,2,4,14,10,10,11,9,7,10,10,5,5,8,11,10,12,28,82,65,18,18,21,10,11,12,14,27,15,19,25,16,19,33,37,29,11,20,4,97,30,37,30,46,54,176,455,57,78,10
glu,50,3,6,mitochondria,20,3589,592,857,102,236,86,153,77,66,53,93,34,37,24,16,26,30,31,18,12,23,21,23,21,22,22,3,8,24,14,11,6,11,8,7,6,4,5,10,14,9,5,5,4,2,2,3,1,1,4,2,1,6,4,4,8,13,10,2,4,5,2,2,4,4,3,3,8,11,32,45,10,7,16,8,17,7,3,20,10,14,18,15,9,20,33,22,14,14,10,85,31,40,22,32,35,155,290,66,69,0
glu,50,3,6,mitochondria,21,4354,593,1173,182,284,128,208,149,100,91,109,93,70,47,61,40,53,38,41,34,35,19,22,33,41,41,20,17,13,29,11,9,6,5,9,12,14,15,18,8,8,3,5,6,4,2,6,4,1,5,6,10,6,6,0,3,18,10,5,7,13,6,5,4,7,5,4,7,14,31,38,7,9,11,13,11,7,6,26,18,17,13,13,15,37,43,23,15,19,17,80,59,28,31,30,48,253,409,167,156,9
glu,50,3,6,mitochondria,22,3702,564,1095,152,280,112,173,137,81,72,121,72,45,36,30,44,49,40,33,24,30,20,25,28,33,17,17,25,35,23,14,3,7,8,11,11,7,11,13,10,5,5,5,1,9,4,5,4,1,4,5,5,7,2,4,9,5,5,4,5,5,5,6,3,6,5,6,8,16,50,31,15,6,13,10,5,6,9,28,15,16,18,12,12,22,22,15,11,8,18,71,52,50,21,39,45,237,337,88,144,16
glu,50,3,6,mitochondria,23,2438,413,697,90,207,85,87,57,65,71,74,38,19,23,17,27,26,22,29,15,12,11,15,20,22,16,11,8,18,18,4,3,3,6,3,7,7,6,7,3,6,1,3,7,2,1,1,1,1,0,2,4,4,0,2,11,8,9,0,4,3,1,3,5,2,5,5,7,21,26,27,8,6,9,11,8,5,10,19,8,10,12,7,8,13,12,16,8,18,8,70,38,26,16,24,41,161,235,45,48,0
glu,50,3,6,mitochondria,24,5608,695,1194,105,260,76,92,93,74,127,65,9,22,11,19,26,28,12,20,10,14,19,21,17,21,10,3,16,19,15,3,5,0,3,4,8,3,5,8,14,4,1,1,5,1,3,4,1,2,1,4,4,6,5,7,11,25,12,6,9,3,3,11,4,10,5,12,17,45,127,80,11,12,27,11,17,16,8,43,12,6,24,9,19,34,18,25,14,18,4,138,31,35,19,22,65,69,150,11,11,2
