experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
leu,0,3,4,mitochondria,1,4087,1091,358,181,175,117,98,117,72,73,89,76,71,47,31,37,21,39,29,26,19,24,17,12,12,4,16,13,10,14,6,14,8,9,7,4,5,9,7,2,6,3,5,7,2,4,2,2,4,8,4,3,6,4,3,3,20,7,34,35,14,39,20,28,8,9,8,2,4,8,10,5,12,14,7,13,8,21,17,10,7,17,10,10,13,15,7,17,46,40,17,29,20,26,43,36,47,66,109,157,730
leu,0,3,4,mitochondria,2,4679,1238,367,186,154,97,75,83,74,45,61,63,52,63,61,51,46,37,32,21,22,18,23,19,19,20,28,22,18,14,13,20,14,4,9,14,11,10,17,8,7,4,8,10,4,2,8,1,0,3,8,3,2,3,4,9,12,10,26,39,16,52,31,27,15,7,4,4,2,7,8,6,9,7,9,2,7,16,4,11,12,12,4,8,8,6,10,14,21,8,15,14,15,13,16,24,37,62,140,213,1053
leu,0,3,4,mitochondria,3,6488,1356,509,203,169,128,93,115,91,77,72,91,124,91,63,55,40,43,30,37,29,27,27,30,19,16,20,26,15,23,13,20,18,8,11,9,15,8,13,5,7,12,4,10,6,1,6,2,2,2,2,4,5,1,5,5,9,13,14,25,22,34,38,25,12,11,4,5,10,11,8,7,10,10,10,21,12,15,14,6,9,11,8,9,12,12,16,13,44,36,19,24,27,28,30,41,63,75,210,245,1379
leu,0,3,4,mitochondria,4,8397,1636,549,235,177,129,110,141,96,75,79,89,103,88,79,52,48,59,38,25,38,37,32,25,20,20,24,30,17,13,17,19,16,5,7,10,13,13,9,10,11,14,5,6,8,5,6,6,4,4,2,3,7,4,3,5,15,5,24,17,14,36,18,21,9,8,5,4,15,7,10,5,5,15,12,16,10,9,19,7,14,10,5,5,15,14,10,27,44,29,27,24,13,22,35,57,62,86,281,329,1598
leu,0,3,4,mitochondria,5,5657,1317,497,205,215,138,99,91,92,60,57,68,86,75,60,58,52,45,30,22,31,28,25,19,20,21,25,29,24,22,17,22,18,9,11,9,12,11,9,12,13,11,9,11,7,4,5,3,1,6,1,1,6,4,1,0,6,5,8,22,26,19,21,23,9,9,11,8,9,3,14,11,13,18,11,18,16,33,45,24,12,16,13,8,9,10,10,5,13,28,24,39,33,33,57,53,62,119,197,285,1332
leu,0,3,4,mitochondria,6,9270,1702,513,223,229,156,139,144,112,91,94,113,77,60,61,45,33,45,48,31,32,23,19,18,19,22,19,17,19,19,22,15,7,12,11,11,9,12,19,12,18,11,12,6,11,3,3,5,6,11,10,4,10,2,12,5,29,31,101,99,41,71,47,40,18,16,9,7,18,17,19,15,18,18,12,15,25,21,24,19,16,22,27,15,26,20,18,21,56,34,35,31,28,23,33,33,71,90,196,191,1124
leu,0,3,4,mitochondria,7,3991,1081,402,177,123,112,72,91,63,47,62,69,50,61,51,45,34,22,34,17,19,32,34,11,19,15,27,20,14,9,11,8,8,11,6,4,6,7,12,15,12,8,10,7,9,4,2,3,3,5,6,2,6,5,4,4,4,6,5,19,14,17,28,11,18,8,9,7,9,12,9,14,10,18,9,9,10,22,24,16,20,15,15,9,9,12,14,18,14,28,23,37,25,37,35,42,59,108,194,252,1168
leu,0,3,4,mitochondria,8,5284,1002,308,169,161,108,85,92,77,55,60,92,80,51,49,38,30,35,24,22,20,25,17,17,16,20,21,24,17,11,12,11,12,13,15,10,11,5,11,13,12,8,9,5,10,3,1,1,1,6,2,2,3,3,4,3,13,10,16,24,25,29,24,20,12,7,6,8,10,11,14,14,16,16,12,15,15,11,10,12,4,15,7,4,7,7,7,13,28,22,14,21,18,13,28,26,45,63,184,207,1137
leu,0,3,4,mitochondria,9,5461,1261,486,252,176,163,139,134,79,78,143,143,82,70,63,58,46,32,36,31,34,31,20,27,17,27,21,17,18,25,17,14,16,11,10,9,12,15,7,15,10,14,6,5,6,3,0,2,2,1,5,2,4,3,2,4,6,14,12,16,12,17,20,10,7,4,8,3,4,5,11,9,9,9,11,8,9,6,11,3,11,13,6,7,10,7,10,33,69,85,20,27,18,23,28,33,58,96,167,305,1289
leu,0,3,4,mitochondria,10,11009,1622,603,272,209,158,151,136,124,84,108,114,104,84,71,68,51,63,42,34,45,39,36,32,36,31,24,25,29,12,29,16,14,11,19,20,15,14,15,13,21,19,14,9,10,4,3,4,5,12,8,4,7,4,7,5,18,11,20,30,24,54,32,26,23,16,12,7,7,7,7,9,20,13,16,10,20,27,25,20,14,23,11,12,12,23,23,32,50,28,38,42,33,43,56,74,117,142,337,382,1680
