experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
1nmpp1,500,3,5,peroxisome,1,6641,4,11,13,4,6,5,3,1,1,0,0,1,2,4,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,3,0,0,1,6,1,6,3,1
1nmpp1,500,3,5,peroxisome,2,7870,13,24,44,19,11,15,8,18,6,11,3,3,7,5,1,2,2,3,0,4,5,1,1,4,0,3,3,3,7,2,0,0,0,2,0,2,0,3,2,1,3,1,1,0,1,2,1,3,0,0,1,1,1,2,1,0,1,3,1,1,0,0,1,3,1,1,6,3,1,1,2,2,1,1,1,0,0,0,0,0,0,2,3,2,0,2,3,3,5,5,2,8,2,7,6,17,7,34,25,36
1nmpp1,500,3,5,peroxisome,4,7430,4,33,42,13,7,2,9,7,7,4,4,2,5,4,1,1,1,3,0,1,1,1,2,1,1,2,1,2,0,3,3,3,1,0,0,0,1,1,0,1,0,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,3,2,1,0,4,3,4,19,13,26
1nmpp1,500,3,5,peroxisome,5,11350,27,37,63,23,11,18,11,11,11,10,4,4,4,7,1,3,7,3,4,4,6,3,6,2,1,1,14,7,6,2,9,0,5,1,2,7,2,1,3,5,5,1,8,1,2,2,1,3,2,0,5,3,2,4,0,2,0,4,5,2,3,2,0,4,2,3,7,2,0,1,2,0,1,2,1,1,0,1,0,1,0,4,5,3,0,4,4,4,8,12,14,4,9,12,11,13,7,28,17,48
1nmpp1,500,3,5,peroxisome,6,8737,3,8,18,5,2,4,2,5,2,3,2,2,0,2,1,0,1,3,3,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0,2,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,3,0,0,1,0,1,0,0,0,0,1,3,0,0,0,0,2,0,1,1,1,2,1,1,1,1,5,1,7,1,4,4,2,6,4,4,0
1nmpp1,500,3,5,peroxisome,7,7968,11,39,25,14,9,11,3,10,7,2,2,2,3,1,4,4,1,2,1,1,2,3,0,3,0,2,0,0,2,0,0,0,1,3,0,0,2,4,2,4,1,1,2,0,0,3,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,1,1,0,0,2,1,0,3,0,1,0,0,1,0,0,0,3,2,1,8,3,1,3,6,3,3,20,22,35
1nmpp1,500,3,5,peroxisome,8,10774,20,48,38,21,10,11,6,10,6,8,7,8,11,4,0,4,6,6,4,5,1,4,2,1,1,4,2,1,5,1,3,3,2,1,1,4,4,3,1,6,3,4,3,2,6,5,0,2,3,6,1,3,1,1,2,2,1,2,3,3,1,1,1,0,2,1,2,1,0,2,2,0,0,0,3,0,2,1,2,1,1,1,0,1,0,1,1,3,8,3,2,6,0,5,5,6,7,28,14,98
1nmpp1,500,3,5,peroxisome,9,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1nmpp1,500,3,5,peroxisome,10,8424,6,33,57,20,15,17,8,14,8,5,3,6,6,2,1,2,3,4,3,4,4,1,0,0,1,0,1,0,1,2,0,2,2,2,1,1,1,2,2,4,2,0,4,4,1,0,0,0,1,1,2,0,1,0,0,1,3,0,1,3,1,2,0,2,1,4,3,3,4,1,2,3,1,1,2,0,6,2,2,1,1,3,5,2,1,7,3,7,1,11,7,7,8,4,14,14,22,15,13,2
1nmpp1,500,3,5,peroxisome,11,8980,7,25,40,8,13,14,4,11,9,3,2,4,4,9,3,5,0,8,2,3,2,4,2,1,3,4,3,1,1,2,1,0,3,1,3,3,7,5,2,2,1,1,2,2,1,1,3,1,2,1,0,4,1,3,1,1,4,3,1,2,1,1,5,3,2,2,2,3,3,4,2,3,3,0,1,1,3,1,0,2,4,5,2,9,2,3,4,7,9,8,2,8,12,13,14,7,10,7,20,8
