experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
betaEstrodiol,0,3,4,peroxisome,1,8594,193,61,146,24,33,52,20,31,26,18,18,22,12,12,10,7,10,4,4,8,13,10,13,21,16,22,9,4,4,9,9,6,6,9,20,5,8,4,7,15,4,9,8,4,9,5,5,3,4,8,3,5,8,7,3,2,2,6,7,5,6,8,4,6,1,4,7,10,3,5,4,4,5,10,7,4,7,8,4,2,0,2,1,2,1,3,5,2,1,8,11,0,6,11,10,12,12,20,85,67
betaEstrodiol,0,3,4,peroxisome,2,10774,240,70,221,44,38,44,31,29,37,21,39,27,25,6,10,11,9,6,9,2,6,7,10,14,14,14,18,7,5,9,6,8,13,16,10,13,10,6,7,22,14,3,10,7,9,13,8,6,7,6,3,7,8,12,4,1,4,3,1,6,7,7,5,13,1,1,8,5,3,3,5,2,0,3,6,6,6,4,5,3,2,2,1,3,3,9,7,3,6,10,13,2,4,8,10,17,15,21,106,57
betaEstrodiol,0,3,4,peroxisome,3,15886,265,127,370,62,119,92,50,55,61,22,43,25,44,21,27,32,25,9,11,15,14,13,18,31,40,12,36,13,13,16,16,13,10,16,24,11,21,17,11,17,13,14,11,1,7,6,11,3,10,20,7,28,33,7,13,6,7,8,6,10,14,4,14,15,5,6,12,20,5,8,12,6,6,13,15,10,16,12,6,6,5,4,7,5,4,10,5,12,5,15,14,6,11,30,26,37,26,46,176,129
betaEstrodiol,0,3,4,peroxisome,4,15948,189,64,150,46,79,70,39,34,40,36,39,34,36,23,13,10,18,3,6,9,18,11,8,23,16,17,17,7,14,16,10,9,8,16,13,14,14,12,17,11,6,5,12,3,5,3,4,1,6,6,4,8,5,6,3,7,7,9,17,6,5,13,10,3,0,4,3,10,4,5,5,5,4,8,21,7,8,9,4,2,1,0,1,5,2,4,2,10,6,16,15,3,5,15,10,17,24,36,206,83
betaEstrodiol,0,3,4,peroxisome,5,11219,182,30,160,30,43,43,12,13,24,19,37,20,16,10,16,12,2,1,4,9,11,16,12,23,8,13,15,5,8,6,8,2,6,7,8,18,6,10,13,9,6,9,3,2,2,2,1,2,4,0,3,5,5,6,4,8,5,3,12,3,5,5,6,14,2,0,4,4,0,3,5,1,1,2,1,1,3,4,2,2,1,1,2,1,2,0,6,2,6,13,15,1,3,10,8,12,12,39,133,57
betaEstrodiol,0,3,4,peroxisome,6,8604,163,62,146,24,56,47,31,22,28,28,29,26,22,11,12,6,11,3,4,7,9,10,11,20,20,13,17,2,10,5,7,5,5,11,13,8,9,17,8,10,8,6,4,8,2,6,1,2,2,3,6,6,3,6,3,11,3,3,6,3,11,6,5,6,1,0,6,8,2,1,3,2,2,5,6,4,0,5,3,2,3,0,2,2,5,4,4,1,5,11,10,3,2,8,9,8,8,29,166,62
betaEstrodiol,0,3,4,peroxisome,7,10245,174,32,143,14,35,45,20,17,33,14,10,13,10,9,8,5,7,2,5,1,5,3,7,11,9,11,8,4,3,2,5,4,7,8,5,3,4,5,6,6,3,3,0,3,4,5,1,2,4,2,4,8,4,8,3,5,2,4,5,6,6,8,3,11,1,2,8,4,0,3,3,3,1,2,2,2,2,1,1,1,3,0,1,3,1,3,4,4,4,7,8,0,7,11,9,14,6,19,88,32
betaEstrodiol,0,3,4,peroxisome,8,12145,223,53,238,29,84,73,26,33,61,16,19,38,24,8,18,10,11,7,9,7,4,8,2,13,4,11,18,5,11,5,1,7,5,15,9,5,16,7,9,6,4,10,4,4,1,2,3,4,1,6,5,7,12,8,10,4,2,1,6,6,6,5,2,5,0,3,11,1,4,6,8,6,4,15,12,7,7,4,2,6,4,3,3,0,2,3,4,6,2,11,14,9,7,32,15,37,19,30,75,55
betaEstrodiol,0,3,4,peroxisome,9,2796,32,15,49,3,19,19,11,10,10,7,11,8,14,5,2,0,1,3,2,2,3,2,2,9,8,2,4,3,1,3,5,4,3,3,6,4,1,6,1,5,2,2,1,2,1,0,5,4,1,2,2,4,1,3,2,4,2,4,9,0,3,6,5,5,0,0,2,3,1,0,1,1,0,2,2,2,3,2,0,1,1,1,1,2,1,0,1,1,6,4,3,0,1,4,4,4,9,10,61,32
betaEstrodiol,0,3,4,peroxisome,10,5789,63,21,70,8,10,17,6,10,22,7,7,11,5,4,2,5,2,0,3,2,2,2,1,4,0,2,3,1,1,0,0,1,3,0,2,0,0,0,1,4,0,0,1,0,2,0,3,0,2,1,3,1,2,0,5,1,0,0,0,1,0,0,0,3,1,0,4,3,0,1,8,0,1,1,1,1,0,1,2,1,1,0,0,0,0,3,0,2,2,4,1,4,3,10,12,17,11,1,1,3
