experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,0-5,3,6,peroxisome,2,5543,22,30,11,8,9,7,7,4,3,6,5,3,2,4,1,1,3,2,4,1,3,3,2,1,2,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3,0,1,0,3,3,3,0,0,2,3,1,1,2,1,1,1,2,5,2,1,2,1,4,1,17,11
glu,0-5,3,6,peroxisome,3,3919,13,14,7,7,5,6,3,5,1,1,0,1,4,2,8,4,2,0,1,0,2,2,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,1,3,1,0,1,0,0,0,3,0,4,2,2,2,1,1,3,1,4,0,4,2,0,2,1,4,3,0,5
glu,0-5,3,6,peroxisome,4,6510,32,7,40,4,8,6,2,5,2,2,6,10,4,4,4,4,7,4,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,1,1,2,5,0,3,3,1,0,1,0,2,2,2,1,5,1,1,1,0,1,1,0,0,0,0,0,4,4,2,4,3,0,0,0,0,0,0,0,0,4,0,0
glu,0-5,3,6,peroxisome,5,5600,9,1,37,3,1,2,1,2,0,0,3,1,1,1,4,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,3,0,0,1,0,1,0,1,0,0,0,0,2,1,0,2,0,0,0,0,1,3,1,0,0,0,0,0,0,3,0,0
glu,0-5,3,6,peroxisome,6,8374,70,28,28,10,17,4,8,7,4,6,6,6,5,10,6,10,4,2,6,2,3,1,7,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,2,1,1,1,0,0,5,2,1,3,0,1,0,2,2,4,1,3,6,4,2,2,1,0,3,2,5,5,6,8,8,7,4,7,4,6,9,8,6,12,4,2,1,11,6,1,2
glu,0-5,3,6,peroxisome,7,3219,13,8,22,5,3,1,0,0,0,1,3,4,2,1,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,1,1,0,1,1,2,1,1,2,1,0,0,1,0,1,0,1,1,0,0,1,2,2,0,1,0,1,0,0,0,0,1,0,4,0,0
glu,0-5,3,6,peroxisome,8,9738,41,22,45,7,7,7,7,6,6,7,3,9,1,4,7,2,7,5,6,2,1,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,2,0,3,3,3,0,2,0,1,2,4,5,4,1,0,1,0,1,0,1,2,5,1,10,6,3,2,3,1,2,2,2,4,7,0,5,8,5,0,1
glu,0-5,3,6,peroxisome,9,6544,27,3,34,6,6,5,2,5,6,0,3,1,4,2,3,6,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,4,2,2,3,1,0,0,0,3,3,1,1,0,3,0,2,1,2,0,0,1,0,3,2,1,6,1,2,2,1,2,2,0,3,4,0,1,6,2,0,0
glu,0-5,3,6,peroxisome,10,13587,19,41,46,12,11,13,9,4,3,8,3,7,5,14,8,10,3,7,5,2,1,7,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,2,1,0,1,1,1,1,2,2,3,3,3,1,3,2,3,1,1,4,4,5,1,5,3,2,3,5,7,4,1,10,0,11,20,16,13
glu,0-5,3,6,peroxisome,11,5995,33,11,37,9,3,1,1,7,0,3,6,4,3,3,6,2,3,1,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,1,1,0,0,2,5,2,4,0,2,0,0,1,1,3,2,7,2,2,1,2,0,2,2,1,3,1,1,1,2,2,2,2,4,0,2,1,0,2,0,0,1,2,0,0
glu,0-5,3,6,peroxisome,12,10008,66,96,38,13,24,16,21,14,9,7,18,6,4,13,11,8,12,6,8,11,8,6,3,5,4,2,2,1,2,2,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5,2,0,0,0,0,4,0,3,0,2,3,1,1,4,2,3,3,6,4,6,5,3,6,7,4,4,6,4,7,8,1,6,3,12,17,28,29
glu,0-5,3,6,peroxisome,13,6883,35,49,48,10,15,10,4,7,3,2,14,4,5,7,9,8,4,6,7,4,0,3,1,0,1,3,0,2,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,1,1,1,2,1,1,2,5,1,2,1,1,0,0,1,2,1,2,1,1,0,2,0,3,5,1,2,6,3,2,4,2,1,12,10,11
glu,0-5,3,6,peroxisome,14,4217,44,16,28,12,12,2,7,7,5,6,3,5,0,4,5,5,3,5,7,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,2,1,2,1,2,0,1,0,1,1,4,3,3,3,2,0,0,2,1,0,3,3,2,2,0,2,0,4,4,2,1,0,3,0,5,2,2,1,3,3,0,0
glu,0-5,3,6,peroxisome,16,10906,39,30,40,14,10,9,3,3,7,4,7,10,1,3,3,8,0,2,5,0,0,2,0,0,1,2,2,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,2,1,0,1,3,0,2,0,2,2,1,0,1,3,1,2,4,0,6,3,2,3,2,3,4,4,5,2,4,6,4,3,2,17,12,5,9
glu,0-5,3,6,peroxisome,17,10163,46,44,10,13,16,12,10,8,3,10,13,9,2,4,2,4,8,8,6,3,1,1,2,2,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,1,1,4,1,4,4,0,0,0,2,2,2,2,4,3,4,2,3,2,5,4,2,1,2,1,4,6,5,8,5,18,24
