experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,5,3,3,peroxisome,1,14187,84,55,37,16,28,12,9,18,7,10,3,9,4,7,8,6,9,4,5,5,1,2,3,1,1,3,1,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1,3,0,0,0,0,0,2,5,3,2,6,2,0,0,1,2,2,0,6,7,4,3,0,2,0,0,5,5,5,7,3,6,15,4,8,7,9,8,4,7,6,8,7,7,2,13,18,11
glu,5,3,3,peroxisome,2,7880,45,33,9,9,15,4,6,6,7,6,5,4,4,7,4,9,2,1,4,4,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,1,0,0,0,2,2,0,0,1,1,1,1,0,0,0,4,4,5,2,2,4,2,3,1,4,5,3,4,6,3,3,1,7,6,8,12
glu,5,3,3,peroxisome,3,5492,16,14,32,8,4,3,5,3,5,8,2,1,3,2,6,3,1,2,5,1,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,2,3,1,1,0,2,0,1,1,3,1,0,3,2,2,0,1,0,2,3,3,2,1,0,0,2,1,1,2,1,1,2,3,3,0,4,11,1,0
glu,5,3,3,peroxisome,4,6438,16,18,36,7,8,2,4,5,2,4,4,4,2,1,5,2,1,1,4,4,1,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,2,0,1,2,1,0,2,1,2,0,4,0,0,0,1,4,1,2,3,2,5,3,2,0,3,4,4,1,5,6,14,1,1
glu,5,3,3,peroxisome,5,9204,6,0,55,4,2,0,1,1,0,0,1,0,2,3,3,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,1,2,2,1,0,1,1,1,2,0,2,1,1,0,1,2,0,0,1,2,0,0
glu,5,3,3,peroxisome,6,4354,10,8,8,7,2,3,1,3,1,3,8,2,2,6,2,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glu,5,3,3,peroxisome,8,10758,57,73,40,26,28,11,11,20,10,12,11,5,7,7,6,6,5,6,6,7,5,1,1,2,3,3,2,4,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,2,0,0,4,3,0,0,1,2,3,0,2,3,4,3,1,2,3,1,1,2,4,0,5,6,6,2,6,3,4,1,7,10,6,4,1,2,11,14,30,17
glu,5,3,3,peroxisome,9,12847,58,62,30,19,26,5,11,11,3,6,6,6,3,13,8,6,7,7,7,2,7,2,1,1,2,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,1,0,0,0,1,0,0,0,2,3,3,1,1,2,0,1,3,2,1,1,3,3,7,2,1,3,0,0,3,2,7,4,5,8,8,4,7,6,7,6,4,3,3,9,3,4,2,21,14,16
glu,5,3,3,peroxisome,10,3900,14,2,20,0,2,0,4,7,0,4,2,6,2,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
glu,5,3,3,peroxisome,11,11528,62,40,19,10,24,6,7,6,8,5,3,5,4,2,6,9,11,1,2,5,1,1,2,0,5,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,0,0,3,1,1,4,6,5,7,2,0,1,0,0,2,0,11,7,7,13,4,7,4,0,4,4,9,9,7,4,5,4,14,7,6
