experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
rpmc,200,3,6,peroxisome,1,10531,81,1,0,6,0,0,0,0,0,0,0,9,7,3,1,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,3,0,1,0,6,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,3,2,1,0,0
rpmc,200,3,6,peroxisome,4,6458,399,14,18,20,3,7,1,2,1,0,0,8,11,2,4,9,3,7,4,3,6,1,4,1,0,1,1,0,0,0,0,0,1,1,0,0,2,0,2,0,2,3,4,0,3,1,2,2,2,3,1,0,4,0,4,1,2,5,4,3,0,2,4,1,2,1,1,4,0,2,0,2,2,0,2,0,0,3,1,1,1,3,3,3,1,1,3,2,5,1,1,3,2,3,0,0,1,2,1,0
rpmc,200,3,6,peroxisome,5,9401,676,58,27,17,12,7,8,13,7,9,7,12,7,7,4,11,4,6,4,5,6,2,6,3,9,3,4,3,3,3,2,2,3,0,0,0,0,2,2,3,1,3,3,2,1,1,1,2,3,2,2,2,4,3,3,0,2,1,3,1,2,2,0,2,3,2,4,3,0,0,7,5,4,2,0,1,5,5,3,2,3,2,1,5,2,4,8,8,6,2,3,9,9,6,9,3,7,7,11,101
rpmc,200,3,6,peroxisome,7,7863,236,25,15,15,8,3,2,2,2,0,0,1,1,1,2,1,1,1,1,3,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,1,2,4,2,1,2,2,0,1,1,3,2,1,1,1,1,1,0,1,0,1,0,1,2,0,0,2,1,3,1,0,0,5,1,0,3,0,1,0,3,38
rpmc,200,3,6,peroxisome,8,8005,147,4,0,3,2,0,1,1,1,3,2,6,16,6,6,2,1,4,1,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,2,0,2,0,0,0,1,1,1,0,0,1,0,1,2,5,0,2,2,1,2,0,0,1,4,0,2,1,0,2,5,1,0,0,0,1,0,1,0,0,2,2,3,0,1,2,0,13
rpmc,200,3,6,peroxisome,10,6387,188,20,12,6,3,5,2,2,0,0,1,3,1,1,1,0,0,0,2,0,0,2,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,4,2,1,0,1,2,0,0,2,2,2,1,0,1,2,1,0,1,3,0,0,2,1,3,2,2,0,0,0,3,3,0,5,0,0,1,8,31
rpmc,200,3,6,peroxisome,11,11546,656,44,35,26,21,8,8,3,3,6,6,9,7,5,8,7,6,5,1,1,3,2,1,1,1,3,2,5,2,3,1,1,1,0,0,1,2,0,0,1,2,0,0,3,2,5,0,3,5,2,1,1,3,9,1,3,5,1,3,3,3,5,3,4,1,4,5,0,4,4,4,1,1,3,3,1,1,1,1,3,2,4,3,0,2,2,9,5,2,1,4,4,1,0,6,1,0,1,8,54
rpmc,200,3,6,peroxisome,12,9112,183,10,11,9,3,6,0,2,1,0,0,0,0,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,1,2,0,0,2,1,0,1,4,0,3,0,2,2,3,3,0,3,1,2,0,0,2,1,4,2,0,0,0,0,1,2,1,3,0,0,0,2,2,1,2,1,1,4,6,3,9
rpmc,200,3,6,peroxisome,13,8244,34,0,0,0,0,0,1,0,0,0,0,4,3,2,3,4,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0
rpmc,200,3,6,peroxisome,14,6730,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpmc,200,3,6,peroxisome,15,10182,1445,98,87,55,32,18,7,7,7,5,5,16,19,10,2,9,10,9,7,7,3,3,1,1,3,4,5,4,2,0,2,0,5,3,0,8,2,2,2,4,8,1,6,11,10,14,5,15,8,11,12,12,10,15,11,5,12,6,3,5,8,14,4,8,5,6,6,4,4,5,3,5,5,9,3,6,2,0,1,3,5,7,3,8,3,12,17,12,10,2,4,8,3,5,6,3,7,1,33,59
rpmc,200,3,6,peroxisome,16,7391,195,1,28,10,13,3,3,4,0,7,4,0,2,1,2,3,0,6,1,1,1,0,0,0,0,1,1,0,0,2,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,3,1,0,1,3,0,0,1,8,9,0,1,1,2,42
rpmc,200,3,6,peroxisome,17,9469,256,36,20,28,18,6,7,3,2,0,2,3,3,1,5,1,2,0,0,0,1,0,0,3,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,2,1,0,1,1,3,1,0,5,5,7,3,3,0,4,2,1,6,2,2,2,1,1,4,2,0,4,1,0,1,1,2,2,0,0,1,1,1,3,0,1,0,1,0,2,3,18,4,4,2,2,1,0,3,4,1,3,2,14,50
rpmc,200,3,6,peroxisome,18,4552,145,10,3,7,6,5,6,2,7,1,5,5,4,1,3,5,1,12,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,2,1,11,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,2,2,2,1,4,0,2,2,11,34
rpmc,200,3,6,peroxisome,19,10143,705,45,30,30,14,11,11,7,2,6,3,1,5,8,3,3,2,7,7,1,3,1,4,1,1,1,1,1,0,1,1,1,2,2,4,0,2,1,3,0,3,0,2,4,1,4,5,1,4,2,2,3,5,4,1,3,3,1,0,2,1,2,3,1,0,4,4,1,0,4,3,4,3,1,4,5,3,4,1,3,3,1,1,1,3,4,17,8,3,6,1,0,5,4,9,1,8,2,9,61
rpmc,200,3,6,peroxisome,20,7522,780,35,37,25,21,23,14,13,13,9,12,7,5,7,7,8,7,4,3,7,3,3,3,4,2,4,1,3,2,2,3,0,1,0,2,3,4,1,0,0,0,2,1,0,0,1,1,2,0,0,0,1,0,3,3,0,0,3,3,3,2,4,5,1,3,1,6,3,1,2,5,6,5,2,0,1,5,2,4,1,0,0,0,4,2,3,5,3,4,4,2,7,7,3,15,0,2,0,9,128
