experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
1nmpp1,3000,3,6,vacuole,1,4817,159,1172,314,222,110,144,97,74,90,75,43,74,63,56,60,136,49,110,76,83,65,61,41,41,29,41,24,38,18,39,22,23,25,16,24,24,12,10,16,15,12,10,24,16,15,11,23,14,20,32,46,43,40,47,35,31,67,34,54,34,31,35,35,30,48,44,29,22,12,7,26,19,7,8,4,6,6,4,12,9,16,27,5,8,13,17,10,8,12,28,30,16,17,43,114,95,148,193,41,205
1nmpp1,3000,3,6,vacuole,5,9056,240,1255,265,126,72,48,26,45,46,29,47,50,47,47,51,185,75,93,35,22,35,47,15,38,14,18,17,35,29,30,18,52,24,21,17,13,12,11,11,4,5,16,11,10,7,7,10,8,10,7,29,17,24,48,22,18,35,10,24,14,8,7,12,4,13,13,8,1,2,6,9,56,53,27,10,9,10,23,29,37,33,28,16,10,8,24,27,23,31,26,23,6,23,52,0,0,0,0,0,0
1nmpp1,3000,3,6,vacuole,9,5991,166,729,230,116,68,68,45,35,56,40,30,46,32,22,16,111,65,52,40,27,47,32,13,29,10,14,13,18,14,23,7,30,13,13,12,9,5,6,9,4,12,13,17,12,5,5,5,5,17,13,39,31,30,29,24,20,35,18,30,21,20,15,23,16,27,21,10,12,13,7,16,16,6,4,3,2,7,6,8,14,7,13,8,11,5,10,2,2,5,9,18,4,9,28,8,35,64,58,19,187
1nmpp1,3000,3,6,vacuole,12,4856,149,730,287,282,177,244,154,113,95,98,69,93,51,38,37,99,59,100,73,33,60,37,38,26,20,32,34,35,25,33,25,30,17,26,17,22,13,11,18,23,19,16,24,15,24,21,31,28,24,31,34,35,44,48,36,56,49,48,87,61,41,41,34,20,31,38,26,28,21,9,19,11,16,21,6,3,10,6,4,9,9,14,11,6,8,12,6,10,12,19,24,28,28,30,422,88,137,144,18,126
1nmpp1,3000,3,6,vacuole,13,3594,105,405,115,114,68,66,80,55,29,58,27,51,28,29,20,71,45,56,34,30,42,28,29,29,15,20,21,19,15,25,9,22,14,11,7,10,13,12,15,14,7,2,4,6,3,7,10,9,13,14,25,11,13,37,18,33,22,26,32,23,22,20,16,14,20,34,19,16,9,11,6,9,7,0,5,5,4,2,5,7,6,12,11,3,8,6,5,12,3,11,16,24,25,32,334,32,65,66,8,59
1nmpp1,3000,3,6,vacuole,14,3721,83,703,110,108,36,30,33,26,47,40,25,29,18,36,22,58,57,68,42,23,27,28,16,21,6,19,14,15,13,14,6,22,16,14,15,7,10,8,7,9,7,4,6,8,12,10,14,9,7,10,19,16,18,30,16,22,28,16,27,15,12,15,19,16,25,15,23,8,8,7,13,12,15,11,2,6,3,6,3,9,14,9,2,4,6,5,6,10,12,17,14,6,12,21,30,77,46,66,21,158
1nmpp1,3000,3,6,vacuole,16,6353,215,1069,291,157,67,47,33,28,28,42,32,42,41,30,23,107,56,111,60,26,41,21,21,17,11,20,26,21,11,19,14,37,21,18,9,9,9,10,11,9,9,10,18,19,4,9,4,13,14,15,35,24,30,16,13,19,28,17,15,24,18,22,17,10,17,15,14,13,12,10,18,8,22,23,6,4,11,4,6,15,17,33,32,6,14,25,22,15,21,26,50,6,27,117,14,14,115,70,21,86
1nmpp1,3000,3,6,vacuole,17,6994,204,1171,297,134,59,65,65,87,72,74,69,83,60,82,75,223,121,160,77,49,76,58,45,32,20,32,35,42,30,34,19,25,25,32,27,18,12,12,7,13,20,13,12,16,12,10,10,17,12,24,34,37,29,47,24,43,39,29,32,31,30,36,21,28,47,26,27,17,15,10,15,22,22,21,6,8,8,12,23,28,37,50,29,17,18,34,24,29,24,29,54,14,35,134,12,21,119,49,53,144
1nmpp1,3000,3,6,vacuole,18,6672,201,1162,389,295,210,178,142,125,127,108,86,117,103,82,82,154,125,137,147,84,68,52,44,49,31,41,33,47,36,41,30,38,34,35,37,36,34,39,28,41,34,21,33,25,40,31,61,54,48,79,66,55,52,54,58,64,74,89,194,93,66,67,37,36,64,88,44,48,46,16,27,25,32,19,13,12,6,10,12,16,17,12,8,20,21,18,14,15,21,29,37,25,51,60,644,93,170,161,41,210
1nmpp1,3000,3,6,vacuole,19,4647,102,589,145,83,31,17,25,29,34,27,20,29,35,30,19,99,48,59,32,24,43,28,16,19,10,14,12,34,23,22,9,35,15,13,5,5,5,3,2,7,6,5,7,5,3,1,6,5,14,8,39,21,28,32,15,19,30,8,16,10,5,3,5,5,15,5,9,3,1,3,6,18,6,5,8,5,5,5,6,12,14,8,21,2,2,7,5,10,8,10,13,1,12,44,4,12,127,4,20,39
