experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
betaEstrodiol,0,3,4,vacuole,1,5762,189,122,366,138,96,113,81,42,58,55,43,22,32,26,24,16,21,30,30,43,55,79,54,69,59,54,60,46,42,35,38,45,32,35,33,32,22,28,15,24,20,29,31,31,30,20,28,35,32,32,32,28,19,32,46,27,36,24,17,23,31,26,29,35,25,30,25,27,37,35,40,34,31,37,32,29,22,29,25,25,23,20,27,29,32,33,45,58,70,37,40,50,37,54,40,26,20,6,1,0
betaEstrodiol,0,3,4,vacuole,2,7254,160,114,370,167,137,119,96,46,43,45,21,30,45,41,45,31,20,30,56,39,57,66,62,82,71,68,62,55,53,54,54,56,35,54,58,47,42,38,27,21,24,35,31,36,42,28,39,40,40,46,52,36,41,58,50,33,25,38,32,30,19,37,34,26,32,25,27,40,31,37,43,44,42,33,39,31,29,36,37,27,33,34,23,21,37,35,48,69,79,65,77,110,116,88,82,44,50,19,6,0
betaEstrodiol,0,3,4,vacuole,3,9361,312,156,847,297,187,290,229,88,90,99,75,45,90,73,45,52,57,54,82,86,96,142,136,159,149,114,114,118,105,105,89,63,68,58,50,51,37,32,47,27,46,57,36,65,55,58,57,68,65,75,54,59,64,47,67,73,53,55,50,54,49,56,45,62,57,48,53,61,70,67,53,73,89,65,87,84,64,77,68,69,67,67,77,65,81,81,93,92,111,125,136,187,178,177,136,111,66,28,12,2
betaEstrodiol,0,3,4,vacuole,4,9932,358,208,610,263,184,239,157,81,71,83,51,39,52,41,44,39,89,47,61,110,124,136,113,119,140,95,88,92,69,63,54,62,58,48,49,40,33,36,29,29,33,32,48,49,46,37,34,39,41,50,51,44,43,55,44,41,55,49,31,43,34,47,43,48,51,40,66,48,65,67,62,79,52,48,61,56,78,75,55,55,64,69,58,66,63,76,102,92,116,110,126,157,168,146,118,46,34,18,9,2
betaEstrodiol,0,3,4,vacuole,5,7660,211,115,372,157,122,138,86,63,50,52,44,26,41,41,30,25,42,36,43,65,50,63,71,60,78,66,57,53,55,39,45,44,40,40,43,27,25,34,20,24,31,33,33,30,24,31,29,29,25,31,41,41,25,44,35,42,23,27,31,27,22,29,34,31,28,34,54,37,44,36,40,72,44,43,51,43,42,43,50,31,37,42,34,35,33,33,39,38,81,53,82,94,61,46,38,27,9,5,0,0
betaEstrodiol,0,3,4,vacuole,6,5690,178,109,281,114,100,103,64,42,40,44,34,23,44,33,27,30,26,24,33,42,42,64,58,58,66,49,45,46,52,30,41,36,46,38,24,35,38,19,27,20,23,19,17,22,26,23,23,23,27,33,23,39,36,34,46,24,39,46,26,40,31,31,21,22,26,36,40,45,34,43,36,26,40,35,31,36,41,40,33,36,21,23,29,45,32,44,71,51,85,59,76,91,85,71,47,29,12,4,2,0
betaEstrodiol,0,3,4,vacuole,7,6786,207,127,333,137,112,104,70,32,44,48,35,27,31,28,22,15,39,33,27,48,48,68,68,88,72,77,65,65,72,63,53,49,47,45,37,34,19,29,22,12,18,20,24,27,29,19,28,26,23,24,33,32,29,27,33,35,32,22,25,25,27,25,24,15,20,31,31,34,28,37,27,41,39,33,35,25,28,37,29,33,40,29,27,30,31,32,49,67,78,38,50,73,63,77,64,45,38,17,6,0
betaEstrodiol,0,3,4,vacuole,8,8380,263,151,662,216,152,196,128,62,56,64,39,38,54,47,29,34,43,26,25,56,48,58,64,57,54,47,51,37,40,49,40,42,39,42,40,48,39,22,29,29,43,34,38,42,36,29,37,32,42,31,41,29,38,31,43,37,30,35,19,29,28,20,24,32,40,42,41,29,42,50,45,41,49,58,45,47,43,34,49,35,29,32,44,38,33,34,34,33,35,52,79,75,82,68,39,25,11,8,1,0
betaEstrodiol,0,3,4,vacuole,9,1914,80,50,75,35,41,25,20,10,14,7,6,6,4,4,7,2,5,8,5,9,4,7,8,11,7,6,9,10,8,2,9,9,6,7,9,8,8,10,6,5,4,5,7,5,12,9,5,6,10,10,12,8,10,12,13,8,18,15,17,11,14,11,9,8,13,7,20,18,17,10,12,21,16,12,9,15,14,9,15,14,8,15,10,31,13,14,52,31,48,25,22,28,29,23,23,11,9,1,0,0
betaEstrodiol,0,3,4,vacuole,10,4660,131,76,111,46,72,50,16,17,14,12,11,9,13,3,10,5,4,8,3,12,18,10,21,22,21,9,21,12,20,15,23,10,14,9,23,11,9,8,11,9,18,6,12,10,11,13,16,17,10,13,13,12,11,11,14,10,6,6,8,9,4,6,4,4,6,10,11,6,6,8,10,10,13,15,13,9,8,12,8,12,5,8,11,14,11,21,9,10,12,13,28,20,27,16,9,19,3,0,0,0
