experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,0-5,3,3,vacuole,2,4105,1271,700,384,73,80,45,47,94,151,233,329,255,102,36,11,26,14,18,10,9,8,9,8,4,4,4,8,5,7,11,16,14,11,18,67,13,27,14,27,51,38,17,16,6,3,4,6,2,3,5,3,6,7,3,5,11,10,11,10,15,11,18,21,35,62,61,50,22,61,75,68,58,35,30,34,29,41,56,44,22,39,26,20,20,25,29,22,24,17,34,13,33,31,38,21,29,43,110,162,624
glu,0-5,3,3,vacuole,3,5792,1792,909,404,55,31,64,46,73,112,185,253,193,69,39,17,23,24,22,13,13,8,10,12,8,9,8,20,10,6,17,11,6,5,4,90,19,37,21,37,46,40,26,21,5,5,1,6,4,1,5,1,3,6,6,4,6,9,14,16,12,13,8,16,25,44,41,27,20,22,38,44,35,23,28,51,20,46,50,52,35,21,35,20,21,27,13,18,23,25,35,20,28,24,36,20,25,41,94,149,563
glu,0-5,3,3,vacuole,4,2861,1080,606,346,53,38,45,37,59,66,138,148,154,67,14,9,14,13,7,8,1,4,9,3,3,4,4,4,5,4,7,9,4,7,8,48,16,29,12,31,29,26,16,11,4,3,5,0,2,3,2,0,1,2,3,8,6,8,8,13,11,12,10,20,23,40,39,34,22,23,40,45,28,26,32,22,17,26,34,37,23,28,23,13,15,24,25,16,9,11,18,17,29,27,23,17,16,31,99,96,544
glu,0-5,3,3,vacuole,6,1625,379,246,175,8,4,7,3,20,37,54,108,79,28,4,2,6,4,3,6,4,3,0,0,0,0,1,1,1,0,0,0,3,2,4,9,4,5,4,7,16,14,7,8,0,0,1,0,0,1,2,0,1,2,0,0,2,1,4,0,2,8,4,8,14,16,16,13,10,28,37,27,22,14,17,9,13,12,16,13,9,7,8,7,3,7,9,7,8,3,13,3,10,5,9,3,10,12,15,28,320
glu,0-5,3,3,vacuole,7,2881,948,455,251,24,16,21,27,53,71,135,193,124,63,14,1,14,15,12,10,3,5,6,0,1,1,2,0,2,2,7,2,1,4,4,41,13,14,8,19,46,21,10,7,8,1,0,0,0,1,2,1,0,2,3,4,1,2,2,8,3,2,8,2,18,38,29,19,11,25,38,29,23,14,14,13,8,27,51,37,14,14,11,11,8,9,13,9,4,8,14,10,16,19,4,10,15,28,68,62,322
glu,0-5,3,3,vacuole,8,5069,1357,733,395,44,57,70,44,65,117,166,255,231,86,36,14,24,11,8,15,9,6,9,1,3,2,4,6,1,6,9,7,7,6,11,84,19,28,20,32,32,20,14,7,9,0,3,0,3,1,4,0,2,8,4,8,7,8,14,19,10,16,13,15,24,37,37,34,20,27,54,44,43,43,39,27,28,42,46,54,25,24,28,16,13,19,20,19,12,30,28,22,36,22,23,28,20,53,144,151,632
glu,0-5,3,3,vacuole,9,1808,530,377,209,17,10,19,17,38,53,76,121,66,33,9,2,22,15,18,4,7,3,4,5,2,1,2,2,3,2,3,7,1,3,2,45,8,8,16,24,33,10,5,2,0,1,1,2,3,0,1,0,0,1,0,1,1,1,3,4,2,0,2,8,22,29,13,10,4,13,15,15,19,14,11,5,10,8,17,10,13,15,9,6,8,11,8,8,11,6,16,5,14,12,15,13,17,33,56,52,261
glu,0-5,3,3,vacuole,10,4627,1497,801,427,63,51,97,40,69,100,148,206,111,69,23,9,15,5,20,13,17,4,15,12,7,12,6,19,10,11,5,8,7,11,17,47,20,30,16,35,34,21,19,12,2,7,2,4,1,3,6,3,4,7,12,11,5,13,16,7,6,13,13,8,20,41,33,27,28,39,34,30,29,27,27,15,21,32,45,33,25,25,24,12,12,17,14,16,18,39,32,16,22,23,24,22,24,50,117,164,587
glu,0-5,3,3,vacuole,11,5027,1280,807,478,63,65,57,31,77,146,179,265,259,103,35,8,34,21,26,13,8,5,12,3,4,4,0,6,3,7,6,8,4,8,8,82,25,33,14,31,49,35,23,8,8,5,2,4,2,2,7,0,3,4,2,4,4,7,8,10,9,3,17,13,33,54,35,30,20,28,42,30,34,31,28,16,16,43,63,52,26,30,26,19,15,14,23,13,14,22,28,20,32,28,21,17,25,69,132,141,578
glu,0-5,3,3,vacuole,12,2551,890,379,177,28,39,31,22,44,70,120,177,158,48,15,4,6,7,13,8,8,2,4,3,1,2,0,4,2,1,7,3,6,9,6,53,27,25,7,12,32,19,11,8,1,1,0,7,0,3,4,1,3,3,3,2,3,11,5,7,9,8,4,7,15,42,22,22,16,21,36,29,32,22,37,16,14,27,28,27,20,22,16,13,6,7,10,14,7,16,11,12,22,16,15,14,20,19,66,53,347
glu,0-5,3,3,vacuole,13,3868,1080,888,459,86,76,65,49,96,124,189,265,200,100,30,24,21,9,13,6,7,10,7,5,3,5,6,9,9,4,6,9,8,11,3,56,14,14,13,32,66,23,12,11,4,3,2,1,4,1,3,6,4,6,4,6,8,18,23,11,7,14,20,21,29,57,55,39,29,56,79,74,60,41,48,48,40,52,69,68,25,36,29,27,28,26,25,30,22,25,19,25,39,24,36,24,29,48,124,149,865
glu,0-5,3,3,vacuole,14,3776,1527,810,483,95,57,85,47,63,113,181,269,234,109,41,18,15,33,19,22,6,10,4,2,5,2,2,14,8,8,11,13,13,11,12,71,49,31,17,24,33,34,15,13,18,5,3,13,4,3,8,4,6,4,10,7,4,5,13,15,12,12,33,20,25,45,43,36,21,35,40,29,28,36,21,29,19,39,40,35,19,33,21,12,16,15,22,16,30,25,36,29,46,26,28,27,29,71,150,261,656
glu,0-5,3,3,vacuole,15,3359,1118,845,495,72,94,65,70,98,166,210,280,195,77,32,22,20,18,12,10,9,14,9,9,10,9,7,5,9,12,9,11,7,9,8,70,13,28,18,37,40,31,21,15,10,6,5,7,7,5,2,2,3,6,8,8,8,16,9,13,13,14,22,19,34,62,45,32,15,35,56,45,54,44,28,35,33,44,48,41,27,40,34,27,32,24,26,21,25,46,34,24,47,38,28,21,35,81,128,183,641
glu,0-5,3,3,vacuole,16,2727,1151,731,500,62,30,43,33,63,114,175,180,153,62,28,21,20,13,16,14,15,6,4,1,4,3,9,6,5,4,9,5,7,9,15,58,15,23,17,34,46,27,11,5,3,3,1,3,2,3,3,3,0,2,7,1,1,12,8,11,10,8,10,22,28,50,38,30,29,30,42,40,41,42,25,21,30,38,34,34,24,17,19,10,15,15,14,21,11,19,21,13,18,24,22,9,21,52,89,96,656
glu,0-5,3,3,vacuole,17,4323,1099,884,503,72,73,57,61,101,129,220,276,226,99,30,18,14,9,19,15,5,8,8,6,3,2,3,4,3,6,12,8,5,5,12,58,17,22,17,38,47,31,12,8,9,4,1,1,2,1,3,4,3,10,7,9,9,6,19,5,7,13,17,12,34,56,60,32,25,35,54,41,40,58,44,45,35,37,42,37,35,35,47,16,32,21,16,21,26,23,23,27,29,19,24,15,25,63,156,110,545
glu,0-5,3,3,vacuole,18,5342,1728,824,393,56,71,67,56,71,114,144,206,174,80,28,17,25,23,22,12,7,9,5,4,3,8,3,10,5,5,7,11,6,10,7,110,19,27,30,37,42,25,18,15,6,6,6,6,3,3,9,3,1,6,3,6,4,8,21,16,9,20,16,19,23,47,48,29,24,22,48,27,35,42,30,23,22,29,40,25,23,22,12,18,12,16,15,14,20,29,31,35,22,21,26,19,20,65,170,186,614
glu,0-5,3,3,vacuole,19,2838,860,479,308,30,32,36,31,54,63,101,162,128,74,14,6,21,14,11,9,4,4,4,4,1,2,0,5,0,1,2,5,6,2,5,63,24,26,10,22,34,17,8,6,4,3,0,4,3,0,3,1,0,2,2,1,1,3,2,7,6,6,4,6,9,30,25,20,6,12,21,29,24,26,11,8,3,21,28,38,15,15,13,9,14,11,12,5,7,16,18,8,16,24,15,25,19,40,78,160,319
