experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,5,3,4,vacuole,1,4890,796,311,149,13,4,11,7,27,50,70,93,54,30,7,6,24,11,20,8,3,1,4,1,4,2,3,4,3,4,2,9,2,2,1,75,13,24,4,14,13,14,8,3,6,7,1,3,1,0,4,2,0,3,2,1,0,0,2,2,0,0,0,4,4,17,17,4,7,6,4,6,8,2,2,5,2,6,13,13,5,8,8,4,5,7,3,6,2,11,5,9,23,7,11,7,2,6,21,56,61
glu,5,3,4,vacuole,3,3489,949,630,407,18,44,25,29,54,72,89,119,93,28,12,4,14,10,11,4,4,1,7,4,1,3,3,4,2,2,2,6,1,2,1,50,9,15,13,17,22,8,9,13,2,4,1,1,1,4,4,2,1,0,3,0,1,5,3,3,2,4,4,6,18,13,20,10,10,7,13,12,15,18,9,16,13,17,30,23,13,21,7,9,15,8,13,8,9,13,15,10,21,11,13,15,23,52,110,100,171
glu,5,3,4,vacuole,5,5867,965,459,239,31,6,23,14,31,49,112,163,125,57,24,6,27,20,19,6,3,2,8,5,2,0,0,7,2,2,8,6,1,0,1,94,13,35,11,23,32,34,17,7,11,5,2,6,2,1,4,0,1,2,1,3,1,0,0,4,2,1,2,3,21,29,22,16,17,14,21,13,12,26,11,16,14,22,40,44,12,16,8,11,8,9,11,8,6,4,16,6,20,14,6,7,8,11,37,96,213
glu,5,3,4,vacuole,8,7293,1219,502,203,23,7,17,5,16,34,48,73,65,41,20,4,33,17,25,12,3,2,5,8,4,3,1,9,6,2,8,9,1,2,1,110,20,51,12,16,13,8,11,7,10,6,3,5,2,8,8,0,7,3,3,4,1,0,3,7,3,4,0,2,10,6,18,15,7,2,6,4,11,6,4,8,2,9,24,18,17,5,10,5,5,7,7,12,10,12,11,8,13,13,11,2,6,8,61,67,57
glu,5,3,4,vacuole,9,2387,572,273,81,3,1,3,7,14,21,31,38,46,38,7,3,8,11,3,7,1,2,2,1,3,0,1,7,4,3,2,2,1,0,1,27,8,11,9,5,11,11,7,8,2,2,2,1,2,1,1,1,1,3,4,2,0,0,2,2,0,0,2,1,4,15,8,2,4,6,6,6,5,5,3,4,1,3,9,6,4,4,10,9,3,4,7,4,5,8,6,5,13,8,8,3,8,13,11,71,69
glu,5,3,4,vacuole,10,2102,497,346,201,17,7,7,11,30,45,96,98,49,18,14,2,3,5,11,6,4,2,4,4,1,2,2,2,0,2,2,2,1,4,1,13,4,9,8,21,20,14,7,7,2,1,0,0,2,1,1,0,5,0,0,4,0,2,1,1,2,2,5,7,16,21,23,7,7,5,10,15,14,8,7,9,4,14,8,10,14,15,13,4,3,9,6,8,7,9,11,7,17,17,10,16,15,37,61,56,227
glu,5,3,4,vacuole,11,1426,308,328,184,6,6,15,20,29,40,52,61,36,10,6,2,6,5,2,4,2,2,3,1,1,0,2,3,1,1,1,3,0,3,1,15,2,5,7,17,16,7,1,6,2,3,1,0,2,0,2,0,1,2,1,1,1,1,1,0,3,0,1,6,16,17,17,7,7,6,9,10,10,8,1,4,4,5,18,29,11,17,10,5,6,7,10,2,6,15,12,7,9,10,7,9,9,24,60,57,195
glu,5,3,4,vacuole,12,3942,404,166,146,11,5,6,2,12,20,38,35,34,33,10,3,20,10,10,6,1,0,3,1,1,0,0,2,0,0,1,1,1,1,0,59,6,11,2,12,8,7,7,6,2,0,0,2,2,2,3,1,0,1,6,0,1,0,0,2,2,0,1,2,9,8,11,6,4,1,3,4,3,0,1,2,2,1,3,7,2,8,7,2,2,4,3,3,6,6,7,1,6,8,4,4,2,7,18,41,52
glu,5,3,4,vacuole,14,4105,703,332,205,19,2,14,9,24,40,59,83,47,28,7,2,18,10,20,7,5,0,6,7,3,1,1,4,2,2,5,2,0,0,0,76,7,31,5,13,19,7,4,4,2,2,2,2,5,2,8,2,2,1,2,2,1,0,2,4,0,1,1,4,14,9,16,8,2,7,7,7,8,5,6,1,7,10,24,23,14,5,5,3,5,7,4,3,1,8,6,3,12,20,6,6,7,9,54,87,110
glu,5,3,4,vacuole,15,4585,976,461,262,20,6,10,15,35,56,89,76,35,32,12,9,20,10,13,10,2,0,6,2,4,3,1,6,3,2,8,4,2,1,0,54,13,21,9,21,16,11,10,7,6,7,2,1,2,2,4,3,2,4,5,2,0,1,3,2,1,0,5,4,14,19,18,11,11,10,8,7,4,4,6,5,4,7,10,17,7,4,11,9,7,6,13,9,5,5,23,6,15,19,16,4,8,13,26,83,110
