experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
1nmpp1,3000,3,2,ER,2,6845,6582,6334,5839,5642,5486,5336,5245,5167,5067,4962,4857,4758,4663,4556,4475,4375,4278,4165,4057,3969,3877,3780,3700,3623,3532,3466,3415,3358,3303,3259,3223,3182,3148,3114,3079,3043,3015,2995,2970,2951,2936,2926,2904,2889,2871,2863,2857,2845,2833,2814,2796,2778,2755,2732,2713,2683,2655,2619,2592,2560,2532,2500,2464,2429,2381,2340,2302,2259,2209,2166,2130,2078,2040,2004,1961,1927,1889,1852,1818,1781,1753,1721,1690,1653,1629,1603,1570,1539,1486,1330,1246,1209,1178,1146,1087,1038,967,885,747
1nmpp1,3000,3,2,ER,3,8613,7850,7464,6909,6599,6391,6232,6097,5952,5824,5676,5498,5341,5185,5030,4854,4722,4607,4449,4313,4181,4082,3976,3857,3761,3691,3605,3542,3466,3419,3378,3329,3287,3258,3227,3198,3172,3153,3122,3101,3080,3060,3038,3012,2987,2967,2945,2919,2882,2855,2833,2809,2775,2745,2712,2679,2642,2601,2572,2543,2500,2455,2416,2378,2345,2302,2252,2204,2170,2126,2078,2025,1992,1957,1918,1874,1838,1805,1765,1731,1695,1645,1610,1557,1500,1462,1416,1371,1323,1267,1212,1156,1106,1044,966,857,759,684,605,497
1nmpp1,3000,3,2,ER,4,4233,4034,3924,3728,3625,3563,3490,3410,3340,3274,3214,3143,3094,3033,2957,2910,2856,2795,2745,2694,2646,2599,2563,2512,2473,2428,2392,2364,2323,2293,2262,2233,2208,2188,2171,2152,2137,2129,2121,2109,2099,2084,2074,2070,2059,2043,2035,2027,2006,1990,1972,1958,1946,1930,1916,1901,1879,1856,1834,1810,1776,1735,1700,1666,1642,1606,1573,1536,1508,1481,1456,1422,1396,1373,1336,1305,1289,1267,1240,1213,1186,1171,1142,1109,1069,1038,998,970,931,871,712,655,638,617,593,559,529,503,460,372
1nmpp1,3000,3,2,ER,5,8538,8108,7850,7495,7294,7122,6934,6768,6629,6449,6285,6146,5994,5844,5696,5569,5430,5309,5194,5069,4956,4868,4768,4663,4584,4513,4430,4374,4311,4253,4201,4143,4086,4043,4003,3970,3936,3908,3881,3842,3822,3800,3789,3764,3748,3727,3710,3686,3667,3647,3635,3618,3587,3558,3525,3488,3450,3409,3368,3322,3272,3208,3157,3117,3055,2987,2927,2864,2811,2759,2689,2624,2566,2527,2479,2431,2384,2340,2288,2238,2198,2156,2112,2072,2025,1962,1887,1816,1746,1608,1259,1123,1087,1055,1031,979,928,879,816,695
1nmpp1,3000,3,2,ER,6,7723,7267,6983,6550,6352,6183,6041,5896,5783,5643,5496,5363,5249,5130,5003,4879,4737,4605,4481,4375,4270,4173,4078,3991,3918,3836,3754,3696,3637,3584,3540,3505,3473,3448,3413,3381,3354,3330,3314,3294,3278,3255,3232,3212,3194,3169,3157,3138,3116,3102,3082,3060,3026,3000,2969,2946,2911,2878,2845,2807,2756,2709,2665,2621,2573,2518,2461,2409,2362,2312,2257,2202,2151,2105,2060,2015,1971,1931,1893,1847,1809,1763,1721,1652,1600,1557,1507,1454,1394,1314,1171,1075,1034,1002,963,918,874,828,726,607
1nmpp1,3000,3,2,ER,7,3587,3412,3294,3111,3021,2956,2909,2851,2799,2750,2708,2656,2594,2532,2475,2418,2364,2312,2262,2215,2175,2125,2091,2053,2014,1975,1944,1922,1895,1869,1841,1817,1802,1786,1762,1744,1730,1710,1692,1679,1670,1659,1647,1628,1616,1603,1593,1581,1569,1556,1542,1535,1517,1500,1482,1468,1448,1434,1415,1389,1363,1328,1300,1276,1245,1219,1194,1174,1152,1128,1106,1086,1071,1048,1035,1013,951,900,852,819,796,772,744,729,696,680,655,625,597,531,404,359,347,334,317,296,283,267,236,185
1nmpp1,3000,3,2,ER,8,8051,7452,7156,6822,6588,6420,6285,6148,6003,5850,5710,5579,5469,5343,5212,5077,4964,4860,4738,4644,4525,4435,4339,4239,4150,4083,4009,3944,3888,3832,3780,3742,3696,3659,3622,3585,3556,3527,3498,3463,3440,3415,3397,3369,3345,3317,3297,3275,3259,3235,3210,3185,3158,3138,3110,3069,3042,3010,2977,2936,2901,2856,2819,2773,2729,2685,2634,2582,2535,2476,2431,2383,2338,2287,2240,2192,2148,2093,2037,1986,1928,1855,1802,1746,1684,1637,1578,1521,1472,1425,1297,1189,1142,1100,1042,980,914,857,761,639
1nmpp1,3000,3,2,ER,9,7531,7027,6778,6510,6294,6114,5921,5726,5500,5325,5162,5010,4865,4754,4635,4531,4432,4339,4233,4150,4080,4013,3947,3895,3838,3772,3720,3676,3624,3575,3529,3498,3451,3418,3391,3354,3332,3305,3278,3257,3229,3213,3194,3170,3143,3122,3095,3073,3037,3007,2984,2955,2914,2873,2830,2783,2741,2689,2637,2586,2536,2488,2436,2385,2327,2277,2238,2188,2158,2111,2064,2026,1987,1935,1901,1861,1822,1785,1733,1682,1639,1591,1544,1477,1382,1302,1236,1182,1112,1031,789,698,678,657,636,603,573,539,473,396
1nmpp1,3000,3,2,ER,10,9926,9350,9054,8652,8380,8147,7900,7656,7419,7206,6990,6816,6633,6448,6281,6120,5964,5815,5698,5563,5443,5314,5222,5141,5062,4984,4903,4858,4808,4768,4720,4677,4641,4611,4589,4559,4528,4502,4469,4444,4414,4389,4369,4338,4314,4278,4237,4197,4161,4116,4077,4028,3977,3932,3860,3807,3744,3691,3628,3576,3508,3442,3391,3320,3236,3174,3115,3058,3001,2958,2914,2868,2818,2766,2716,2672,2627,2585,2523,2450,2339,2275,2218,2157,2062,1970,1881,1816,1724,1558,1017,900,865,823,778,714,655,609,523,432
1nmpp1,3000,3,2,ER,11,5561,5373,5181,4906,4803,4691,4572,4484,4394,4300,4212,4136,4060,3974,3905,3823,3764,3689,3626,3558,3506,3462,3412,3359,3308,3255,3199,3165,3128,3079,3037,2987,2954,2932,2901,2866,2831,2807,2786,2767,2750,2730,2714,2701,2690,2679,2665,2653,2636,2623,2605,2583,2562,2525,2498,2479,2463,2419,2387,2351,2318,2277,2241,2198,2155,2111,2074,2029,1992,1957,1922,1897,1868,1839,1797,1764,1729,1697,1656,1621,1564,1502,1426,1368,1318,1266,1189,1160,1123,1044,849,763,739,718,693,659,637,606,540,446
1nmpp1,3000,3,2,ER,12,6722,6444,6274,5971,5812,5686,5527,5398,5277,5143,5026,4922,4824,4717,4615,4515,4421,4342,4251,4160,4078,4018,3954,3891,3838,3786,3725,3681,3628,3573,3536,3498,3458,3410,3375,3348,3317,3285,3255,3228,3204,3178,3162,3144,3131,3116,3104,3091,3075,3062,3041,3033,3016,2995,2966,2932,2898,2861,2826,2779,2746,2715,2668,2622,2575,2524,2486,2440,2401,2360,2319,2278,2237,2201,2170,2138,2083,2039,1990,1959,1916,1871,1829,1794,1732,1655,1540,1471,1397,1289,1032,918,887,869,847,806,781,744,685,574
1nmpp1,3000,3,2,ER,13,1953,1850,1800,1715,1673,1641,1611,1578,1544,1505,1471,1444,1408,1373,1341,1311,1271,1240,1220,1194,1174,1137,1110,1094,1072,1050,1034,1027,1011,998,991,986,978,973,967,962,956,953,949,941,938,933,929,920,917,911,905,899,890,885,870,860,846,833,823,813,794,776,763,742,722,708,693,673,657,645,630,615,605,596,587,575,568,558,552,547,541,533,520,506,500,470,455,438,411,388,364,350,331,302,174,129,122,114,111,100,87,78,74,48
1nmpp1,3000,3,2,ER,14,8590,8204,7907,7521,7301,7160,7017,6876,6757,6626,6473,6326,6204,6094,5978,5853,5725,5610,5499,5390,5280,5171,5069,4959,4842,4752,4652,4564,4501,4427,4365,4308,4257,4193,4157,4103,4074,4039,4002,3970,3946,3929,3903,3884,3868,3848,3826,3810,3798,3780,3770,3759,3744,3717,3697,3678,3658,3630,3596,3562,3533,3493,3455,3412,3376,3322,3269,3226,3177,3128,3086,3025,2959,2889,2818,2759,2705,2647,2567,2489,2426,2360,2305,2255,2207,2163,2118,2066,2017,1945,1766,1673,1633,1607,1579,1528,1475,1416,1295,1109
1nmpp1,3000,3,2,ER,15,3273,3121,2985,2801,2723,2673,2608,2566,2528,2477,2439,2392,2349,2314,2269,2242,2197,2162,2121,2097,2074,2041,2017,1994,1970,1942,1908,1884,1866,1838,1819,1799,1783,1766,1751,1729,1715,1698,1678,1666,1656,1649,1637,1630,1613,1600,1591,1578,1570,1560,1555,1548,1534,1525,1510,1494,1475,1460,1432,1412,1390,1358,1320,1300,1285,1261,1239,1215,1197,1181,1160,1143,1128,1102,1084,1065,1035,1012,984,951,918,898,870,833,785,752,726,698,662,600,489,435,422,413,404,389,377,364,322,277
1nmpp1,3000,3,2,ER,16,5984,5722,5540,5187,5006,4881,4780,4692,4598,4499,4357,4250,4136,4055,3974,3896,3807,3729,3657,3571,3491,3410,3340,3269,3208,3155,3116,3081,3035,2991,2946,2905,2878,2847,2821,2799,2781,2756,2738,2724,2704,2691,2670,2652,2638,2626,2613,2600,2590,2574,2556,2540,2530,2507,2481,2458,2439,2412,2393,2363,2322,2292,2244,2197,2154,2117,2075,2044,1992,1939,1902,1865,1825,1795,1769,1739,1709,1676,1641,1601,1567,1532,1506,1474,1449,1416,1359,1318,1281,1187,986,904,876,849,824,773,725,685,613,503
