experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
betaEstrodiol,0,3,3,ER,1,6077,5869,5692,5526,5380,5261,5157,5076,5009,4952,4884,4830,4758,4703,4643,4583,4502,4428,4337,4253,4174,4078,3996,3904,3820,3749,3677,3613,3546,3481,3419,3365,3309,3257,3194,3140,3097,3045,2990,2935,2890,2840,2785,2746,2710,2671,2623,2586,2540,2502,2473,2427,2385,2356,2324,2284,2244,2220,2194,2173,2141,2118,2084,2051,2022,1995,1963,1934,1910,1885,1853,1821,1801,1779,1754,1721,1691,1664,1639,1613,1581,1552,1522,1494,1451,1398,1319,1259,1177,1093,1013,948,901,837,778,713,635,504,340,173
betaEstrodiol,0,3,3,ER,2,5713,5544,5387,5239,5116,5036,4960,4890,4818,4741,4682,4614,4555,4488,4403,4339,4262,4180,4102,4027,3943,3873,3808,3742,3679,3613,3547,3484,3441,3401,3351,3302,3243,3204,3165,3122,3076,3034,2989,2948,2915,2872,2830,2785,2749,2708,2675,2644,2612,2569,2533,2493,2459,2422,2397,2375,2347,2312,2285,2263,2232,2206,2172,2153,2124,2095,2070,2039,2012,1984,1939,1904,1869,1823,1795,1757,1726,1687,1656,1635,1587,1554,1515,1478,1439,1388,1342,1286,1212,1134,1073,989,893,841,787,732,640,543,294,163
betaEstrodiol,0,3,3,ER,3,6737,6461,6244,6036,5859,5695,5567,5475,5382,5305,5243,5149,5078,4994,4918,4832,4741,4618,4522,4419,4316,4206,4106,4020,3932,3843,3768,3694,3625,3559,3490,3441,3395,3332,3275,3224,3177,3125,3080,3018,2957,2902,2854,2811,2765,2731,2686,2645,2604,2559,2515,2474,2434,2397,2366,2339,2297,2271,2243,2212,2179,2148,2110,2077,2034,1993,1962,1926,1887,1852,1818,1779,1760,1727,1693,1658,1608,1557,1528,1488,1460,1426,1394,1348,1311,1263,1198,1114,1035,987,926,872,801,726,679,632,572,477,293,158
betaEstrodiol,0,3,3,ER,4,6005,5765,5598,5418,5286,5199,5118,5040,4986,4910,4803,4709,4620,4533,4416,4328,4222,4103,3985,3885,3769,3662,3559,3455,3376,3297,3222,3155,3089,3011,2958,2904,2854,2809,2754,2703,2653,2609,2542,2500,2449,2408,2375,2335,2287,2246,2209,2171,2136,2100,2067,2035,2001,1964,1921,1899,1877,1853,1824,1797,1766,1746,1724,1696,1668,1636,1607,1583,1557,1536,1514,1490,1468,1433,1406,1385,1348,1324,1295,1270,1235,1211,1184,1152,1119,1089,1028,962,894,828,766,702,651,594,555,483,412,323,226,100
betaEstrodiol,0,3,3,ER,5,1843,1780,1753,1709,1663,1622,1597,1573,1553,1536,1520,1505,1488,1468,1448,1431,1408,1392,1372,1355,1331,1310,1293,1270,1256,1240,1226,1213,1191,1178,1165,1150,1139,1127,1110,1095,1080,1066,1056,1038,1022,1007,996,985,967,958,943,930,921,912,895,880,866,853,835,821,806,798,789,776,765,761,757,749,737,723,714,703,686,670,654,631,619,611,600,590,580,569,557,551,545,533,524,506,490,475,458,440,425,401,376,356,334,311,294,267,229,188,80,49
betaEstrodiol,0,3,3,ER,6,10548,9581,8857,8127,7506,6936,6494,6161,5906,5677,5510,5338,5189,5062,4922,4793,4659,4535,4424,4281,4162,4030,3910,3770,3642,3518,3413,3290,3189,3087,3002,2930,2851,2799,2740,2670,2614,2548,2484,2418,2342,2292,2213,2157,2112,2072,2036,1994,1943,1902,1851,1800,1741,1695,1652,1621,1596,1565,1539,1489,1450,1402,1366,1321,1282,1244,1197,1151,1120,1093,1059,1020,981,935,898,858,812,759,727,707,670,651,628,597,568,520,481,429,393,355,317,286,263,243,221,201,169,130,85,50
betaEstrodiol,0,3,3,ER,7,6329,6104,5952,5797,5660,5519,5417,5339,5253,5186,5068,4962,4857,4764,4662,4544,4432,4307,4201,4069,3959,3850,3726,3638,3535,3441,3367,3283,3224,3149,3082,3020,2955,2902,2846,2787,2734,2678,2640,2577,2527,2491,2458,2411,2372,2331,2294,2263,2221,2177,2133,2084,2037,2009,1977,1944,1916,1883,1854,1833,1804,1764,1740,1708,1666,1642,1600,1572,1541,1514,1494,1467,1436,1414,1389,1366,1340,1315,1290,1264,1253,1228,1201,1173,1131,1102,1058,994,927,849,793,747,689,633,588,538,493,405,267,185
betaEstrodiol,0,3,3,ER,8,5330,5131,5002,4884,4773,4689,4627,4569,4516,4455,4372,4304,4231,4156,4086,4010,3918,3831,3741,3654,3575,3494,3414,3340,3269,3224,3158,3094,3030,2977,2937,2895,2836,2798,2753,2694,2640,2596,2551,2509,2459,2427,2401,2359,2327,2290,2255,2221,2185,2137,2116,2086,2055,2014,1974,1945,1914,1880,1858,1821,1798,1778,1752,1720,1693,1659,1629,1604,1575,1551,1529,1505,1477,1448,1408,1373,1337,1310,1283,1246,1219,1183,1157,1119,1078,1044,997,948,889,820,748,696,636,563,530,477,409,301,183,97
betaEstrodiol,0,3,3,ER,9,7524,7054,6699,6314,6003,5748,5534,5332,5209,5098,4996,4902,4812,4741,4653,4538,4426,4328,4229,4119,4024,3930,3843,3738,3644,3545,3451,3372,3301,3229,3149,3089,3036,2986,2929,2878,2827,2764,2711,2664,2607,2553,2511,2464,2425,2384,2345,2308,2272,2222,2172,2133,2100,2064,2027,2001,1968,1933,1897,1876,1841,1809,1772,1740,1709,1679,1639,1615,1585,1545,1520,1484,1445,1410,1372,1331,1285,1238,1199,1167,1138,1106,1065,1021,978,917,870,802,738,689,635,601,528,469,435,392,345,274,166,85
betaEstrodiol,0,3,3,ER,10,5174,4948,4795,4669,4576,4506,4455,4399,4354,4308,4249,4211,4173,4134,4080,4020,3963,3902,3851,3784,3720,3658,3599,3539,3488,3439,3387,3342,3288,3246,3196,3155,3117,3079,3036,3004,2962,2927,2886,2849,2816,2783,2752,2723,2687,2655,2613,2585,2560,2525,2489,2462,2432,2395,2360,2331,2297,2267,2237,2208,2176,2143,2120,2092,2074,2044,2019,1984,1947,1915,1882,1841,1809,1763,1683,1625,1590,1558,1524,1495,1474,1449,1421,1394,1357,1330,1302,1266,1226,1188,1144,1078,991,924,878,801,716,567,297,152
