experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
glu,0-5,3,0,ER,1,4712,4637,4576,4302,4277,4213,4153,4117,3987,3837,3744,3453,3344,3250,3109,3011,2909,2823,2729,2645,2521,2407,2292,2161,2059,1964,1888,1824,1775,1721,1693,1671,1646,1630,1615,1595,1584,1572,1561,1537,1526,1515,1506,1497,1489,1480,1468,1460,1457,1449,1444,1436,1423,1420,1409,1398,1388,1380,1372,1361,1348,1340,1326,1308,1294,1285,1273,1257,1244,1231,1213,1195,1172,1150,1137,1116,1090,1059,1037,1003,982,962,939,918,900,867,848,823,795,776,755,732,692,656,612,579,526,483,411,295
glu,0-5,3,0,ER,2,3820,3751,3720,3486,3471,3425,3371,3349,3252,3130,3067,2854,2742,2668,2549,2449,2359,2282,2211,2146,2000,1911,1836,1739,1655,1573,1499,1455,1408,1375,1355,1334,1317,1303,1289,1283,1278,1266,1259,1246,1233,1220,1211,1208,1200,1192,1184,1176,1172,1163,1158,1150,1143,1135,1128,1122,1116,1111,1104,1099,1095,1087,1080,1069,1060,1052,1034,1018,1008,990,973,959,944,935,925,912,884,865,844,823,810,793,768,745,729,701,682,667,647,626,590,559,528,480,447,407,365,319,265,177
glu,0-5,3,0,ER,7,3839,3807,3784,3637,3632,3608,3575,3561,3482,3406,3358,3208,3132,3067,2984,2922,2857,2798,2732,2677,2574,2478,2393,2256,2156,2080,1990,1922,1856,1816,1782,1757,1730,1711,1693,1674,1662,1648,1630,1612,1603,1591,1579,1571,1562,1559,1555,1547,1542,1537,1531,1524,1519,1515,1515,1510,1505,1500,1491,1489,1479,1466,1452,1442,1432,1428,1420,1409,1400,1395,1381,1374,1355,1338,1326,1305,1282,1258,1231,1199,1177,1150,1121,1105,1077,1049,1028,1008,997,987,972,953,936,910,874,840,795,747,688,541
glu,0-5,3,0,ER,8,2310,2288,2285,2168,2164,2151,2135,2128,2072,2005,1961,1799,1749,1713,1650,1604,1549,1509,1466,1427,1365,1299,1254,1191,1142,1094,1042,1001,962,939,920,911,906,897,889,879,873,864,856,850,844,839,834,827,825,823,820,815,813,810,806,804,801,793,792,787,778,773,765,762,758,753,745,737,728,725,716,713,711,703,695,685,671,664,655,638,624,617,605,597,586,565,550,537,521,514,497,483,469,452,430,416,403,372,333,300,261,240,201,131
glu,0-5,3,0,ER,9,2092,2056,2049,1930,1922,1916,1895,1887,1816,1777,1747,1490,1456,1422,1353,1330,1281,1260,1236,1214,1176,1129,1104,1056,1021,981,925,891,861,829,817,803,790,782,775,766,762,758,752,743,734,726,718,710,703,699,688,684,680,677,672,670,668,665,655,652,648,643,643,637,634,625,621,615,606,602,597,591,583,580,575,573,561,559,553,544,532,521,514,505,487,477,465,451,445,435,427,419,414,408,391,373,349,326,306,272,247,228,191,128
glu,0-5,3,0,ER,11,1758,1717,1704,1395,1382,1375,1354,1346,1285,1222,1129,975,951,919,874,841,810,798,771,746,705,672,646,610,581,553,520,504,493,472,464,461,450,443,436,429,423,419,412,403,398,388,381,380,374,372,370,367,367,365,364,362,358,355,351,350,349,345,340,338,335,329,327,321,317,315,313,308,305,298,292,287,283,282,277,270,263,258,252,245,236,234,232,230,224,219,219,215,208,199,188,182,175,162,152,139,117,108,83,49
glu,0-5,3,0,ER,12,3654,3601,3580,3331,3318,3296,3254,3237,3142,3016,2929,2689,2613,2553,2458,2383,2315,2267,2200,2152,2070,1985,1928,1825,1739,1681,1593,1534,1503,1460,1439,1421,1405,1389,1370,1359,1342,1329,1314,1296,1284,1272,1263,1251,1246,1238,1231,1224,1221,1216,1204,1197,1190,1183,1175,1172,1169,1164,1161,1154,1144,1133,1125,1111,1098,1088,1081,1073,1064,1051,1043,1032,1019,1001,993,972,959,944,932,912,881,856,836,819,795,774,758,742,731,716,698,683,654,630,608,568,519,474,439,317
glu,0-5,3,0,ER,13,2134,2104,2102,2039,2038,2027,2009,1996,1951,1927,1903,1821,1804,1781,1738,1705,1680,1651,1606,1577,1517,1467,1405,1325,1254,1190,1124,1054,1024,1000,974,958,930,914,904,893,886,871,862,850,841,833,831,820,814,809,804,800,799,796,793,791,790,786,780,778,771,767,764,763,757,752,750,745,740,736,734,727,723,716,711,708,701,691,683,677,663,642,624,610,597,588,573,560,545,534,522,514,507,502,492,475,466,446,423,401,377,352,324,240
glu,0-5,3,0,ER,14,3591,3540,3511,3256,3244,3213,3175,3159,3043,2924,2822,2563,2449,2343,2233,2150,2073,2009,1951,1900,1798,1722,1657,1567,1485,1428,1381,1346,1316,1284,1268,1242,1226,1216,1207,1200,1184,1175,1166,1154,1144,1142,1127,1120,1114,1105,1099,1093,1092,1086,1082,1081,1074,1072,1067,1055,1051,1042,1029,1023,1011,1003,994,983,971,963,952,939,928,922,915,905,892,880,863,851,831,800,774,750,727,699,682,659,641,627,612,593,577,553,521,495,472,442,406,363,328,290,261,174
glu,0-5,3,0,ER,15,4610,4544,4487,4225,4196,4113,4062,4032,3909,3767,3655,3347,3221,3127,2974,2846,2720,2642,2549,2453,2346,2268,2183,2066,1955,1887,1820,1761,1723,1683,1659,1638,1627,1614,1592,1574,1558,1534,1522,1507,1495,1485,1475,1462,1452,1444,1435,1429,1424,1415,1406,1395,1385,1376,1367,1360,1357,1352,1342,1334,1321,1304,1292,1282,1271,1261,1247,1236,1222,1208,1196,1174,1158,1138,1120,1098,1068,1048,1021,993,973,939,918,899,876,851,823,796,772,748,720,689,657,623,592,532,468,433,377,261
