experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
glu,50,3,6,ER,2,3333,3292,3276,3153,3144,3111,3081,3068,3027,2980,2934,2846,2785,2716,2611,2539,2463,2406,2347,2289,2209,2122,2017,1907,1811,1752,1691,1632,1601,1568,1547,1526,1516,1502,1487,1478,1468,1457,1442,1434,1420,1415,1406,1395,1392,1389,1383,1377,1372,1368,1361,1361,1355,1351,1345,1341,1336,1332,1328,1325,1314,1303,1294,1287,1276,1266,1252,1244,1233,1217,1207,1184,1171,1152,1134,1099,1077,1049,1026,992,968,943,917,888,862,837,823,800,786,773,758,735,711,679,648,592,536,495,447,351
glu,50,3,6,ER,9,4784,4724,4702,4579,4570,4530,4491,4471,4386,4304,4228,4050,3972,3899,3777,3682,3609,3559,3474,3380,3254,3141,2995,2835,2702,2598,2498,2423,2361,2312,2280,2246,2233,2213,2199,2181,2164,2138,2112,2092,2080,2063,2055,2047,2039,2031,2028,2023,2019,2016,2012,2008,2003,1999,1994,1988,1979,1974,1964,1952,1940,1923,1904,1888,1879,1873,1857,1847,1828,1806,1788,1766,1745,1726,1698,1665,1627,1587,1542,1496,1457,1426,1394,1371,1345,1317,1294,1267,1248,1233,1205,1175,1146,1104,1063,1006,923,877,808,637
glu,50,3,6,ER,15,3828,3773,3750,3627,3622,3588,3552,3542,3487,3405,3350,3217,3146,3074,2947,2854,2780,2720,2646,2565,2451,2347,2255,2098,1995,1923,1843,1794,1757,1716,1692,1670,1647,1635,1615,1606,1592,1574,1559,1545,1534,1523,1517,1508,1502,1500,1495,1491,1486,1482,1475,1469,1461,1456,1453,1449,1447,1440,1434,1426,1414,1402,1395,1381,1372,1369,1357,1350,1334,1323,1316,1297,1282,1270,1254,1230,1197,1172,1146,1122,1095,1064,1039,1017,995,982,961,944,928,914,887,851,823,796,751,705,638,591,506,380
glu,50,3,6,ER,17,2468,2407,2389,2176,2163,2129,2082,2067,2011,1952,1897,1812,1737,1683,1624,1556,1491,1454,1394,1355,1292,1230,1187,1114,1069,1029,1005,982,961,946,937,934,924,913,903,896,888,873,867,857,852,848,843,836,833,828,825,821,817,814,811,807,804,799,797,792,790,787,782,775,768,757,749,743,735,725,717,705,699,684,677,665,653,640,630,613,602,588,578,551,536,519,500,477,464,452,443,424,401,379,353,326,312,283,264,221,187,167,142,87
glu,50,3,6,ER,19,3860,3781,3715,3426,3394,3299,3225,3196,3071,2953,2856,2674,2559,2467,2339,2235,2160,2093,2019,1963,1859,1801,1741,1661,1617,1567,1506,1457,1425,1404,1378,1358,1345,1338,1326,1316,1306,1288,1277,1262,1255,1249,1245,1242,1236,1230,1225,1217,1212,1207,1203,1199,1187,1184,1179,1172,1164,1160,1154,1144,1130,1125,1117,1105,1095,1080,1067,1051,1040,1030,1016,1007,992,978,960,934,917,888,860,835,809,793,771,755,732,710,694,670,654,626,607,580,546,514,482,447,406,370,313,210
glu,50,3,6,ER,20,2766,2717,2704,2572,2561,2540,2511,2494,2423,2356,2322,2208,2151,2088,2024,1962,1906,1862,1796,1745,1677,1602,1532,1450,1389,1333,1281,1242,1219,1195,1168,1155,1140,1129,1118,1105,1085,1069,1060,1049,1039,1031,1022,1020,1017,1013,1010,1009,1006,1003,1000,999,994,990,986,982,980,976,973,963,954,947,943,938,927,921,914,903,888,873,861,853,839,823,811,787,763,753,735,713,688,677,652,630,612,596,582,563,544,527,502,492,474,452,429,393,356,322,294,204
glu,50,3,6,ER,21,4141,4084,4065,3909,3902,3874,3846,3830,3763,3686,3613,3410,3335,3242,3127,3027,2936,2869,2792,2726,2608,2500,2385,2250,2152,2063,1991,1915,1865,1829,1809,1783,1753,1742,1731,1717,1705,1683,1666,1657,1640,1630,1621,1609,1596,1592,1585,1581,1578,1571,1569,1562,1557,1553,1545,1536,1531,1524,1520,1511,1500,1488,1475,1468,1462,1454,1445,1433,1421,1405,1387,1376,1361,1336,1317,1286,1265,1233,1202,1165,1142,1110,1086,1061,1046,1022,1007,985,960,939,897,865,831,795,736,668,595,555,498,328
glu,50,3,6,ER,22,3549,3503,3461,3300,3291,3244,3196,3171,3116,3033,2967,2823,2730,2660,2560,2454,2381,2313,2229,2166,2073,1986,1906,1807,1710,1664,1600,1565,1526,1498,1474,1450,1433,1422,1410,1404,1392,1380,1371,1362,1348,1344,1335,1329,1322,1318,1313,1305,1300,1297,1294,1289,1283,1280,1272,1267,1257,1251,1248,1231,1223,1211,1202,1187,1178,1166,1149,1135,1124,1115,1101,1088,1078,1059,1045,1024,998,981,949,919,885,869,853,833,811,790,770,752,738,717,699,672,642,612,571,523,461,426,365,259
glu,50,3,6,ER,23,2394,2371,2363,2295,2287,2270,2249,2238,2181,2129,2107,2025,1983,1938,1877,1847,1810,1778,1743,1715,1646,1601,1549,1474,1409,1352,1311,1275,1246,1220,1202,1184,1169,1155,1149,1137,1126,1108,1094,1087,1078,1075,1066,1061,1057,1054,1052,1050,1050,1046,1044,1039,1033,1031,1031,1029,1028,1024,1023,1019,1010,1003,997,987,981,974,967,957,950,946,941,929,919,896,881,859,834,816,794,777,754,729,702,681,666,652,638,624,614,602,591,580,562,546,527,488,443,425,392,296
glu,50,3,6,ER,24,3557,3479,3423,3115,3080,2996,2925,2886,2779,2667,2580,2361,2259,2164,2039,1940,1875,1817,1753,1704,1622,1561,1490,1432,1374,1324,1280,1241,1224,1200,1176,1162,1153,1140,1130,1118,1108,1097,1086,1075,1064,1058,1048,1044,1040,1035,1033,1026,1018,1009,1003,995,988,982,977,972,968,964,959,950,939,928,913,907,898,884,874,868,861,851,847,838,820,807,791,771,750,728,706,684,659,649,624,596,579,550,530,513,496,478,451,430,404,383,349,306,256,234,196,132
