experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
leu,25,3,0,ER,2,8261,8113,7956,7838,7722,7576,7457,7345,7235,7117,6979,6832,6686,6528,6388,6237,6104,5980,5872,5771,5692,5607,5537,5463,5404,5346,5291,5237,5197,5140,5090,5049,5004,4964,4931,4891,4845,4792,4741,4690,4649,4599,4528,4462,4406,4335,4282,4217,4162,4102,4042,3997,3943,3892,3848,3804,3761,3719,3670,3624,3580,3536,3501,3459,3403,3352,3302,3246,3185,3076,3013,2917,2792,2650,2405,2209,1987,1706,1382,1161,960,748,517,293,120,12,7,4,3,3,1,1,1,1,1,1,1,0,0,0
leu,25,3,0,ER,3,4993,4903,4811,4741,4676,4623,4571,4524,4471,4412,4338,4277,4187,4121,4051,3963,3894,3823,3751,3694,3614,3554,3492,3454,3416,3372,3339,3299,3258,3219,3184,3153,3122,3087,3066,3037,3006,2971,2947,2914,2883,2844,2809,2770,2732,2701,2673,2638,2596,2559,2531,2505,2484,2458,2434,2402,2375,2350,2325,2286,2254,2229,2195,2166,2138,2094,2060,2016,1977,1941,1912,1861,1795,1731,1608,1491,1361,1188,1002,835,708,559,422,254,128,38,37,33,33,32,27,23,21,16,15,11,6,4,1,0
leu,25,3,0,ER,4,8719,8529,8349,8186,8025,7894,7775,7646,7519,7395,7255,7125,6976,6825,6654,6507,6387,6267,6157,6055,5963,5868,5788,5710,5636,5553,5489,5425,5370,5312,5247,5193,5146,5106,5053,5010,4959,4900,4830,4771,4712,4655,4586,4515,4461,4403,4361,4293,4239,4176,4117,4063,4013,3970,3914,3853,3809,3759,3716,3667,3618,3574,3530,3476,3428,3382,3333,3280,3222,3152,3081,2997,2880,2739,2512,2272,2041,1754,1435,1185,972,739,523,295,106,13,9,3,3,2,2,2,2,1,0,0,0,0,0,0
leu,25,3,0,ER,5,6493,6377,6258,6140,6056,5952,5862,5781,5702,5585,5476,5370,5251,5132,5014,4905,4795,4689,4596,4531,4443,4379,4306,4255,4198,4146,4102,4061,4028,3980,3953,3916,3889,3864,3836,3801,3756,3716,3675,3632,3587,3545,3493,3440,3400,3342,3307,3263,3226,3186,3146,3097,3060,3027,2993,2967,2933,2894,2866,2828,2794,2771,2739,2708,2677,2643,2606,2566,2525,2457,2402,2329,2245,2152,1959,1780,1586,1390,1134,915,773,603,429,267,110,8,4,4,3,3,3,3,3,3,3,3,2,1,0,0
leu,25,3,0,ER,6,2382,2346,2301,2229,2207,2177,2144,2107,2078,2034,1981,1934,1891,1860,1811,1770,1729,1702,1676,1658,1630,1607,1582,1567,1549,1538,1520,1511,1496,1483,1468,1456,1436,1421,1412,1399,1385,1372,1362,1345,1330,1316,1302,1291,1274,1261,1248,1238,1231,1221,1207,1195,1181,1170,1151,1135,1121,1110,1102,1084,1070,1054,1038,1024,1008,992,978,957,945,930,922,908,888,864,828,785,736,664,588,520,454,401,347,295,246,216,198,181,180,168,157,144,135,122,106,83,63,41,29,11
leu,25,3,0,ER,7,5797,5690,5569,5491,5401,5310,5228,5150,5080,5006,4929,4817,4727,4650,4544,4471,4378,4292,4207,4143,4080,4030,3974,3932,3894,3847,3812,3768,3743,3718,3686,3655,3617,3586,3559,3525,3493,3462,3433,3401,3366,3325,3290,3252,3217,3180,3148,3104,3073,3037,3009,2975,2940,2912,2879,2853,2818,2782,2758,2728,2702,2669,2636,2596,2555,2515,2479,2429,2373,2291,2237,2171,2077,1985,1786,1597,1409,1164,908,740,598,452,286,151,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leu,25,3,0,ER,8,6883,6739,6562,6396,6275,6176,6077,5986,5899,5801,5704,5595,5477,5360,5255,5165,5066,4977,4904,4823,4754,4686,4636,4585,4547,4515,4469,4435,4392,4352,4308,4281,4250,4209,4176,4137,4104,4064,4038,4000,3963,3925,3888,3857,3819,3780,3756,3726,3679,3654,3620,3589,3554,3532,3482,3449,3416,3378,3349,3296,3253,3204,3171,3127,3082,3042,3002,2943,2904,2851,2801,2754,2684,2590,2452,2290,2110,1883,1556,1332,1140,971,779,596,427,334,318,302,279,264,248,231,209,177,147,126,95,63,42,10
leu,25,3,0,ER,9,6831,6701,6551,6446,6347,6223,6126,6032,5915,5796,5685,5571,5442,5326,5202,5102,4983,4882,4806,4740,4669,4614,4562,4506,4456,4410,4362,4322,4285,4246,4202,4171,4139,4103,4064,4025,3986,3950,3913,3871,3823,3776,3725,3674,3608,3564,3519,3478,3432,3376,3328,3291,3261,3228,3200,3157,3122,3078,3047,3019,2987,2952,2915,2873,2838,2791,2752,2718,2677,2622,2560,2500,2414,2316,2128,1964,1753,1493,1190,990,802,617,455,278,123,25,16,11,11,9,6,5,3,0,0,0,0,0,0,0
leu,25,3,0,ER,10,1891,1856,1803,1773,1732,1707,1664,1639,1597,1551,1503,1465,1424,1398,1377,1344,1314,1284,1266,1248,1228,1206,1195,1183,1176,1166,1147,1134,1125,1116,1102,1095,1091,1085,1076,1066,1053,1039,1026,1008,995,985,966,943,928,912,899,889,867,844,825,809,802,791,784,773,765,752,743,739,725,719,707,696,689,680,676,667,658,643,633,617,577,556,497,420,359,277,182,149,114,85,62,34,16,13,7,7,7,7,7,7,6,5,4,3,3,1,1,0
leu,25,3,0,ER,11,11839,11620,11386,11233,11072,10917,10773,10601,10408,10219,10026,9814,9584,9375,9209,9003,8807,8618,8454,8322,8191,8073,7954,7849,7762,7679,7603,7530,7447,7373,7313,7239,7177,7120,7063,6993,6937,6874,6820,6762,6707,6636,6552,6464,6381,6314,6230,6153,6077,6014,5952,5888,5813,5749,5689,5624,5567,5506,5455,5398,5340,5279,5219,5165,5072,5017,4947,4870,4782,4701,4602,4483,4341,4169,3896,3511,3186,2715,2189,1760,1394,1086,694,286,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
