experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
rpmc,0,3,6,ER,1,5380,5038,4899,4813,4756,4714,4667,4622,4577,4507,4443,4313,4104,3811,3701,3619,3550,3496,3443,3383,3333,3278,3229,3182,3126,3071,3026,2983,2942,2901,2849,2800,2751,2683,2637,2591,2538,2490,2439,2391,2349,2309,2265,2238,2211,2182,2159,2143,2123,2109,2095,2078,2062,2048,2036,2026,2009,1994,1982,1971,1964,1954,1945,1935,1924,1911,1890,1877,1864,1848,1820,1806,1788,1773,1754,1733,1711,1687,1668,1649,1626,1591,1562,1535,1503,1473,1437,1405,1369,1336,1308,1278,1254,1228,1200,1152,1084,979,826,515
rpmc,0,3,6,ER,2,4693,4354,4197,4025,3943,3870,3791,3686,3578,3479,3385,3253,3055,2834,2709,2639,2567,2490,2441,2384,2331,2288,2242,2201,2164,2126,2089,2060,2020,1995,1977,1945,1912,1887,1857,1831,1805,1780,1752,1721,1699,1677,1653,1632,1615,1600,1583,1571,1560,1540,1517,1507,1494,1483,1473,1458,1448,1427,1412,1404,1396,1385,1377,1370,1354,1346,1331,1324,1315,1305,1287,1274,1252,1230,1213,1184,1167,1153,1136,1110,1082,1057,1029,1008,978,944,924,889,845,811,774,748,723,697,684,654,611,544,445,247
rpmc,0,3,6,ER,3,6125,5499,5301,5073,4962,4867,4780,4670,4536,4413,4284,4152,3984,3773,3654,3542,3454,3364,3275,3199,3126,3032,2973,2911,2843,2789,2738,2675,2609,2563,2526,2492,2451,2394,2354,2321,2276,2240,2205,2174,2141,2114,2087,2065,2038,2008,1981,1958,1937,1922,1905,1893,1875,1856,1841,1823,1803,1788,1775,1758,1747,1727,1706,1685,1670,1652,1626,1607,1584,1564,1545,1527,1514,1490,1469,1436,1406,1384,1357,1334,1310,1279,1246,1209,1180,1150,1103,1065,1019,976,931,894,858,832,793,754,706,631,528,308
rpmc,0,3,6,ER,6,5980,5588,5420,5242,5142,5060,4983,4874,4778,4657,4531,4404,4227,4003,3881,3781,3668,3582,3485,3404,3329,3267,3202,3138,3080,3035,2981,2929,2880,2831,2792,2743,2700,2666,2621,2572,2528,2491,2455,2417,2378,2335,2301,2270,2245,2223,2204,2186,2165,2148,2130,2100,2085,2072,2050,2041,2023,2010,1992,1982,1967,1955,1941,1926,1911,1886,1868,1852,1841,1826,1808,1790,1768,1743,1714,1694,1670,1646,1617,1584,1550,1519,1487,1454,1416,1386,1346,1309,1268,1236,1200,1170,1127,1095,1050,984,907,815,667,388
rpmc,0,3,6,ER,7,5078,4656,4496,4339,4243,4155,4061,3958,3832,3751,3656,3567,3440,3291,3206,3114,3046,2960,2886,2825,2761,2700,2626,2581,2540,2496,2447,2414,2380,2340,2293,2254,2225,2195,2159,2132,2094,2050,2020,1985,1952,1924,1905,1875,1854,1825,1801,1783,1761,1746,1733,1715,1698,1680,1664,1646,1626,1617,1599,1585,1565,1549,1536,1526,1517,1504,1482,1462,1440,1421,1401,1380,1353,1325,1298,1274,1249,1230,1207,1186,1157,1133,1112,1083,1050,1022,998,970,929,890,847,825,791,758,720,673,618,528,441,285
rpmc,0,3,6,ER,10,5417,5092,4944,4796,4732,4681,4620,4548,4479,4398,4323,4221,4084,3884,3765,3679,3582,3512,3437,3363,3288,3204,3138,3083,3020,2963,2909,2859,2811,2759,2710,2661,2622,2569,2522,2478,2440,2405,2378,2346,2306,2271,2245,2220,2177,2159,2136,2121,2100,2080,2057,2040,2033,2013,1996,1986,1972,1964,1951,1937,1923,1906,1895,1884,1876,1859,1843,1834,1816,1799,1785,1765,1742,1723,1706,1681,1657,1637,1615,1592,1567,1547,1532,1510,1478,1445,1410,1391,1353,1315,1281,1256,1218,1178,1140,1088,1022,910,717,447
rpmc,0,3,6,ER,11,2051,1757,1463,1306,1125,1046,978,927,889,841,810,786,758,733,696,684,675,660,652,644,609,579,561,540,529,513,501,484,472,463,456,447,439,429,419,408,392,380,369,359,338,318,300,297,284,276,273,265,258,251,246,241,236,234,231,229,226,222,218,214,210,200,190,183,175,172,167,162,161,158,151,147,144,140,135,132,131,127,121,119,117,110,107,101,97,96,89,85,82,74,71,69,67,63,57,51,49,47,42,23
rpmc,0,3,6,ER,13,6568,6221,5878,5542,5351,5176,5037,4856,4661,4496,4319,4191,3985,3767,3646,3535,3436,3346,3269,3189,3109,3032,2974,2922,2870,2821,2775,2720,2662,2608,2555,2512,2474,2412,2376,2333,2291,2248,2220,2185,2145,2091,2053,2017,1978,1938,1913,1896,1871,1839,1818,1795,1776,1759,1751,1735,1714,1694,1679,1665,1646,1631,1618,1601,1584,1552,1519,1497,1473,1454,1429,1403,1382,1363,1338,1304,1273,1251,1225,1196,1165,1136,1105,1069,1037,1003,967,939,902,871,826,802,769,738,704,662,581,505,393,228
rpmc,0,3,6,ER,14,5617,5203,4974,4732,4609,4496,4382,4218,4105,3986,3866,3756,3589,3418,3323,3251,3188,3134,3073,3015,2946,2895,2832,2789,2726,2664,2614,2571,2526,2500,2472,2437,2400,2365,2330,2288,2259,2232,2200,2166,2134,2102,2064,2032,2004,1983,1964,1944,1923,1904,1876,1858,1841,1817,1798,1778,1758,1745,1730,1718,1702,1691,1672,1653,1637,1614,1593,1566,1544,1526,1510,1487,1463,1441,1417,1401,1373,1344,1306,1276,1242,1215,1181,1153,1135,1107,1079,1041,1004,974,938,884,851,816,762,714,664,603,493,289
rpmc,0,3,6,ER,15,4393,4109,3984,3915,3869,3829,3792,3745,3697,3651,3570,3496,3320,3113,3015,2957,2897,2844,2800,2756,2714,2675,2621,2574,2532,2490,2460,2414,2378,2343,2314,2284,2246,2209,2177,2139,2103,2061,2019,1985,1962,1937,1908,1894,1873,1858,1831,1812,1796,1784,1767,1757,1742,1737,1728,1712,1700,1692,1685,1680,1668,1661,1652,1636,1624,1618,1599,1587,1579,1564,1538,1524,1501,1486,1466,1448,1432,1413,1398,1378,1355,1335,1308,1290,1259,1229,1203,1171,1124,1083,1047,1016,996,975,947,915,866,785,661,424
