experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
glu,0-5,3,7,LD,1,2285,1901,1704,1581,1505,1432,1379,1335,1279,1215,1118,1046,971,908,842,799,771,741,722,699,674,654,636,611,587,568,550,534,517,506,496,487,479,472,463,451,437,428,419,410,401,388,377,370,363,358,348,335,323,314,303,288,280,274,266,255,249,241,236,229,223,217,210,202,200,194,180,168,162,152,144,137,133,128,124,121,117,110,104,98,94,80,72,62,54,48,44,37,31,28,26,21,19,15,8,7,4,2,2,0
glu,0-5,3,7,LD,2,2751,2300,2075,1940,1819,1752,1696,1639,1572,1486,1359,1273,1133,1036,980,927,895,852,828,811,789,767,730,697,664,640,626,605,588,576,563,557,547,537,531,519,506,497,483,477,459,445,434,420,406,386,376,363,354,342,326,312,302,293,289,283,276,268,258,253,244,238,225,213,207,203,196,185,179,173,164,156,148,139,133,130,123,118,106,97,83,77,69,63,57,49,42,36,31,23,20,16,13,10,5,3,2,1,0,0
glu,0-5,3,7,LD,3,2318,1957,1807,1665,1571,1511,1481,1448,1407,1350,1265,1195,1069,952,873,814,792,769,749,729,706,683,657,621,580,565,547,533,514,493,487,481,473,468,460,450,444,435,428,416,397,381,373,365,358,353,343,327,307,288,268,247,235,226,217,214,203,195,185,178,169,154,141,126,117,107,100,91,84,75,71,66,65,58,55,48,45,43,39,36,29,24,19,19,12,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0
glu,0-5,3,7,LD,5,1652,1552,1498,1366,1263,1241,1223,1209,1199,1166,1107,1064,884,747,722,684,663,654,639,630,627,614,594,569,535,524,501,490,458,450,446,437,423,418,417,407,396,389,376,365,338,317,312,303,300,296,291,278,260,249,224,195,185,172,171,166,161,160,156,152,150,139,123,116,107,106,97,88,81,74,62,57,54,51,46,43,40,40,38,38,35,32,28,23,19,13,10,7,3,3,1,1,0,0,0,0,0,0,0,0
glu,0-5,3,7,LD,6,772,720,684,627,593,580,569,558,546,515,466,433,387,353,336,325,316,309,302,299,294,285,276,266,259,253,246,234,228,222,219,217,217,212,209,207,199,194,190,184,179,176,171,166,163,158,156,155,151,146,139,128,123,119,118,115,114,112,108,107,105,102,95,87,81,80,76,74,74,73,67,65,59,58,56,54,51,48,44,43,38,33,31,27,22,20,14,10,6,4,3,2,1,1,0,0,0,0,0,0
glu,0-5,3,7,LD,7,1206,1099,1054,978,925,907,897,882,864,831,765,710,633,555,519,485,470,460,449,440,428,417,404,379,351,340,325,315,303,298,295,289,286,280,279,275,267,259,255,249,243,241,237,230,226,222,221,213,203,196,187,169,165,160,154,150,146,142,138,134,133,127,120,113,109,104,96,91,89,80,69,67,62,58,55,54,50,49,46,45,38,35,29,25,17,14,10,6,5,3,3,3,1,1,0,0,0,0,0,0
glu,0-5,3,7,LD,8,1905,1625,1469,1372,1314,1274,1239,1204,1159,1098,1012,963,877,798,751,719,700,678,660,647,621,604,577,546,522,507,491,476,461,449,445,439,428,421,414,405,399,388,377,367,356,347,338,330,322,313,305,300,287,276,265,249,234,227,222,215,208,202,190,181,173,163,152,143,135,125,118,114,109,101,95,91,88,82,76,72,67,64,57,50,45,42,35,27,20,17,14,9,6,2,2,1,0,0,0,0,0,0,0,0
glu,0-5,3,7,LD,9,1954,1642,1526,1419,1348,1296,1263,1230,1199,1139,1068,1010,909,810,779,754,730,714,700,684,662,639,614,585,550,532,509,480,458,448,437,429,416,409,403,397,391,378,369,363,348,336,330,326,319,313,298,292,276,269,253,236,228,219,214,208,200,195,191,186,174,165,152,147,138,130,122,116,112,109,102,101,94,92,86,83,81,76,71,66,60,57,46,37,30,27,25,19,14,12,9,7,5,4,2,1,0,0,0,0
glu,0-5,3,7,LD,11,1298,1195,1131,1050,991,964,949,939,926,899,823,760,663,576,547,519,496,487,485,477,465,449,434,406,387,375,361,346,331,326,317,311,307,301,297,294,285,273,260,245,239,232,231,229,224,218,209,203,196,190,179,165,156,151,149,146,142,140,139,136,133,128,114,108,100,96,85,76,72,67,61,57,52,48,44,40,36,34,33,29,27,22,21,16,13,10,10,7,4,3,3,3,3,3,1,0,0,0,0,0
glu,0-5,3,7,LD,12,1506,1361,1282,1179,1134,1103,1082,1062,1044,999,930,880,769,697,646,618,599,588,578,566,549,535,511,477,445,426,409,386,372,365,360,351,347,340,334,326,321,311,305,302,290,283,270,266,262,255,247,243,228,222,212,190,180,169,165,160,157,153,148,143,141,132,124,117,110,103,92,83,82,74,65,65,60,55,55,52,50,50,45,41,31,26,23,19,12,8,4,4,3,3,1,1,0,0,0,0,0,0,0,0
