experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
glu,100,3,4,LD,1,1405,1270,1214,1113,1052,1012,986,973,954,927,882,830,735,633,577,545,523,516,507,495,480,467,448,420,395,381,372,358,342,338,331,327,320,314,309,306,301,294,284,274,268,255,242,239,232,227,224,216,210,201,191,172,167,161,158,156,156,152,148,147,143,136,122,115,108,100,89,87,84,78,72,67,61,55,53,52,46,43,37,32,28,25,22,19,17,13,10,10,10,10,5,5,5,2,0,0,0,0,0,0
glu,100,3,4,LD,2,1288,1194,1140,1066,1005,975,953,944,919,870,805,762,691,609,574,560,547,538,533,525,512,503,486,468,448,441,419,396,379,369,365,358,355,353,345,339,326,320,312,303,289,280,276,273,271,266,258,248,240,230,220,206,203,199,198,197,195,193,190,184,181,178,173,165,162,157,154,146,141,135,131,124,117,112,110,107,105,97,94,87,82,74,70,67,62,59,53,44,42,33,26,23,17,10,8,7,6,4,2,0
glu,100,3,4,LD,3,1114,1019,975,905,858,821,810,796,780,752,715,672,608,527,490,464,447,442,436,432,427,423,413,380,356,342,328,316,304,296,292,286,281,279,276,275,272,268,265,259,247,235,226,224,218,210,201,193,186,179,175,151,145,141,140,139,136,135,134,133,129,126,111,102,99,91,85,67,63,59,52,49,48,47,44,41,39,36,35,35,32,28,17,13,9,7,6,3,2,1,1,0,0,0,0,0,0,0,0,0
glu,100,3,4,LD,4,1730,1558,1475,1367,1293,1263,1244,1221,1201,1154,1060,982,860,775,718,681,662,647,633,619,597,583,549,522,505,484,467,449,429,410,398,389,380,377,375,371,361,355,350,344,324,313,308,300,297,291,288,283,272,269,250,229,220,209,208,206,197,193,188,186,178,166,153,149,142,132,118,105,100,92,91,86,77,75,68,64,59,51,48,45,44,40,35,29,18,12,7,6,6,6,4,3,2,1,0,0,0,0,0,0
glu,100,3,4,LD,5,963,913,880,815,772,747,739,737,731,715,670,637,552,481,447,428,413,411,409,405,401,390,367,345,306,299,285,273,260,259,255,251,243,243,240,240,234,230,222,214,197,183,179,177,176,173,170,166,157,149,140,122,117,115,114,112,111,111,108,105,103,100,95,87,83,75,70,60,55,54,47,47,44,37,33,25,24,23,21,18,18,15,9,5,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
glu,100,3,4,LD,6,870,827,805,741,704,687,677,665,652,638,589,562,500,447,414,397,383,376,373,365,356,349,337,318,293,288,270,259,241,233,229,226,224,219,213,212,208,201,191,181,170,156,151,147,144,144,141,140,133,128,120,108,101,96,95,94,92,90,87,86,82,77,72,69,64,60,56,52,45,44,42,40,38,32,29,28,24,24,22,17,15,14,11,10,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
glu,100,3,4,LD,7,914,849,793,730,689,677,672,665,650,627,578,542,468,413,378,363,344,335,328,323,316,312,308,286,269,260,246,242,228,224,219,214,206,205,203,200,194,189,185,180,176,161,158,151,148,146,143,139,138,132,125,107,105,98,95,95,91,89,88,87,85,83,75,74,71,70,69,63,60,57,55,50,48,47,45,45,44,43,41,39,35,33,28,17,11,7,5,5,2,1,1,1,0,0,0,0,0,0,0,0
glu,100,3,4,LD,9,1484,1361,1292,1201,1134,1102,1060,1039,1005,941,864,800,713,627,597,566,549,543,540,530,520,502,492,471,441,430,413,404,386,380,376,371,360,355,350,344,333,325,311,307,295,281,274,272,269,262,256,255,248,239,232,225,221,215,215,211,209,203,195,190,186,181,172,166,158,149,145,139,130,127,125,119,116,114,108,103,101,100,97,95,88,83,70,65,61,55,50,45,40,32,29,26,21,16,13,11,10,9,7,3
glu,100,3,4,LD,10,1181,1122,1098,1013,941,919,901,887,879,862,827,790,710,602,577,553,531,525,522,518,513,504,484,440,418,402,394,377,354,350,346,338,330,328,327,326,321,302,278,262,231,210,203,197,193,186,183,176,169,163,148,126,119,114,111,107,107,107,107,107,104,100,88,77,72,68,64,58,53,51,51,49,43,42,38,33,33,33,31,28,26,21,17,13,11,10,9,6,5,4,4,2,0,0,0,0,0,0,0,0
glu,100,3,4,LD,11,838,790,754,695,649,637,627,614,607,588,552,523,460,415,388,372,361,353,346,340,334,324,316,297,271,265,251,243,227,223,221,215,208,205,201,198,193,190,188,183,172,162,155,151,146,144,138,136,133,129,122,107,105,98,97,93,92,92,89,84,79,75,75,72,68,64,61,58,54,50,48,43,42,42,40,35,32,31,29,26,26,24,23,20,15,12,12,10,9,8,8,8,7,5,2,0,0,0,0,0
