experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
leu,100,3,8,spectral-blue,8,4165,3584,3319,3142,2968,2779,2603,2441,2294,2177,2058,1961,1870,1779,1679,1594,1517,1454,1389,1330,1269,1232,1182,1110,1065,1020,984,947,912,875,838,801,782,753,719,694,675,657,633,611,588,573,560,536,518,506,482,469,461,446,432,422,405,392,382,377,368,349,339,328,317,302,294,289,286,281,265,256,248,242,237,233,226,220,210,201,190,186,180,171,163,155,154,146,140,130,126,119,118,114,105,98,89,81,76,65,53,32,27,16
leu,100,3,8,spectral-blue,9,6004,5629,5416,5281,5147,4991,4859,4747,4627,4520,4428,4338,4258,4181,4103,4042,3974,3890,3839,3769,3707,3654,3581,3532,3481,3421,3365,3297,3226,3181,3113,3049,2991,2951,2906,2854,2809,2753,2698,2649,2587,2537,2494,2434,2388,2337,2292,2248,2209,2168,2133,2078,2038,1994,1930,1874,1835,1792,1752,1712,1667,1619,1564,1501,1457,1416,1361,1304,1253,1210,1160,1120,1062,1016,970,933,880,845,798,748,708,670,616,574,537,465,407,354,310,270,230,179,147,128,112,92,72,43,29,7
leu,100,3,8,spectral-blue,10,2271,2136,2080,2014,1947,1877,1833,1779,1738,1705,1660,1621,1592,1554,1522,1490,1459,1427,1393,1362,1332,1312,1286,1256,1238,1221,1188,1172,1153,1134,1123,1099,1081,1056,1033,1010,994,977,963,944,928,916,902,887,871,855,833,821,806,788,774,756,744,730,715,703,683,661,645,628,617,604,586,567,552,529,499,483,462,445,427,412,393,378,363,344,331,316,305,284,267,251,235,227,214,192,180,167,158,145,127,113,97,74,67,55,43,32,26,13
leu,100,3,8,spectral-blue,11,5161,4782,4605,4471,4336,4180,4076,3955,3859,3738,3650,3579,3500,3425,3356,3285,3224,3143,3067,3025,2961,2892,2822,2771,2714,2666,2608,2548,2493,2433,2380,2325,2278,2212,2163,2118,2077,2034,1991,1933,1882,1842,1801,1755,1720,1678,1627,1580,1524,1481,1437,1388,1338,1304,1259,1217,1175,1130,1083,1045,994,948,907,873,828,784,736,698,666,642,614,577,528,501,477,446,429,410,386,365,336,316,302,288,281,265,251,236,219,199,183,160,140,115,98,67,49,24,13,7
leu,100,3,8,spectral-blue,12,3839,3503,3339,3206,3066,2928,2801,2682,2562,2472,2377,2299,2235,2155,2080,2005,1948,1879,1819,1751,1691,1617,1575,1521,1467,1414,1367,1317,1282,1247,1216,1177,1140,1108,1063,1011,970,941,905,878,843,805,766,730,695,670,650,622,601,564,536,516,490,458,438,423,399,373,357,340,322,308,295,281,269,256,246,233,215,207,194,187,181,173,166,156,151,143,138,129,118,108,103,98,95,88,84,84,80,75,74,71,68,62,51,46,42,30,23,18
leu,100,3,8,spectral-blue,13,4737,4451,4263,4101,3969,3858,3731,3590,3470,3398,3313,3248,3180,3096,3036,2976,2916,2853,2791,2734,2677,2625,2572,2521,2459,2396,2345,2302,2269,2215,2176,2127,2092,2044,1997,1961,1901,1862,1816,1775,1726,1688,1640,1591,1549,1525,1491,1442,1413,1365,1309,1262,1229,1188,1152,1121,1082,1044,1016,982,940,895,859,820,786,747,715,676,638,609,579,560,533,504,475,449,420,401,387,356,333,314,299,281,269,252,231,220,205,195,183,163,154,140,115,102,88,49,28,3
leu,100,3,8,spectral-blue,14,4054,3769,3597,3459,3336,3203,3099,3000,2892,2792,2707,2630,2545,2463,2390,2308,2236,2178,2112,2056,2005,1946,1886,1825,1772,1720,1671,1624,1589,1542,1492,1447,1399,1353,1304,1263,1235,1201,1167,1135,1096,1061,1027,987,959,920,890,864,841,823,785,767,752,723,708,686,664,645,613,593,574,554,539,525,509,480,466,457,439,419,401,387,374,353,341,324,311,291,279,257,245,233,219,209,199,189,179,169,159,147,137,120,109,102,91,81,59,26,18,1
leu,100,3,8,spectral-blue,15,3449,3263,3137,3034,2930,2828,2743,2634,2529,2460,2393,2319,2247,2173,2113,2034,1987,1937,1885,1826,1784,1745,1693,1647,1614,1573,1527,1493,1445,1411,1372,1341,1293,1255,1208,1167,1125,1096,1063,1034,1008,975,935,903,876,853,827,800,774,755,735,703,680,653,624,592,568,543,520,500,480,464,437,416,389,371,352,324,310,296,280,268,247,224,211,189,174,162,146,120,108,97,78,72,67,58,49,44,42,38,34,30,22,22,19,14,13,8,3,0
leu,100,3,8,spectral-blue,16,8544,8194,7964,7792,7604,7418,7247,7080,6909,6724,6594,6445,6286,6154,5995,5874,5758,5645,5535,5431,5310,5208,5107,5018,4922,4805,4698,4609,4518,4445,4355,4267,4174,4081,4004,3926,3834,3755,3688,3621,3532,3451,3356,3284,3202,3128,3056,2993,2925,2846,2793,2738,2669,2607,2541,2481,2402,2338,2286,2229,2156,2089,2019,1953,1878,1814,1719,1668,1604,1550,1480,1415,1329,1258,1190,1131,1067,996,943,879,830,767,706,661,605,532,482,444,396,354,319,271,226,176,148,125,105,68,45,16
leu,100,3,8,spectral-blue,18,3480,3307,3195,3113,3041,2942,2853,2765,2696,2640,2568,2513,2456,2398,2343,2291,2257,2211,2164,2120,2070,2029,1983,1936,1905,1868,1819,1766,1729,1690,1662,1625,1572,1541,1510,1473,1435,1402,1375,1346,1317,1293,1269,1237,1214,1198,1167,1130,1106,1068,1034,1003,973,950,918,893,865,841,818,781,759,726,697,677,644,622,598,578,551,526,501,475,447,415,395,371,347,329,295,262,241,219,201,185,168,148,135,128,113,104,99,83,72,58,51,41,33,22,21,11
