experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
1nmpp1,0,3,6,mitochondria,2,3397,3050,2984,2960,2923,2890,2854,2840,2835,2831,2826,2809,2796,2790,2785,2779,2768,2736,2708,2694,2683,2673,2669,2611,2601,2598,2595,2585,2580,2579,2577,2575,2571,2571,2566,2565,2565,2564,2171,1783,1755,1711,1654,1640,1626,1529,1498,1458,1419,1394,1351,1332,1306,1258,1218,1166,1130,1108,1088,1068,1037,995,960,930,914,894,880,852,830,805,777,744,715,686,656,637,615,583,558,532,509,491,470,443,426,410,371,351,334,310,266,248,224,179,129,112,87,38,26,1
1nmpp1,0,3,6,mitochondria,3,2471,2250,2204,2190,2167,2136,2112,2097,2093,2085,2078,2058,2049,2036,2022,2021,2013,1994,1961,1942,1934,1932,1927,1893,1885,1884,1876,1873,1871,1870,1869,1868,1867,1867,1866,1866,1866,1864,1508,1164,1139,1108,1076,1067,1056,978,938,913,887,877,852,836,828,804,784,764,747,736,725,715,695,674,648,638,629,611,596,574,558,543,534,521,507,494,482,464,448,436,424,413,392,381,368,363,346,332,311,294,275,263,234,220,206,165,143,118,107,71,46,7
1nmpp1,0,3,6,mitochondria,4,1507,1344,1304,1281,1267,1244,1231,1219,1213,1205,1202,1195,1179,1169,1157,1151,1147,1128,1113,1107,1101,1094,1093,1073,1068,1066,1064,1060,1059,1057,1057,1056,1056,1054,1053,1050,1050,1049,947,808,787,777,770,760,748,725,714,707,692,686,676,668,665,643,629,614,606,595,586,580,574,566,552,542,534,524,515,499,494,488,479,469,457,447,433,422,418,410,405,390,380,369,364,349,343,336,321,302,292,274,255,239,214,167,140,114,91,61,40,6
1nmpp1,0,3,6,mitochondria,5,2515,2251,2197,2175,2150,2125,2104,2093,2086,2081,2077,2060,2041,2032,2023,2016,2002,1980,1951,1936,1931,1926,1923,1899,1889,1886,1880,1879,1878,1877,1877,1877,1877,1873,1872,1871,1869,1868,1578,1297,1278,1235,1202,1195,1180,1134,1110,1081,1059,1040,1020,1008,1001,964,935,904,885,869,851,832,802,777,757,742,728,711,696,679,672,655,634,627,606,591,571,547,528,504,492,473,459,442,425,410,391,379,357,329,306,284,254,232,205,163,122,107,74,46,33,0
1nmpp1,0,3,6,mitochondria,6,2600,2313,2261,2225,2194,2176,2153,2136,2126,2118,2106,2081,2054,2043,2032,2026,2014,1972,1954,1936,1929,1915,1908,1889,1877,1871,1865,1857,1853,1851,1851,1848,1845,1845,1844,1842,1841,1839,1668,1472,1463,1434,1410,1405,1390,1350,1333,1305,1277,1260,1239,1231,1219,1173,1146,1108,1085,1068,1053,1038,1010,969,938,922,911,894,879,858,844,816,799,779,759,734,717,700,684,658,644,620,604,588,570,548,541,527,507,492,462,431,380,350,316,263,181,137,108,50,29,5
1nmpp1,0,3,6,mitochondria,7,1786,1644,1601,1586,1545,1535,1520,1509,1507,1504,1502,1479,1467,1463,1459,1455,1444,1408,1385,1377,1373,1370,1368,1352,1345,1342,1338,1334,1333,1332,1332,1331,1331,1331,1330,1329,1328,1328,1156,995,984,967,948,940,938,908,888,868,847,839,823,811,801,763,737,710,692,678,667,653,626,607,579,570,559,544,529,513,502,491,485,477,460,445,439,428,414,400,394,383,369,360,348,339,327,314,302,285,271,250,228,208,187,148,109,83,55,26,20,3
1nmpp1,0,3,6,mitochondria,8,2090,1884,1831,1804,1765,1740,1717,1703,1693,1688,1679,1659,1641,1626,1621,1615,1604,1575,1546,1531,1525,1516,1512,1486,1479,1476,1469,1468,1466,1464,1464,1464,1464,1461,1459,1458,1457,1457,1296,1099,1086,1062,1043,1036,1023,1002,981,966,952,944,921,912,905,885,860,840,821,811,799,791,774,752,736,725,717,698,690,673,658,638,629,620,601,591,582,566,551,534,521,506,491,478,458,443,429,420,394,371,355,330,311,296,279,235,197,169,133,89,53,10
1nmpp1,0,3,6,mitochondria,9,2147,1916,1859,1826,1801,1782,1758,1750,1740,1735,1730,1713,1697,1687,1683,1676,1669,1656,1631,1621,1617,1610,1603,1586,1578,1573,1569,1563,1561,1560,1555,1554,1551,1550,1549,1546,1544,1544,1375,1193,1172,1142,1118,1103,1093,1046,1030,1003,969,960,935,926,921,889,839,820,809,801,784,776,753,729,697,684,675,661,649,629,618,598,577,567,549,531,516,507,494,482,462,444,438,425,403,392,375,361,333,316,303,270,231,216,202,164,121,101,74,39,26,2
1nmpp1,0,3,6,mitochondria,10,1914,1745,1713,1695,1684,1664,1642,1630,1626,1623,1620,1611,1598,1596,1595,1593,1589,1575,1554,1547,1539,1537,1532,1501,1497,1496,1493,1490,1490,1489,1489,1489,1489,1487,1487,1485,1485,1484,1264,980,963,934,913,905,890,838,811,790,770,756,732,718,710,670,648,627,615,605,595,589,569,552,519,506,491,481,464,446,442,431,423,409,394,379,370,364,358,347,335,327,322,304,286,281,269,261,249,230,220,207,188,164,154,132,98,87,69,45,32,9
1nmpp1,0,3,6,mitochondria,11,2745,2476,2418,2382,2346,2316,2282,2265,2255,2249,2238,2216,2204,2191,2185,2181,2163,2145,2115,2103,2097,2093,2084,2046,2032,2029,2026,2025,2022,2021,2019,2014,2010,2007,2007,2006,2004,2002,1760,1523,1509,1479,1459,1451,1428,1367,1350,1321,1283,1269,1243,1225,1214,1184,1159,1133,1115,1097,1080,1064,1030,1006,976,955,948,926,906,886,872,857,835,817,801,776,753,734,729,703,673,654,625,602,577,557,540,520,494,477,447,413,373,346,314,252,201,170,141,98,62,15
