experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
betaEstrodiol,0,3,4,mitochondria,1,2291,2285,2270,2265,2265,2265,2265,2260,2257,2257,2254,2254,2254,2254,2254,2066,2065,2065,2063,2063,2063,2061,2061,2056,2054,1414,1411,1406,1342,1342,1341,1338,1336,1329,1329,1329,1066,1065,893,873,736,729,721,718,716,714,711,711,706,706,704,697,687,677,661,640,591,574,558,543,531,517,506,496,483,477,473,471,461,456,450,433,428,415,409,398,387,379,370,350,345,328,314,291,282,269,262,246,237,229,220,175,167,160,143,136,124,115,92,46
betaEstrodiol,0,3,4,mitochondria,2,3061,3050,2987,2980,2979,2949,2919,2891,2888,2886,2875,2869,2867,2867,2866,2693,2690,2681,2677,2673,2673,2671,2662,2643,2641,2018,2012,1992,1934,1930,1925,1920,1915,1913,1910,1905,1686,1681,1545,1525,1416,1405,1395,1379,1370,1366,1356,1353,1332,1329,1324,1311,1292,1284,1255,1230,1186,1173,1149,1131,1123,1112,1091,1079,1066,1062,1049,1037,1025,1019,1013,997,990,974,956,938,931,903,893,867,857,837,817,748,727,694,670,657,640,625,608,515,492,467,432,419,400,359,315,206
betaEstrodiol,0,3,4,mitochondria,3,3848,3836,3775,3773,3772,3769,3753,3707,3705,3705,3700,3700,3698,3698,3698,3424,3422,3420,3410,3409,3408,3405,3395,3362,3360,2448,2441,2426,2347,2342,2335,2328,2320,2312,2306,2304,1946,1941,1728,1685,1478,1460,1445,1430,1423,1419,1411,1409,1395,1395,1391,1376,1361,1352,1328,1305,1229,1211,1165,1134,1120,1094,1079,1055,1038,1031,1018,991,982,973,957,941,931,903,897,879,870,850,841,812,799,775,753,711,687,646,640,614,587,567,541,456,428,409,391,375,357,331,287,215
betaEstrodiol,0,3,4,mitochondria,4,3640,3623,3563,3562,3562,3556,3534,3486,3482,3479,3477,3477,3477,3477,3476,3235,3225,3217,3208,3208,3208,3207,3202,3173,3170,2440,2424,2399,2335,2335,2331,2327,2318,2309,2308,2307,2027,2022,1870,1841,1697,1675,1670,1658,1649,1643,1624,1622,1592,1589,1589,1571,1551,1545,1502,1478,1407,1380,1344,1301,1286,1268,1248,1224,1211,1189,1168,1146,1135,1129,1122,1099,1092,1064,1051,1026,1009,983,964,930,917,901,870,812,798,749,723,676,644,616,584,447,404,382,335,312,291,275,229,114
betaEstrodiol,0,3,4,mitochondria,5,2524,2520,2497,2497,2497,2491,2486,2473,2472,2472,2471,2470,2470,2470,2470,2252,2245,2242,2238,2238,2238,2238,2237,2225,2225,1510,1502,1488,1419,1418,1414,1412,1410,1405,1403,1399,1152,1149,989,967,821,813,805,796,788,788,782,780,771,770,769,763,738,735,711,683,622,602,584,573,563,545,532,510,499,496,487,467,460,458,451,442,439,427,417,397,388,378,372,356,349,337,327,307,295,268,259,249,235,228,216,145,126,120,105,99,93,88,77,45
betaEstrodiol,0,3,4,mitochondria,6,2298,2284,2238,2238,2237,2225,2200,2172,2172,2171,2169,2169,2169,2169,2169,2013,2007,2005,2002,2002,2002,2001,1992,1967,1965,1467,1458,1450,1394,1393,1392,1390,1385,1378,1377,1374,1163,1162,1047,1028,890,874,867,860,857,851,845,845,831,829,829,823,810,803,790,773,721,704,662,648,638,628,621,604,600,596,582,575,570,564,560,555,550,534,528,522,514,507,500,484,479,471,459,436,415,394,385,365,356,348,332,282,272,264,248,236,227,213,192,157
betaEstrodiol,0,3,4,mitochondria,7,3032,3014,2916,2908,2907,2882,2849,2764,2755,2753,2749,2748,2744,2743,2742,2619,2614,2600,2589,2585,2582,2573,2565,2508,2502,2150,2136,2110,2076,2069,2063,2054,2039,2023,2018,2014,1894,1889,1813,1801,1751,1731,1722,1700,1694,1690,1682,1678,1650,1643,1640,1624,1597,1589,1570,1547,1507,1495,1474,1456,1450,1428,1414,1394,1378,1369,1351,1329,1311,1306,1297,1283,1277,1264,1246,1226,1217,1195,1179,1168,1153,1139,1119,1089,1070,1034,1017,985,964,940,917,836,778,747,718,694,657,599,537,331
betaEstrodiol,0,3,4,mitochondria,8,3357,3347,3274,3266,3266,3232,3193,3133,3128,3127,3122,3120,3117,3115,3114,2890,2883,2878,2875,2869,2869,2865,2855,2826,2818,2163,2155,2139,2082,2075,2065,2059,2050,2043,2040,2037,1793,1787,1671,1652,1555,1539,1523,1511,1505,1496,1488,1487,1462,1458,1456,1445,1421,1411,1386,1368,1295,1279,1254,1219,1213,1187,1174,1149,1132,1129,1110,1088,1070,1064,1055,1041,1032,1017,1002,987,975,965,955,943,931,917,899,865,845,803,793,767,752,734,713,609,570,541,518,491,476,440,393,248
betaEstrodiol,0,3,4,mitochondria,9,892,891,872,872,872,871,867,857,857,857,856,856,856,856,856,796,796,794,792,792,792,792,791,787,787,557,555,554,530,530,529,528,526,526,526,525,436,433,386,372,336,328,324,322,319,318,315,314,313,312,312,307,305,305,301,291,288,286,281,273,273,268,264,250,247,245,240,231,231,229,224,220,219,211,209,206,202,199,196,188,187,181,176,168,160,152,144,134,126,122,110,79,74,68,55,53,46,44,30,8
betaEstrodiol,0,3,4,mitochondria,10,1657,1653,1627,1622,1622,1620,1615,1606,1605,1605,1601,1599,1599,1599,1598,1485,1478,1477,1475,1473,1473,1468,1466,1462,1459,1113,1110,1099,1063,1058,1055,1047,1043,1037,1033,1033,896,890,817,804,775,768,760,754,751,750,742,739,736,734,732,726,708,701,687,672,650,631,620,613,609,602,595,586,578,572,566,560,552,546,537,526,521,514,510,503,501,492,486,473,468,456,446,428,420,406,398,386,375,367,351,314,305,296,276,263,253,228,197,157
