experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
glu,0-5,3,6,mitochondria,2,3952,3488,3118,2987,2758,2633,2497,2368,2307,2250,2146,2082,2019,1975,1926,1886,1839,1824,1809,1777,1762,1733,1712,1695,1669,1643,1631,1619,1604,1584,1576,1570,1565,1558,1553,1545,1535,1524,1520,1515,1510,1509,1507,1495,1493,1490,1484,1482,1479,1479,1475,1472,1468,1462,1462,1457,1445,1432,1432,1430,1427,1425,1425,1423,1422,1420,1417,1412,1401,1384,1367,1361,1357,1346,1339,1333,1330,1325,1305,1297,1287,1281,1273,1261,1234,1214,1199,1181,1168,1162,1119,1066,1024,998,973,935,726,387,247,14
glu,0-5,3,6,mitochondria,3,2695,2364,2031,1963,1831,1773,1668,1602,1563,1520,1472,1446,1420,1391,1362,1340,1310,1281,1262,1246,1230,1217,1201,1193,1178,1165,1155,1154,1137,1116,1113,1106,1102,1099,1095,1090,1086,1077,1070,1068,1066,1065,1065,1065,1065,1062,1056,1056,1055,1052,1048,1045,1043,1042,1040,1035,1031,1028,1028,1025,1022,1019,1016,1015,1010,1007,1004,1000,990,971,950,941,936,927,923,916,907,900,872,864,840,831,823,814,793,776,754,746,734,720,664,604,567,549,521,490,390,115,54,8
glu,0-5,3,6,mitochondria,4,4134,3645,3103,2992,2785,2715,2582,2440,2365,2304,2246,2193,2156,2125,2089,2070,2039,2016,1985,1967,1950,1929,1913,1889,1861,1846,1839,1826,1804,1783,1776,1771,1766,1760,1755,1740,1734,1727,1716,1706,1701,1698,1697,1693,1690,1689,1684,1683,1679,1677,1674,1672,1665,1661,1653,1644,1638,1630,1629,1628,1625,1623,1621,1613,1609,1600,1597,1585,1564,1511,1489,1468,1457,1442,1434,1417,1412,1405,1385,1360,1337,1321,1300,1284,1252,1235,1203,1187,1166,1152,1067,991,940,918,883,853,680,285,159,33
glu,0-5,3,6,mitochondria,5,3878,3482,3075,2942,2724,2645,2502,2363,2293,2210,2124,2078,2023,1993,1964,1924,1894,1867,1846,1825,1803,1780,1762,1722,1705,1687,1675,1664,1642,1616,1609,1603,1599,1593,1591,1582,1578,1569,1558,1551,1547,1545,1542,1535,1527,1523,1520,1516,1514,1510,1510,1503,1502,1495,1490,1480,1474,1465,1464,1460,1457,1457,1451,1444,1441,1436,1430,1423,1414,1402,1373,1367,1358,1346,1335,1332,1322,1316,1286,1267,1247,1233,1223,1210,1189,1168,1147,1131,1109,1097,1029,982,945,921,882,831,669,328,172,29
glu,0-5,3,6,mitochondria,6,6227,5759,5142,4943,4658,4542,4357,4051,3931,3851,3756,3584,3361,3290,3218,3146,3071,3016,2950,2905,2851,2820,2792,2750,2724,2678,2623,2600,2562,2529,2514,2509,2502,2498,2490,2480,2472,2458,2435,2413,2404,2392,2381,2374,2368,2360,2347,2337,2336,2335,2331,2321,2311,2307,2303,2292,2282,2273,2266,2258,2253,2250,2239,2233,2228,2224,2217,2205,2187,2162,2127,2113,2100,2084,2070,2064,2047,2035,2014,1998,1976,1955,1933,1914,1879,1808,1755,1690,1667,1646,1582,1465,1403,1360,1289,1238,1015,594,290,30
glu,0-5,3,6,mitochondria,7,2464,2163,1968,1893,1709,1622,1558,1490,1449,1390,1334,1293,1267,1250,1233,1219,1203,1189,1178,1161,1151,1135,1116,1106,1087,1072,1068,1062,1050,1037,1028,1022,1020,1016,1012,1007,1000,996,988,981,978,977,976,969,966,963,958,957,956,953,950,946,944,944,942,939,936,931,931,930,929,929,927,924,922,921,919,918,915,908,888,884,879,868,863,858,851,850,841,833,826,820,812,807,797,780,766,757,746,734,707,666,640,630,614,599,470,213,127,15
glu,0-5,3,6,mitochondria,8,6593,5912,5241,5092,4810,4678,4484,4189,4066,3952,3825,3676,3485,3379,3260,3194,3124,3073,2998,2971,2918,2878,2846,2805,2767,2725,2689,2664,2633,2609,2589,2578,2571,2558,2550,2540,2537,2524,2512,2491,2472,2463,2459,2450,2444,2431,2430,2422,2421,2416,2414,2405,2396,2392,2377,2365,2352,2340,2332,2322,2315,2306,2303,2297,2293,2283,2273,2264,2244,2206,2177,2167,2161,2151,2144,2134,2127,2120,2100,2078,2059,2036,2022,2000,1968,1920,1863,1810,1775,1755,1683,1606,1549,1505,1434,1389,1148,668,402,46
glu,0-5,3,6,mitochondria,9,4451,3877,3474,3367,3134,3027,2878,2736,2645,2570,2486,2400,2284,2225,2190,2164,2121,2073,2024,1992,1956,1926,1899,1870,1850,1813,1797,1777,1764,1734,1717,1706,1703,1697,1692,1681,1670,1659,1644,1637,1632,1631,1629,1622,1616,1613,1611,1602,1600,1599,1594,1585,1578,1568,1565,1550,1544,1538,1533,1532,1530,1526,1521,1517,1511,1506,1496,1491,1475,1465,1439,1435,1424,1418,1412,1407,1402,1397,1375,1367,1352,1341,1330,1322,1289,1268,1246,1223,1200,1182,1131,1060,1021,992,946,909,797,456,211,20
glu,0-5,3,6,mitochondria,10,6668,5806,4640,4494,4115,3978,3765,3639,3543,3446,3351,3311,3238,3202,3158,3128,3074,3035,2993,2962,2923,2885,2850,2812,2745,2720,2699,2679,2654,2625,2618,2609,2601,2592,2583,2573,2568,2553,2541,2526,2514,2509,2503,2495,2490,2488,2486,2485,2484,2479,2473,2466,2454,2445,2436,2420,2401,2395,2390,2377,2370,2364,2354,2348,2341,2334,2318,2298,2264,2199,2137,2111,2097,2070,2055,2029,2017,2006,1951,1920,1883,1849,1824,1805,1736,1690,1649,1628,1587,1563,1434,1301,1231,1186,1088,1005,825,167,91,10
glu,0-5,3,6,mitochondria,11,4229,3769,3248,3102,2872,2765,2589,2420,2342,2273,2194,2126,2057,2026,1989,1954,1909,1877,1849,1825,1803,1777,1753,1724,1699,1669,1652,1643,1625,1604,1596,1590,1576,1573,1565,1559,1552,1539,1528,1522,1515,1506,1506,1502,1499,1494,1492,1489,1486,1485,1483,1481,1477,1475,1472,1460,1449,1446,1444,1442,1438,1434,1432,1428,1423,1421,1417,1414,1394,1373,1330,1319,1313,1304,1294,1283,1279,1272,1251,1234,1218,1205,1193,1185,1160,1134,1113,1094,1078,1069,1012,971,930,902,867,840,664,292,168,27
