experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
glu,5,3,4,mitochondria,1,4372,3668,3158,3026,2785,2673,2526,2396,2304,2222,2139,2073,2016,1977,1944,1910,1878,1849,1834,1806,1787,1768,1745,1721,1683,1655,1646,1629,1614,1592,1584,1576,1571,1564,1555,1549,1543,1527,1515,1505,1496,1492,1488,1484,1482,1477,1474,1472,1471,1469,1463,1458,1454,1452,1445,1439,1434,1423,1418,1414,1410,1402,1398,1387,1381,1377,1371,1360,1338,1283,1219,1205,1192,1174,1157,1145,1130,1110,1061,1029,998,984,958,942,898,859,824,806,789,774,695,651,629,597,567,537,412,183,92,4
glu,5,3,4,mitochondria,3,3999,3393,2940,2840,2620,2535,2391,2277,2191,2102,2008,1965,1931,1906,1868,1824,1777,1744,1721,1704,1682,1667,1645,1603,1567,1531,1521,1502,1481,1453,1446,1440,1434,1430,1421,1414,1410,1403,1385,1376,1367,1363,1359,1352,1347,1345,1342,1342,1341,1337,1333,1331,1323,1321,1315,1298,1282,1264,1258,1250,1241,1236,1235,1229,1220,1213,1203,1185,1145,1068,994,975,966,952,938,920,915,909,872,847,821,810,789,779,746,710,692,674,657,648,615,593,564,534,502,476,376,81,29,0
glu,5,3,4,mitochondria,5,5782,4977,4579,4421,4227,4108,3847,3613,3451,3362,3240,3147,2990,2935,2855,2801,2718,2666,2608,2570,2527,2510,2467,2430,2384,2329,2306,2285,2258,2218,2206,2194,2187,2169,2154,2140,2137,2127,2109,2087,2072,2063,2054,2045,2036,2027,2021,2019,2015,2007,1996,1993,1991,1988,1983,1975,1960,1947,1943,1937,1927,1920,1916,1911,1903,1901,1894,1884,1869,1848,1811,1785,1768,1747,1739,1719,1708,1689,1632,1609,1568,1554,1527,1505,1455,1371,1300,1224,1188,1168,1116,1063,1021,972,920,870,687,249,103,0
glu,5,3,4,mitochondria,8,6509,5561,5131,4925,4678,4518,4314,4046,3923,3800,3638,3494,3347,3280,3223,3157,3084,3007,2941,2891,2848,2812,2787,2739,2693,2651,2612,2592,2553,2511,2496,2475,2466,2451,2434,2413,2396,2375,2352,2324,2311,2303,2296,2290,2281,2275,2266,2263,2255,2249,2243,2233,2223,2217,2209,2198,2192,2177,2167,2162,2155,2153,2152,2148,2144,2139,2131,2124,2111,2084,2047,2032,2023,2005,1996,1984,1976,1967,1943,1917,1891,1878,1855,1842,1777,1673,1607,1550,1514,1493,1436,1375,1325,1280,1231,1180,934,425,206,10
glu,5,3,4,mitochondria,9,2644,2255,1926,1851,1689,1616,1548,1483,1435,1383,1308,1282,1257,1239,1220,1201,1172,1146,1138,1124,1111,1103,1091,1078,1065,1042,1037,1029,1017,1000,997,994,990,983,975,966,965,960,948,941,936,931,928,924,920,918,918,917,916,916,915,913,911,910,905,899,894,882,879,877,876,875,873,866,862,859,858,852,842,822,800,789,785,776,768,761,755,754,736,725,714,707,695,693,673,651,635,626,612,600,565,538,515,486,471,441,323,118,62,8
glu,5,3,4,mitochondria,10,2691,2197,1895,1806,1652,1604,1532,1466,1389,1312,1258,1236,1212,1195,1181,1159,1131,1110,1099,1093,1078,1071,1045,1019,991,981,973,957,937,926,922,920,917,911,908,899,897,891,876,866,860,858,856,854,853,852,848,847,846,844,843,838,837,837,830,822,809,799,794,785,779,776,772,767,762,759,757,749,719,634,549,536,524,502,494,486,481,474,450,440,429,416,413,402,389,368,348,344,331,328,302,287,275,270,262,249,171,83,56,0
glu,5,3,4,mitochondria,11,1999,1639,1428,1381,1237,1193,1132,1084,1036,979,906,896,886,881,873,857,845,835,828,819,811,807,794,785,772,758,755,750,737,729,726,725,723,722,720,717,716,713,709,705,698,697,694,694,692,691,688,687,687,686,683,681,680,680,677,672,663,654,650,645,641,639,638,635,627,623,620,610,598,575,540,534,527,515,506,498,491,486,455,440,425,419,404,397,383,351,333,328,318,316,305,294,278,265,254,235,184,35,20,0
glu,5,3,4,mitochondria,12,3829,3380,3083,2962,2743,2632,2505,2427,2358,2295,2198,2139,2096,2058,2023,1987,1943,1921,1898,1871,1850,1835,1808,1779,1732,1707,1700,1687,1674,1653,1637,1631,1623,1620,1617,1607,1602,1591,1582,1578,1571,1566,1562,1557,1549,1543,1536,1533,1530,1529,1525,1522,1516,1508,1502,1496,1493,1488,1484,1482,1477,1472,1470,1469,1467,1465,1460,1457,1440,1418,1381,1370,1362,1348,1337,1319,1312,1306,1283,1268,1252,1238,1219,1196,1152,1113,1096,1087,1071,1060,995,936,905,876,843,806,610,311,178,12
glu,5,3,4,mitochondria,14,4110,3491,3241,3113,2907,2803,2620,2485,2398,2315,2219,2169,2076,2034,2001,1966,1920,1872,1852,1836,1815,1804,1782,1748,1717,1678,1664,1655,1637,1615,1605,1595,1590,1587,1580,1567,1559,1553,1542,1531,1516,1507,1499,1490,1479,1476,1471,1470,1467,1465,1462,1458,1456,1453,1449,1447,1438,1429,1428,1424,1411,1409,1404,1400,1394,1392,1387,1385,1376,1366,1339,1329,1324,1309,1303,1288,1280,1273,1249,1220,1196,1189,1167,1142,1105,1041,983,959,930,916,893,854,822,787,741,699,583,123,58,0
glu,5,3,4,mitochondria,15,3812,2950,2462,2354,2130,2057,1935,1826,1723,1623,1547,1501,1484,1467,1456,1430,1395,1360,1349,1333,1308,1286,1263,1230,1204,1182,1173,1151,1136,1121,1115,1111,1105,1102,1093,1087,1083,1080,1073,1061,1051,1048,1042,1038,1034,1032,1030,1028,1028,1026,1025,1020,1019,1017,1004,994,978,968,961,954,944,938,930,926,923,921,914,903,875,822,774,762,746,732,721,704,696,689,648,631,614,603,587,576,556,511,470,463,443,434,391,376,350,321,305,277,251,16,7,0
