experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
leu,25,3,5,mitochondria,1,4343,3427,3140,2985,2883,2778,2724,2658,2614,2577,2549,2514,2479,2430,2390,2353,2330,2315,2294,2279,2261,2242,2224,2209,2195,2181,2165,2154,2147,2132,2119,2110,2103,2096,2086,2079,2071,2063,2051,2040,2028,2023,2021,2017,2013,2010,2010,2009,2008,2005,1999,1995,1991,1988,1984,1983,1978,1968,1962,1948,1943,1928,1912,1896,1885,1876,1866,1860,1856,1851,1844,1835,1827,1823,1815,1805,1784,1766,1738,1707,1693,1679,1672,1667,1658,1650,1645,1637,1629,1618,1594,1564,1538,1507,1472,1427,1391,1309,1161,938
leu,25,3,5,mitochondria,2,5552,4531,4154,3949,3745,3593,3509,3409,3352,3309,3254,3200,3146,3105,3056,3011,2974,2942,2916,2889,2866,2846,2826,2803,2786,2769,2751,2736,2728,2715,2698,2684,2672,2662,2645,2638,2622,2609,2598,2586,2575,2563,2558,2553,2545,2541,2536,2532,2528,2527,2525,2525,2521,2517,2516,2511,2510,2506,2498,2485,2478,2465,2455,2444,2431,2419,2412,2406,2399,2392,2385,2378,2373,2363,2354,2348,2339,2317,2296,2266,2249,2234,2227,2225,2220,2209,2205,2186,2173,2156,2138,2115,2098,2080,2050,2027,1991,1914,1710,1394
leu,25,3,5,mitochondria,4,5854,4546,4163,3950,3770,3657,3580,3487,3441,3392,3330,3264,3212,3159,3106,3059,3022,2986,2950,2919,2892,2876,2855,2843,2822,2803,2782,2763,2752,2737,2726,2713,2702,2696,2686,2683,2670,2665,2659,2653,2639,2628,2624,2621,2612,2612,2610,2605,2602,2594,2586,2582,2579,2574,2570,2566,2552,2537,2520,2489,2458,2421,2374,2339,2323,2306,2299,2289,2274,2268,2259,2244,2236,2231,2224,2213,2193,2171,2153,2135,2114,2086,2076,2062,2052,2039,2026,2010,1992,1966,1945,1917,1885,1852,1813,1756,1699,1567,1360,1079
leu,25,3,5,mitochondria,5,4903,3765,3430,3244,3092,2962,2902,2816,2749,2723,2685,2654,2613,2572,2531,2495,2460,2429,2408,2393,2377,2365,2347,2329,2307,2293,2280,2270,2257,2247,2234,2225,2213,2202,2199,2189,2178,2175,2169,2160,2150,2141,2133,2127,2118,2113,2110,2107,2104,2100,2100,2099,2096,2091,2085,2079,2073,2063,2050,2030,2008,1980,1951,1935,1922,1902,1899,1894,1888,1881,1869,1858,1851,1837,1829,1804,1781,1766,1740,1716,1698,1686,1683,1674,1669,1663,1657,1645,1634,1615,1599,1576,1545,1521,1497,1466,1424,1355,1223,984
leu,25,3,5,mitochondria,6,1670,1341,1212,1129,1082,1036,1009,998,985,969,957,950,939,925,920,909,905,890,878,874,868,864,860,856,855,851,842,837,830,825,821,819,817,817,817,817,816,815,815,815,814,812,810,809,809,808,808,807,807,806,806,806,805,804,804,803,800,792,788,781,776,769,760,753,745,740,736,730,725,721,716,709,708,700,698,693,688,684,674,664,656,650,641,635,631,624,620,617,609,607,599,585,565,557,537,513,497,481,427,353
leu,25,3,5,mitochondria,9,6416,4889,4387,4154,3956,3803,3716,3595,3508,3450,3397,3327,3260,3199,3160,3128,3090,3040,3001,2971,2946,2912,2893,2878,2854,2839,2825,2805,2787,2776,2763,2752,2738,2731,2726,2720,2708,2694,2690,2681,2668,2649,2638,2631,2621,2618,2615,2611,2607,2600,2593,2592,2588,2586,2584,2580,2565,2547,2509,2466,2417,2379,2341,2309,2291,2282,2271,2266,2250,2240,2228,2211,2194,2175,2160,2141,2128,2116,2101,2083,2071,2062,2049,2025,2008,1989,1974,1956,1935,1917,1882,1843,1806,1780,1748,1699,1647,1573,1433,1152
leu,25,3,5,mitochondria,11,3124,2478,2244,2152,2047,1980,1938,1890,1851,1818,1794,1757,1728,1705,1680,1659,1647,1633,1614,1598,1583,1569,1558,1543,1534,1527,1520,1512,1503,1495,1494,1489,1484,1481,1481,1478,1475,1468,1465,1458,1452,1447,1442,1436,1434,1433,1431,1428,1427,1425,1425,1424,1422,1418,1415,1414,1411,1404,1401,1397,1389,1378,1365,1356,1335,1331,1325,1319,1313,1306,1295,1289,1284,1273,1263,1248,1231,1213,1180,1165,1156,1150,1148,1144,1135,1123,1113,1106,1095,1084,1066,1047,1025,1000,969,936,906,845,708,556
leu,25,3,5,mitochondria,12,6602,5434,4982,4737,4464,4319,4228,4109,4042,3979,3930,3861,3799,3731,3671,3617,3568,3521,3481,3460,3432,3392,3361,3338,3314,3293,3271,3254,3234,3214,3204,3192,3180,3168,3157,3147,3133,3116,3106,3095,3076,3063,3048,3039,3035,3029,3027,3023,3020,3019,3015,3014,3010,3004,2997,2997,2982,2974,2954,2944,2925,2905,2892,2874,2864,2859,2856,2851,2843,2835,2829,2818,2811,2798,2791,2777,2767,2754,2733,2713,2698,2687,2675,2669,2667,2658,2648,2636,2620,2607,2593,2571,2546,2518,2486,2443,2395,2285,2071,1729
leu,25,3,5,mitochondria,13,3801,3104,2829,2665,2503,2426,2374,2322,2280,2261,2237,2206,2167,2139,2107,2068,2035,2008,1987,1973,1961,1935,1923,1909,1897,1882,1867,1853,1841,1831,1828,1817,1811,1807,1799,1797,1793,1790,1781,1776,1771,1763,1756,1745,1742,1740,1738,1736,1735,1728,1726,1724,1721,1720,1719,1710,1700,1690,1680,1653,1635,1617,1575,1558,1550,1545,1539,1534,1525,1515,1503,1491,1479,1471,1463,1452,1440,1429,1406,1395,1376,1355,1347,1344,1338,1330,1327,1318,1315,1307,1294,1274,1249,1230,1191,1160,1143,1100,1025,870
leu,25,3,5,mitochondria,14,3481,2921,2676,2536,2396,2327,2275,2233,2199,2170,2132,2090,2041,2003,1965,1931,1916,1899,1878,1866,1851,1829,1813,1803,1791,1781,1769,1760,1750,1747,1743,1733,1726,1722,1715,1705,1695,1687,1683,1676,1670,1667,1663,1661,1660,1657,1655,1651,1648,1643,1641,1641,1641,1639,1639,1637,1634,1632,1630,1627,1623,1618,1614,1610,1606,1602,1600,1595,1595,1591,1586,1576,1574,1571,1568,1561,1551,1543,1520,1505,1496,1485,1477,1473,1472,1468,1463,1459,1453,1444,1437,1427,1409,1390,1368,1344,1319,1267,1167,949
leu,25,3,5,mitochondria,15,6559,5474,4993,4747,4545,4376,4289,4196,4117,4059,4013,3935,3874,3825,3773,3706,3669,3614,3581,3560,3533,3498,3473,3455,3442,3417,3392,3362,3345,3332,3317,3307,3299,3289,3279,3264,3253,3238,3230,3216,3204,3189,3177,3171,3165,3162,3159,3155,3153,3145,3143,3142,3138,3131,3128,3123,3111,3099,3080,3060,3046,3023,2999,2977,2967,2957,2953,2944,2939,2932,2923,2914,2905,2892,2888,2878,2868,2855,2838,2816,2794,2779,2770,2760,2752,2744,2736,2721,2699,2669,2651,2632,2608,2577,2542,2482,2426,2311,2094,1716
leu,25,3,5,mitochondria,16,4301,3270,2981,2861,2742,2656,2605,2534,2486,2437,2397,2354,2307,2264,2229,2197,2155,2130,2100,2084,2058,2035,2018,2005,1987,1973,1964,1950,1936,1923,1914,1902,1897,1892,1886,1878,1870,1858,1855,1846,1836,1832,1825,1819,1814,1813,1812,1811,1810,1809,1809,1809,1808,1807,1804,1800,1797,1790,1786,1779,1768,1759,1745,1735,1727,1722,1718,1716,1714,1711,1709,1699,1687,1681,1674,1666,1662,1652,1636,1627,1619,1608,1602,1592,1582,1570,1562,1553,1540,1530,1519,1503,1487,1477,1450,1426,1388,1334,1171,976
