experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
1nmpp1,3000,3,1,vacuole,3,2637,2522,2035,1913,1840,1816,1776,1746,1713,1674,1644,1626,1598,1570,1552,1528,1444,1388,1337,1308,1286,1258,1225,1209,1182,1173,1157,1146,1112,1106,1094,1083,1062,1047,1034,1017,1010,1001,997,992,984,974,971,960,955,948,944,943,936,931,924,893,873,860,825,812,789,757,739,722,702,685,672,659,652,647,636,631,624,619,613,598,576,555,545,538,532,528,520,515,501,487,470,455,447,441,436,426,414,401,383,363,355,343,300,285,214,157,108,89
1nmpp1,3000,3,1,vacuole,4,6040,5886,4941,4594,4315,4170,4003,3866,3747,3656,3572,3512,3425,3364,3322,3274,3137,3082,2977,2916,2879,2829,2789,2762,2719,2689,2661,2647,2612,2597,2572,2545,2517,2493,2468,2447,2424,2418,2399,2372,2352,2333,2313,2288,2268,2257,2242,2216,2192,2165,2134,2082,2045,1996,1950,1917,1856,1805,1757,1704,1650,1611,1576,1544,1521,1491,1457,1433,1410,1374,1352,1333,1318,1305,1291,1282,1273,1269,1265,1259,1254,1243,1231,1222,1213,1205,1196,1188,1171,1152,1116,1062,1035,998,922,510,424,266,197,166
1nmpp1,3000,3,1,vacuole,5,396,339,253,225,219,216,215,211,210,209,208,205,199,194,194,190,151,138,131,130,127,113,108,107,100,99,97,97,91,91,87,86,81,81,80,79,78,77,75,75,75,75,75,74,74,74,74,73,73,73,72,67,64,64,60,54,50,42,40,37,34,32,32,32,32,30,29,29,29,28,27,27,25,17,15,14,13,13,11,8,8,7,7,7,7,7,6,6,6,6,6,3,3,3,3,3,3,3,3,2
1nmpp1,3000,3,1,vacuole,6,818,781,620,581,549,536,529,524,519,516,508,503,498,492,489,486,454,436,412,400,393,383,376,372,359,357,357,353,343,340,335,332,327,322,315,310,309,308,307,303,301,296,295,294,294,294,294,293,292,287,285,270,265,253,246,243,238,227,225,220,216,215,212,209,208,205,203,200,200,200,199,198,196,194,193,192,191,191,190,188,184,181,174,166,164,159,152,148,144,135,130,118,116,114,101,95,91,0,0,0
1nmpp1,3000,3,1,vacuole,7,5928,5740,4812,4518,4304,4152,4012,3924,3829,3756,3701,3650,3568,3509,3465,3421,3321,3250,3160,3086,3041,2982,2942,2907,2871,2857,2829,2801,2777,2757,2728,2706,2681,2664,2634,2612,2576,2554,2535,2512,2497,2472,2455,2436,2417,2394,2372,2328,2298,2258,2202,2161,2119,2082,2042,2009,1967,1915,1881,1776,1708,1671,1628,1602,1573,1536,1485,1453,1418,1392,1373,1353,1340,1325,1321,1312,1306,1298,1291,1281,1268,1257,1248,1237,1224,1210,1202,1192,1177,1156,1125,1098,1070,1041,998,354,270,196,103,93
1nmpp1,3000,3,1,vacuole,8,4371,4122,3011,2727,2530,2465,2424,2404,2376,2349,2308,2282,2241,2209,2176,2144,1999,1930,1833,1772,1745,1687,1645,1628,1595,1586,1574,1551,1522,1512,1483,1467,1437,1417,1389,1368,1353,1345,1341,1332,1317,1302,1291,1256,1230,1224,1215,1211,1200,1178,1167,1134,1109,1080,1030,1008,987,941,921,877,844,832,825,813,805,780,770,760,757,742,735,728,685,650,624,620,613,606,597,584,569,541,520,506,496,479,457,443,433,416,389,352,346,324,236,222,208,45,43,16
1nmpp1,3000,3,1,vacuole,9,2472,2366,1837,1721,1641,1604,1572,1547,1522,1500,1482,1464,1436,1418,1398,1370,1268,1207,1155,1115,1097,1070,1044,1029,1017,1009,998,990,964,948,932,922,896,877,861,843,831,825,819,818,810,802,797,790,783,779,775,765,760,746,737,716,694,673,650,637,627,598,577,550,543,533,525,518,512,496,494,487,481,479,478,475,449,440,430,427,424,423,422,414,397,388,374,362,352,346,337,328,315,297,276,243,241,226,150,143,132,0,0,0
1nmpp1,3000,3,1,vacuole,10,4983,4797,3760,3468,3258,3127,3028,2942,2852,2784,2721,2688,2629,2576,2549,2521,2401,2337,2256,2211,2175,2115,2067,2044,2005,1974,1957,1943,1924,1902,1876,1859,1824,1806,1776,1754,1730,1714,1703,1688,1676,1656,1646,1630,1610,1605,1596,1588,1575,1553,1528,1491,1460,1436,1406,1367,1326,1280,1250,1215,1182,1154,1135,1118,1109,1086,1068,1051,1037,1001,992,975,963,949,943,937,936,932,927,919,909,897,877,850,840,828,809,787,761,734,710,663,647,625,559,554,533,337,316,262
1nmpp1,3000,3,1,vacuole,11,6453,6293,5629,5400,5002,4752,4426,4283,4175,4089,4005,3944,3859,3814,3774,3728,3605,3546,3469,3414,3381,3334,3294,3249,3206,3182,3157,3143,3124,3104,3079,3059,3031,3020,3006,2975,2955,2934,2900,2875,2845,2818,2790,2766,2753,2732,2713,2659,2607,2562,2493,2434,2395,2356,2315,2281,2212,2167,2094,1971,1872,1830,1801,1768,1732,1692,1565,1517,1460,1425,1411,1394,1378,1363,1360,1353,1346,1337,1330,1320,1312,1306,1300,1290,1285,1274,1267,1263,1254,1245,1213,1187,1167,1141,1109,218,179,90,50,43
1nmpp1,3000,3,1,vacuole,12,740,731,536,488,452,442,434,427,427,423,421,417,411,411,404,398,385,382,365,354,351,347,345,338,335,335,334,331,328,326,324,324,320,317,310,307,306,304,303,299,295,294,291,289,288,287,283,282,279,278,275,270,263,260,258,255,246,237,234,226,221,218,213,213,210,204,204,203,199,198,195,194,190,187,185,184,182,182,181,179,174,173,171,169,169,167,160,157,151,146,139,126,126,123,105,103,96,0,0,0
1nmpp1,3000,3,1,vacuole,13,1624,1549,1164,1093,1030,999,976,948,930,912,899,887,867,856,838,820,761,733,694,670,660,634,619,608,597,593,587,579,566,554,542,540,527,519,516,511,506,502,500,500,495,492,487,478,470,470,466,461,458,453,437,420,414,403,391,386,375,356,349,338,327,326,324,319,311,301,295,293,289,287,285,285,271,254,245,239,233,232,225,215,203,195,183,169,165,165,159,150,141,131,120,98,95,87,47,47,47,0,0,0
1nmpp1,3000,3,1,vacuole,14,8987,8738,8033,7736,7072,6607,6046,5821,5700,5561,5431,5372,5309,5246,5194,5144,5006,4934,4871,4779,4723,4656,4606,4559,4531,4508,4479,4453,4399,4375,4344,4324,4289,4270,4232,4177,4133,4095,4051,4012,3964,3945,3910,3871,3838,3805,3771,3585,3510,3451,3330,3253,3206,3165,3112,3062,2968,2898,2794,2552,2479,2435,2387,2361,2322,2279,2112,2071,2026,2008,1997,1984,1973,1957,1948,1938,1932,1922,1912,1900,1885,1874,1867,1854,1843,1830,1821,1812,1798,1754,1686,1639,1593,1557,1499,197,155,66,28,25
1nmpp1,3000,3,1,vacuole,15,4635,4476,3201,2903,2714,2634,2587,2539,2492,2451,2410,2378,2336,2313,2280,2240,2139,2072,1968,1891,1868,1822,1784,1754,1734,1717,1693,1674,1653,1633,1612,1598,1567,1554,1535,1516,1502,1497,1485,1480,1467,1458,1447,1431,1416,1412,1402,1390,1382,1362,1344,1317,1292,1264,1232,1211,1185,1144,1119,1092,1070,1035,1019,992,969,942,913,896,887,867,859,833,809,788,781,776,765,759,749,733,720,710,693,680,669,656,638,623,603,576,552,528,514,498,448,437,420,319,281,248
1nmpp1,3000,3,1,vacuole,16,2432,2311,1676,1537,1437,1418,1382,1352,1337,1294,1266,1242,1206,1191,1167,1157,1083,1044,999,981,958,938,921,909,903,892,880,874,869,859,844,834,809,799,789,783,778,775,773,769,765,764,763,759,756,750,748,742,740,730,724,704,693,682,657,644,628,608,590,572,560,546,539,530,515,502,488,481,476,465,457,450,435,430,426,421,419,417,414,412,406,404,393,387,384,382,376,372,372,368,361,347,343,337,324,316,313,242,135,111
1nmpp1,3000,3,1,vacuole,17,5455,5227,3998,3671,3456,3354,3207,3122,3072,3006,2920,2869,2806,2764,2714,2670,2546,2490,2385,2314,2256,2214,2166,2132,2109,2082,2057,2025,1994,1973,1937,1920,1882,1859,1828,1805,1786,1773,1761,1746,1733,1722,1702,1677,1668,1658,1648,1631,1614,1590,1572,1541,1503,1479,1452,1433,1395,1351,1316,1269,1233,1202,1169,1144,1122,1091,1056,1033,1012,993,976,943,912,889,880,876,872,868,860,849,833,815,795,783,771,760,749,732,716,700,677,642,627,610,571,504,412,283,197,155
