experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
betaEstrodiol,10,3,3,vacuole,1,11020,10571,10337,9647,9331,9095,8865,8730,8647,8564,8475,8420,8377,8308,8237,8192,8140,8086,8028,7943,7841,7714,7558,7393,7229,7038,6862,6690,6528,6381,6270,6096,5957,5830,5750,5640,5557,5483,5419,5368,5308,5247,5187,5114,5048,4950,4870,4770,4657,4561,4457,4354,4238,4130,4012,3923,3820,3742,3648,3567,3478,3404,3329,3263,3192,3136,3069,3001,2927,2852,2792,2724,2664,2595,2524,2440,2335,2231,2146,2031,1863,1749,1621,1512,1397,1313,1233,1128,1051,940,876,781,654,492,365,239,141,45,8,1
betaEstrodiol,10,3,3,vacuole,2,5423,5162,4978,4532,4365,4211,4067,3965,3924,3881,3831,3787,3759,3720,3687,3661,3631,3605,3570,3531,3500,3454,3391,3330,3274,3186,3096,3040,2968,2892,2829,2760,2693,2643,2592,2538,2512,2485,2458,2435,2420,2396,2372,2339,2309,2276,2241,2197,2160,2116,2061,2005,1948,1902,1852,1814,1772,1733,1700,1665,1634,1605,1576,1554,1538,1518,1500,1471,1451,1426,1397,1367,1343,1313,1277,1239,1196,1161,1133,1087,1056,1019,985,952,923,886,844,786,731,683,613,545,465,380,300,204,124,56,14,2
betaEstrodiol,10,3,3,vacuole,3,7334,7100,6932,6455,6281,6143,5973,5859,5809,5770,5699,5651,5608,5565,5514,5465,5416,5373,5337,5274,5216,5139,5044,4936,4828,4714,4622,4527,4421,4326,4243,4155,4061,4006,3917,3846,3799,3738,3694,3652,3624,3588,3559,3511,3473,3417,3367,3318,3257,3207,3139,3076,2998,2936,2880,2805,2754,2695,2639,2574,2520,2470,2417,2377,2327,2277,2237,2203,2166,2118,2086,2045,2003,1956,1916,1869,1835,1785,1730,1673,1591,1480,1293,1169,1037,914,828,746,700,628,577,518,419,323,251,157,105,54,16,2
betaEstrodiol,10,3,3,vacuole,4,4788,4570,4450,4150,4014,3870,3743,3673,3628,3571,3537,3504,3483,3458,3432,3409,3384,3356,3336,3304,3265,3224,3171,3107,3043,2975,2919,2876,2824,2770,2721,2671,2621,2577,2531,2484,2459,2433,2397,2382,2356,2337,2309,2279,2247,2216,2186,2150,2116,2068,2033,1994,1952,1928,1877,1831,1785,1741,1698,1661,1632,1598,1568,1539,1512,1471,1441,1408,1382,1347,1323,1294,1262,1229,1194,1157,1130,1095,1068,1027,987,918,826,779,740,700,649,608,550,460,403,350,279,195,153,111,65,25,10,2
betaEstrodiol,10,3,3,vacuole,5,3846,3701,3593,3392,3303,3186,3108,3057,3021,2986,2954,2931,2916,2894,2878,2858,2845,2832,2814,2791,2768,2749,2721,2703,2678,2635,2597,2563,2523,2476,2448,2408,2356,2334,2305,2273,2250,2226,2207,2189,2165,2149,2134,2102,2089,2065,2037,2022,1995,1961,1926,1881,1851,1817,1768,1725,1686,1646,1613,1567,1523,1494,1460,1431,1393,1352,1317,1282,1253,1224,1196,1168,1123,1092,1071,1047,1018,972,927,893,809,763,713,679,636,614,591,542,491,440,414,373,308,250,182,125,82,38,13,6
betaEstrodiol,10,3,3,vacuole,6,8613,8230,8031,7168,6807,6582,6324,6135,6063,5975,5906,5844,5769,5714,5665,5615,5566,5527,5487,5440,5381,5311,5229,5145,5068,4984,4901,4809,4695,4588,4478,4399,4306,4228,4152,4071,4013,3953,3915,3873,3838,3802,3760,3721,3683,3631,3584,3529,3482,3419,3364,3303,3230,3174,3113,3058,3012,2968,2913,2869,2815,2757,2719,2680,2645,2598,2552,2512,2466,2427,2379,2339,2284,2233,2188,2132,2093,2037,1994,1956,1913,1861,1824,1776,1723,1682,1648,1566,1495,1393,1297,1170,1019,796,617,405,249,116,41,11
betaEstrodiol,10,3,3,vacuole,7,10122,9787,9578,8942,8705,8498,8291,8150,8091,8023,7936,7881,7832,7761,7719,7677,7639,7597,7536,7473,7398,7280,7147,7000,6772,6586,6409,6223,6066,5901,5766,5632,5502,5397,5316,5252,5203,5138,5094,5059,5013,4960,4909,4857,4808,4751,4685,4613,4543,4453,4367,4289,4204,4107,4039,3977,3891,3819,3754,3685,3628,3554,3495,3434,3373,3309,3253,3193,3137,3061,2992,2944,2868,2790,2706,2629,2583,2508,2432,2346,2253,2173,2091,2007,1926,1837,1766,1644,1526,1370,1243,1103,921,672,480,296,176,87,36,4
betaEstrodiol,10,3,3,vacuole,8,3920,3752,3653,3340,3215,3110,3011,2950,2911,2862,2825,2803,2789,2766,2739,2719,2701,2683,2666,2640,2613,2587,2545,2511,2454,2402,2355,2321,2277,2236,2190,2157,2125,2095,2063,2033,2012,1990,1968,1955,1928,1913,1897,1887,1868,1846,1827,1798,1769,1740,1709,1667,1622,1586,1546,1509,1461,1420,1385,1343,1296,1256,1227,1192,1157,1132,1100,1068,1030,1006,967,942,909,880,848,823,804,771,742,708,630,569,481,453,418,384,364,329,289,215,181,137,98,60,37,19,8,2,0,0
betaEstrodiol,10,3,3,vacuole,9,11249,10828,10571,9869,9631,9417,9171,9042,8969,8898,8814,8750,8715,8652,8587,8553,8507,8468,8408,8312,8211,8063,7873,7660,7375,7056,6831,6627,6412,6253,6105,5947,5826,5718,5631,5556,5488,5425,5368,5315,5258,5191,5141,5086,5011,4938,4858,4785,4702,4607,4512,4414,4326,4234,4142,4054,3961,3863,3769,3692,3608,3529,3451,3404,3352,3295,3238,3175,3111,3046,2976,2895,2811,2745,2662,2572,2501,2396,2328,2249,2166,2071,1966,1882,1745,1660,1572,1456,1331,1161,1033,890,723,541,418,282,164,59,21,1
betaEstrodiol,10,3,3,vacuole,10,3070,2887,2791,2604,2535,2454,2371,2321,2296,2269,2238,2222,2207,2190,2176,2167,2156,2143,2135,2114,2090,2072,2041,2002,1971,1925,1880,1845,1803,1762,1735,1705,1657,1631,1603,1575,1549,1532,1519,1509,1498,1482,1473,1461,1439,1429,1412,1386,1365,1339,1318,1289,1263,1241,1215,1175,1147,1117,1088,1063,1033,1011,981,960,933,906,868,837,809,787,759,738,705,686,664,643,632,615,594,562,449,401,344,327,294,280,266,238,209,156,133,118,91,56,42,28,16,10,4,0
