experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
glu,0-5,3,6,vacuole,2,3210,2428,1988,1681,1658,1634,1609,1588,1538,1474,1375,1266,1190,1164,1156,1150,1145,1141,1129,1124,1121,1118,1115,1110,1108,1107,1106,1104,1103,1102,1100,1098,1095,1095,1094,1061,1052,1037,1029,1013,988,977,964,958,958,955,952,951,949,947,945,943,941,941,937,937,932,928,925,921,918,917,911,905,893,856,840,830,822,809,787,776,756,735,719,715,708,684,653,637,626,615,602,596,593,581,572,567,560,545,528,517,493,478,465,449,442,407,337,278
glu,0-5,3,6,vacuole,3,2521,2076,1788,1629,1608,1582,1557,1541,1505,1430,1329,1177,1053,997,981,976,964,960,953,949,947,940,937,937,936,936,934,934,933,933,929,927,925,923,916,881,869,861,856,834,816,805,802,799,796,794,794,793,791,791,790,790,790,789,788,786,783,780,776,774,773,766,758,752,736,708,697,685,675,663,649,625,616,604,592,579,570,561,545,532,521,512,500,494,491,485,482,479,465,454,443,430,421,409,404,393,383,356,268,206
glu,0-5,3,6,vacuole,4,4622,3842,3243,2953,2870,2801,2729,2681,2621,2508,2380,2186,2008,1908,1869,1851,1827,1801,1784,1774,1765,1755,1748,1740,1739,1732,1731,1726,1726,1722,1718,1714,1709,1695,1687,1643,1621,1587,1569,1538,1502,1492,1468,1451,1443,1434,1428,1419,1414,1409,1406,1404,1401,1398,1394,1389,1385,1377,1371,1357,1347,1336,1316,1305,1283,1255,1216,1186,1160,1142,1107,1084,1062,1035,1023,1009,994,976,965,946,925,905,887,869,859,848,831,822,796,771,745,728,705,680,660,637,622,565,430,324
glu,0-5,3,6,vacuole,5,3077,2395,1911,1659,1629,1603,1581,1549,1507,1417,1310,1183,1111,1071,1066,1065,1047,1038,1026,1017,1016,1013,1012,1010,1008,1008,1007,1006,1005,1002,1000,995,992,987,986,943,937,923,914,902,880,864,858,856,855,853,853,850,849,847,847,845,844,842,842,839,839,839,836,832,826,823,819,811,797,768,755,742,732,713,693,679,670,655,642,628,616,600,593,573,562,546,531,524,514,499,496,491,483,480,472,465,448,435,427,419,407,380,321,276
glu,0-5,3,6,vacuole,6,5514,4412,3750,3470,3410,3354,3290,3234,3156,3054,2896,2688,2486,2394,2367,2350,2335,2315,2300,2288,2281,2273,2267,2266,2264,2260,2257,2250,2242,2236,2223,2209,2202,2201,2197,2128,2109,2085,2066,2035,1997,1969,1951,1943,1940,1932,1928,1924,1923,1921,1915,1913,1912,1905,1895,1893,1886,1877,1863,1849,1830,1815,1800,1782,1761,1701,1659,1626,1601,1557,1505,1466,1423,1388,1366,1350,1326,1293,1251,1216,1190,1159,1135,1122,1100,1080,1066,1048,1031,1003,979,953,923,906,892,868,842,810,720,622
glu,0-5,3,6,vacuole,7,1924,1587,1276,1083,1076,1073,1066,1060,1036,1022,970,902,873,865,863,858,855,852,849,845,844,842,842,842,841,841,839,838,838,836,835,832,829,829,829,819,814,807,800,788,774,765,762,760,758,758,757,757,756,756,755,755,755,755,755,753,753,748,744,735,733,730,728,725,709,679,664,655,649,634,618,607,593,576,562,556,551,546,520,505,500,490,483,478,474,471,470,467,463,446,440,432,428,413,408,401,394,385,344,310
glu,0-5,3,6,vacuole,8,5314,4184,3491,3162,3106,3082,3044,3005,2952,2849,2654,2392,2156,2032,2003,1992,1959,1943,1919,1906,1899,1892,1884,1878,1875,1871,1869,1865,1862,1855,1848,1842,1838,1837,1832,1735,1707,1665,1652,1625,1590,1552,1526,1517,1509,1507,1504,1501,1493,1490,1490,1488,1485,1477,1473,1469,1462,1456,1452,1445,1441,1437,1426,1418,1386,1335,1276,1246,1224,1199,1169,1145,1120,1097,1077,1060,1046,1026,986,960,949,924,902,886,875,861,842,823,812,788,763,748,726,695,675,665,639,611,483,332
glu,0-5,3,6,vacuole,9,4026,3178,2706,2464,2441,2400,2358,2329,2277,2215,2087,1906,1797,1758,1740,1735,1724,1711,1700,1694,1688,1683,1680,1675,1673,1673,1670,1668,1667,1663,1660,1655,1649,1644,1640,1587,1567,1548,1537,1522,1503,1487,1473,1465,1464,1461,1461,1457,1455,1452,1451,1449,1448,1447,1444,1440,1436,1428,1418,1410,1404,1394,1383,1371,1344,1304,1284,1264,1248,1221,1189,1163,1121,1079,1050,1037,1016,989,952,929,909,891,863,856,841,833,825,816,807,786,765,749,725,711,697,687,674,657,574,516
glu,0-5,3,6,vacuole,10,8899,7261,6010,5285,5119,5028,4929,4816,4673,4476,4176,3819,3565,3415,3353,3319,3278,3248,3203,3170,3149,3139,3130,3119,3101,3095,3090,3078,3074,3068,3052,3033,3025,3010,3002,2897,2847,2807,2775,2730,2692,2654,2626,2603,2586,2568,2557,2546,2534,2525,2512,2507,2499,2492,2477,2466,2456,2445,2423,2410,2380,2356,2332,2300,2271,2215,2162,2100,2057,2028,1987,1953,1926,1896,1879,1853,1835,1806,1770,1736,1699,1660,1627,1599,1571,1534,1510,1480,1464,1430,1377,1331,1276,1223,1168,1138,1096,944,699,492
glu,0-5,3,6,vacuole,11,4378,3811,3278,2923,2865,2805,2751,2710,2652,2574,2476,2352,2270,2227,2220,2214,2206,2197,2188,2182,2177,2171,2168,2162,2161,2157,2149,2138,2127,2105,2091,2082,2073,2066,2060,2025,2012,2002,1991,1972,1952,1935,1927,1918,1918,1917,1913,1908,1907,1905,1901,1899,1889,1873,1864,1858,1849,1835,1827,1812,1798,1787,1773,1759,1735,1707,1669,1643,1620,1596,1572,1550,1523,1501,1476,1439,1416,1380,1339,1288,1264,1237,1202,1179,1147,1123,1108,1093,1074,1035,1007,980,932,916,888,870,853,815,732,650
glu,0-5,3,6,vacuole,12,6734,5743,4917,4518,4396,4293,4172,4048,3892,3728,3539,3313,3166,3109,3086,3076,3054,3041,3017,3009,3001,2991,2978,2972,2970,2965,2952,2927,2909,2880,2862,2838,2828,2810,2798,2717,2698,2671,2653,2628,2589,2573,2560,2550,2546,2539,2536,2531,2523,2517,2509,2508,2505,2493,2482,2465,2450,2437,2415,2407,2393,2380,2363,2346,2323,2262,2192,2146,2096,2059,2010,1966,1926,1892,1856,1827,1800,1753,1694,1642,1619,1591,1537,1511,1480,1458,1438,1411,1386,1362,1326,1286,1237,1216,1186,1155,1106,1036,913,750
glu,0-5,3,6,vacuole,13,4673,3918,3314,2983,2928,2899,2867,2837,2789,2691,2595,2412,2252,2188,2162,2156,2145,2140,2132,2124,2120,2113,2110,2107,2106,2102,2102,2093,2082,2079,2063,2046,2024,2010,1992,1956,1948,1934,1925,1897,1869,1845,1828,1818,1816,1814,1812,1811,1811,1809,1806,1806,1801,1795,1780,1774,1770,1756,1744,1736,1724,1717,1697,1683,1664,1625,1596,1567,1544,1517,1465,1434,1399,1366,1336,1306,1278,1247,1202,1164,1143,1125,1104,1095,1083,1068,1058,1045,1027,1014,991,981,952,929,919,898,874,853,775,664
glu,0-5,3,6,vacuole,14,3009,2343,1902,1698,1670,1648,1616,1592,1554,1518,1450,1367,1315,1292,1286,1276,1262,1255,1245,1240,1234,1229,1227,1225,1222,1221,1220,1218,1216,1214,1209,1206,1202,1198,1194,1160,1144,1126,1113,1098,1079,1070,1056,1046,1043,1037,1034,1033,1032,1030,1027,1026,1024,1023,1019,1016,1015,1011,1002,997,992,983,965,953,945,924,892,876,851,834,816,794,768,752,735,717,696,687,671,656,649,632,622,611,602,592,582,577,573,563,546,536,521,508,498,485,477,459,417,377
glu,0-5,3,6,vacuole,16,6914,5631,4794,4273,4168,4090,4014,3956,3860,3718,3562,3313,3101,3003,2967,2955,2934,2911,2896,2887,2881,2873,2864,2853,2849,2843,2841,2827,2820,2809,2796,2779,2770,2755,2746,2668,2648,2601,2577,2550,2515,2495,2484,2475,2466,2461,2456,2453,2451,2447,2445,2443,2441,2432,2422,2416,2410,2392,2378,2369,2355,2348,2335,2326,2289,2241,2201,2152,2117,2078,2031,1999,1959,1902,1859,1814,1781,1735,1669,1629,1599,1556,1528,1496,1467,1452,1436,1419,1398,1369,1337,1310,1272,1246,1208,1194,1163,1109,976,816
glu,0-5,3,6,vacuole,17,6252,5279,4556,4041,3957,3887,3835,3762,3659,3500,3294,2993,2709,2617,2577,2564,2540,2528,2516,2509,2498,2498,2487,2480,2477,2476,2476,2473,2472,2465,2452,2444,2438,2431,2420,2359,2340,2318,2297,2254,2214,2175,2160,2151,2150,2143,2140,2137,2135,2132,2127,2125,2123,2115,2104,2099,2090,2079,2070,2052,2049,2033,2014,1991,1962,1916,1877,1860,1833,1799,1752,1706,1674,1648,1619,1597,1574,1546,1491,1431,1393,1362,1341,1320,1308,1291,1276,1256,1237,1210,1182,1168,1134,1111,1096,1063,1031,966,809,613
glu,0-5,3,6,vacuole,19,6506,5677,5099,4759,4676,4604,4539,4444,4322,4181,3978,3732,3521,3441,3395,3365,3332,3306,3287,3278,3268,3261,3249,3242,3236,3227,3218,3200,3185,3171,3144,3125,3113,3097,3084,3007,2981,2942,2922,2904,2861,2844,2828,2818,2815,2809,2806,2798,2793,2787,2782,2779,2776,2773,2760,2749,2735,2720,2700,2686,2671,2654,2628,2604,2577,2517,2463,2404,2356,2308,2262,2211,2169,2137,2096,2061,2008,1955,1884,1832,1784,1749,1710,1681,1650,1622,1593,1568,1540,1499,1479,1450,1391,1357,1321,1286,1262,1212,1104,968
glu,0-5,3,6,vacuole,20,8459,6864,5764,5074,4972,4898,4822,4739,4632,4463,4266,3968,3704,3570,3530,3510,3465,3444,3418,3404,3395,3390,3373,3366,3362,3354,3346,3328,3315,3290,3263,3243,3223,3205,3174,3065,3032,2997,2982,2948,2896,2861,2836,2807,2795,2791,2786,2782,2778,2768,2759,2758,2751,2744,2730,2718,2708,2689,2673,2659,2639,2621,2592,2574,2536,2476,2401,2347,2301,2254,2192,2150,2099,2053,2007,1967,1929,1869,1813,1753,1726,1691,1650,1617,1590,1553,1526,1509,1485,1461,1427,1397,1349,1318,1275,1255,1218,1159,1056,888
glu,0-5,3,6,vacuole,21,6555,5414,4640,4247,4173,4112,4018,3946,3847,3680,3438,3145,2913,2823,2783,2766,2752,2741,2728,2714,2704,2701,2688,2681,2674,2671,2669,2666,2663,2657,2649,2641,2634,2626,2619,2554,2547,2526,2507,2474,2436,2415,2396,2380,2372,2369,2366,2362,2359,2357,2354,2353,2351,2342,2337,2336,2332,2316,2304,2290,2280,2270,2252,2240,2210,2149,2106,2077,2045,1997,1940,1885,1839,1802,1755,1726,1702,1649,1580,1524,1492,1453,1431,1405,1387,1358,1339,1319,1295,1273,1259,1237,1205,1173,1146,1119,1091,1048,955,808
glu,0-5,3,6,vacuole,23,7328,5451,4519,4078,3993,3893,3800,3738,3628,3509,3348,3111,2880,2761,2694,2658,2617,2598,2573,2559,2552,2549,2536,2531,2524,2516,2513,2506,2500,2493,2487,2474,2468,2460,2454,2369,2342,2296,2276,2232,2204,2167,2130,2118,2107,2096,2086,2081,2076,2072,2063,2061,2059,2054,2048,2042,2040,2034,2024,2012,1996,1984,1965,1951,1923,1881,1852,1817,1790,1760,1735,1707,1669,1648,1628,1611,1586,1556,1516,1483,1458,1422,1392,1373,1361,1343,1322,1305,1285,1242,1184,1158,1130,1082,1051,1027,999,886,698,504
glu,0-5,3,6,vacuole,24,2085,1787,1631,1542,1512,1479,1457,1439,1406,1372,1337,1274,1203,1179,1176,1168,1161,1158,1152,1149,1147,1147,1143,1143,1141,1141,1140,1140,1135,1134,1129,1124,1122,1120,1118,1105,1103,1095,1090,1084,1072,1061,1057,1053,1053,1052,1052,1051,1051,1050,1049,1049,1048,1046,1039,1037,1034,1028,1023,1019,1007,1004,993,988,976,960,939,913,900,879,854,835,814,789,770,751,736,714,705,685,677,666,653,641,630,612,599,586,582,574,559,550,529,516,510,504,492,470,428,386
glu,0-5,3,6,vacuole,26,5203,4225,3620,3270,3220,3160,3111,3050,2975,2819,2652,2369,2060,1917,1870,1852,1834,1820,1803,1791,1787,1785,1781,1778,1777,1775,1772,1768,1763,1762,1757,1744,1742,1731,1725,1663,1648,1622,1604,1577,1546,1517,1493,1468,1463,1457,1457,1454,1450,1445,1443,1443,1443,1441,1433,1431,1429,1424,1418,1407,1400,1396,1387,1378,1347,1302,1269,1243,1227,1195,1173,1153,1131,1110,1100,1078,1058,1030,998,965,951,923,901,886,872,863,855,847,836,824,800,782,754,727,705,686,661,569,403,257
glu,0-5,3,6,vacuole,27,4725,3692,3112,2706,2664,2606,2566,2516,2447,2369,2225,2062,1888,1823,1806,1799,1779,1769,1748,1742,1735,1733,1730,1726,1725,1724,1724,1719,1715,1715,1713,1707,1700,1694,1688,1612,1596,1573,1556,1535,1500,1473,1459,1448,1442,1440,1440,1438,1436,1435,1432,1431,1431,1429,1425,1424,1420,1416,1413,1406,1403,1399,1392,1388,1369,1333,1299,1284,1273,1261,1237,1213,1186,1168,1149,1137,1122,1099,1067,1031,1009,989,972,962,949,939,921,918,908,888,864,833,805,769,755,746,725,638,493,330
glu,0-5,3,6,vacuole,28,7264,5900,4951,4421,4336,4269,4184,4105,4010,3860,3689,3517,3368,3290,3261,3243,3216,3198,3180,3167,3154,3136,3124,3112,3095,3082,3054,3011,2971,2955,2936,2911,2898,2889,2877,2797,2770,2735,2718,2691,2650,2633,2612,2600,2592,2584,2581,2575,2568,2559,2555,2550,2537,2525,2511,2499,2489,2476,2459,2448,2439,2424,2400,2378,2350,2296,2258,2212,2179,2145,2117,2099,2058,2019,1993,1944,1912,1872,1822,1785,1747,1708,1653,1623,1579,1549,1524,1497,1476,1452,1415,1395,1366,1336,1305,1284,1242,1163,1053,819
glu,0-5,3,6,vacuole,29,4809,3701,3035,2688,2651,2604,2554,2503,2449,2379,2208,2042,1908,1831,1801,1788,1769,1758,1735,1721,1718,1714,1706,1702,1701,1693,1693,1689,1685,1683,1673,1672,1670,1665,1659,1584,1564,1544,1525,1503,1462,1440,1429,1417,1411,1407,1404,1399,1395,1391,1386,1385,1383,1383,1382,1381,1378,1374,1369,1362,1355,1348,1332,1321,1301,1264,1239,1213,1202,1188,1162,1139,1120,1095,1059,1040,1033,1007,957,920,895,873,857,849,838,829,816,807,795,776,760,748,724,704,682,668,652,611,529,440
