experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
glu,100,3,2,vacuole,2,5674,4221,3379,2965,2904,2862,2824,2760,2672,2543,2373,2173,2086,2057,2043,2035,2017,2001,1985,1974,1967,1963,1960,1956,1948,1944,1942,1939,1934,1930,1922,1916,1912,1911,1906,1839,1809,1798,1780,1755,1717,1698,1681,1674,1667,1653,1649,1640,1633,1630,1630,1628,1624,1616,1610,1606,1600,1595,1588,1583,1579,1572,1565,1558,1544,1509,1487,1467,1458,1433,1411,1380,1357,1331,1288,1267,1240,1212,1177,1147,1131,1112,1089,1070,1050,1029,1005,989,976,955,930,904,862,831,808,791,760,648,522,392
glu,100,3,2,vacuole,4,3883,2312,1782,1582,1575,1570,1554,1544,1531,1490,1435,1357,1258,1207,1190,1189,1149,1119,1097,1077,1076,1073,1066,1056,1049,1047,1045,1039,1032,1022,1012,1007,1004,1004,1004,866,822,771,762,748,735,713,700,691,681,671,669,659,650,648,644,641,639,634,630,628,628,628,625,612,607,606,603,595,587,567,548,540,532,528,519,513,503,494,482,475,467,459,427,400,379,371,357,349,337,328,319,312,306,293,280,271,249,235,222,220,211,198,144,72
glu,100,3,2,vacuole,5,4921,2974,2305,1987,1972,1967,1950,1929,1906,1851,1763,1643,1570,1527,1521,1517,1462,1419,1399,1381,1375,1370,1363,1355,1353,1349,1348,1339,1329,1325,1316,1309,1303,1302,1302,1170,1116,1060,1041,1020,998,977,958,939,930,919,916,910,906,905,893,886,884,882,881,877,877,873,869,853,844,839,838,836,824,794,769,746,741,728,718,708,685,663,653,646,632,607,565,522,500,483,467,448,431,416,403,391,378,364,343,320,287,270,260,256,249,231,201,113
glu,100,3,2,vacuole,6,2245,1637,1303,1100,1088,1085,1075,1062,1018,970,903,803,748,722,712,707,702,695,692,686,681,678,676,676,675,672,672,668,668,668,668,665,663,662,661,633,627,620,616,594,580,568,560,555,551,548,548,546,544,543,540,539,537,536,534,531,529,528,526,526,522,522,522,519,514,496,479,461,454,447,437,429,420,413,412,409,401,389,370,343,328,318,309,301,298,292,289,286,281,278,264,259,239,224,217,212,207,196,184,124
glu,100,3,2,vacuole,7,1872,1271,1033,917,906,902,892,884,868,841,789,699,644,620,615,613,607,605,602,597,597,595,595,593,592,592,592,591,591,590,590,587,587,584,583,563,559,551,547,535,513,503,494,492,485,485,485,483,483,483,483,483,483,482,481,481,481,480,475,474,473,473,472,471,463,446,427,420,416,408,396,384,376,365,355,348,340,324,298,282,273,267,263,261,256,254,251,248,247,243,237,233,225,217,214,213,208,204,166,140
glu,100,3,2,vacuole,8,4057,2744,2232,2012,1992,1986,1979,1965,1924,1859,1747,1589,1474,1407,1384,1380,1359,1334,1316,1310,1306,1303,1296,1292,1292,1288,1285,1277,1275,1275,1271,1265,1265,1265,1264,1180,1150,1123,1120,1100,1076,1052,1031,1015,1005,1001,1000,998,995,991,989,988,985,982,982,981,979,976,974,966,963,959,955,948,937,915,884,867,855,846,837,818,806,788,744,698,677,623,592,557,522,496,458,444,432,407,401,393,385,375,363,347,333,325,308,302,294,288,268,200
glu,100,3,2,vacuole,9,4398,3323,2666,2309,2279,2269,2258,2244,2209,2149,2047,1840,1670,1593,1574,1564,1550,1529,1516,1510,1509,1504,1499,1497,1496,1494,1493,1487,1482,1476,1472,1463,1461,1458,1455,1359,1339,1315,1306,1284,1263,1240,1218,1201,1197,1190,1183,1179,1175,1173,1167,1165,1164,1161,1154,1152,1149,1145,1145,1138,1128,1123,1116,1111,1092,1051,1015,999,988,971,962,949,933,913,898,880,871,841,767,706,664,643,623,605,593,581,571,563,554,537,508,494,461,436,421,410,398,377,335,227
glu,100,3,2,vacuole,10,2562,1916,1423,1120,1103,1100,1084,1077,1062,1022,947,857,819,801,794,793,764,759,745,738,735,735,730,727,724,723,721,712,710,708,706,701,701,701,701,628,621,599,593,574,555,548,541,541,536,535,534,531,531,531,528,528,527,527,526,524,524,524,522,520,520,520,519,516,499,480,456,449,446,442,435,432,428,419,408,401,397,381,356,322,310,299,293,287,283,276,270,266,263,255,250,243,230,221,214,210,207,201,129,83
glu,100,3,2,vacuole,11,3320,2216,1773,1563,1538,1523,1510,1485,1456,1412,1335,1245,1149,1114,1097,1090,1076,1062,1057,1051,1047,1047,1043,1039,1036,1033,1031,1022,1020,1019,1016,1010,1008,1008,1006,945,923,907,900,889,873,857,849,840,834,827,824,823,821,820,817,816,813,813,811,811,811,804,799,797,792,788,785,782,768,747,718,701,690,683,660,638,625,606,595,584,575,557,533,513,506,496,489,478,471,462,454,451,444,434,420,411,398,377,360,355,347,331,278,185
glu,100,3,2,vacuole,12,5334,3756,2934,2553,2535,2505,2473,2432,2352,2254,2111,1968,1862,1812,1790,1781,1754,1732,1708,1696,1685,1679,1671,1665,1661,1658,1651,1637,1633,1631,1624,1616,1613,1610,1605,1502,1479,1439,1431,1405,1381,1360,1338,1323,1308,1305,1297,1292,1284,1281,1270,1269,1266,1263,1257,1252,1247,1242,1239,1237,1230,1226,1224,1211,1190,1176,1140,1111,1096,1081,1060,1040,1015,997,978,955,939,911,884,853,839,821,796,777,764,739,722,706,690,676,636,610,587,549,534,517,496,433,334,245
glu,100,3,2,vacuole,13,2893,1656,1275,1160,1145,1140,1127,1109,1085,1041,987,939,912,894,887,885,870,852,844,834,834,834,831,825,821,820,819,814,811,811,807,805,802,801,799,741,725,708,701,691,674,668,658,652,644,639,636,634,630,630,626,624,623,619,615,614,612,610,609,607,604,602,599,594,580,567,550,545,539,529,518,504,493,483,471,466,463,449,436,430,424,411,400,387,379,369,358,353,345,329,317,308,292,280,262,257,247,234,200,146
glu,100,3,2,vacuole,14,4120,2501,1894,1656,1643,1632,1616,1595,1564,1507,1442,1358,1274,1226,1217,1213,1179,1152,1137,1122,1119,1115,1110,1106,1103,1097,1089,1082,1076,1075,1071,1062,1059,1055,1054,964,921,888,876,860,841,816,796,783,769,761,760,757,753,751,747,745,741,736,730,727,720,716,711,704,702,697,696,694,690,677,656,645,628,618,611,608,599,590,582,579,574,563,543,513,494,480,462,446,434,424,406,403,397,386,360,356,338,313,302,296,280,246,187,93
glu,100,3,2,vacuole,15,3449,1872,1421,1228,1215,1213,1201,1182,1169,1143,1095,1057,1001,978,965,963,938,905,889,873,867,864,861,858,851,850,847,840,838,836,829,821,820,817,817,729,676,638,626,619,610,602,580,569,556,550,545,542,538,534,527,522,519,516,509,506,504,503,497,490,485,480,476,472,468,460,446,434,420,415,408,401,396,390,384,377,375,364,355,346,340,328,319,301,286,282,271,265,253,244,222,209,182,165,156,153,144,122,109,49
glu,100,3,2,vacuole,16,4962,3492,2855,2533,2514,2505,2479,2459,2418,2328,2207,1996,1833,1778,1749,1740,1693,1673,1650,1639,1628,1622,1618,1613,1612,1610,1608,1604,1599,1597,1585,1578,1578,1577,1577,1428,1395,1368,1355,1332,1300,1269,1248,1238,1225,1222,1220,1213,1212,1211,1208,1205,1203,1199,1198,1197,1196,1196,1193,1185,1179,1176,1170,1160,1130,1090,1057,1043,1032,1014,1002,980,965,942,912,887,871,841,790,726,679,642,623,608,591,583,571,559,551,544,534,521,496,476,460,455,435,411,345,239
