experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
leu,100,3,3,vacuole,6,6851,6851,6851,6851,6851,6851,6851,6851,6851,6851,6851,6851,6851,6851,6851,6851,6851,6851,6850,6850,6848,6847,6845,6833,6819,6801,6777,6743,6682,6610,6540,6426,6270,6108,5931,5757,5627,5489,5330,5214,5045,4869,4659,4448,4226,3967,3787,3620,3504,3376,3260,3174,3055,2944,2833,2713,2602,2509,2426,2325,2244,2163,2083,1997,1899,1822,1755,1686,1608,1537,1455,1393,1319,1257,1175,1103,1039,970,905,851,785,726,670,595,514,418,332,268,219,181,144,116,82,65,48,39,24,11,6,1
leu,100,3,3,vacuole,7,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3936,3936,3934,3932,3929,3923,3920,3914,3905,3896,3868,3842,3806,3761,3688,3617,3532,3429,3337,3247,3162,3090,3026,2960,2881,2813,2729,2645,2571,2486,2410,2339,2278,2206,2158,2100,2055,2002,1960,1918,1865,1816,1790,1742,1694,1646,1601,1559,1515,1463,1419,1369,1312,1268,1222,1171,1120,1057,996,937,883,826,772,725,665,611,567,504,452,395,337,292,231,189,143,109,76,39,23,16,11,7,3,0
leu,100,3,3,vacuole,8,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2199,2198,2197,2192,2190,2184,2173,2152,2133,2108,2063,2003,1938,1869,1779,1675,1601,1512,1450,1390,1332,1288,1241,1204,1159,1095,1032,977,939,894,857,813,775,741,724,692,668,644,613,592,572,554,535,517,497,483,469,450,435,425,411,395,371,356,344,323,302,288,255,227,210,186,165,149,138,120,101,82,54,39,29,24,20,19,16,11,9,8,8,7,5,2
leu,100,3,3,vacuole,9,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906,3905,3905,3903,3901,3891,3876,3856,3822,3773,3726,3647,3546,3434,3297,3186,3083,2985,2899,2798,2690,2581,2447,2290,2128,1992,1858,1743,1650,1566,1482,1419,1357,1292,1220,1164,1108,1058,1009,963,912,874,830,791,744,706,667,632,608,582,558,538,516,493,461,432,404,375,349,327,293,270,251,226,202,179,158,132,110,87,55,36,24,12,8,1,0,0,0,0,0
leu,100,3,3,vacuole,10,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4896,4891,4889,4887,4882,4851,4823,4779,4707,4602,4467,4322,4170,4010,3877,3727,3625,3516,3401,3271,3132,2932,2724,2524,2350,2195,2074,1973,1866,1768,1685,1604,1514,1452,1399,1346,1269,1203,1152,1111,1071,1013,968,915,862,807,764,728,692,664,634,597,560,522,466,434,395,366,340,313,287,260,234,204,177,154,135,112,98,84,72,60,54,44,35,26,19,13,1
leu,100,3,3,vacuole,11,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7127,7126,7125,7122,7119,7104,7093,7068,7039,7015,6970,6892,6795,6669,6541,6401,6254,6071,5914,5774,5611,5440,5254,5026,4819,4611,4344,4097,3910,3769,3645,3515,3395,3286,3175,3086,3003,2914,2820,2728,2653,2564,2473,2397,2313,2235,2148,2067,1996,1917,1850,1780,1716,1654,1577,1492,1418,1335,1253,1160,1074,992,914,851,793,719,655,560,472,398,335,289,239,184,144,87,65,47,42,30,20,8
leu,100,3,3,vacuole,12,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4898,4897,4896,4893,4886,4877,4853,4812,4767,4681,4609,4490,4351,4210,4056,3928,3821,3723,3638,3561,3442,3330,3183,3049,2862,2668,2500,2367,2257,2144,2050,1945,1855,1769,1697,1612,1545,1484,1415,1334,1273,1205,1134,1071,1013,956,899,851,808,786,746,708,675,639,603,559,519,489,451,416,381,346,322,289,259,224,189,164,134,114,91,77,66,48,44,40,34,28,22,1
leu,100,3,3,vacuole,13,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3440,3437,3434,3431,3430,3430,3427,3420,3413,3404,3389,3372,3343,3300,3220,3126,3045,2951,2865,2790,2707,2612,2531,2412,2303,2186,2084,1994,1902,1826,1765,1714,1655,1594,1517,1460,1411,1367,1323,1277,1236,1190,1138,1092,1036,998,954,908,873,846,822,801,768,726,694,664,620,590,551,501,464,432,402,377,345,317,281,232,193,154,125,104,86,77,67,53,46,42,31,26,12,8
leu,100,3,3,vacuole,14,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2603,2603,2600,2599,2594,2589,2587,2578,2568,2556,2540,2513,2472,2421,2371,2311,2251,2199,2150,2105,2047,1999,1938,1874,1793,1729,1648,1582,1531,1480,1443,1403,1368,1326,1291,1260,1232,1195,1172,1143,1111,1084,1037,1012,978,943,910,866,833,801,773,752,726,692,659,625,597,555,515,477,453,419,384,358,332,295,249,207,163,135,115,93,67,47,40,31,26,21,17,3,1
leu,100,3,3,vacuole,15,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2943,2942,2939,2925,2917,2894,2852,2802,2733,2638,2550,2463,2404,2324,2262,2201,2151,2105,2068,2014,1951,1869,1778,1685,1602,1515,1454,1398,1338,1279,1237,1200,1156,1119,1080,1041,1014,984,947,924,892,868,838,804,771,736,713,690,663,645,622,591,552,529,500,474,446,423,395,367,349,321,296,253,206,171,136,105,82,67,50,37,18,10,7,3,0,0,0
